number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Ramón_Rodríguez_da_Silva,882622,,5040,20230528133057,22834293,,Biography,cs
2,Habíb_Elghanian,602232,,5684,20230316125716,22549597,,Biography,cs
3,Kathryn_Patricia_Hireová,984135,,2646,20230308025644,22525458,,Biography,cs
4,Agnes_Macreadyová,1475282,,5142,20230512162357,22787762,,Biography,cs
5,Ottokar_Nováček,337464,,2866,20221125064548,21991034,,Biography,cs
6,Vlastimil_Ježek,352837,,9912,20230114203838,22341959,,Biography,cs
7,Torill_Thorstad_Haugerová,1028880,,12839,20221129110019,22094950,,Biography,cs
8,František_Kahlík,1808953,,6687,20230722074650,22994544,,Biography,cs
9,Fanny-Estelle_Posviteová,1135225,,2195,20221129122101,22101650,,Biography,cs
10,Tvrtko_Vujity,400996,,2504,20221130131911,22149392,,Biography,cs
11,Misaki_Doiová,698386,,15474,20230722213752,22996303,,Biography,cs
12,Tacitus_(císař),401053,,7049,20221122124232,21923956,,Biography,cs
13,Zuzana_Števulová,1677236,,4790,20221130125007,22143872,,Biography,cs
14,Daniela_Vinopalová,1607504,,23592,20230711192220,22967172,,Biography,cs
15,Nazario_Stradi,1115068,,4296,20221124134950,21983916,,Biography,cs
16,Zuzana_Kapráliková,972281,,2274,20230718145416,22985303,,Biography,cs
17,Edmond_Goldschmidt,1858962,,5632,20230608121420,22867650,,Biography,cs
18,Hesso_Bádenský,1169295,,945,20221123112737,21935026,,Biography,cs
19,Pavel_Knolle,1476869,,12058,20221130130112,22145967,,Biography,cs
20,Arik_Einstein,954339,,5105,20221129093026,22087303,,Biography,cs
21,Sonny_Greer,1028841,,3043,20230510215255,22782310,,Biography,cs
23,Avišag_Sembergová,1785562,,2548,20230503164021,22762079,,Biography,cs
24,Jaroslav_Papoušek_(dějepisec),1344087,,19090,20230411214619,22690296,,Biography,cs
25,Paul_Alo'o_Efoulou,1170428,,2340,20221130122234,22139928,,Biography,cs
26,Me'ir_Šitrit,348497,,6691,20221129132923,22107278,,Biography,cs
27,José_Martí,587819,,13786,20230518200040,22805666,,Biography,cs
28,Michel_Odent,1602275,,5956,20221129063725,22072980,,Biography,cs
29,Jiří_Paták,1510419,,3376,20221221165547,22247873,,Biography,cs
30,Džiró_Horikoši,206327,,9519,20230614105153,22885388,,Biography,cs
31,Brent_Seabrook,904829,,21507,20230125154353,22380837,,Biography,cs
32,Karel_Richter,448952,,8599,20230222044621,22477771,,Biography,cs
33,Jindřich_Balcar,1342675,,2524,20221130065729,22112552,,Biography,cs
34,Pietro_Genovesi,1714670,,6951,20221128083152,22041270,,Biography,cs
35,Steve_Speirs,988783,,1009,20230225120806,22492794,,Biography,cs
36,John_C._Reilly,1224455,,1683,20230225121628,22493100,,Biography,cs
37,Kristina_Weiserová,1735330,,4358,20230420184455,22722090,,Biography,cs
38,Martin_A._Hansen,187957,,1328,20230429160925,22748894,,Biography,cs
39,Mária_Bieliková_(informatička),1668558,,5801,20230710032625,22962315,,Biography,cs
40,Josef_Kramer,265688,,7165,20221128072944,22036268,,Biography,cs
41,Robert_Šlachta,986752,,17965,20230310031114,22531244,,Biography,cs
42,Priskos,978794,,1917,20220527060306,21328582,,Biography,cs
43,Karel_Ludvík_Dlauhoweský_z_Dlouhévsi,1782611,,9530,20230608120808,22867636,,Biography,cs
44,Frederik_Pohl,27647,,27046,20230603101521,22852497,,Biography,cs
46,Barry_Melton,735038,,1672,20221129125345,22104343,,Biography,cs
47,Richard_z_Chichesteru,1415620,,3920,20230405072334,22606080,,Biography,cs
48,Michaela_Mervartová,1462274,,2672,20221130072629,22114972,,Biography,cs
49,Boban_Babunski,1207814,,5066,20221130135251,22152980,,Biography,cs
50,Mirko_Stieber,1179415,,5491,20221129120258,22100091,,Biography,cs
51,Barre_Toelken,1240398,,3475,20221129093747,22087978,,Biography,cs
52,Viktor_Bonaparte,1667101,,9148,20230314233502,22545432,,Biography,cs
53,Johann_Jakob_Bodmer,463584,,4298,20221124081335,21956900,,Biography,cs
54,Gisela_Anežka_Anhaltsko-Köthenská,1831394,,4419,20230206003647,22414751,,Biography,cs
55,Bohuslav_Nosák,1753247,,5524,20230612042823,22878237,,Biography,cs
57,Chris_Marker,1107571,,12710,20230323184742,22569499,,Biography,cs
58,Milan_Mrukvia,1488513,,5183,20230522174858,22815646,,Biography,cs
59,Budimir_Vujačić,1216380,,2719,20221130132837,22150544,,Biography,cs
60,Čo_Ku-ham,1157878,,4063,20221129120556,22100355,,Biography,cs
61,Kim_Song-jon,1343399,,3671,20221129114731,22098754,,Biography,cs
63,Silvio_Stampiglia,1150107,,4790,20221124072154,21952885,,Biography,cs
64,Wilhelm_Freisler,1217578,,7170,20230131182331,22398410,,Biography,cs
65,Stanisław_Wojciech_Wielgus,165396,,3504,20221129094429,22088562,,Biography,cs
66,Marie_Ferdinanda_Saská,441944,,7178,20221130220128,22164687,,Biography,cs
67,Harald_V.,330776,,11010,20230711073505,22965499,,Biography,cs
68,Filip_Nepejchal,1508285,,3190,20221130070827,22113485,,Biography,cs
69,Marie_Ernestina_Františka_z_Rietbergu,1718177,,6119,20221124074937,21955052,,Biography,cs
70,David_El'azar,373594,,10522,20221128122203,22060720,,Biography,cs
71,Alexej_Kim,1829156,,2204,20230415182951,22703846,,Biography,cs
72,Rick_Coonce,663133,,2895,20221129121039,22100773,,Biography,cs
73,Heinrich_Brugsch,599297,,2770,20230710025440,22961186,,Biography,cs
74,Edurne_Pasabanová,683473,,1733,20221130141457,22159231,,Biography,cs
75,Václav_Schuldes,1766684,,4400,20221124091452,21961551,,Biography,cs
76,Ray_Lynch,383212,,4439,20221224222449,22260581,,Biography,cs
77,Trevor_Marsicano,962347,,4195,20230330082653,22587961,,Biography,cs
78,James_Donald_Halsell,980658,,3004,20221130093622,22126537,,Biography,cs
79,Jiří_Holý,332900,,8573,20230710040056,22962741,,Biography,cs
80,Zdeněk_Pisk,1823888,,3597,20230226184751,22497649,,Biography,cs
81,Oswal_Álvarez,1222410,,1165,20221129131357,22105989,,Biography,cs
82,Aaron_Aaronsohn,1024168,,15811,20221125080544,21997509,,Biography,cs
83,Michael_Jackson,456427,,44525,20230718170526,22985603,,Biography,cs
84,Jozef_Urblík_(1970),1343572,,2772,20230724155919,23000640,,Biography,cs
85,Rechelle_Hawkesová,260620,,3040,20221130125713,22145237,,Biography,cs
86,Jack_Pinney,654478,,2046,20221116113250,21893874,,Biography,cs
87,Elina_Duni,1102942,,1181,20221130125827,22145483,,Biography,cs
88,Jan_IV._(patriarcha),737600,,2655,20221122133813,21924711,,Biography,cs
89,Abdulchaj_Kajumovič_Vachitov,1648225,,2857,20221128102508,22050762,,Biography,cs
90,Heike_Henkelová,435469,,9691,20230713204525,22974431,,Biography,cs
91,Hendrik_Kramers,1223117,,3262,20221125110631,22013195,,Biography,cs
92,Csaba_Köves,1292223,,2144,20221130140933,22157806,,Biography,cs
93,Issaka_Dabore,1404313,,2765,20221212102039,22211045,,Biography,cs
94,Šimon_Szathmáry,1794963,,5508,20230528163813,22834889,,Biography,cs
95,Alexandr_Zasjaďko,1066467,,1508,20221128083511,22041558,,Biography,cs
96,Pál_Ficsku,748785,,879,20221130125434,22144699,,Biography,cs
97,Linda_Wichterlová,1600318,,3920,20230502062623,22757709,,Biography,cs
98,Libuše_Hančarová,1767352,,9348,20230626104226,22919842,,Biography,cs
99,Fred_Perry,276741,,1936,20221128111544,22055192,,Biography,cs
100,Wilhelm_List,1138611,,3236,20230316133647,22549736,,Biography,cs
101,Henrik_Andersen,1163344,,2592,20221219163358,22240024,,Biography,cs
102,Ben_Spijkers,1113015,,4645,20230530063340,22840203,,Biography,cs
103,Jean_Charles_Abbatucci_(politik),1797758,,1590,20221124112008,21971676,,Biography,cs
104,Otta_Prokeš,1694672,,1249,20221128113314,22056587,,Biography,cs
105,Luigi_Longo,534182,,1677,20221128083417,22041481,,Biography,cs
106,Max_Eiselin,1353672,,2115,20230105081456,22303313,,Biography,cs
107,Jana_Skalická,1095139,,10856,20230709061742,22955338,,Biography,cs
108,Sigitas_Tamkevičius,1520615,,6363,20230405073112,22606183,,Biography,cs
109,Lucia_Klocová,987280,,4148,20230116214831,22350150,,Biography,cs
110,Sigerich,67016,,1202,20221116120812,21895541,,Biography,cs
111,František_Klátil,753684,,5094,20221224224155,22261214,,Biography,cs
112,Erdmunda_Tereza_z_Ditrichštejna,1264847,,10771,20230317144730,22553010,,Biography,cs
113,Emmanuel_Emenike,1242312,,4846,20221209235928,22199802,,Biography,cs
114,Polykarp_I.,1063008,,3450,20230405070824,22605571,,Biography,cs
115,Alessandro_Anzani,231015,,3032,20230707150043,22951727,,Biography,cs
116,Daeg_Faerch,795212,,1545,20230417223211,22711884,,Biography,cs
117,Jiří_Hendrich,827145,,2788,20230522192101,22816872,,Biography,cs
118,Franciszek_Hoszard,1103471,,4158,20221124122033,21976694,,Biography,cs
119,Thomas_Henry_Huxley,127102,,5220,20221124120351,21975233,,Biography,cs
120,Sásán,12545,,1668,20220711173647,21462681,,Biography,cs
121,Johann_Heinrich_Schmelzer,953142,,7161,20230622004548,22906870,,Biography,cs
122,Danielle_Rose_Russell,1437503,,3616,20221130070930,22113571,,Biography,cs
123,Nilton_Giese,441924,,845,20221130122358,22140118,,Biography,cs
124,Beatrix_Provensálská,390595,,18579,20230718101456,22984398,,Biography,cs
125,Bob_Henrit,1021977,,3092,20221129112525,22096949,,Biography,cs
126,Avicii,757396,,8792,20230715172629,22978554,,Biography,cs
127,Jindřich_Julius_Brunšvicko-Lüneburský,1649160,,12833,20230422153341,22729981,,Biography,cs
128,Mammad_Amin_Rasulzade,1205180,,4293,20221125110225,22012932,,Biography,cs
130,İsmet_İnönü,250084,,1778,20221128072344,22035736,,Biography,cs
131,Anna_de_Noailles,1197694,,3131,20221125081110,21997990,,Biography,cs
132,Mykola_Spynul,1169554,,6040,20221125070931,21992959,,Biography,cs
133,Jozef_Pauko,834770,,4123,20221130091959,22125004,,Biography,cs
134,Genndy_Tartakovsky,1382908,,1225,20221130120908,22138211,,Biography,cs
135,Ágnes_Gerébová,625105,,3377,20230330162536,22589559,,Biography,cs
136,Josef_Opitz,916524,,9900,20230711093538,22965821,,Biography,cs
137,Jindřich_Špýrský,1186122,,1696,20220709113120,21452573,,Biography,cs
138,Helena_Ekholmová,758497,,4581,20230122104153,22369821,,Biography,cs
139,Jukiru_Sugisaki,1722630,,4583,20221130142346,22161427,,Biography,cs
141,Zuzana_Kocúriková,260996,,3194,20221129131731,22106307,,Biography,cs
142,Fulvio_Bernardini,1699626,,11717,20230724171820,23001015,,Biography,cs
