number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
4,Profesia,389081,,3659,20211101162449,20599937,,Business and economics,cs
8,SIPO,342184,,3718,20230217185145,22458373,,Business and economics,cs
9,SAP_R/3,18426,,7216,20221212090949,22208869,,Business and economics,cs
11,Swarovski,609957,,3427,20210803095132,20273508,,Business and economics,cs
12,Plný_pracovní_úvazek,655794,,1510,20200917073349,19002240,,Business and economics,cs
15,Pracovní_sobota,210717,,4560,20211207210447,20708523,,Business and economics,cs
16,Asociace_pro_elektronickou_komerci,829958,,2754,20221219145930,22239394,,Business and economics,cs
17,Diverzifikace,241326,,3604,20201127095200,19207710,,Business and economics,cs
18,Česká_manažerská_asociace,1327811,,18740,20230705171143,22943215,,Business and economics,cs
19,IPC_(elektronika),1516657,,5264,20211103084327,20605098,,Business and economics,cs
20,Manažer_štěstí,1276122,,5133,20230502214837,22760086,,Business and economics,cs
21,Diverzifikace_průmyslu,1812174,,4455,20230527143738,22831898,,Business and economics,cs
22,Startup,710324,,13630,20221214215154,22222956,,Business and economics,cs
23,Výkaz_zisku_a_ztráty,181004,,21657,20230326140811,22576626,,Business and economics,cs
24,Retino,1518388,,4598,20230626220220,22921346,,Business and economics,cs
25,Kádrová_politika_KSČ,900029,,7454,20230126223500,22384412,,Business and economics,cs
26,Textilní_průmysl_v_Číně,1765453,,14998,20230702101614,22935060,,Business and economics,cs
27,Úvěrová_expanze,598953,,1425,20130716124222,10530841,,Business and economics,cs
31,Konsolidace_úvěrů,836700,,8078,20221128124901,22063047,,Business and economics,cs
34,Igm_Robotersysteme,1506943,,4244,20211119092635,20652389,,Business and economics,cs
35,Komoditní_burzovnictví,1106757,,5649,20210517212645,19901944,,Business and economics,cs
36,Ekonomika_Nepálu,1640272,,11660,20221004203432,21738101,,Business and economics,cs
38,Předvaha,310636,,1628,20210606203649,20044700,,Business and economics,cs
39,Kariérové_poradenství,610463,,2823,20230118080508,22354647,,Business and economics,cs
42,Převzetí_podniku,1101906,,6051,20210802120419,20265075,,Business and economics,cs
44,Úrok,193979,,17831,20230619071459,22898345,,Business and economics,cs
45,Účetní_zásady,316244,,4706,20170513215632,14992388,,Business and economics,cs
51,Evropské_spotřebitelské_centrum,497634,,6040,20220105142148,20791983,,Business and economics,cs
52,Místní_výměnný_obchodní_systém,779665,,5236,20220722180151,21505515,,Business and economics,cs
53,Ekonomika_Ghany,1640445,,24181,20221122225955,21926784,,Business and economics,cs
54,Ekonomie_práce,1615793,,1576,20221115065143,21883911,,Business and economics,cs
56,Dr._Oetker,636134,,11814,20220814095620,21585067,,Business and economics,cs
59,VímVíc.cz,1368844,,7633,20230121144526,22367373,,Business and economics,cs
60,Mezinárodní_federace_účetních,1308804,,6727,20230724211349,23001613,,Business and economics,cs
62,Ekonomická_nerovnost,1049669,,40053,20230723073600,22996728,,Business and economics,cs
63,Offshore_bankovnictví,1641377,,30069,20220806071830,21561363,,Business and economics,cs
66,Journal_on_Legal_and_Economic_Issues_of_Central_Europe,588210,,600,20201121170020,19184911,,Business and economics,cs
68,Sdílení_pracovního_místa,1148163,,4496,20210809100800,20364482,,Business and economics,cs
69,Avalový_úvěr,239342,,1151,20110711143800,7130627,,Business and economics,cs
71,Účetní_případ,387732,,1909,20120208135201,8029098,,Business and economics,cs
72,Vorwerk,668304,,1905,20220117054255,20839548,,Business and economics,cs
74,Rekvalifikace,274823,,2454,20221104082515,21835696,,Business and economics,cs
77,Den_pracovního_klidu,622154,,914,20210305124712,19576404,,Business and economics,cs
78,Technologický_pokrok,583747,,1449,20210910072233,20455165,,Business and economics,cs
79,Krátký_prodej,365509,,9897,20230102141927,22290984,,Business and economics,cs
80,Audit,384382,,4736,20220507194953,21239218,,Business and economics,cs
81,Přehled_o_peněžních_tocích,380310,,21117,20220626094549,21417631,,Business and economics,cs
82,Bankovní_úvěr,1303959,,11037,20221212084702,22207420,,Business and economics,cs
83,Průměrná_mzda,859905,,10635,20230426085635,22739422,,Business and economics,cs
84,Nizozemská_západoindická_společnost,1393106,,13772,20221205052014,22179488,,Business and economics,cs
86,Subprime_market,667354,,5028,20230427185759,22744027,,Business and economics,cs
87,Rabat_(ekonomika),382020,,3690,20220716155230,21473556,,Business and economics,cs
90,Profitování,1317244,,5884,20210809073757,20360586,,Business and economics,cs
91,CEBRE_-_Česká_podnikatelská_reprezentace_při_EU,716495,,4789,20210811203607,20382702,,Business and economics,cs
92,Popis_pracovního_místa,884669,,5023,20210808150453,20339033,,Business and economics,cs
93,Holding,71105,,2717,20230314152447,22543980,,Business and economics,cs
