number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Butan-1-ol,1705713,,18254,20220629182620,21425953,,Chemistry,cs
4,William_Howard_Stein,1146601,,1848,20221128084815,22042602,,Chemistry,cs
5,Cesium,7354,,17176,20230429093106,22747846,,Chemistry,cs
6,Indexové_číslo,628472,,2502,20220828053440,21626413,,Chemistry,cs
7,Dysprosium,53233,,7128,20220610213658,21375367,,Chemistry,cs
8,Jean_Charles_Galissard_de_Marignac,371112,,3329,20221124120034,21974940,,Chemistry,cs
10,Substrát_(chemie),1742398,,2773,20220313194748,21031547,,Chemistry,cs
11,Podvojná_záměna,1587681,,2809,20210809064001,20359746,,Chemistry,cs
13,Mondův_proces,141104,,1217,20220623124334,21410442,,Chemistry,cs
15,Relativní_molekulová_hmotnost,1201,,1178,20230120142940,22364365,,Chemistry,cs
16,Polykarbonát,394288,,34892,20230625093554,22917043,,Chemistry,cs
18,Reakční_mechanismus,101615,,1632,20210809084822,20362118,,Chemistry,cs
20,Schlenkova_rovnováha,1721350,,3262,20230328110628,22582844,,Chemistry,cs
21,BODIPY,1761442,,13328,20221212095406,22210129,,Chemistry,cs
23,Autoionizace_vody,507850,,7787,20230216152148,22454747,,Chemistry,cs
24,Cudžiova–Trostova_reakce,1714581,,22901,20221025213043,21801936,,Chemistry,cs
25,Hydroxid_hořečnatý,1157964,,3341,20220528071957,21332400,,Chemistry,cs
26,Zelená_chemie,1666377,,7713,20220410004228,21141958,,Chemistry,cs
27,PFAS,1762693,,16735,20230601050334,22846762,,Chemistry,cs
28,Bublina,591277,,1787,20210919172759,20485557,,Chemistry,cs
29,Tellur,6714,,8454,20220501063842,21208739,,Chemistry,cs
30,Samozápalnost,1113897,,1476,20220213091127,20933784,,Chemistry,cs
33,Resorcinol,423440,,3616,20220911103841,21666884,,Chemistry,cs
35,Kurkumin,30630,,5661,20220410140417,21150366,,Chemistry,cs
38,3-hydroxypropanal,1299148,,5534,20210523222507,19924993,,Chemistry,cs
40,Trikresylfosfát,459247,,4694,20210809160210,20370856,,Chemistry,cs
41,Jean-Baptiste_van_Helmont,268790,,2934,20230609042632,22869562,,Chemistry,cs
44,Griecova_třísložková_kondenzace,1855615,,2482,20230522112154,22814590,,Chemistry,cs
46,Gangliosidy,1767689,,4995,20221025112650,21799233,,Chemistry,cs
48,Benzylalkohol,1497760,,9258,20230503130546,22761524,,Chemistry,cs
53,Barevnost_komplexů,243168,,5663,20230216151324,22454720,,Chemistry,cs
54,Psilocybin,281010,,11871,20220730140729,21531455,,Chemistry,cs
57,Chlorid_dusitý,580662,,7586,20220109112128,20810896,,Chemistry,cs
58,1-propanol,386923,,5486,20220912180313,21671653,,Chemistry,cs
60,Methylová_violeť,329219,,2363,20221004152912,21737138,,Chemistry,cs
61,Přenos_elektronu_ve_vnější_sféře,1687296,,4819,20230225130522,22493573,,Chemistry,cs
64,Robert_Wilhelm_Bunsen,403213,,4346,20230710030923,22961764,,Chemistry,cs
65,Všeobecně_považovaný_za_bezpečný,403651,,3459,20210809181057,20373258,,Chemistry,cs
68,Jahnův–Tellerův_efekt,238792,,3608,20220924082513,21706440,,Chemistry,cs
70,Tris(2-chlorethyl)-fosfát,512361,,1757,20210808182208,20350257,,Chemistry,cs
72,Chemická_past,1771042,,3785,20221212101756,22210954,,Chemistry,cs
73,Ilja_Prigogine,636940,,5058,20230628100332,22924520,,Chemistry,cs
74,Součin_rozpustnosti,949502,,3488,20210809191001,20375161,,Chemistry,cs
77,Loužení,331432,,1621,20210919215648,20486084,,Chemistry,cs
80,Fluoren,1461244,,7543,20220917130234,21686141,,Chemistry,cs
82,Destilace,61050,,8340,20230307072318,22522872,,Chemistry,cs
83,Shapirova_reakce,1445361,,8674,20220623131756,21410615,,Chemistry,cs
87,Škrticí_clona,345717,,1431,20210518104954,19903749,,Chemistry,cs
88,Nitrid_stříbrný,1232449,,5782,20230218133031,22460195,,Chemistry,cs
89,Paraldehyd,505047,,7918,20220215194825,20946015,,Chemistry,cs
93,Kovy_alkalických_zemin,102215,,6595,20220314150226,21034495,,Chemistry,cs
94,Objevování_léčiv,1832252,,53332,20230428100055,22745414,,Chemistry,cs
96,Francis_William_Aston,271301,,2690,20230414103102,22697598,,Chemistry,cs
97,Zákon_stálých_poměrů_slučovacích,244026,,841,20220620170309,21403212,,Chemistry,cs
103,Pethidin,868082,,2941,20210809055305,20358958,,Chemistry,cs
104,Slitiny_s_tvarovou_pamětí,86253,,14548,20221112095829,21874604,,Chemistry,cs
105,Zlato,905,,27614,20230505051300,22766224,,Chemistry,cs
107,Lanthan,48349,,10035,20220806101511,21561842,,Chemistry,cs
111,Hmotnostní_koncentrace,39402,,963,20210806103529,20309331,,Chemistry,cs
112,Inhibice_(chemie),1841737,,2125,20230313133857,22540714,,Chemistry,cs
115,Plutonium-239,1438170,,9775,20230216151348,22454723,,Chemistry,cs
116,Hexafluorpropan-2-ol,1511867,,5022,20210828235320,20426951,,Chemistry,cs
117,Polonium-210,1341084,,4221,20220127194502,20879584,,Chemistry,cs
118,Biotransformace,263211,,1195,20190818170106,17572689,,Chemistry,cs
119,Hydrogenuhličitan_draselný,670782,,4023,20230501090441,22752921,,Chemistry,cs
121,Kovy,26,,6193,20230606192519,22862298,,Chemistry,cs
123,Chemická_reakce,84246,,11040,20230529032722,22836118,,Chemistry,cs
125,Diethyltryptamin,489521,,1022,20220522121611,21311098,,Chemistry,cs
128,Alkylpolyglykosidy,1642174,,3345,20221023085430,21792344,,Chemistry,cs
129,Kaustifikace,1642018,,6582,20220529211710,21340205,,Chemistry,cs
130,Chemicky_čistá_látka,27867,,1350,20220925115109,21710083,,Chemistry,cs
132,"Kyselina_2,4-dichlorfenoxyoctová",457859,,3143,20210719204305,20207341,,Chemistry,cs
133,Difuze,10987,,8070,20221123080343,21928364,,Chemistry,cs
138,Fritschův–Buttenbergův–Wiechellův_přesmyk,1858538,,3698,20230604144857,22855062,,Chemistry,cs
139,Větry,176447,,6310,20221212152250,22214463,,Chemistry,cs
140,Stříbro,947,,20895,20230418080355,22713081,,Chemistry,cs
141,Robinsonova_anelace,1447703,,10318,20230218133107,22460200,,Chemistry,cs
143,Perkowova_reakce,1609586,,4140,20220623125538,21410496,,Chemistry,cs
144,Kyselina_dusičná,21970,,11986,20230519064634,22806256,,Chemistry,cs
146,Kabačnikova–Fieldsova_reakce,1722908,,3084,20230303153752,22511864,,Chemistry,cs
147,Karbometalace,1752746,,15841,20221201080818,22165350,,Chemistry,cs
148,Methoxyethan,468135,,2155,20221216113847,22227987,,Chemistry,cs
149,Alkylfenoly,409880,,1256,20210804132343,20284913,,Chemistry,cs
150,Stereocentrum,1729612,,5378,20230325195517,22574503,,Chemistry,cs
151,Benzylpiperazin,866313,,2415,20210805074051,20289196,,Chemistry,cs
155,Hexametafosforečnan_sodný,1618372,,7068,20230317104806,22552432,,Chemistry,cs
158,Polyvinylpyrrolidon,398413,,7940,20220910132415,21664699,,Chemistry,cs
163,Asymetrická_syntéza,1358704,,35623,20221113000036,21876972,,Chemistry,cs
164,Direkcionalita,693174,,2959,20211129173759,20682674,,Chemistry,cs
165,Aceton,83295,,11575,20230513121523,22789302,,Chemistry,cs
166,Absorbance,307735,,1402,20230210091938,22433264,,Chemistry,cs
167,Rozšířená_periodická_tabulka,307162,,5918,20230406053452,22609475,,Chemistry,cs
168,Organická_chemie,71234,,10381,20230309051854,22528411,,Chemistry,cs
169,Reimerova–Tiemannova_reakce,1578003,,5907,20220623124239,21410437,,Chemistry,cs
170,Bernoulliho_rovnice,571,,5782,20221028090318,21807911,,Chemistry,cs
174,Sol-gel,89330,,3511,20211014193113,20548560,,Chemistry,cs
175,Brookův_přesmyk,1353148,,3418,20210805091721,20291235,,Chemistry,cs
176,Cannizzarova_reakce,1680746,,4179,20221221145430,22247207,,Chemistry,cs
177,Odrezovač,659717,,1836,20210808141013,20335724,,Chemistry,cs
179,Myxoxantofyl,375796,,2009,20210719113426,20197366,,Chemistry,cs
183,Pinakolový_přesmyk,1678111,,5955,20230415102600,22702556,,Chemistry,cs
185,Morfolin,693118,,1704,20221216113915,22227989,,Chemistry,cs
186,Kazimierz_Fajans,1189065,,3111,20230710025750,22961358,,Chemistry,cs
188,Hasební_látky,33558,,3816,20230716082101,22979447,,Chemistry,cs
189,Extrakce,166421,,5529,20220201182522,20895577,,Chemistry,cs
191,Eosin,599983,,2211,20230302220925,22509623,,Chemistry,cs
192,Friedrich_Bergius,672575,,4223,20230405025555,22603716,,Chemistry,cs
196,Lewisova_teorie_kyselin_a_zásad,442544,,2803,20210808160353,20341893,,Chemistry,cs
198,Rovnice_kontinuity,574,,11217,20230215210103,22452618,,Chemistry,cs
201,Metateze_vazby_sigma,1687797,,2150,20210527110310,19937746,,Chemistry,cs
202,Chemické_symboly_nebezpečí,276468,,4963,20230516182614,22798201,,Chemistry,cs
207,Tartrazin,37701,,3245,20230322104726,22565904,,Chemistry,cs
208,Karmín,283338,,16231,20230309171712,22530237,,Chemistry,cs
209,Tetrachlormethan,84836,,9510,20230723185634,22998119,,Chemistry,cs
210,Dithiotreitol,913696,,3542,20230703060617,22937196,,Chemistry,cs
212,Hexafluorethan,750937,,2967,20221011175846,21757112,,Chemistry,cs
213,Alan_J._Heeger,192426,,1568,20221129083101,22082422,,Chemistry,cs
214,Irving_Langmuir,673070,,4285,20221125111726,22014107,,Chemistry,cs
215,4._skupina,102383,,1457,20210718152208,20172770,,Chemistry,cs
218,"1,1,1,2-tetrafluorethan",1331560,,9290,20221014194054,21767351,,Chemistry,cs
219,Chlorpyrifos,326724,,3448,20210808113614,20327366,,Chemistry,cs
220,Analytická_chemie,12443,,11741,20230124160131,22377638,,Chemistry,cs
221,Chelátový_efekt,264926,,2980,20221127000439,22026851,,Chemistry,cs
222,Bufotenin,159870,,2952,20230503083648,22760864,,Chemistry,cs
223,Thomas_A._Steitz,1147572,,3046,20221129100307,22090141,,Chemistry,cs
225,Uran_(prvek),7397,,45183,20230630070628,22928893,,Chemistry,cs
226,Brilantová_zeleň,502394,,5606,20210804114744,20283244,,Chemistry,cs
227,Molární_tepelná_kapacita,762506,,4228,20230215205918,22452609,,Chemistry,cs
229,Karcinogen,180878,,3646,20230717134415,22982355,,Chemistry,cs
230,Marquisovo_činidlo,1338437,,2476,20210808192837,20354299,,Chemistry,cs
232,Filozofie_chemie,1228376,,4175,20221103125952,21829871,,Chemistry,cs
233,Leimgruberova–Batchova_syntéza_indolů,1605562,,3142,20220623130135,21410536,,Chemistry,cs
234,Tetrazen_(výbušnina),81171,,4303,20220401124652,21097907,,Chemistry,cs
238,Karbonizace_uhlí,156885,,2569,20220413184254,21159380,,Chemistry,cs
242,Mutarotace,633562,,1087,20210808133844,20333402,,Chemistry,cs
243,Thulium,53875,,5846,20220720200234,21484397,,Chemistry,cs
244,Tetralin,1851561,,5616,20230504180419,22765376,,Chemistry,cs
245,Delokalizace_elektronů,1663528,,4137,20230626123045,22920056,,Chemistry,cs
247,Minerální_látka,286887,,1097,20230305113721,22517448,,Chemistry,cs
248,Ekrazit,274854,,994,20220613081916,21381038,,Chemistry,cs
249,Organokovová_chemie,97789,,2792,20220127133920,20878224,,Chemistry,cs
251,Methylamin,669751,,3503,20230504174342,22765300,,Chemistry,cs
252,Baryum,7904,,20682,20220806101339,21561837,,Chemistry,cs
253,Metakvalon,870346,,4348,20220912175844,21671636,,Chemistry,cs
254,John_Howard_Northrop,675786,,3877,20221128094916,22047738,,Chemistry,cs
259,ADNR,1005476,,883,20220211063056,20926579,,Chemistry,cs
263,Auwersova_syntéza,1452406,,1933,20230518153338,22805112,,Chemistry,cs
264,Detonace,500043,,1439,20210530193209,19976250,,Chemistry,cs
265,Jodid_vápenatý,663606,,7721,20220319055208,21049742,,Chemistry,cs
267,Tricyklobutabenzen,1461427,,3483,20220129144930,20885223,,Chemistry,cs
268,Chlorbenzen,445328,,4229,20230503130604,22761527,,Chemistry,cs
269,Iridium,3982,,11558,20230526081807,22828616,,Chemistry,cs
271,Hydrogenace,461909,,9790,20230203084734,22406423,,Chemistry,cs
273,Rentgenová_fluorescence,277332,,5179,20230713143336,22973681,,Chemistry,cs
274,Fenanthren,869719,,4515,20210927134356,20504837,,Chemistry,cs
275,Seznam_látek_považovaných_za_jedy,559561,,4584,20191028113146,17774100,,Chemistry,cs
276,Parciální_tlak,387763,,2355,20230216152304,22454754,,Chemistry,cs
277,N-methylmorfolin-N-oxid,1734462,,6057,20220520064727,21291574,,Chemistry,cs
278,Mijaurova_borylace,1696887,,5777,20220623123547,21410412,,Chemistry,cs
279,Normalita_(chemie),1459253,,1625,20230214163726,22448190,,Chemistry,cs
280,Ullmannova_kondenzace,1591304,,6921,20220911103819,21666883,,Chemistry,cs
281,Ketamin,391573,,13711,20230628221103,22926108,,Chemistry,cs
284,Diastereomer,1188311,,3591,20210806062156,20303734,,Chemistry,cs
285,Makroergní_sloučeniny,268826,,1687,20190311195723,17036066,,Chemistry,cs
286,Empenthrin,521608,,2785,20210806091150,20307268,,Chemistry,cs
289,Chromatografie,23658,,8110,20220418085509,21171875,,Chemistry,cs
290,Změkčování_vody,340906,,1114,20210809192449,20375762,,Chemistry,cs
291,Seyferthova–Gilbertova_homologace,1722901,,6080,20220623130953,21410577,,Chemistry,cs
293,Konformace_gauche,1826950,,1330,20230202095915,22403217,,Chemistry,cs
294,Passeriniova_reakce,1532224,,4139,20230414175027,22699488,,Chemistry,cs
298,Propan,65286,,11182,20230329185758,22586769,,Chemistry,cs
299,Abramovova_reakce,1695115,,11071,20230221103846,22475507,,Chemistry,cs
303,4-Acetoxy-DiPT,37820,,2135,20210707073930,20132583,,Chemistry,cs
304,Dieldrin,218176,,2931,20210822062306,20404935,,Chemistry,cs
306,Ugiova_reakce,1529748,,10770,20230414173907,22699228,,Chemistry,cs
308,Polymorfie,176979,,6311,20220814134828,21585514,,Chemistry,cs
318,Methylcyklohexan,1836872,,6700,20230619033830,22898159,,Chemistry,cs
319,Arne_Tiselius,682874,,2226,20230710034020,22962562,,Chemistry,cs
320,Flotace,320886,,1448,20210604110213,20016424,,Chemistry,cs
321,Analyt,195474,,359,20210804102047,20281952,,Chemistry,cs
322,Ketolátky,270613,,3017,20230413060709,22693369,,Chemistry,cs
325,Oxofilita,1784717,,5600,20221212105647,22212346,,Chemistry,cs
326,Skupina_odtahující_elektrony,1846313,,2043,20230406145825,22610611,,Chemistry,cs
327,"2,4,6-Triazido-1,3,5-triazin",1393504,,1614,20210804121914,20283908,,Chemistry,cs
328,Moseleyův_zákon,1835287,,6209,20230302203242,22509418,,Chemistry,cs
329,Thiosíran_amonný,707524,,3240,20221110191030,21868751,,Chemistry,cs
330,Fluoroform,717676,,9699,20220112135034,20823522,,Chemistry,cs
331,ChEBI,615655,,2729,20150216090118,12239354,,Chemistry,cs
332,2-arachidonoylglycerol,1474195,,11219,20230324142226,22571469,,Chemistry,cs
333,Bohrium,61560,,4295,20210807113955,20322827,,Chemistry,cs
334,Difluorid_kyslíku,33696,,4827,20210806062519,20303829,,Chemistry,cs
335,5-MeO-DMT,425744,,4185,20220520075825,21293248,,Chemistry,cs
339,Želatina,33914,,1992,20230612124433,22879377,,Chemistry,cs
340,Rektifikace_(chemie),950436,,1858,20210811063734,20380629,,Chemistry,cs
341,Částečná_syntéza,1740634,,5818,20230404092023,22601799,,Chemistry,cs
342,Nukleofilní_substituce,1299487,,7909,20230221104328,22475534,,Chemistry,cs
343,Berkelium,59743,,5167,20210918150533,20482896,,Chemistry,cs
345,Mario_J._Molina,937768,,1587,20221129110552,22095385,,Chemistry,cs
348,Peroxodisíran_draselný,1335403,,4592,20220805155257,21560184,,Chemistry,cs
349,Aza-Copeův_přesmyk,1645356,,46374,20230204023923,22409419,,Chemistry,cs
350,Uhličitan_vápenatý,25798,,7248,20230510063753,22779909,,Chemistry,cs
352,Gerhard_Herzberg,1145799,,1991,20230710030200,22961510,,Chemistry,cs
353,Boritany,1612315,,9975,20221212095435,22210146,,Chemistry,cs
355,Kurt_Alder,141854,,3909,20230710025607,22961300,,Chemistry,cs
356,Petrolether,1600581,,2756,20220307233911,21011880,,Chemistry,cs
358,Pentachlorbenzen,218730,,3727,20210809054525,20358792,,Chemistry,cs
360,Biologická_makromolekula,31913,,4160,20230529023216,22836035,,Chemistry,cs
361,Metateze_enynů,1783214,,4308,20221212090202,22208380,,Chemistry,cs
362,Registrační_číslo_CAS,25519,,3199,20230625153255,22917886,,Chemistry,cs
364,Termolýza,1200356,,1189,20230509024131,22776148,,Chemistry,cs
365,Zeslabený_úplný_odraz,277311,,1799,20210808201919,20357145,,Chemistry,cs
366,Nemrznoucí_kapalina,570274,,6519,20211116190803,20644660,,Chemistry,cs
367,Amfoterita,1039676,,1202,20210804133332,20285169,,Chemistry,cs
369,Teoretické_patro,1001911,,855,20230118051415,22354226,,Chemistry,cs
370,Jod,6606,,12549,20230513221145,22790428,,Chemistry,cs
371,Iniciace_(chemie),1868261,,6099,20230723111442,22997071,,Chemistry,cs
372,Anizotropní_látka,193801,,1513,20220525095006,21323486,,Chemistry,cs
374,Substituent,589613,,8988,20230529032520,22836108,,Chemistry,cs
376,NHN,1393337,,1975,20190729211745,17519934,,Chemistry,cs
377,Irwin_Rose,288004,,1733,20221129083640,22082891,,Chemistry,cs
380,13._skupina,102373,,1501,20210718151807,20172625,,Chemistry,cs
382,Quantum_Dot,1850534,,4777,20230615142928,22889109,,Chemistry,cs
383,Diethylentriamin,510673,,1093,20210806062424,20303802,,Chemistry,cs
384,Seznam_chemiků,6304,,29410,20230526203306,22830627,,Chemistry,cs
386,Étardova_reakce,1766442,,7357,20221212100704,22210563,,Chemistry,cs
387,"1,4-dioxan",51502,,5868,20221216113749,22227984,,Chemistry,cs
388,Chemické_složení,99736,,750,20210808112915,20327143,,Chemistry,cs
391,Hnojivo,196736,,11854,20221104152633,21837202,,Chemistry,cs
393,Homopolymer,1139605,,884,20210719165212,20201876,,Chemistry,cs
395,Oxy-Copeův_přesmyk,1677654,,14546,20210808201826,20357105,,Chemistry,cs
399,Oktamer,781565,,793,20120314163833,8261626,,Chemistry,cs
400,Vazebná_energie,1857171,,6183,20230612160637,22879943,,Chemistry,cs
403,Tetrabrommethan,1269040,,4096,20210809132412,20369079,,Chemistry,cs
405,Louis_Nicolas_Vauquelin,1214185,,2440,20221124091650,21961698,,Chemistry,cs
406,Anhydrid,180951,,1881,20210804134404,20285441,,Chemistry,cs
408,Tetramethrin,463337,,3815,20230717140931,22982439,,Chemistry,cs
409,Propagace_řetězce,1868348,,1637,20230723200636,22998255,,Chemistry,cs
416,Michaelisova–Arbuzovova_reakce,1608503,,11464,20230505171202,22767826,,Chemistry,cs
418,Hantzschova_syntéza_pyridinů,1855617,,9845,20230523164243,22821587,,Chemistry,cs
419,Germanium,9761,,10125,20230425061223,22735819,,Chemistry,cs
420,Cetrimoniumbromid,389773,,3330,20211202120856,20692538,,Chemistry,cs
421,"Buta-1,3-dien",468002,,3328,20210805093049,20291576,,Chemistry,cs
427,2-fenylfenol,400333,,4958,20210925072929,20499032,,Chemistry,cs
428,Depozice_indukovaná_elektronovým_paprskem,1841145,,10901,20230409150715,22646497,,Chemistry,cs
429,Wilhelm_Ostwald,512098,,6929,20221127192527,22030360,,Chemistry,cs
431,Svante_Arrhenius,153103,,4606,20221125065903,21992080,,Chemistry,cs
432,Mezoiontové_karbeny,1664113,,16007,20220125085903,20870393,,Chemistry,cs
436,Přihlížející_ligand,1794824,,2094,20221212110306,22212590,,Chemistry,cs
438,Azeotrop,1001910,,1178,20221002150625,21730339,,Chemistry,cs
