number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Další_vzdělávání,1132722,,14931,20230609124838,22871214,,Education,cs
11,Euromobil,233651,,3847,20190619143719,17396854,,Education,cs
19,Terciární_vzdělávání,1218151,,9521,20230420120240,22720882,,Education,cs
27,Studium,351457,,2196,20220927075526,21715168,,Education,cs
28,Edukační_realita,1652524,,6640,20220507214813,21242224,,Education,cs
32,M-learning,346954,,19250,20220205060322,20905237,,Education,cs
35,Institut_světelného_designu,1474309,,5908,20220521055211,21298856,,Education,cs
36,Celoživotní_vzdělávání,1043661,,10692,20230126163347,22383591,,Education,cs
38,TrackTest,1176544,,3080,20190909070147,17629375,,Education,cs
41,Sociálně_znevýhodněný_žák,1731495,,5196,20230309172115,22530272,,Education,cs
43,Diagnostický_ústav,670328,,5843,20230309171913,22530245,,Education,cs
48,Vzdělávání,255668,,3630,20230609125227,22871226,,Education,cs
49,Domov_mládeže,1034681,,2367,20230127195517,22387068,,Education,cs
62,Cíle_vzdělávací_politiky,1501318,,11988,20230711143707,22966699,,Education,cs
63,Sdružení_rodičů_a_přátel_školy,824754,,2429,20210627122303,20105456,,Education,cs
64,Absolvent,267046,,1329,20220327220409,21081925,,Education,cs
66,Česká_škola_bez_hranic,641811,,1344,20190423181201,17171967,,Education,cs
67,Školství_v_Třebíči,1806254,,15763,20230318212122,22556200,,Education,cs
69,Povinná_školní_docházka,266091,,34912,20230514005707,22790565,,Education,cs
72,Školské_zařízení,123018,,26052,20230323194126,22569591,,Education,cs
75,Elixír_do_škol,1627979,,6757,20230517090531,22799438,,Education,cs
78,EUNI,1127014,,6076,20220622153240,21408226,,Education,cs
80,Finanční_gramotnost,620313,,19283,20221225153844,22263367,,Education,cs
83,Brána_jazyků_(vzdělávací_projekt),85004,,2793,20220722190724,21505830,,Education,cs
85,Evropský_parlament_mládeže,58446,,5328,20211219111207,20740546,,Education,cs
87,Sekundární_vzdělávání,1218152,,11319,20230723115800,22997210,,Education,cs
88,Selektivita_vzdělávacího_systému,1500141,,17311,20230114055645,22339616,,Education,cs
92,Rekvalifikace,274823,,2454,20221104082515,21835696,,Education,cs
93,Kolej_(vzdělávací_zařízení),1615735,,2319,20230126162904,22383569,,Education,cs
96,Vzdělanostní_mobilita,1731659,,9192,20220206090428,20908736,,Education,cs
99,Tutor,83460,,3644,20230707045133,22946070,,Education,cs
104,GAMSAT,581665,,1734,20190620005636,17400152,,Education,cs
107,Celostní_vzdělávání,1758284,,10606,20221212084835,22207519,,Education,cs
108,Vzdělávání_dospělých,1157199,,7168,20230126162508,22383559,,Education,cs
109,Nedělní_škola,383928,,5003,20210606201615,20044139,,Education,cs
111,Omluvný_list,910577,,881,20130826221713,10671976,,Education,cs
118,Školství,1386713,,10370,20221212091255,22209076,,Education,cs
120,Kirkpatrickův_model,1564477,,2328,20220830164907,21634367,,Education,cs
127,Národní_institut_pro_další_vzdělávání,1243337,,4738,20201030123134,19119250,,Education,cs
128,Podnikové_vzdělávání,347035,,8280,20220320194309,21056590,,Education,cs
130,UK_media,179965,,4476,20211105160347,20612307,,Education,cs
132,Semestr,678195,,528,20200329191911,18327804,,Education,cs
134,Jesuit_Forum_for_Social_Faith_and_Justice,1583375,,1130,20220108134449,20807258,,Education,cs
135,Odklad_povinné_školní_docházky,1855293,,17821,20230523043738,22818908,,Education,cs
141,Základní_škola,896,,8403,20230126163433,22383594,,Education,cs
143,Učení,33067,,6888,20230327141404,22580016,,Education,cs
148,Heutagogika,1132969,,5883,20210806102952,20309175,,Education,cs
152,Katedrální_škola,1651016,,4555,20221004210117,21738307,,Education,cs
156,Počáteční_vzdělávání,1501368,,6333,20210515055633,19879406,,Education,cs
157,Potvrzení_o_studiu,832191,,1627,20230111005440,22326473,,Education,cs
159,Výchova_nadaných_dětí,1271245,,5460,20220714101911,21468882,,Education,cs
161,Projekt_EU_peníze_školám,569896,,5249,20230228155634,22503020,,Education,cs
169,Nadační_fond_Neuron_na_podporu_vědy,1361492,,5547,20221128111510,22055144,,Education,cs
171,Autoregulace_učení,47620,,3660,20221212084642,22207398,,Education,cs
176,Konstrukční_cvičení,759641,,1515,20220616210614,21393715,,Education,cs
177,OpenCourseWare,353052,,1119,20220819204950,21604104,,Education,cs
179,Interkulturní_vzdělávání,363079,,3660,20200613122937,18693240,,Education,cs
183,Základy_společenských_věd,289246,,670,20220425141851,21193325,,Education,cs
186,ATHENS,1401930,,3926,20200229201810,18204118,,Education,cs
188,Student,288170,,4905,20220912095552,21669716,,Education,cs
191,Xavier_University_(Cincinnati),1578250,,1297,20210515031320,19872297,,Education,cs
193,Profesor,7475,,60084,20230707045133,22946073,,Education,cs
195,Lektor_(pedagog),1208621,,1085,20230707045133,22946064,,Education,cs
196,International_Standard_Classification_of_Education,964613,,7443,20230126163146,22383584,,Education,cs
198,Dropout,1729083,,10309,20230701192233,22933191,,Education,cs
203,Diplomas_de_Español_como_Lengua_Extranjera,197154,,2654,20221212085021,22207627,,Education,cs
205,Wirtschaftsförderungsinstitut,979322,,10612,20230511071055,22782812,,Education,cs
210,Virtuální_univerzita_třetího_věku,1382294,,4413,20210810183845,20379353,,Education,cs
214,Studijní_neúspěšnost,1501386,,11489,20220405123225,21114649,,Education,cs
217,Sumativní_hodnocení,1393716,,4378,20210808171459,20345674,,Education,cs
232,SCORM,62914,,1780,20190614123406,17359989,,Education,cs
233,Zdravá_škola,1456138,,8722,20230704195235,22941325,,Education,cs
238,European_Teacher_Education_Network,1642645,,3223,20230601150854,22848551,,Education,cs
245,Peer_assessment,1456137,,10041,20220404205615,21111775,,Education,cs
255,Blended_learning,62918,,14741,20221113072033,21877316,,Education,cs
256,Rabínský_seminář,1608179,,3031,20220819203505,21604069,,Education,cs
258,Středoškolská_odborná_činnost,362298,,10610,20211222103414,20750045,,Education,cs
259,Vysokoškolský_studijní_program,818341,,7649,20210515070228,19881264,,Education,cs
261,Komunitní_knihovna,1156286,,5839,20210808143226,20336945,,Education,cs
272,Otevřená_univerzita,1154929,,4726,20230225134534,22493655,,Education,cs
273,Institut_pro_sociální_a_ekonomické_analýzy,336223,,4361,20200619104639,18719861,,Education,cs
279,Začínající_učitel,1242592,,6976,20221201003253,22164955,,Education,cs
286,Gerontopedagogika,957212,,9245,20230126163046,22383581,,Education,cs
296,Otevřené_vzdělávání,1722646,,19759,20230622182954,22909970,,Education,cs
299,Primární_vzdělávání,25939,,4654,20220408195826,21127506,,Education,cs
300,Maturita,40802,,38038,20230611213422,22877838,,Education,cs
303,Distanční_vzdělávání,941872,,19397,20230520113733,22809528,,Education,cs
306,Škola,24524,,6208,20230411172348,22689617,,Education,cs
315,Školský_úřad,251537,,17911,20230322222338,22567380,,Education,cs
322,Světová_škola,1608636,,1683,20230117162516,22352692,,Education,cs
327,Univerzita,3201,,23973,20230126163732,22383603,,Education,cs
329,Spádová_škola,1392281,,9399,20230601131640,22848313,,Education,cs
335,John_Hattie,1687970,,4121,20230624144622,22915421,,Education,cs
338,Certifikovaná_zkouška_z_češtiny_pro_cizince,1569521,,8974,20230330015720,22587340,,Education,cs
342,Scio,220221,,10482,20230710055625,22962938,,Education,cs
344,Skautská_výchovná_metoda,840466,,11177,20230619081739,22898488,,Education,cs
