number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,BNC_konektor,912551,,4727,20211224232755,20756706,,Engineering,cs
11,Bezpečnostní_pás,122931,,10034,20221003185530,21734316,,Engineering,cs
13,Let_za_viditelnosti,1003142,,1355,20220521113529,21301332,,Engineering,cs
14,Výstražný_radiolokační_přijímač,1851998,,5311,20230505160724,22767748,,Engineering,cs
21,Lakovaný_měděný_drát,707356,,5609,20220305061449,21000795,,Engineering,cs
22,Rapid_Application_Development,1355288,,5486,20221126215222,22026438,,Engineering,cs
24,Elektroohřev,936702,,12394,20230713111123,22973158,,Engineering,cs
28,Táhlo,185928,,1979,20171214002901,15643535,,Engineering,cs
29,Rychloměr,460593,,3592,20221225204328,22263990,,Engineering,cs
33,Elektromagnetické_relé,37273,,5929,20221111172616,21872756,,Engineering,cs
35,Bagr_na_kolovém_podvozku,510661,,1822,20200605152346,18615710,,Engineering,cs
45,Vačková_hřídel,24432,,1340,20210601112138,19987763,,Engineering,cs
52,Hydrodynamický_mechanismus,795641,,2433,20220206155028,20910625,,Engineering,cs
53,Plynová_vzpěra,1161884,,2040,20210809063408,20359621,,Engineering,cs
60,Třída_zatížení_poklopů,1404336,,1310,20180802153955,16284765,,Engineering,cs
62,Voltampérová_charakteristika,265220,,5216,20220521212500,21309454,,Engineering,cs
64,Varistor,83707,,2241,20171004110404,15397920,,Engineering,cs
65,Ejektor,798754,,1868,20151004014356,12937810,,Engineering,cs
68,Turbodmychadlo,11875,,19758,20230510211631,22782247,,Engineering,cs
71,Monica_(radar),1727694,,8442,20221231143047,22282967,,Engineering,cs
73,Nýtovací_matice,306610,,1387,20190613041229,17348671,,Engineering,cs
76,Excelsior_(motorový_pluh),1442762,,2545,20190818172158,17572966,,Engineering,cs
79,Hlavní_cirkulační_čerpadlo,1562602,,7780,20230421203216,22727742,,Engineering,cs
85,Sériový_elektromotor,78165,,20507,20230517124400,22800007,,Engineering,cs
90,Sběrný_kroužek,336685,,2117,20230528052023,22833184,,Engineering,cs
93,Rotační_vakuová_odparka,1331309,,2131,20210809092500,20363254,,Engineering,cs
101,Maximální_relé,456020,,1343,20230601055609,22846857,,Engineering,cs
104,Korunka_(součást_hodinek),409003,,1125,20110718123420,7155756,,Engineering,cs
108,Hydraulický_lis,186787,,1723,20220402193926,21101884,,Engineering,cs
112,Ústav_pro_výzkum_radiotechniky_Opočínek,1063873,,3593,20230701202049,22933576,,Engineering,cs
114,Výroba_ozubených_kol,470485,,8124,20220212214819,20932401,,Engineering,cs
122,Elektromagnet,154453,,2310,20230413155648,22695338,,Engineering,cs
126,Svařovací_transformátor,44187,,733,20191004190855,17699301,,Engineering,cs
130,Tryska,300976,,636,20210808182630,20350530,,Engineering,cs
138,Mechanické_namáhání,1263185,,7831,20230116152231,22348851,,Engineering,cs
143,Ventil,22935,,8123,20211114190318,20639475,,Engineering,cs
153,Magneto,670572,,3809,20230614140515,22885970,,Engineering,cs
154,Elektrojiskrové_obrábění,808524,,7740,20230305093631,22517027,,Engineering,cs
159,Pero_(strojní_součástka),434309,,4662,20161206180112,14416421,,Engineering,cs
161,Pertinax_(materiál),413689,,2339,20230530143503,22842497,,Engineering,cs
163,Teslova_turbína,182880,,1124,20210808175424,20348293,,Engineering,cs
166,Zatáčkoměr,97543,,2534,20220925153245,21710877,,Engineering,cs
167,Zdroj_nepřerušovaného_napájení,55320,,8295,20221111200745,21873219,,Engineering,cs
169,Odstředivý_spínač,210576,,1370,20210808140331,20335209,,Engineering,cs
185,Statik,857065,,3348,20211217094303,20734779,,Engineering,cs
190,Lokomotivní_rozvody,6682,,5657,20230103111748,22294318,,Engineering,cs
