number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Spaření,890653,,1940,20230215100115,22450259,,Food and drink,cs
4,Latte_art,240945,,8215,20220411113113,21152761,,Food and drink,cs
5,Kombucha,366667,,11639,20230311213639,22536137,,Food and drink,cs
8,Psí_maso,447040,,12422,20230404213404,22603526,,Food and drink,cs
9,Bezová_šťáva,689066,,1106,20221111162323,21872619,,Food and drink,cs
10,Koňak,308658,,4828,20210808174238,20347247,,Food and drink,cs
11,Eintopf,147337,,9243,20230515054823,22793609,,Food and drink,cs
12,Barman,309337,,1736,20220722143435,21504664,,Food and drink,cs
13,Blanšírování,482591,,2089,20221110141026,21867730,,Food and drink,cs
15,Big_Smoke_Burger,1721440,,1676,20230423183621,22732705,,Food and drink,cs
16,Kandované_ovoce,209002,,2026,20220108132436,20807199,,Food and drink,cs
17,Český_modrý_mák,1697462,,8194,20221222220438,22253405,,Food and drink,cs
19,Sodovka,428930,,6124,20230629110245,22927002,,Food and drink,cs
21,Pískavice_modrá,1306009,,3510,20210809060706,20359287,,Food and drink,cs
22,Jablečný_koncentrát,890499,,2748,20190620194854,17406917,,Food and drink,cs
24,Hadí_víno,509175,,1374,20230106211009,22310985,,Food and drink,cs
27,Luštěniny,190687,,4876,20230607072052,22863604,,Food and drink,cs
36,Restaurace_(pohostinství),330512,,3443,20230617041933,22892624,,Food and drink,cs
37,Josta,446361,,3497,20230719203600,22988880,,Food and drink,cs
38,Odpolední_svačina,934811,,1267,20200306194430,18232815,,Food and drink,cs
39,Čirůvka_havelka,1068921,,9569,20221023161502,21793696,,Food and drink,cs
40,Godži,1094059,,55449,20230405214038,22609142,,Food and drink,cs
43,Zmrzlinový_pohár,456316,,620,20210601113320,19987981,,Food and drink,cs
44,Supreme_(vaření),1449089,,701,20211001194417,20515597,,Food and drink,cs
45,Flambování,404,,1566,20221212100929,22210653,,Food and drink,cs
46,Vaječný_likér,1287875,,3469,20221225151339,22263304,,Food and drink,cs
47,Servis_(nádobí),631349,,2935,20181217125354,16786141,,Food and drink,cs
48,Slow_Food,486498,,4147,20220313175045,21031231,,Food and drink,cs
49,Tofu,28893,,3887,20230630133451,22929872,,Food and drink,cs
50,Gastronomická_pravidla,1277109,,3489,20210718191450,20182772,,Food and drink,cs
51,Hřib_kovář_odbarvený,835118,,109,20120915095919,9026958,,Food and drink,cs
52,Umělé_maso,1494460,,17766,20230429104212,22748043,,Food and drink,cs
53,Larb,1669688,,2630,20220513205115,21268769,,Food and drink,cs
54,Kaki,62369,,6292,20220607095730,21364413,,Food and drink,cs
57,Meze_(předkrm),1237365,,1405,20210527170244,19944964,,Food and drink,cs
58,Seznam_řetězců_rychlého_občerstvení,285599,,2109,20230719074249,22986876,,Food and drink,cs
61,Carbonara,1285093,,3808,20230403122147,22599523,,Food and drink,cs
64,Orecchiette,1055847,,1301,20210908091543,20450878,,Food and drink,cs
65,Guacamole,1091295,,1577,20230305141012,22517999,,Food and drink,cs
66,Hřib_hnědý,319558,,4459,20230104224707,22302626,,Food and drink,cs
68,Kořenová_zelenina,15501,,2728,20230704104912,22940091,,Food and drink,cs
69,Sake,182297,,5026,20210809095505,20364012,,Food and drink,cs
70,Polotovar,834248,,2519,20220313180747,21031283,,Food and drink,cs
72,Korejské_nudle,1298936,,4654,20210513221630,19834298,,Food and drink,cs
74,Menu,192431,,1509,20210719130639,20199811,,Food and drink,cs
76,Surströmming,1463778,,3625,20230708105424,22953374,,Food and drink,cs
81,Jídelní_příbor,192440,,8998,20220810034205,21573378,,Food and drink,cs
82,Obloha_(gastronomie),1610981,,4842,20220313180222,21031267,,Food and drink,cs
83,Kisra_(pokrm),1556414,,1108,20220521201456,21307093,,Food and drink,cs
84,Smørrebrød,1463740,,1486,20221128130638,22064566,,Food and drink,cs
86,Palmové_víno,1270768,,3769,20220406213133,21122283,,Food and drink,cs
87,Strava_v_letecké_dopravě,207513,,4460,20221210203106,22202414,,Food and drink,cs
88,Šochet,300316,,2289,20221102124009,21825428,,Food and drink,cs
89,Pokrutiny,1118825,,2222,20211101165210,20600103,,Food and drink,cs
91,Tekka_Centre,1529780,,5695,20230201093409,22400007,,Food and drink,cs
92,Smažený_sýr,197902,,6376,20230715095350,22977620,,Food and drink,cs
93,Hřib_peprný,533101,,5881,20210806131437,20312922,,Food and drink,cs
97,Raut,707795,,2178,20220704091830,21439103,,Food and drink,cs
98,Cider,416640,,11232,20220630160329,21428210,,Food and drink,cs
99,Ingredience,819851,,572,20230627152204,22922880,,Food and drink,cs
100,Talíř,407484,,2482,20230204142904,22410500,,Food and drink,cs
101,Kumys,617435,,4836,20230102154704,22291418,,Food and drink,cs
104,Kávovina,404670,,4783,20230302102640,22507805,,Food and drink,cs
105,Mořské_plody,747452,,3945,20220830182335,21634615,,Food and drink,cs
106,Zrání_masa,392745,,1269,20230522211715,22818483,,Food and drink,cs
107,Kama_(jídlo),1498410,,2263,20230521143822,22812291,,Food and drink,cs
110,Sklenice,158993,,6866,20220427041310,21197439,,Food and drink,cs
112,Prahok,1643242,,924,20210607063651,20046588,,Food and drink,cs
113,Nízkosacharidová_dieta,1632313,,2196,20230704161554,22940828,,Food and drink,cs
114,Yogi_(čaj),311047,,1482,20190616201354,17372503,,Food and drink,cs
115,Ovoce,7810,,30738,20230627134330,22922697,,Food and drink,cs
116,Ovocný_strom,706307,,2857,20230518101940,22802338,,Food and drink,cs
118,Vodní_bilance,914484,,3487,20210214101437,19478899,,Food and drink,cs
119,Šiškovec_černý,538395,,4264,20220604202528,21357693,,Food and drink,cs
120,Nápojový_karton,648447,,4651,20221210135315,22201308,,Food and drink,cs
121,Černá_kuchyně,134117,,3696,20220322202627,21065990,,Food and drink,cs
122,Smažení,338,,2811,20230425174930,22737599,,Food and drink,cs
123,Mlíko,897333,,5485,20230106132902,22308956,,Food and drink,cs
124,Koláč,197885,,2207,20221212103128,22211469,,Food and drink,cs
127,Omáčka,120313,,2227,20230714133421,22975960,,Food and drink,cs
130,Sorbet,320309,,1912,20220823065911,21612656,,Food and drink,cs
131,Sójový_olej,526576,,1667,20210809111422,20366435,,Food and drink,cs
132,Vigna_hranatá,147670,,3852,20221124135211,21984125,,Food and drink,cs
134,Nápoj,111666,,5729,20230709151926,22960175,,Food and drink,cs
135,Lupina_žlutá,978260,,4600,20210805200430,20300480,,Food and drink,cs
136,Kuchařský_recept,323643,,1716,20230413124338,22694398,,Food and drink,cs
139,Fusion_kuchyně,458981,,1323,20230721214734,22994128,,Food and drink,cs
140,Pulque,56759,,2736,20221009100125,21749966,,Food and drink,cs
141,Tonik,431708,,3102,20210601111615,19987663,,Food and drink,cs
142,Zážitková_gastronomie,514683,,4952,20220309051359,21015411,,Food and drink,cs
143,Gastronomie,429,,5190,20221226132735,22265496,,Food and drink,cs
145,Konzervant,301796,,2912,20220614152703,21385315,,Food and drink,cs
148,Řecký_jogurt,770865,,1039,20221221080151,22245144,,Food and drink,cs
149,Trnka_(plod),591889,,2315,20230207132656,22421909,,Food and drink,cs
150,Lilek,201353,,23247,20230609231337,22872570,,Food and drink,cs
151,Liška_obecná_(houba),493331,,11597,20230410095100,22671321,,Food and drink,cs
153,Lišák_zprohýbaný,759413,,4568,20220807183406,21565386,,Food and drink,cs
154,Müsli,182376,,3124,20211101184808,20600685,,Food and drink,cs
155,Kukuřičné_lupínky,224389,,1396,20210602120048,19999274,,Food and drink,cs
156,Suzungkwa,564439,,708,20190514175448,17241732,,Food and drink,cs
160,Řezník,900540,,2000,20200608093747,18664408,,Food and drink,cs
161,Ochucovadlo,1197123,,1035,20221104194056,21837942,,Food and drink,cs
164,Plate_lunch,697197,,3786,20220419143328,21176072,,Food and drink,cs
167,Ptitim,1259687,,1889,20210515035538,19874121,,Food and drink,cs
168,Přípitek,1459242,,16354,20221004225201,21738721,,Food and drink,cs
170,Inca_Kola,1055376,,2325,20211028211011,20589293,,Food and drink,cs
171,Hlíva_ústřičná,336352,,10065,20220610123102,21374040,,Food and drink,cs
172,Aaruul,1479975,,8826,20220507190709,21238091,,Food and drink,cs
173,Šóčú,1235221,,2078,20220520104335,21296676,,Food and drink,cs
175,Sportovní_nápoj,914444,,3787,20220521210611,21308820,,Food and drink,cs
176,Ryngle,811989,,52,20130621182248,10434195,,Food and drink,cs
178,Entomofagie,314742,,11272,20230621111730,22904814,,Food and drink,cs
179,Topinka,143933,,1220,20230422215313,22730740,,Food and drink,cs
181,Václavka_obecná,730125,,4682,20230401133729,22594257,,Food and drink,cs
182,Bedla_vysoká,341718,,3886,20230512094441,22786729,,Food and drink,cs
183,Naši,266256,,2310,20230630133122,22929859,,Food and drink,cs
184,Pstřeň_dubový,640385,,6939,20210809075916,20361115,,Food and drink,cs
185,Frgál,463985,,4464,20230629004638,22926258,,Food and drink,cs
186,Pop-up_restaurace,1401639,,1743,20200524114904,18544927,,Food and drink,cs
188,Březový_sirup,752166,,1845,20210805092147,20291336,,Food and drink,cs
189,Listové_těsto,819788,,792,20230103191146,22296661,,Food and drink,cs
190,Medovina,154536,,14093,20230723125948,22997379,,Food and drink,cs
193,Ovocné_pivo,253209,,925,20220415143210,21163252,,Food and drink,cs
194,Club-Mate,888257,,2438,20221122161732,21925253,,Food and drink,cs
195,Dragon_fruit,399077,,13340,20230724164129,23000809,,Food and drink,cs
197,Bob_obecný,67121,,5902,20230619061742,22898266,,Food and drink,cs
198,Voskovka_šarlatová,1867858,,4457,20230722084216,22994695,,Food and drink,cs
199,Zakysaná_smetana,546442,,2131,20201022204824,19097988,,Food and drink,cs
200,Fritování,409,,3314,20210602100555,19995708,,Food and drink,cs
202,Bílý_rybíz,699475,,1926,20230427003134,22741743,,Food and drink,cs
204,Sekt,341785,,7450,20230222071824,22477900,,Food and drink,cs
208,Zabijačka,580688,,16643,20230421113446,22725012,,Food and drink,cs
209,Tabouleh,1463751,,3651,20230630212242,22930672,,Food and drink,cs
210,Kočičí_maso,704566,,2099,20221129052209,22072674,,Food and drink,cs
211,Trsnatec_lupenitý,622788,,3909,20220418090328,21172163,,Food and drink,cs
218,Vana_Tallinn,337924,,1736,20200728082749,18878786,,Food and drink,cs
219,Šampaňské_víno,224618,,16692,20230118032300,22354117,,Food and drink,cs
220,Holubinka_zlatá,677239,,3046,20220317045938,21042818,,Food and drink,cs
222,Hřibník_kaštanový,1802001,,4770,20221212101647,22210914,,Food and drink,cs
223,Rīgas_Melnais_balzams,382601,,2068,20230201085455,22399883,,Food and drink,cs
224,Chocodecor,809971,,1830,20190423181856,17172070,,Food and drink,cs
226,Caro_(nápoj),1328349,,1186,20220614150320,21385256,,Food and drink,cs
228,Plýtvání_potravinami_v_Číně,1593762,,5952,20220329042802,21086019,,Food and drink,cs
231,Fazol_obecný,330452,,3014,20230524091641,22823496,,Food and drink,cs
232,Fusilli,780636,,2747,20221219133132,22238959,,Food and drink,cs
233,Kuchyňka_(místnost),1640064,,1343,20201126102418,19204459,,Food and drink,cs
234,Žloutek,349783,,13372,20230103121421,22294633,,Food and drink,cs
236,Bourbon_(whiskey),768839,,929,20220505114743,21221172,,Food and drink,cs
237,Turón,1068575,,977,20220617063457,21394655,,Food and drink,cs
238,Backerbse,258046,,4096,20220507195359,21239330,,Food and drink,cs
239,Brusnice_chocholičnatá,501648,,3285,20220520061050,21290117,,Food and drink,cs
241,Vla,477083,,931,20210603104157,20008788,,Food and drink,cs
242,Cibulová_zelenina,556147,,1099,20210923095854,20494312,,Food and drink,cs
245,Crème_fraîche,302128,,1851,20190814171647,17563625,,Food and drink,cs
247,Černý_česnek,1259480,,644,20170915062558,15322051,,Food and drink,cs
249,Výčepní_zařízení,447964,,5064,20221212091551,22209272,,Food and drink,cs
253,Lupina_bílá,644716,,7526,20221212104032,22211784,,Food and drink,cs
254,Kahlúa,1553953,,2105,20230202100451,22403239,,Food and drink,cs
255,Fejchoa,1017136,,2776,20230413162854,22695512,,Food and drink,cs
256,Jablečný_závin,302588,,4153,20230402200023,22597995,,Food and drink,cs
257,Ryzec_pravý,51707,,7487,20210809093948,20363603,,Food and drink,cs
260,Dušení_(vaření),337,,1253,20230522182414,22815898,,Food and drink,cs
261,Salep,160587,,2338,20220929114310,21721383,,Food and drink,cs
263,Potravina,254339,,17532,20230625124514,22917380,,Food and drink,cs
264,Tatratea,1643764,,8688,20230725203426,23004250,,Food and drink,cs
