number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Rumélie,1463001,,9772,20221201131619,22166928,,History,cs
5,Karađorđevićové,282519,,19860,20230417132620,22710040,,History,cs
11,Říšský_kraj,1033823,,30983,20230511224921,22785424,,History,cs
14,Dějiny_Asie,4347,,2125,20230328192216,22584293,,History,cs
24,Dynastie_Muhammada_Alího,409685,,4619,20220810192912,21575647,,History,cs
26,Seznam_státních_převratů_a_pokusů_o_převrat,1303902,,82657,20230627174955,22923153,,History,cs
28,Raní_Kyrgyzové,922397,,36571,20220517041550,21276832,,History,cs
33,Brazilské_království,547861,,5628,20220619112034,21400025,,History,cs
35,Federace_Rhodesie_a_Ňaska,813126,,4504,20211220184736,20745199,,History,cs
37,Království_Hidžázu_a_Nadždu,446984,,3791,20230106080226,22307700,,History,cs
38,Středověká_archeologie,22569,,2712,20220828183336,21628239,,History,cs
41,Zemědělství_v_Jugoslávii,1002784,,5794,20230403183007,22600553,,History,cs
45,Sultanát_Demak,1696431,,3621,20221101133531,21822420,,History,cs
48,Mongolská_říše,433162,,17981,20230724100445,22999630,,History,cs
53,Dacia_Traiana,1735575,,5059,20230513180342,22790000,,History,cs
54,Florentské_letopisy,21817,,1917,20171024115120,15496015,,History,cs
55,Ivan_Foletti,1567856,,9482,20230709070708,22956257,,History,cs
56,Acht,483418,,3219,20210718153416,20173295,,History,cs
63,Hanza,4442,,8680,20230710194916,22964778,,History,cs
70,Dějiny_Indie,291405,,34839,20230610210627,22874758,,History,cs
73,Regesta_Imperii,788525,,3239,20190614060525,17357442,,History,cs
74,Jihoslovanský_výbor,644926,,1831,20230606034656,22859625,,History,cs
75,Dynastie_Petrovićů-Njegošů,282522,,9797,20220528111607,21335744,,History,cs
79,Farida_Egyptská,1363137,,5211,20221128110347,22054093,,History,cs
83,Dějiny_Jemenu,426128,,30911,20221214091708,22220935,,History,cs
84,Agoti,344806,,3342,20230511104313,22783602,,History,cs
85,Illinois_(země),1665610,,5759,20210504133144,19792066,,History,cs
86,Hasmonejci,459230,,4295,20230701202410,22933619,,History,cs
87,Koncentrační_tábor_Crveni_krst,906808,,3334,20200619115902,18724863,,History,cs
91,Saadové,325529,,6647,20221212090938,22208857,,History,cs
93,Řád_dubu,392281,,2255,20210609154333,20055639,,History,cs
99,30._století_př._n._l.,142748,,1595,20210623140920,20095754,,History,cs
102,Království_Algarves,1752541,,5545,20230509154451,22777905,,History,cs
103,Latinské_císařství,197738,,19639,20221003085222,21732539,,History,cs
107,Knihovny_starověku,382455,,1812,20220521201540,21307117,,History,cs
108,Byzantologie,839354,,3880,20230424124939,22734394,,History,cs
110,Dějiny_Íránu,272868,,39613,20230724183026,23005836,,History,cs
111,Nezávislá_vláda_Západní_Thrákie,1274999,,9214,20220127014256,20876566,,History,cs
116,Paleografie,19468,,10197,20210131180010,19426614,,History,cs
117,Għar_Dalam,178587,,2932,20230702135707,22935601,,History,cs
124,Marsové_(Itálie),1857426,,12957,20230601085333,22847419,,History,cs
131,Hagia_Tekla,1801649,,3875,20221211231152,22206302,,History,cs
134,Bosenský_ejálet,1296603,,21013,20210913094212,20470279,,History,cs
139,Emfyteuze,39410,,5706,20230513194114,22790199,,History,cs
143,Seznam_bulharských_panovníků,475100,,9187,20230711071308,22965437,,History,cs
145,Rím-Sín,333514,,3927,20230708170638,22953989,,History,cs
149,Kastilské_království,544922,,6695,20211029131245,20590612,,History,cs
150,7._století_př._n._l.,16055,,1113,20220520080403,21293303,,History,cs
160,Dahijové,601352,,2830,20170121135357,14593837,,History,cs
163,Khmérská_říše,493470,,3705,20230608042132,22866431,,History,cs
165,Dalmácie_(stát),1620337,,5090,20221208105921,22192367,,History,cs
168,Prilepské_panství,1435901,,3357,20211012125703,20543578,,History,cs
171,Starověk,10151,,87131,20230210042720,22432436,,History,cs
173,Kulturní_statek,1581428,,2048,20210605183456,20026843,,History,cs
182,Beneš_Veliký_z_Vartenberka,1345592,,4076,20220814213208,21586583,,History,cs
183,Triballové,745551,,906,20230606160629,22861594,,History,cs
185,Středověké_dějiny_Srbska,591726,,38854,20220114132453,20831052,,History,cs
192,Džajavarman_VII.,366868,,1830,20190730141956,17526457,,History,cs
193,Hérodotos,6870,,10447,20230331093159,22591139,,History,cs
194,Středověk,7806,,16621,20230323125058,22568661,,History,cs
196,Počátky_zemědělství_na_Blízkém_východě,1450240,,5971,20220311094917,21024368,,History,cs
198,Emirát_Transjordánsko,499973,,11883,20221128022116,22031274,,History,cs
200,Balkánský_svaz,879111,,1320,20230402073518,22595908,,History,cs
203,Vnitřní_makedonská_revoluční_organizace,400710,,8159,20230612041347,22878156,,History,cs
206,Nechorvatské_obyvatelstvo_v_NDH,681121,,6096,20210514032139,19848392,,History,cs
207,Kačanická_ústava,861896,,2291,20121212093425,9422457,,History,cs
212,Dějiny_Vietnamu,845629,,17128,20220123222909,20866416,,History,cs
215,Ludvík_II._Durynský,1678754,,5555,20230206002959,22414738,,History,cs
216,Caesarea_Philippi,388101,,3905,20220220142752,20960909,,History,cs
223,Kalmarská_unie,34848,,6327,20230129134635,22391230,,History,cs
230,Antika,10197,,2167,20221208125337,22192781,,History,cs
232,Kuronské_a_zemgalské_vévodství,417098,,4690,20230125135915,22380566,,History,cs
240,Řád_rytířů_sv._Jiří_z_Alfamy,355235,,2466,20230401213607,22595388,,History,cs
249,Silniční_aféra,399249,,4684,20210908114652,20451473,,History,cs
254,Moesie,157873,,5416,20230719140253,22988218,,History,cs
259,Francouzský_mandát_Sýrie_a_Libanonu,1142197,,4488,20221122140317,21924825,,History,cs
262,Norské_království_(872–1397),1266447,,22806,20230317222451,22554010,,History,cs
263,Jihoosetská_autonomní_oblast,339035,,8512,20220420121409,21178181,,History,cs
265,Sakalavská_říše_Menabe,818259,,3181,20221007073322,21745214,,History,cs
269,Šrívidžaja,324435,,5191,20230706110908,22944611,,History,cs
273,Quintus_Fabius_Pictor,1383761,,2143,20221116114459,21894253,,History,cs
274,Habsburské_Nizozemí,385548,,3641,20230509112724,22777223,,History,cs
278,Arménské_království,1537704,,11629,20230525023419,22825529,,History,cs
280,Marie_Bláhová,36568,,4001,20230709091517,22958276,,History,cs
286,Šineár,343610,,2351,20141010211600,11912414,,History,cs
293,Období_Nanbokučó,301534,,3057,20230202230716,22405833,,History,cs
298,Dějiny_Kypru,1698392,,63816,20230723161405,22997690,,History,cs
302,Africké_království,1793264,,4306,20230612130931,22879436,,History,cs
304,Lazika,819227,,8401,20220917133614,21686236,,History,cs
307,Sogdiana,465409,,8733,20220125112442,20870932,,History,cs
308,Flanderské_hrabství,414647,,4853,20230329064013,22584857,,History,cs
310,Novoasyrská_říše,491275,,21736,20230629135052,22927448,,History,cs
313,Cempoala,1531873,,3264,20230110132354,22323788,,History,cs
314,Duklja,1614624,,4077,20220608074011,21366979,,History,cs
319,Kniha_z_Kellsu,713660,,4836,20221128074246,22037365,,History,cs
321,Seznam_míšeňských_purkrabích,1035440,,14647,20230710115313,22963593,,History,cs
323,Bosenský_vilájet,1296633,,6108,20230316123438,22549529,,History,cs
326,Ajdinský_bejlik,1512438,,2794,20230107002358,22311417,,History,cs
327,Kolchidská_kultura,826483,,1258,20210604180124,20020821,,History,cs
332,Seznam_savojských_panovníků,513552,,6386,20210426175233,23005300,,History,cs
336,Ussherova_chronologie,186607,,18407,20220905143828,21649161,,History,cs
339,Gruzínské_království,479289,,16685,20230611003600,22875188,,History,cs
342,Období_Jamato,1822254,,23376,20230618131926,22896631,,History,cs
343,Litevská_sovětská_socialistická_republika,13715,,4929,20230523174145,22821757,,History,cs
347,Říše,29556,,12106,20220330154024,21092491,,History,cs
350,Khmerská_republika,753902,,2035,20220218152611,20954536,,History,cs
353,Období_Heian,448120,,12163,20230618103847,22896265,,History,cs
355,Chetité,20791,,20586,20230208213818,22429010,,History,cs
356,Vojinovićové,1249626,,3911,20220608070605,21366812,,History,cs
365,Guančové,317792,,10347,20230628085402,22924334,,History,cs
367,Privilegium_fori,587028,,946,20170925102715,15349275,,History,cs
369,Indoparthské_království,358462,,2131,20220220142636,20960903,,History,cs
371,Gesalich,74047,,1399,20221116120909,21895664,,History,cs
373,35._století_př._n._l.,156818,,881,20191212171252,17939462,,History,cs
