number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Historismus_(lingvistika),410422,,1813,20221214102257,22221116,,Linguistics,cs
2,Germánský_futhark_prostý,135510,,6262,20230111135828,22328794,,Linguistics,cs
5,Blend,397339,,6460,20230605205500,22859305,,Linguistics,cs
9,Plautdietsch,407895,,5712,20220427152355,21199289,,Linguistics,cs
10,České_samohlásky,240638,,14829,20211221120030,20747648,,Linguistics,cs
11,Tónový_jazyk,151094,,14339,20230316091546,22548807,,Linguistics,cs
12,Deskriptivní_lingvistika,1248426,,1203,20210806061550,20303606,,Linguistics,cs
13,Palatalizace,129724,,4041,20210731100946,20258384,,Linguistics,cs
16,Diglosie,126832,,2361,20210719114841,20197771,,Linguistics,cs
17,Kardinální_vokály,960017,,1803,20230518104914,22802436,,Linguistics,cs
21,Komunikát,94362,,1293,20221113181701,21879465,,Linguistics,cs
22,Úřední_jazyk,3219,,15304,20230311225943,22536256,,Linguistics,cs
26,Samohláska,104272,,15291,20230518105929,22802628,,Linguistics,cs
27,Polyglota,20758,,2059,20201212140829,19255513,,Linguistics,cs
28,Jmenný_rod,89758,,9863,20220105130941,20791824,,Linguistics,cs
33,Makaronština,262570,,2679,20210808124603,20330928,,Linguistics,cs
36,Směr_psaní,745915,,762,20230609125708,22871234,,Linguistics,cs
37,Slovo,33659,,39577,20230313153345,22541112,,Linguistics,cs
39,Negramatická_věta,94059,,1362,20221212090339,22208483,,Linguistics,cs
40,Tlumočení,292,,11220,20220528063848,21332304,,Linguistics,cs
42,Marrismus,1102168,,15815,20221127191253,22029999,,Linguistics,cs
43,Grafém,147661,,1724,20220225104245,20976147,,Linguistics,cs
47,Homonymum,34902,,6450,20230602084726,22850019,,Linguistics,cs
49,Pleonasmus,8051,,7569,20230712084230,22968066,,Linguistics,cs
50,Lakuna,1850350,,2211,20230426203655,22741506,,Linguistics,cs
51,Faryngalizace,743515,,2608,20210806082426,20306153,,Linguistics,cs
52,Denotace,409860,,2292,20221127190526,22029715,,Linguistics,cs
53,Polootevřená_střední_zaokrouhlená_samohláska,514583,,606,20230506200045,22770424,,Linguistics,cs
54,Slovník,68467,,4449,20230305163131,22518587,,Linguistics,cs
55,Mezinárodní_pomocný_jazyk,257750,,5299,20210719071210,20187530,,Linguistics,cs
58,Barbarismus,1172623,,1301,20230605093007,22856860,,Linguistics,cs
61,Nářečí,80144,,4516,20230220184842,22473994,,Linguistics,cs
62,Slovenská_hláskovací_tabulka,1014764,,2111,20210324002238,19643168,,Linguistics,cs
64,Multilingvismus,724844,,18055,20230609114040,22871033,,Linguistics,cs
65,Metateze_(lingvistika),655460,,1201,20220720140208,21483521,,Linguistics,cs
66,Sociolingvistika,753900,,42757,20230622063919,22907320,,Linguistics,cs
68,Fonologie_švédštiny,154149,,26658,20220520062111,21290540,,Linguistics,cs
70,Struktura,125298,,4818,20221103140623,21831282,,Linguistics,cs
71,Onikání,213159,,3102,20230622110213,22908887,,Linguistics,cs
72,Kontronymum,1433648,,3287,20221014182658,21767081,,Linguistics,cs
73,Metoda_Michela_Thomase,561165,,6066,20210717224841,20166039,,Linguistics,cs
75,Spona_(sloveso),794950,,744,20230708181112,22954166,,Linguistics,cs
76,Mikmacké_hieroglyfy,1548910,,5353,20210719071124,20187509,,Linguistics,cs
77,Násloví,825148,,2435,20210511120553,19816429,,Linguistics,cs
80,Ambigram,53464,,920,20221212012015,22206880,,Linguistics,cs
82,Polylog,1168604,,957,20230317065823,22551743,,Linguistics,cs
84,Hyperonymum,75288,,3221,20230611095716,22876060,,Linguistics,cs
85,Mora_(lingvistika),1041172,,3109,20210719091700,20192193,,Linguistics,cs
93,Adamův_jazyk,1313137,,1469,20220626170259,21418482,,Linguistics,cs
97,Model_monitoru,1716240,,20667,20220519133734,21286074,,Linguistics,cs
100,Znělost,103580,,2264,20210719111755,20196545,,Linguistics,cs
107,Slogan,323409,,1255,20230101113633,22285464,,Linguistics,cs
110,Fonologie_norštiny,295840,,13343,20210528201227,19968942,,Linguistics,cs
113,Pojmová_metafora,1056460,,14143,20210808150000,20338746,,Linguistics,cs
115,Polysyntetický_jazyk,754657,,5387,20210809065031,20359960,,Linguistics,cs
116,Zápor,268056,,5933,20210803140132,20279044,,Linguistics,cs
118,Tây_Bồi,1305444,,2731,20220130160401,20888970,,Linguistics,cs
119,Teoretická_lingvistika,1248418,,595,20210808174947,20347891,,Linguistics,cs
