number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Seznam_středověkých_hudebních_kodexů,1293161,,15304,20190312204752,17039701,,Literature,cs
2,Medvídek_Pú,177107,,17562,20230510182903,22781707,,Literature,cs
3,ToP_(tlumočení-překlad),398229,,916,20221214093218,22220980,,Literature,cs
7,Mester_de_Juglaría,290125,,1542,20170411134708,14896187,,Literature,cs
8,Klaus_Baudelaire,409766,,6853,20221014163207,21766771,,Literature,cs
9,Anton_Goroděckij,269216,,1364,20130728212635,10581988,,Literature,cs
10,Elegie,70653,,1939,20220520092410,21295115,,Literature,cs
11,Fantastika,31999,,28257,20220629115630,21424797,,Literature,cs
12,Autobiografie,166746,,19044,20230324090358,22570680,,Literature,cs
14,Horizontální_členění_textu,319452,,3423,20210513223618,19835305,,Literature,cs
16,CO-JAK-PROČ,419814,,1377,20210805113518,20293386,,Literature,cs
17,Večery_pod_lampou,1481077,,4512,20230512061834,22785844,,Literature,cs
18,Fotokomiks,572704,,2991,20220515081103,21271903,,Literature,cs
19,Bella_Swanová,1501083,,1754,20210805110848,20292694,,Literature,cs
23,Popelka,22810,,9748,20230426133628,22740140,,Literature,cs
24,Škola_Kung-an,1536243,,5194,20220921112555,21697587,,Literature,cs
25,Rubrika,34370,,1444,20230707195022,22952462,,Literature,cs
28,Román_rodinného_života,306570,,1330,20220122165644,20862282,,Literature,cs
29,Literární_teorie,142889,,34655,20230629095856,22926861,,Literature,cs
31,Francouzská_literatura,6208,,27396,20230610023828,22872647,,Literature,cs
32,Postavy_z_děl_Karla_Maye,79299,,30644,20230304210301,22516115,,Literature,cs
33,Vyprávění,305079,,2000,20220605104446,21358760,,Literature,cs
35,Překlad,293,,2448,20221129190231,22109765,,Literature,cs
36,Fanouškovské_titulkování,1153928,,2551,20220419190644,21176758,,Literature,cs
37,Literární_interpretace,513713,,9696,20210901212242,20436827,,Literature,cs
39,9_1⁄2_týdne_(kniha),1506954,,8225,20220314131403,21033061,,Literature,cs
42,Velký_Vont,566109,,1379,20210501143502,19780566,,Literature,cs
43,Science_fiction,7831,,6527,20230114060754,22339626,,Literature,cs
44,Biografický_román,1579887,,1718,20221212095310,22210107,,Literature,cs
46,Martyrologium_Hieronymianum,1761234,,2714,20220601083810,21347281,,Literature,cs
48,Epilog,303533,,1380,20221109150553,21861932,,Literature,cs
49,Socialistický_realismus_(literatura),1727804,,33035,20230516091339,22796805,,Literature,cs
52,Recepční_estetika,184987,,1128,20171004125759,15403209,,Literature,cs
53,C._Auguste_Dupin,570327,,1953,20210602090620,19993778,,Literature,cs
54,Knížky_lidového_čtení,258108,,7759,20210824174650,20412009,,Literature,cs
59,Wellington_Yueh,229229,,5870,20220528152734,21336421,,Literature,cs
60,True_crime,1433650,,2083,20220304123650,20998537,,Literature,cs
64,Abraham_Van_Helsing,649737,,2382,20210804120546,20283627,,Literature,cs
65,Drabble,630497,,431,20210806065610,20304498,,Literature,cs
68,Brouk_Pytlík,63425,,23549,20221221055615,22244951,,Literature,cs
69,Military_science_fiction,23987,,5079,20220923164252,21705066,,Literature,cs
71,Literatura_v_livonštině,888878,,7446,20220124194720,20869151,,Literature,cs
72,Chua-pen,1220534,,8249,20211109223125,20624534,,Literature,cs
73,Modern_Language_Notes,1725600,,1568,20211211133737,20718592,,Literature,cs
74,Naturální_škola,1472091,,4781,20230520070710,22808660,,Literature,cs
75,Zorro,652100,,2337,20220509183927,21253801,,Literature,cs
76,Česká_literatura,2772,,263607,20230515165445,22795424,,Literature,cs
78,Deník_(literatura),291729,,2436,20230408145135,22623352,,Literature,cs
79,Povídka,39510,,23305,20221012092408,21758420,,Literature,cs
80,Absurdní_drama,64336,,1903,20221124121746,21976454,,Literature,cs
85,Pseudopřeklad,432348,,757,20120210000143,8072005,,Literature,cs
87,Kanadská_literatura,120799,,4041,20211129144510,20682138,,Literature,cs
88,Sága,229754,,14879,20230119104944,22359228,,Literature,cs
89,Rytířský_román,264595,,4401,20210603091831,20006452,,Literature,cs
91,Alfred_Lanning,846189,,6122,20210718171631,20177126,,Literature,cs
95,Expedice_(edice),95028,,9599,20230215233018,22452886,,Literature,cs
96,Literatura_starověkého_Řecka,136884,,60296,20220911154258,21667803,,Literature,cs
97,Ergodická_literatura,1361912,,3230,20230311192938,22535856,,Literature,cs
104,Národní_cena_Rosario_Castellanos_za_krátký_román,180919,,633,20200604184753,18599550,,Literature,cs
105,Margaery_Tyrell,1459879,,6837,20230323184049,22569484,,Literature,cs
106,OEL_manga,1270330,,5638,20220610212721,21375349,,Literature,cs
109,Renesanční_literatura,523874,,103459,20230614082113,22884841,,Literature,cs
112,Kvak_a_Žbluňk,1628125,,8529,20230430215113,22752083,,Literature,cs
121,Genologie,178475,,4047,20221212101151,22210741,,Literature,cs
123,Irská_literatura,1618090,,8981,20221124020917,21949224,,Literature,cs
124,Starověká_literatura,537573,,52225,20230605190153,22858935,,Literature,cs
125,Ortenova_Kutná_Hora,71803,,3675,20221213171329,22219458,,Literature,cs
126,Arthur_Hastings,309148,,1931,20210105210547,19326893,,Literature,cs
127,Příběh,347376,,4179,20220826202049,21623969,,Literature,cs
128,Komiks,8315,,10138,20230519100400,22806865,,Literature,cs
129,Tyrion_Lannister,977764,,9920,20210910170637,20460394,,Literature,cs
130,Hrabě_Monte_Cristo,99813,,13579,20221014193621,21767322,,Literature,cs
131,Dobrodružný_svět,1689367,,7092,20211215161654,20730537,,Literature,cs
134,Chronotop,928973,,1277,20210808194353,20355344,,Literature,cs
136,Literární_komparatistika,176250,,2358,20221130132624,22150327,,Literature,cs
137,Magický_realismus,34503,,5384,20221209110703,22196350,,Literature,cs
139,Grinch,499772,,3519,20210910163537,20458321,,Literature,cs
140,Žalm,21717,,2715,20220115094804,20833541,,Literature,cs
141,Ivan_Alexandrovič_Chlestakov,1104036,,6184,20220617112529,21395420,,Literature,cs
143,Explication_de_texte,723339,,2176,20180223182900,15882189,,Literature,cs
149,Piter_de_Vries,95731,,4948,20220528152723,21336419,,Literature,cs
152,Rumcajs,110929,,10198,20230306112259,22520803,,Literature,cs
153,Řehoř_Samsa,518867,,124,20130905144455,10694155,,Literature,cs
154,Davos_Mořský,982467,,7965,20210910170536,20460315,,Literature,cs
155,Druhá_světová_válka_v_literatuře,14812,,17972,20230722123327,22995207,,Literature,cs
156,Typologie_literárních_postav,1843405,,10790,20230713214129,22974576,,Literature,cs
164,Ekloga_(literatura),1599083,,2703,20230410190751,22683891,,Literature,cs
165,Komentář,214309,,2817,20230201171311,22401533,,Literature,cs
166,Kazašská_literatura,1678755,,8465,20221106152517,21845396,,Literature,cs
168,Textová_kritika,12094,,6061,20220609202700,21372369,,Literature,cs
169,Čtyři_klasické_čínské_romány,730428,,6594,20200630071114,18771450,,Literature,cs
172,Pražský_kruh,1224450,,3828,20210615102703,20070064,,Literature,cs
173,Ich-forma,39455,,2507,20230130165249,22394758,,Literature,cs
177,Ferda_Mravenec,125194,,12073,20230522123130,22814836,,Literature,cs
178,Kapitán_Hook,937200,,2261,20220228053952,20983990,,Literature,cs
179,Literatura_pro_děti,450203,,13067,20230417062922,22708807,,Literature,cs
180,Muckraking,21118,,1518,20220521114126,21301716,,Literature,cs
183,Odpovědný_redaktor,1403656,,1231,20180730203409,16278854,,Literature,cs
184,Biggles,305067,,9927,20230521174807,22812723,,Literature,cs
185,Dvouměsíčník,678088,,1314,20230110001815,22322141,,Literature,cs
186,Senzační_román,313463,,6365,20230527061326,22831017,,Literature,cs
188,Rukopis,242840,,3097,20221219235605,22241653,,Literature,cs
189,Mongolská_literatura,1726781,,20860,20221106152542,21845398,,Literature,cs
190,Pirx,727120,,3339,20230710180336,22964600,,Literature,cs
192,Čtvrtletník,678096,,1326,20210806064759,20304302,,Literature,cs
193,Entrefilet,214292,,914,20170520135049,15009207,,Literature,cs
194,Jihočeská_Theléma,2006,,5375,20220904181310,21646794,,Literature,cs
