number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Trading_up_the_chain,1704132,,2171,20221118071303,21904457,,Media,cs
2,Výměna_odkazů,668977,,2349,20230328154925,22583697,,Media,cs
3,ESMTP,279726,,2829,20210806081501,20305934,,Media,cs
4,Dreambox,1626181,,1169,20230526042939,22828138,,Media,cs
5,Telephone_Number_Mapping,129014,,12611,20230707201513,22952513,,Media,cs
7,Fragmentace_IP_datagramů,408848,,7225,20230707130531,22951369,,Media,cs
9,Mail_Delivery_Agent,351178,,1209,20140214101111,11208798,,Media,cs
11,DMARC,1251604,,1350,20180727195124,16272870,,Media,cs
12,Crime_&_Investigation_Network,609244,,3074,20230529054844,22836273,,Media,cs
13,Chad_Hurley,833596,,1411,20221130140740,22157278,,Media,cs
14,WebSocket,1301642,,15733,20221109193012,21862712,,Media,cs
15,Digital_Audio_Broadcasting,442066,,11599,20221112124628,21875177,,Media,cs
16,AngularJS,1114670,,8600,20230721090955,22992592,,Media,cs
17,Horst_Schimanski,802064,,5405,20211204212039,20699339,,Media,cs
18,Seznam_serverů_HTTP,58148,,1608,20211217161025,20735894,,Media,cs
19,IPv6,43512,,53161,20230717035840,22981243,,Media,cs
21,Lincoln_Campbell,1679438,,4094,20230103162309,22295950,,Media,cs
22,2_Girls_1_Cup,723030,,4608,20230518191125,22805592,,Media,cs
24,Maximum_transmission_unit,150722,,3412,20230707193551,22952398,,Media,cs
26,Sun_Wu-kchung,594441,,4709,20221127105331,22027694,,Media,cs
27,Bezpečnost_na_internetu,521916,,17789,20230707124950,22951318,,Media,cs
28,Net-SNMP,1183701,,6635,20220910205222,21665919,,Media,cs
29,Elektronický_mailing_list,677056,,9982,20230707130002,22951355,,Media,cs
30,Četba_na_pokračování,1396792,,1791,20181218225217,16790529,,Media,cs
31,VK_(sociální_síť),412720,,16493,20230709001459,22954667,,Media,cs
32,Hrabě_Drákula,1613598,,5306,20230209160945,22431242,,Media,cs
33,Slovak_Internet_eXchange,160410,,992,20220813003429,21581545,,Media,cs
34,.amsterdam,1458510,,2126,20210207134115,19450927,,Media,cs
35,Greylisting,880161,,10696,20211104184742,20609936,,Media,cs
36,Chris_Taub,664881,,1649,20210522112346,19919688,,Media,cs
37,Tempora,918575,,1646,20230707201520,22952514,,Media,cs
39,Website,244999,,3089,20230616182947,22892003,,Media,cs
42,Radio_Swiss_Jazz,983757,,859,20230621180609,22905935,,Media,cs
44,ALOHAnet,150129,,2582,20230707124646,22951297,,Media,cs
45,17._ročník_udílení_Cen_Sdružení_filmových_a_televizních_herců,1332669,,11253,20230312190256,22538899,,Media,cs
46,Old_Shatterhand,74454,,9317,20220829164602,21631191,,Media,cs
