number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,UGM-96_Trident_I,567135,,4967,20220315052034,21036462,,Military and warfare,cs
2,Třída_Blue_Ridge,664032,,6689,20230518110554,22802933,,Military and warfare,cs
3,Vojenská_záslužná_medaile_(Moldavsko),1611865,,2792,20230716234306,22981107,,Military and warfare,cs
4,Medaile_Za_zásluhy_(Izrael),590960,,4711,20230717164030,22982790,,Military and warfare,cs
6,Obrněný_vlak,176547,,5761,20230420081854,22720227,,Military and warfare,cs
9,Válečný_kříž_(Lucembursko),1693695,,5349,20230717163521,22982759,,Military and warfare,cs
10,Fincantieri_Tipo_550,1010563,,1661,20220407035540,21122463,,Military and warfare,cs
12,Taran,12060,,5300,20230316235952,22551454,,Military and warfare,cs
13,Dreadnought,66094,,3755,20210711072244,20143709,,Military and warfare,cs
14,Řád_Alexandra_Něvského_(Sovětský_svaz),1115275,,5337,20220104193908,20789852,,Military and warfare,cs
16,BrahMos,621457,,8527,20230717224128,22983584,,Military and warfare,cs
17,Pamětní_medaile_Alexandra_Karla,496649,,1429,20230716233443,22981092,,Military and warfare,cs
18,Seznam_občanských_válek,462952,,4529,20230415185440,22704620,,Military and warfare,cs
19,RIM-174_Standard_ERAM,1107434,,4349,20220502205136,21214375,,Military and warfare,cs
21,Gdaňský_kříž,457652,,2700,20230110232807,22326374,,Military and warfare,cs
23,Odznak_odstřelovače,1330740,,2595,20210531111812,19979983,,Military and warfare,cs
24,Militarismus,674797,,3101,20210515115004,19886459,,Military and warfare,cs
25,Tanková_výsadková_loď,563014,,7794,20220129124222,20884807,,Military and warfare,cs
26,Medaile_Za_upevňování_bojového_přátelství,1620631,,6394,20230716231259,22981005,,Military and warfare,cs
27,Válečný_zajatec,26604,,9361,20230703214631,22939002,,Military and warfare,cs
28,Medaile_za_bojové_zásluhy_(Bulharsko),1550993,,4117,20230717210141,22983331,,Military and warfare,cs
29,Kanónenfutr,87512,,3945,20230605220028,22859425,,Military and warfare,cs
30,Vojenský_jubilejní_kříž,519211,,2385,20230716231656,22981031,,Military and warfare,cs
31,Námořní_medaile_admirála_Sebastiána_Francisca_de_Mirandy,1616966,,3510,20230716230346,22980951,,Military and warfare,cs
32,Medaile_50._výročí_Ozbrojených_sil_SSSR,1691125,,5687,20230716231258,22980974,,Military and warfare,cs
33,ANZUS,358964,,1327,20220817141304,21596485,,Military and warfare,cs
34,Křížová_palba,83352,,1281,20230111092625,22327524,,Military and warfare,cs
36,Smluvní_strana_obranného_průmyslu,342058,,3040,20210326150007,19650701,,Military and warfare,cs
37,Armádní_slovanština,1645365,,1646,20220413155719,21159063,,Military and warfare,cs
38,Medaile_vlastenecké_války_1944–1945,1550464,,5122,20230717210141,22983325,,Military and warfare,cs
39,Děmjanský_štít,623643,,2285,20230425143210,22737132,,Military and warfare,cs
40,Válečný_záslužný_kříž,298871,,7720,20220211160637,20928277,,Military and warfare,cs
41,Gruzínská_Národní_garda,425578,,5919,20220228135702,20985510,,Military and warfare,cs
42,Otomat,1050097,,7103,20230709125454,22959735,,Military and warfare,cs
43,Malafon,619850,,2343,20191130085327,17899394,,Military and warfare,cs
45,Sestřelení,1758180,,1535,20220520083608,21294054,,Military and warfare,cs
46,Mk_10_Limbo,736676,,1687,20221203115644,22173308,,Military and warfare,cs
48,Njambuur_(P_773),1092065,,3804,20221001071142,21726260,,Military and warfare,cs
50,Stíhací_dělo,550212,,891,20210603095537,20007402,,Military and warfare,cs
51,Vojenský_záslužný_kříž_(Meklenbursko-Zvěřínsko),487531,,3344,20230111093238,22327567,,Military and warfare,cs
52,Asymetrická_válka,526293,,2165,20191123130629,17877646,,Military and warfare,cs
53,Hlídková_loď,593418,,1047,20210806134437,20313499,,Military and warfare,cs
55,Řád_Milana_Rastislava_Štefánika,132315,,8106,20210604162013,20019780,,Military and warfare,cs
58,Operace_Neptunovo_kopí,1692774,,4661,20220521183831,21305050,,Military and warfare,cs
59,Muniční_sklad_Hajniště,942660,,25222,20230524080535,22823219,,Military and warfare,cs
60,Povolávací_rozkaz,594576,,1511,20200410114825,18377679,,Military and warfare,cs
61,Sjednocená_letecká_korporace,665162,,5855,20221222084810,22249980,,Military and warfare,cs
62,Domobrana,3710,,1857,20220618102922,21397832,,Military and warfare,cs
63,Virtuti_Militari,342096,,2271,20230131130120,22397590,,Military and warfare,cs
64,Vojenská_radiostanice,961806,,4517,20230121002703,22365938,,Military and warfare,cs
65,STOBAR,1012557,,1697,20230714230057,22977069,,Military and warfare,cs
66,Zasloužilý_vojenský_navigátor_SSSR,1712603,,4822,20230625201057,22918778,,Military and warfare,cs
68,Viktoriin_kříž,1151625,,3764,20230717210244,22983342,,Military and warfare,cs
69,Řád_posvátné_trojnožky,1693653,,3422,20230126170745,22383691,,Military and warfare,cs
70,Korveta,68779,,5099,20210719102750,20194804,,Military and warfare,cs
72,Roj_(letecká_jednotka),1230303,,5745,20220202205412,20899042,,Military and warfare,cs
73,Pancéřový_vlak_Hurban,965205,,2761,20220307223217,21011760,,Military and warfare,cs
74,Medaile_za_asijsko-pacifické_tažení,1674516,,14503,20230717210616,22983380,,Military and warfare,cs
75,CSS_Virginia,296113,,6819,20221228011840,22270381,,Military and warfare,cs
76,Anabasis,855717,,5961,20230419041340,22716324,,Military and warfare,cs
77,Al_Fulk_(L141),1832449,,4548,20230516145426,22797654,,Military and warfare,cs
79,Hsiung_Feng_II,727141,,4188,20210528080713,19951746,,Military and warfare,cs
80,Řád_rudého_praporu,240265,,4051,20221015160133,21769960,,Military and warfare,cs
81,3K89_Palaš,750617,,6722,20230102204517,22292435,,Military and warfare,cs
82,Řád_za_chrabrost_(Bulharsko),1549344,,4639,20220801201041,21539743,,Military and warfare,cs
83,Totální_válka,171302,,2314,20220925031345,21708825,,Military and warfare,cs
84,Zbabělost_před_nepřítelem,931207,,917,20201217074841,19269777,,Military and warfare,cs
85,Střelnice,240606,,1552,20221212091202,22209021,,Military and warfare,cs
86,Rozsocháč,252644,,4638,20221010154901,21753494,,Military and warfare,cs
87,Goalkeeper_CIWS,611951,,2942,20230313121211,22540459,,Military and warfare,cs
88,Medaile_svatého_Olafa_s_dubovou_ratolestí,1709251,,10591,20230716232959,22981081,,Military and warfare,cs
89,Spolia_opima,1629051,,2521,20230425202916,22738607,,Military and warfare,cs
90,Letová_paluba,1196403,,4130,20230428085219,22745191,,Military and warfare,cs
91,Zápalná_loď,1292853,,1577,20230527182811,22832426,,Military and warfare,cs
92,Medaile_Za_dobytí_Berlína,1671477,,10735,20230716231259,22980982,,Military and warfare,cs
93,Orlík_(obrněný_vlak),802176,,4196,20221212212155,22216171,,Military and warfare,cs
94,DEFCON,400415,,2666,20220319203211,21052779,,Military and warfare,cs
95,Hyunmoo_III,1205071,,4736,20230408165720,22626628,,Military and warfare,cs
96,Protitorpédová_obšívka,284826,,4108,20230612041146,22878149,,Military and warfare,cs
97,Řád_Rámy,1633525,,8601,20220813095021,21582416,,Military and warfare,cs
98,RUR-5_ASROC,571014,,3156,20221015115107,21769017,,Military and warfare,cs
99,Garde_Républicaine,914634,,4025,20230214192435,22448706,,Military and warfare,cs
100,Vojenská_záslužná_medaile_(Württembersko),494580,,1807,20230716233813,22981100,,Military and warfare,cs
101,Triéra,93234,,13243,20230404171110,22602984,,Military and warfare,cs
102,Třída_South_Dakota,425830,,412,20181124034701,16711115,,Military and warfare,cs
103,Vedlejší_škody,1217947,,5775,20220226131856,20979457,,Military and warfare,cs
104,Dějiny_peloponéské_války,540331,,2055,20210723112116,20229378,,Military and warfare,cs
105,Karonáda,496145,,8816,20220722215440,21508174,,Military and warfare,cs
106,Psychologická_operace,255572,,2563,20230618042414,22895412,,Military and warfare,cs
107,Lutyšská_medaile,1683712,,3495,20211022193847,20566962,,Military and warfare,cs
108,Fort,436603,,1770,20201106061638,19137762,,Military and warfare,cs
109,Barmská_hvězda,1620787,,18081,20230717210244,22983335,,Military and warfare,cs
110,AGM-84_Harpoon,447425,,8521,20230415182817,22703811,,Military and warfare,cs
111,Expediční_medaile_globální_války_proti_terorismu,1619123,,13452,20230717210616,22983376,,Military and warfare,cs
112,O_válce,138868,,1393,20220901120219,21639062,,Military and warfare,cs
113,Všeobecná_branná_povinnost,3712,,3877,20220618094808,21397728,,Military and warfare,cs
116,Nekonvenční_konflikt,248998,,781,20190423174058,17171638,,Military and warfare,cs
117,Medaile_za_obranu_1940–1945,1669509,,9122,20230716232959,22981080,,Military and warfare,cs
119,Boční_palba,297115,,2625,20220607042259,21363481,,Military and warfare,cs
120,Zeměbrana,3711,,1848,20221224193230,22259486,,Military and warfare,cs
121,Seznam_bitev,10277,,10486,20230702140122,22935656,,Military and warfare,cs
122,Medaile_Za_dobytí_Budapešti,1700204,,5152,20230717211608,22983398,,Military and warfare,cs
123,Třída_Trafalgar_(1887),1618762,,4613,20230518113405,22804209,,Military and warfare,cs
124,Řád_za_zásluhy_Hvězda_Carabobo,1617849,,2655,20220715112339,21471093,,Military and warfare,cs
125,Gabriel_(střela),487626,,7560,20221231202740,22284075,,Military and warfare,cs
126,Odznak_za_zranění,408489,,4359,20230118052513,22354286,,Military and warfare,cs
127,Řád_sv._Alexandra_Něvského,468298,,8369,20230111081530,22327056,,Military and warfare,cs
128,Řád_Michala_Chrabrého,514671,,4522,20230111082637,22327195,,Military and warfare,cs
129,Třída_Gowind,900381,,12366,20220718200223,21478139,,Military and warfare,cs
130,Medaile_Za_obranu_Leningradu,1572301,,11302,20230716231259,22981004,,Military and warfare,cs
131,Medaile_70._výročí_Ozbrojených_sil_SSSR,1700759,,5719,20230716231258,22980970,,Military and warfare,cs
132,Medaile_Veterán_ozbrojených_sil_SSSR,1649171,,5940,20230719205832,22988928,,Military and warfare,cs
133,Pamětní_medaile_na_válku_1912–1913,1549553,,5187,20230717210141,22983330,,Military and warfare,cs
134,Španělská_tercie,546042,,2710,20220619132138,21400273,,Military and warfare,cs
135,Kříž_služebního_vyznamenání,516934,,874,20230110233242,22326385,,Military and warfare,cs
