number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Pokora,239720,,3517,20230203212802,22408909,,Philosophy and religion,cs
2,Satornilos,908937,,5030,20210920200545,20488540,,Philosophy and religion,cs
3,Postulát,113452,,6500,20220528081524,21332706,,Philosophy and religion,cs
4,Mu_(filozofie),1239295,,1722,20221127191414,22030050,,Philosophy and religion,cs
5,Pryč_od_Říma!,1731528,,7535,20220519134258,21286351,,Philosophy and religion,cs
6,Pověsti_o_zvonech,237294,,18797,20210419074641,19728143,,Philosophy and religion,cs
8,Seraphimite_Church,935103,,18036,20201027232939,19112057,,Philosophy and religion,cs
9,Paul_Karl_Feyerabend,9736,,17207,20230710030011,22961472,,Philosophy and religion,cs
12,Šeol,1603770,,1606,20211211050300,20717677,,Philosophy and religion,cs
13,Edhem_Beyova_mešita,133547,,1921,20230408232804,22636119,,Philosophy and religion,cs
14,Stezka_pravé_a_levé_ruky,287543,,5585,20210718141609,20171684,,Philosophy and religion,cs
15,Diecéze_íránská,821739,,763,20170201193915,14631797,,Philosophy and religion,cs
16,Chrámový_institut,1248719,,5797,20220423073852,21186494,,Philosophy and religion,cs
17,Kundaliní,284347,,1303,20210916223826,20478586,,Philosophy and religion,cs
18,Kamidana,320936,,1980,20200424101145,18428161,,Philosophy and religion,cs
19,Pověra,246156,,6379,20220624042306,21411621,,Philosophy and religion,cs
21,Alláh,13350,,7093,20221005150748,21740491,,Philosophy and religion,cs
22,Učená_nevědomost,371328,,913,20130319160222,9965517,,Philosophy and religion,cs
23,Buddhistická_filozofie,1798447,,2688,20230203172202,22408169,,Philosophy and religion,cs
24,Papežka_Jana,270533,,6067,20220527115901,21330561,,Philosophy and religion,cs
27,Převorství_sionské,92318,,29106,20230626072351,22919396,,Philosophy and religion,cs
30,Doxa,1454089,,5876,20221103122712,21829121,,Philosophy and religion,cs
31,Jamabuši,1011016,,2172,20221216032801,22226989,,Philosophy and religion,cs
32,Tvořivá_společnost,1790773,,3056,20230627175926,22923176,,Philosophy and religion,cs
33,Autonomní_morálka,1157833,,1475,20211020072925,20561577,,Philosophy and religion,cs
34,Trójská_válka,96044,,20966,20230419174154,22718998,,Philosophy and religion,cs
37,Argumentační_klam,33274,,40749,20230424100015,22733931,,Philosophy and religion,cs
38,Vaišja,607740,,414,20210606160754,20039396,,Philosophy and religion,cs
41,Seznam_židovských_památek_v_Česku,705322,,1825,20210511043036,19815048,,Philosophy and religion,cs
42,Astris,1210955,,364,20200701174534,18775606,,Philosophy and religion,cs
45,Atropos,475332,,3108,20230331074630,22590847,,Philosophy and religion,cs
48,Živý_oheň,1381140,,2367,20220521181703,21304938,,Philosophy and religion,cs
50,Mehragán,1735893,,4432,20220521111334,21300224,,Philosophy and religion,cs
51,Chrámová_prostituce,41886,,719,20190423172228,17171350,,Philosophy and religion,cs
52,Heka,314231,,1518,20210608061420,20051389,,Philosophy and religion,cs
54,Airjaman,1440990,,6218,20220507191658,21238313,,Philosophy and religion,cs
55,Diecéze_kodaňská,1466307,,2387,20210606144912,20036427,,Philosophy and religion,cs
58,Zjevení_Panny_Marie_ve_Fatimě,201211,,18354,20230619114529,23007283,,Philosophy and religion,cs
59,Bhakti_Marga,1348144,,9523,20220507200714,21239682,,Philosophy and religion,cs
60,Postanalytická_filozofie,351243,,1926,20221127190358,22029662,,Philosophy and religion,cs
61,Xoanon,962013,,1894,20210314113355,19610301,,Philosophy and religion,cs
63,Askeze,15380,,10209,20230621223256,22906709,,Philosophy and religion,cs
64,Albánská_pravoslavná_církev,1444686,,2447,20230615092728,22888241,,Philosophy and religion,cs
65,Obětní_stůl,200832,,4034,20220731123043,21534309,,Philosophy and religion,cs
66,Světová_aliance_reformovaných_církví,1552504,,4792,20230526124937,22829577,,Philosophy and religion,cs
68,Íšvara,297960,,2856,20220406071152,21117542,,Philosophy and religion,cs
70,Ninsun,147908,,1117,20190818182124,17573758,,Philosophy and religion,cs
71,Amen,15101,,4745,20230607144703,22865155,,Philosophy and religion,cs
73,Rozhlasový_přenos_bohoslužeb,744420,,5566,20211106125926,20614498,,Philosophy and religion,cs
75,Sautrámání,1795197,,2382,20221210042954,22200067,,Philosophy and religion,cs
76,Čotky,962740,,9575,20221123122533,21938435,,Philosophy and religion,cs
79,Kanonizace,15095,,8102,20230721070959,22992287,,Philosophy and religion,cs
80,Adefagie,1206349,,390,20181229000621,16814335,,Philosophy and religion,cs
81,Mut,776716,,990,20211209185156,20713903,,Philosophy and religion,cs
82,Svatá_kniha,238999,,2404,20230724072402,22999246,,Philosophy and religion,cs
83,Hexagram,1150727,,1967,20220516145604,21275447,,Philosophy and religion,cs
84,Vrtrahán,1508122,,3958,20210815134125,20389867,,Philosophy and religion,cs
87,Liberalismus,11302,,38347,20230427190708,22744061,,Philosophy and religion,cs
88,Paralelismus,417247,,1728,20221127190533,22029720,,Philosophy and religion,cs
90,Mechanismus_(filozofie),443329,,2810,20221127190557,22029735,,Philosophy and religion,cs
94,Sampradája,1057440,,5746,20221103140205,21831104,,Philosophy and religion,cs
96,Židovská_náboženská_obec,618634,,4390,20230627185213,22923291,,Philosophy and religion,cs
100,Pravoslavný_teologický_ústav_svatého_Sergeje,808290,,4206,20221020180652,21785570,,Philosophy and religion,cs
101,Eris,14115,,1923,20230309113137,22529286,,Philosophy and religion,cs
102,Laima,897041,,4013,20161203130549,14381960,,Philosophy and religion,cs
103,Loajalita,341293,,3280,20221127190327,22029640,,Philosophy and religion,cs
106,Mudejarové,680475,,1372,20211020222155,20563435,,Philosophy and religion,cs
107,Blaise_Pascal,41306,,23325,20230715093627,22977574,,Philosophy and religion,cs
108,Hylozoismus,1352744,,9428,20230414120418,22697853,,Philosophy and religion,cs
109,Diskurz,260877,,14678,20221127192008,22030203,,Philosophy and religion,cs
110,Literalismus,693245,,673,20210808123244,20330370,,Philosophy and religion,cs
114,Jeneane_Prevatt,1692737,,4212,20230625161657,22918044,,Philosophy and religion,cs
115,Generální_seminář,306025,,3056,20171106153854,15542325,,Philosophy and religion,cs
118,Dar,325899,,11952,20230607164417,22865451,,Philosophy and religion,cs
120,Aktuální_idealismus,963564,,636,20211009141809,20536517,,Philosophy and religion,cs
121,Zákony_o_svrchovanosti,11452,,1674,20210809192037,20375647,,Philosophy and religion,cs
122,Mýtus_o_Atrachasísovi,15605,,9001,20220507130849,21235121,,Philosophy and religion,cs
123,Křesťanský_anarchismus,485793,,3264,20221103135631,21830961,,Philosophy and religion,cs
125,Thór,6751,,8422,20230528075604,22833521,,Philosophy and religion,cs
127,Šamanismus,207507,,36602,20230517091718,22799478,,Philosophy and religion,cs
129,Dilema,411487,,1922,20210203193448,19438125,,Philosophy and religion,cs
130,Aidos,1306606,,704,20210501092847,19779642,,Philosophy and religion,cs
131,Ameša_Spenta,1442869,,4534,20210721175547,20222989,,Philosophy and religion,cs
132,Tarhunna,1321742,,2208,20230616105958,22890978,,Philosophy and religion,cs
133,Analytická_etika,1705613,,3928,20221103125642,21829776,,Philosophy and religion,cs
134,Tibertus,1574405,,1036,20200313115645,18256867,,Philosophy and religion,cs
135,Jacques_Ellul,890372,,9304,20230512163346,22787824,,Philosophy and religion,cs
136,Seznam_unitářských_osobností,704048,,13615,20230331112335,22591483,,Philosophy and religion,cs
137,Mytologie,30,,10636,20221128203841,22071350,,Philosophy and religion,cs
138,Seznam_apoštolských_cest_papeže_Benedikta_XVI.,638434,,45310,20220723003614,21509883,,Philosophy and religion,cs
139,Kodex_Tchacos,877938,,2521,20220521115008,21302270,,Philosophy and religion,cs
140,Keresáspa,1680970,,8164,20220130113212,20888116,,Philosophy and religion,cs
142,Behdetej,281353,,3211,20191107221804,17825093,,Philosophy and religion,cs
143,Řehoř_Divotvůrce,1661136,,1396,20221116120618,21895215,,Philosophy and religion,cs
145,Mukuru,1853282,,3928,20230526184625,22830376,,Philosophy and religion,cs
147,Unitářství,307499,,51762,20230513223704,22790457,,Philosophy and religion,cs
149,Extenze_a_intenze,246132,,879,20211030080521,20592785,,Philosophy and religion,cs
150,Objektifikace,1689988,,5399,20230528182958,22835346,,Philosophy and religion,cs
151,Hodnotový_pluralismus,197946,,2739,20221103134037,21830627,,Philosophy and religion,cs
155,Søren_Kierkegaard,4928,,86995,20230613074208,22881541,,Philosophy and religion,cs
156,Triton_(mytologie),887823,,3551,20230528050018,22833054,,Philosophy and religion,cs
157,Světskost,725340,,3852,20221127103557,22027625,,Philosophy and religion,cs
158,Antikatolicismus,124542,,1037,20211123172327,20665866,,Philosophy and religion,cs
162,Bhikkhu,53035,,5189,20210915105359,20474997,,Philosophy and religion,cs
163,Svatá_chýše,43790,,5956,20230515083338,22793955,,Philosophy and religion,cs
164,Alfred_North_Whitehead,23284,,8160,20230312224301,22539382,,Philosophy and religion,cs
165,Vadžrajána,85814,,9408,20221030220329,21815645,,Philosophy and religion,cs
167,Antikrist,129736,,10144,20220825105957,21620385,,Philosophy and religion,cs
168,Maat,459804,,9006,20210920212801,20488787,,Philosophy and religion,cs
