number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
3,Etnická_čistka,896752,,3972,20230608041811,22866399,,Politics and government,cs
6,Socialismus,9190,,44171,20230711195349,22967218,,Politics and government,cs
10,Izraelský_zásah_proti_konvoji_do_Pásma_Gazy,567378,,55901,20230714224021,22977048,,Politics and government,cs
11,Bipartismus,1683957,,1501,20230131164407,22398175,,Politics and government,cs
16,Dělnická_stráž,661405,,1894,20220308092721,21012830,,Politics and government,cs
17,Postpravda,1287385,,1526,20230717195441,22983119,,Politics and government,cs
19,COINTELPRO,269145,,3030,20210602091437,19994049,,Politics and government,cs
20,Kandidátní_listina,360182,,6331,20230530230641,22843599,,Politics and government,cs
21,Úřad_Vysokého_komisaře_OSN_pro_uprchlíky,719685,,3430,20220410101653,21149134,,Politics and government,cs
23,Reprodukční_práva,1764724,,14092,20230403192346,22600674,,Politics and government,cs
26,Kirchnerismus,857698,,1956,20171028231522,15516435,,Politics and government,cs
29,Mezinárodněprávní_uznání_státu,1059301,,24165,20230120170029,22364860,,Politics and government,cs
31,ANZUS,358964,,1327,20220817141304,21596485,,Politics and government,cs
32,Svoboda_pohybu,1057348,,13674,20220828164747,21628065,,Politics and government,cs
33,Svoboda_myšlení,1094824,,8661,20210604193912,20022269,,Politics and government,cs
35,Identitární_politika,1581674,,19264,20220928183355,21719604,,Politics and government,cs
38,Legální_licence,823062,,1492,20220405122628,21114573,,Politics and government,cs
42,Pasivní_rezistence,1068576,,2648,20230715200118,22978803,,Politics and government,cs
44,Dezinformace,408394,,13545,20230627043609,22921601,,Politics and government,cs
46,Ordoliberalismus,1357641,,2069,20230220061052,22470997,,Politics and government,cs
47,Alternativní_hlasování,573920,,1319,20230402131432,22596965,,Politics and government,cs
48,Westminsterský_systém,1546715,,7604,20230421215531,22727920,,Politics and government,cs
49,Perónismus,306136,,3825,20230421095516,22724806,,Politics and government,cs
51,Kauza_Nagyová,915989,,197144,20230714153032,22976250,,Politics and government,cs
53,Fabiánská_společnost,164112,,1855,20230609150339,22871611,,Politics and government,cs
54,Bandungská_konference,327683,,6137,20220326135511,21078407,,Politics and government,cs
55,Fiskální_konzervatismus,1010254,,2718,20230602143921,22850863,,Politics and government,cs
57,Komunitarismus,503551,,7566,20230721211741,22994099,,Politics and government,cs
58,Politický_aktivismus_v_Česku,1343685,,5308,20230226094500,22495910,,Politics and government,cs
61,Azylová_a_přistěhovalecká_politika_EU,40993,,1852,20180516093243,16088962,,Politics and government,cs
63,Seznam_politických_stran_a_hnutí_v_Abcházii,1705327,,3821,20220628210550,21423734,,Politics and government,cs
66,Praní_špinavých_peněz,117711,,15099,20230131085004,22396588,,Politics and government,cs
67,Soukromí,43551,,46557,20230603045346,22851983,,Politics and government,cs
68,Informační_válka,1133543,,5285,20221118071207,21904451,,Politics and government,cs
70,Opozice_v_Ruské_federaci,1235644,,18766,20230609180838,22872020,,Politics and government,cs
71,Občanský_libertarianismus,1698451,,3639,20230527205928,22832707,,Politics and government,cs
72,Junta,430800,,3767,20220904165416,21646572,,Politics and government,cs
74,Právo_na_odpočinek_a_volný_čas,1862049,,1536,20230623082352,22912461,,Politics and government,cs
79,Osa_zla,334420,,4346,20230720183943,22991421,,Politics and government,cs
80,Dark_Enlightenment,1652304,,5874,20221222180003,22252685,,Politics and government,cs
81,Mise,63028,,6014,20221129105158,22094220,,Politics and government,cs
82,Politický_střed,713794,,1166,20230526200830,22830556,,Politics and government,cs
83,Rozvojová_politika,110311,,13151,20230714195130,22976718,,Politics and government,cs
84,Neoliberalismus,195372,,38041,20230603103605,22852521,,Politics and government,cs
85,Agentura_Evropské_unie_pro_bezpečnost_letectví,1291702,,5926,20230129170019,22391692,,Politics and government,cs
88,Maletův_státní_převrat,1757567,,7068,20230619103228,22898942,,Politics and government,cs
89,Znárodnění,28300,,24526,20230101201256,22287822,,Politics and government,cs
90,Propaganda,10027,,20939,20230605181554,22858801,,Politics and government,cs
93,NESARA,1817249,,11435,20230107053249,22311611,,Politics and government,cs
94,Shromáždění_obyvatel_újezdu,1685684,,1893,20220307224719,21011799,,Politics and government,cs
96,Aktivismus,55460,,19563,20230329103207,22585622,,Politics and government,cs
100,Cui_bono,248990,,1535,20230706204242,22945556,,Politics and government,cs
103,Domobrana_(dobrovolnická_organizace),856787,,6684,20230314145048,22543894,,Politics and government,cs
104,Politický_vězeň,82904,,6044,20220130103254,20887921,,Politics and government,cs
107,Mezinárodní_helsinská_federace_pro_lidská_práva,1668954,,6180,20230617160630,22893945,,Politics and government,cs
108,Mezinárodní_den_boje_proti_korupci,1043363,,1514,20220702094439,21432650,,Politics and government,cs
110,Ochlokracie,673980,,1442,20220524171919,21321839,,Politics and government,cs
112,Svoboda_projevu,108348,,35240,20230508081015,22773813,,Politics and government,cs
113,Anarchismus,12682,,36761,20230626101557,22919749,,Politics and government,cs
114,Socialistická_revoluce,261232,,1346,20221127120411,22028126,,Politics and government,cs
116,Sociální_práva,322201,,8602,20210514004716,19841432,,Politics and government,cs
117,Beril_Dedeoğlu,1806960,,10742,20221130124953,22143842,,Politics and government,cs
118,Tři_generace_lidských_práv,481725,,1646,20230202093049,22403095,,Politics and government,cs
120,Libertariánská_demokracie,1487128,,3583,20190924160356,17669965,,Politics and government,cs
122,Nový_světový_pořádek,422364,,2260,20190123133137,16882883,,Politics and government,cs
125,Zájmová_skupina,1570038,,6686,20220521181520,21304891,,Politics and government,cs
