number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
4,Mlčení_bolí,1114687,,3451,20230725220850,23004406,,Society,cs
7,Společenská_regulace,429894,,5887,20230425061513,22735820,,Society,cs
12,Generace_alfa,1641744,,1511,20230322125635,22566158,,Society,cs
16,Manželé_Webbovi,406163,,3353,20230331121859,22591689,,Society,cs
17,Verbální_komunikace,216589,,2789,20221113182547,21879516,,Society,cs
33,Revizionismus,169422,,4620,20220416150958,21165540,,Society,cs
45,Think_tank,7321,,7276,20220726212750,21521132,,Society,cs
51,Klimatické_vzdělávání,1815939,,24359,20230414010901,22696361,,Society,cs
52,Pohlavní_dimorfismus_u_lidí,1177683,,5052,20220425103721,21192912,,Society,cs
56,Právo_na_život,36553,,20706,20230308123853,22526515,,Society,cs
58,Kulturní_válka,1655289,,3729,20220714222757,21470350,,Society,cs
65,Masové_sledování,992766,,5064,20230620185128,22903317,,Society,cs
66,Sociální_spravedlnost,1002135,,11393,20220418085549,21171898,,Society,cs
71,Sociální_hnutí,1153529,,11379,20220207231608,20915879,,Society,cs
73,Teorie_konfliktů,1480157,,31548,20221204203118,22178067,,Society,cs
77,Klika_(sociologie),254937,,2046,20220929225110,21723078,,Society,cs
83,Agresivní_motivace_a_násilí,973987,,14197,20230325083612,22573204,,Society,cs
84,Společenské_vědy,241926,,2464,20221231222613,22284281,,Society,cs
97,Liberalizace,1031319,,5588,20230722200615,22996211,,Society,cs
101,Paralelní_společnost,1367388,,6792,20210916230107,20478932,,Society,cs
107,Industriální_společnost,515321,,13503,20200606195324,18638773,,Society,cs
114,Jednání,689674,,14444,20221127190855,22029845,,Society,cs
120,Byrokracie,58671,,30152,20230520113553,22809506,,Society,cs
135,Antiopresivní_přístup_v_sociální_práci,1106945,,8589,20230530100613,22840974,,Society,cs
138,Evropské_město_stromů,1566130,,2198,20221224205339,22259658,,Society,cs
142,Matriarchát,132436,,5817,20230223061410,22484977,,Society,cs
145,Společnost,257528,,5442,20230108160123,22316720,,Society,cs
149,Masová_kultura,319841,,12163,20230703102202,22937831,,Society,cs
158,Whistleblowing,409622,,25336,20230617061053,22892835,,Society,cs
159,Právo_na_vzdělání,975655,,20004,20220404211903,21112015,,Society,cs
165,Stigmergie,1387775,,1357,20210809191101,20375219,,Society,cs
171,Kulturní_liberalismus,1049851,,12762,20230706210036,22945567,,Society,cs
173,Instituce,247494,,5717,20230329111027,22585708,,Society,cs
183,Riziková_společnost,1048466,,14425,20221103133003,21830446,,Society,cs
208,Zájmová_skupina,1570038,,6686,20220521181520,21304891,,Society,cs
212,Demografie,34793,,9971,20230521150330,22812360,,Society,cs
215,Mitanni,315286,,17855,20230302111728,22507937,,Society,cs
227,QAnon,1404878,,21739,20230306141327,22521160,,Society,cs
228,Sexting,584833,,1543,20221212110903,22212819,,Society,cs
234,Renegát,283353,,906,20230718204234,22986215,,Society,cs
245,Kalergiho_plán,1632671,,5673,20230219101528,22462745,,Society,cs
255,Společenská_odpovědnost_firem,304632,,6948,20230707095023,22950404,,Society,cs
266,Sociální_šetření,1547737,,10810,20220217212908,20952398,,Society,cs
269,Aktivismus,55460,,19563,20230329103207,22585622,,Society,cs
272,Diaspora,233082,,7200,20210916230103,20478824,,Society,cs
280,Krizová_pomoc,1203126,,10412,20220418090323,21172160,,Society,cs
281,Digitální_propast,1001795,,9229,20230607200905,22865991,,Society,cs
285,Genderová_studia,973070,,57591,20221202215131,22172411,,Society,cs
291,Manželství,14338,,44826,20230711215419,22967439,,Society,cs
293,Společenské_pravidlo,576571,,1176,20221122115512,21923498,,Society,cs
295,Židozednářství,1043312,,12105,20220814023940,21584481,,Society,cs
315,Agrární_společnost,1814996,,5530,20221214080211,22220696,,Society,cs
317,Konflikt,57336,,11782,20220505043649,21219914,,Society,cs
318,Masová_komunikace,557715,,14414,20230703090502,22937579,,Society,cs
329,Sociální_komunikace,476443,,22408,20230401152627,22594541,,Society,cs
335,Mezera_vědění_a_jednání,1643887,,7681,20230718202921,22986166,,Society,cs
341,Patriarchát,14711,,8067,20230426075811,22739264,,Society,cs
343,Předsudek,671977,,4881,20230612111633,22879177,,Society,cs
345,Terorismus,40651,,64039,20230701042549,22931132,,Society,cs
346,Sociální_systém,937078,,2055,20230115230946,22346155,,Society,cs
357,Anomie,131740,,12090,20220503070420,21214926,,Society,cs
361,Slow_Travel,1720799,,7161,20211225112639,20757456,,Society,cs
366,Politika_ochrany_klimatu,1692149,,8357,20230527190200,22832509,,Society,cs
373,Humanitní_environmentalistika,313772,,5414,20220703201110,21437141,,Society,cs
400,Lidská_rasa,514477,,104908,20230715162447,22978421,,Society,cs
402,Diachronní_a_synchronní,210800,,2273,20230426100151,22739628,,Society,cs
408,Gramotnost,210113,,8786,20230408135546,22622357,,Society,cs
412,Sociální_práce,477658,,22496,20230621192624,22906225,,Society,cs
416,Kistlerova_cena,967177,,1371,20220606130540,21362071,,Society,cs
423,Nenásilná_komunikace,837762,,67113,20220603130943,21354286,,Society,cs
427,Stejnopohlavní_manželství,1621475,,21097,20230602075510,22849865,,Society,cs
432,Marie_Vavroňová,1682954,,8083,20230724013449,22998685,,Society,cs
442,Spor_o_Čínu,3464,,4616,20230207105305,22420621,,Society,cs
443,Člověk_moudrý,12165,,29683,20230509081952,22776667,,Society,cs
444,Otroctví,28612,,57940,20230609101341,22870695,,Society,cs
446,Klientelismus,13800,,6839,20230625182811,22918452,,Society,cs
447,Sociální_inovace,1313168,,2363,20220207231630,20915880,,Society,cs
465,Dobrovolnictví,191023,,7976,20220817082452,21595342,,Society,cs
466,Streetworker,763069,,1944,20180613141933,16159659,,Society,cs
467,Teorie_deficitu_ve_školním_prostředí_dle_A._R._Jensena,1555561,,13303,20220809083558,21569333,,Society,cs
469,Příbuzenství,43217,,11126,20220418064801,21169530,,Society,cs
475,Global_Teacher_Prize,1687051,,5265,20230611051818,22875491,,Society,cs
482,Mládež,626003,,1227,20221126115304,22024191,,Society,cs
484,Příbuzenské_vztahy,654924,,8071,20220308085058,21012706,,Society,cs
488,Kauza_agenta_s_ricinem,1595484,,18969,20220505224812,21224299,,Society,cs
492,Veřejný_zájem,281914,,7741,20230120094453,22363172,,Society,cs
500,Oportunismus,238665,,3916,20230707210554,22952625,,Society,cs
505,Interkulturní_komunikace,974570,,10657,20220507234809,21245097,,Society,cs
507,Skandál,38313,,3978,20220402122112,21100553,,Society,cs
517,Čestné_občanství,60171,,3064,20230617041937,22892625,,Society,cs
522,Veřejnost,689226,,1745,20210914024221,20472115,,Society,cs
524,Občanská_neposlušnost,405245,,5186,20210612190002,20063414,,Society,cs
528,Souboj,298573,,3958,20200508143831,18492135,,Society,cs
531,Sociální_simulace,487759,,23615,20220826231454,21624298,,Society,cs
561,Odpuštění,296709,,9745,20220801211000,21540098,,Society,cs
574,Radikalismus,68600,,11742,20230510201140,22781993,,Society,cs
583,Právo_na_odpor,856055,,11872,20230515102730,22794229,,Society,cs
585,Emoce,33071,,34313,20230209121022,22430492,,Society,cs
591,Plánování_přechodu_z_ústavu_do_komunity,1681366,,20779,20230428102523,22745469,,Society,cs
594,Celostní_vzdělávání,1758284,,10606,20221212084835,22207519,,Society,cs
598,Kolébka_civilizace,1292310,,3068,20230607111438,22864373,,Society,cs
599,Veřejné_mínění,1153979,,13163,20220812102823,21579602,,Society,cs
606,Multikulturalismus,62649,,23855,20230725084901,23002558,,Society,cs
615,Vyznamenání,145849,,1462,20201208200336,19244602,,Society,cs
621,Sociální_služby_v_ČR,769743,,9042,20230107152748,22312975,,Society,cs
629,Generace_Z,761214,,3896,20230710062817,23004913,,Society,cs
638,Přístup_orientovaný_na_úkoly,306574,,3230,20211217071130,20734485,,Society,cs
651,Homosexualita_a_náboženství,345709,,24543,20230524164650,22824735,,Society,cs
653,Antropologie,68359,,27745,20230708104649,22953355,,Society,cs
654,Vor_v_zakoně,1360753,,1852,20230507154220,22772407,,Society,cs
660,Sociální_řád,1155020,,9182,20220717132814,21475173,,Society,cs
667,Ideologie,11314,,19226,20230114113027,22340382,,Society,cs
668,Watchdog,391821,,3466,20210912165649,20468963,,Society,cs
669,Černá_kniha_globalizace,658613,,608,20211006062200,20527339,,Society,cs
676,Pseudohumanismus,686451,,3653,20230716204252,22980789,,Society,cs
677,Teorie_sociální_směny,642156,,5863,20220511064326,21257160,,Society,cs
702,Submisivita,1199130,,6395,20220301152318,20989027,,Society,cs
703,Vztah,466944,,2938,20221110171546,21868379,,Society,cs
711,Nový_světový_řád_(konspirační_teorie),421179,,8667,20221215183645,22225628,,Society,cs
713,Evropský_sociální_model,1331508,,3871,20220822160934,21611318,,Society,cs
717,Kulturní_marxismus,707229,,81047,20230620212044,22903674,,Society,cs
718,Transkulturní_ošetřovatelství,148827,,5790,20220208094414,20916722,,Society,cs
721,Povinná_osoba,1454250,,762,20181205174947,16750707,,Society,cs
736,Sociální_kritika,1384078,,1250,20190523094905,17266696,,Society,cs
739,Sociologie,4443,,13928,20230117082126,22350880,,Society,cs
742,Etnologie,153961,,1859,20230527130257,22831673,,Society,cs
769,Průměrný_člověk,1043289,,9637,20230720081106,22989533,,Society,cs
785,Sodomie,90754,,6027,20220719143644,21480730,,Society,cs
796,Mnohonárodnostní_stát,1505876,,984,20230123095638,22373234,,Society,cs
799,Institucionalizace,313844,,534,20210916230104,20478858,,Society,cs
804,Sociální_rovnost,1576586,,2387,20221125073943,21995372,,Society,cs
805,Občanská_práva,13260,,8044,20220627120201,21419977,,Society,cs
813,Občanská_společnost,305432,,23922,20230203181712,22408415,,Society,cs
814,Svoboda_projevu,108348,,35240,20230508081015,22773813,,Society,cs
816,Adultismus,1464865,,32756,20230716014341,22979134,,Society,cs
825,Životní_styl,510926,,23921,20230109075843,22318774,,Society,cs
829,Institucionální_analýza,1066197,,3721,20230203145723,22407657,,Society,cs
832,Sociální_síť_(sociologie),1132535,,12277,20230709194643,22960720,,Society,cs
835,Mezilidský_vztah,576258,,6851,20230612115214,22879267,,Society,cs
836,Algokracie,1794441,,1494,20230520113428,22809489,,Society,cs
