number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Premier_League_Manager_of_the_Season,1739740,,16454,20230725095609,23002863,,Sports,cs
2,Seznam_zaniklých_klubů_NHL,694008,,4388,20221122130855,21924351,,Sports,cs
4,Sportovní_kondice,1653372,,543,20210121211723,19384336,,Sports,cs
6,Melbourne_Park,596249,,8463,20230408234300,22636467,,Sports,cs
7,Dáma_(desková_hra),42287,,6318,20221228092824,22270896,,Sports,cs
8,Duke_Kahanamoku,313907,,4621,20230225114355,22491986,,Sports,cs
9,Formule_1_v_roce_2024,1865600,,9705,20230708180619,22954153,,Sports,cs
10,2018_ve_sportu,1192375,,5390,20220529183933,21339728,,Sports,cs
11,Onni_Pellinen,930075,,2808,20230517051413,22798858,,Sports,cs
13,2000_ve_sportu,56539,,7304,20220807115205,21564351,,Sports,cs
14,Sportovec_roku_(Laureus),669854,,16733,20230510211001,22782234,,Sports,cs
15,Evropská_liga_ve_stolním_tenise,1358242,,2419,20211206204721,20704792,,Sports,cs
17,Zápas_o_titul_mistryně_světa_v_šachu_1978,879869,,2580,20200731120008,18888177,,Sports,cs
19,Stadion,285531,,3196,20210608190138,20053659,,Sports,cs
21,Skikros,178767,,1825,20211124145115,20668580,,Sports,cs
23,Česko_na_mistrovství_světa_juniorů_ve_sportovním_lezení,1287520,,7965,20230208150057,22427435,,Sports,cs
24,Zimní_olympijské_hry_1940,328968,,2069,20230206072355,22415053,,Sports,cs
25,Pravidla_šachů,213367,,23587,20230725094809,23002840,,Sports,cs
27,Metaná,1372499,,3635,20230225181924,22494495,,Sports,cs
28,Mistrovství_světa_v_ledním_hokeji_2021_(Divize_I),1607867,,6270,20220809114948,21570165,,Sports,cs
29,Soutěž_mladých_jezdců_na_Tour_de_France,582253,,9379,20230724061551,22998807,,Sports,cs
31,Ringo_(sport),654082,,2748,20200929171929,19032460,,Sports,cs
33,Panenka_(časopis),1147652,,1927,20211220200440,20745458,,Sports,cs
34,Miroslav_Pěnkava,1463207,,2058,20221130064749,22111758,,Sports,cs
36,Letní_olympijské_hry_1988,149169,,18466,20230331120156,22591629,,Sports,cs
37,Seznam_medailistek_na_mistrovství_světa_v_plavání,1707308,,85615,20230512060103,22785793,,Sports,cs
38,Mistrovství_Evropy_ve_fotbale_hráčů_do_21_let_2025,1865584,,4112,20230718201315,22986090,,Sports,cs
39,Sportovec_roku_(Slovensko),1634838,,7706,20230505111845,22767081,,Sports,cs
40,Mistrovství_světa_ve_sportovní_střelbě_2010,587774,,49843,20220619110647,21399988,,Sports,cs
41,Seznam_zápasů_české_a_ruské_hokejové_reprezentace,431624,,15147,20221011093041,21755491,,Sports,cs
42,Alena_Mejzlíková-Kyselicová,281430,,2302,20221130100850,22129462,,Sports,cs
43,Mistrovství_světa_ve_fotbale_žen_do_17_let,758376,,5210,20211222015719,20749365,,Sports,cs
49,Europass,328836,,1394,20210601090036,19985253,,Sports,cs
50,Kanoepolo,825467,,8942,20230225020852,22490682,,Sports,cs
53,Pierre_de_Coubertin,76123,,6924,20230313123001,22540517,,Sports,cs
54,Sportroccia,1231988,,3848,20210125140211,19398880,,Sports,cs
55,Issa_Hayatou,1681246,,3503,20221129121558,22101224,,Sports,cs
56,Akakios_Kakiasvilis,1210791,,3717,20221130140424,22156301,,Sports,cs
58,EFL_Championship_2023/2024,1857678,,10366,20230531134041,22845363,,Sports,cs
62,Samsung_Galaxy_(esports),1678572,,6941,20210518182257,19905926,,Sports,cs
63,Triatlon,83758,,2691,20230425105119,22736587,,Sports,cs
64,Stadion_Juliska,784483,,4440,20230408234441,22636522,,Sports,cs
65,Mistrovství_světa_juniorů_v_ledním_hokeji_2024,1822188,,3858,20230314000522,22542454,,Sports,cs
67,Betony,360435,,2650,20181203194932,16743102,,Sports,cs
68,Zimní_olympijské_hry,5522,,39933,20221126200921,22026074,,Sports,cs
69,Vrchařská_soutěž_na_Giru_d'Italia,1698958,,17791,20230528172657,22835178,,Sports,cs
71,Seznam_olympijských_zkratek,591505,,31840,20210513103955,19830891,,Sports,cs
72,Laureus_World_Sports_Awards,669631,,54891,20230510210318,22782214,,Sports,cs
73,Katame_Waza,966886,,1419,20171204212825,15615860,,Sports,cs
74,Klub_sportovních_novinářů,945329,,4802,20230101163220,22286476,,Sports,cs
76,Jan_Štěrba,825717,,2346,20230407171048,22613226,,Sports,cs
78,Evropská_plavecká_liga,750472,,6988,20221013102342,21762261,,Sports,cs
80,Kondiční_běh,259165,,4207,20220411171028,21153512,,Sports,cs
81,Pivot_(basketbal),174657,,2019,20210808144850,20338033,,Sports,cs
83,Liga_mistryň_CEV,1157339,,4075,20230314205829,22544875,,Sports,cs
84,Plná_bedna_šampaňského,1107966,,7560,20230330201529,22590019,,Sports,cs
85,Potápěčská_maska,538185,,4696,20200607204924,18660156,,Sports,cs
86,Golfista,318429,,932,20221212085325,22207821,,Sports,cs
87,Formule_1_v_roce_2023,1775947,,67062,20230723151105,22997596,,Sports,cs
88,Brooke_Raboutouová,1257022,,5974,20230417220829,22711633,,Sports,cs
89,Göttingenský_rukopis,328951,,1808,20190104213223,16833865,,Sports,cs
91,Luigi_Fagioli,3335,,15365,20230104032225,22298016,,Sports,cs
94,Seznam_vítězství_týmu_Bonjour_a_jeho_nástupců,1491536,,38750,20211130092021,20684100,,Sports,cs
