number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
4,Dopravní_hřiště,131616,,5719,20221212085047,22207650,,Transportation,cs
5,Omnibus,290943,,4637,20210520114957,19912092,,Transportation,cs
8,Autovlak_(silniční_konvoj),779405,,2916,20230419041518,22716343,,Transportation,cs
9,Silniční_obchvat,610295,,4164,20220904175048,21646717,,Transportation,cs
10,Ropovod,150244,,2618,20210622185149,20093616,,Transportation,cs
11,Seznam_měst_s_tramvajovým_provozem,31565,,30605,20230725214143,23004340,,Transportation,cs
12,Podvalník,414556,,4447,20210514022931,19845978,,Transportation,cs
15,Úřední_povolení_v_dopravě,305491,,15980,20230205184721,22413892,,Transportation,cs
17,Letecká_společnost,254355,,4407,20210720050917,20208539,,Transportation,cs
20,Indikátor_přesného_přiblížení,1842456,,7219,20230409013635,22637644,,Transportation,cs
22,Centrum_dopravního_výzkumu,1647339,,5701,20230306220235,22522380,,Transportation,cs
23,Dostavník,225317,,2274,20230223125702,22486080,,Transportation,cs
24,Stevard_(letecká_doprava),257693,,5119,20211218132414,20737899,,Transportation,cs
26,LORAN,886349,,1126,20230406093322,22609949,,Transportation,cs
27,Mezihvězdný_let,511067,,3391,20211229162149,20770025,,Transportation,cs
28,Hydraulická_ruka,422334,,3669,20230222213944,22480151,,Transportation,cs
29,Portainer,130224,,653,20210808150350,20338976,,Transportation,cs
31,Ministerstvo_železnic_Čínské_lidové_republiky,867611,,1277,20210515054308,19878784,,Transportation,cs
32,Multikanálový_odbavovací_systém,1397704,,3628,20180703220126,16216151,,Transportation,cs
33,Aerosaně,1200657,,2180,20221209170806,22198349,,Transportation,cs
35,Dopravní_výchova,607661,,3711,20230401165850,22594755,,Transportation,cs
41,Tonáž_(lodní_přeprava),448532,,832,20230214083228,22446795,,Transportation,cs
42,Parabolický_let,124445,,2235,20190613114900,17351382,,Transportation,cs
43,Průvodčí,307124,,7299,20220719195122,21481379,,Transportation,cs
45,Kosmický_raketoplán,13253,,7775,20230531065659,22844006,,Transportation,cs
46,Metroprojekt,1634619,,5871,20220521111445,21300283,,Transportation,cs
47,Noc_Jurije_Gagarina,686017,,2071,20220605151046,21359278,,Transportation,cs
50,Rotor_s_reaktivním_pohonem,1553369,,18665,20230502144336,22759101,,Transportation,cs
51,Kamion,308654,,6793,20230130173604,22394915,,Transportation,cs
52,Pilotní_licence,253638,,7158,20210809060340,20359211,,Transportation,cs
53,Charterový_let,683335,,3896,20230711014827,22965191,,Transportation,cs
54,Ministerstvo_dopravy,175702,,749,20130406231814,10167151,,Transportation,cs
57,Bezplatná_veřejná_doprava,963894,,21457,20220928184255,21719646,,Transportation,cs
61,Válečné_loďstvo,8238,,1689,20220327122428,21080404,,Transportation,cs
62,Roční_průměr_denních_intenzit,611150,,1141,20200719235515,18854030,,Transportation,cs
66,Správa_Letiště_Praha,196586,,3725,20230428150123,22746210,,Transportation,cs
68,Kneeling,536110,,502,20221020104222,21784491,,Transportation,cs
69,Vícekolejná_trať,128677,,4604,20210918200029,20483858,,Transportation,cs
70,Detektor_rychlosti,1167703,,1324,20221025112442,21799163,,Transportation,cs
71,Kurzový_maják,286530,,1288,20230319152640,22558249,,Transportation,cs
73,Performance_Based_Navigation,421013,,365,20210809190303,20374741,,Transportation,cs
76,Letecký_incident,1704068,,5452,20230421120038,22725056,,Transportation,cs
77,Sdílený_prostor,570482,,2470,20210803075449,20270866,,Transportation,cs
78,Nákladní_kolo,569415,,1268,20220520064943,21291654,,Transportation,cs
80,Dopravní_průzkum,1513739,,6707,20230712135545,22968939,,Transportation,cs
81,Uzel_(jednotka),150085,,3487,20230210233802,22435465,,Transportation,cs
82,Třída_zatížení_poklopů,1404336,,1310,20180802153955,16284765,,Transportation,cs
86,S-Bahn,120162,,8233,20221214082751,22220793,,Transportation,cs
89,Pentlogram,1473374,,2446,20211214100806,20726662,,Transportation,cs
91,Obkročné_vozidlo,1845298,,7386,20230608205041,22868920,,Transportation,cs
92,Nákladiště,316161,,1262,20220531041510,21343885,,Transportation,cs
93,Seznam_značek_automobilů,8904,,21991,20230314070057,22542750,,Transportation,cs
95,Průhledový_displej,1022721,,7404,20211126215946,20674815,,Transportation,cs
96,Letecký_předpis,16098,,5044,20221102063707,21824521,,Transportation,cs
97,Námořník,267077,,1060,20191007210509,17707576,,Transportation,cs
103,Pilot,200334,,3732,20230126194540,22384055,,Transportation,cs
106,Plavidlo,47949,,1477,20230307065343,22522809,,Transportation,cs
109,ERS_Railways,461156,,7280,20211129202256,20683029,,Transportation,cs
110,Výstup_do_vesmíru,328821,,4548,20220116191814,20838664,,Transportation,cs
114,Konosament,132308,,1840,20220522134333,21313945,,Transportation,cs
117,Pravidla_silničního_provozu,46798,,41354,20230313162817,22541281,,Transportation,cs
121,Instrument_landing_system,332388,,7381,20230418203534,22715772,,Transportation,cs
126,Ředitelství_vodních_cest_ČR,857387,,4513,20220317152433,21045155,,Transportation,cs
132,Příměstská_železnice,115579,,8582,20230519032232,22806044,,Transportation,cs
133,Nehoda_ve_vodní_dopravě,347616,,2261,20220330202454,21093244,,Transportation,cs
135,Historická_letka_republiky_Československé,491003,,3627,20211105110551,20611449,,Transportation,cs
137,Radar,33502,,16821,20230405174508,22608715,,Transportation,cs
138,Přiměřený_zisk,688964,,1169,20180906101516,16425510,,Transportation,cs
141,Traťový_oddíl,187181,,2268,20220812203830,21581008,,Transportation,cs
144,Středisko_řízení_kosmických_letů,342376,,4962,20230706120557,22944706,,Transportation,cs
147,V/STOL,944567,,882,20210531124051,19981751,,Transportation,cs
149,Násyp,325670,,6196,20220521203721,21307840,,Transportation,cs
152,Silniční_dopravní_nehoda,347606,,10797,20230118102925,22355486,,Transportation,cs
155,Městská_hromadná_doprava_ve_Slovinsku,207224,,1687,20181204202545,16747877,,Transportation,cs
157,Downs–Thomsonův_paradox,1731593,,2146,20220521092734,21299309,,Transportation,cs
158,Noční_autobusové_linky_v_Praze,1323877,,98830,20230705174848,22943285,,Transportation,cs
159,Jízdné,523696,,25958,20230419043541,22716559,,Transportation,cs
