number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
3,Supreme_Soviets,660201,,3850,20130404230217,10109493,,Visual arts,cs
6,V_jako_Vendeta,457827,,5421,20230525130146,22826763,,Visual arts,cs
9,Vektorová_grafika,103582,,4014,20230529062844,22836365,,Visual arts,cs
11,Heliogravura,259966,,4455,20210806122740,20311862,,Visual arts,cs
13,Mec_art,1065611,,2490,20210530052840,19972910,,Visual arts,cs
14,Kocour_Felix,908952,,3097,20220630085506,21426981,,Visual arts,cs
17,Futurama/Simpsons_Infinitely_Secret_Crossover_Crisis,810781,,1286,20160227131306,13399686,,Visual arts,cs
19,Přídělek,710954,,953,20230725213059,23004332,,Visual arts,cs
20,Dekalk,1057835,,2656,20221212100143,22210376,,Visual arts,cs
22,Jiří_Černický,1005310,,24064,20230714140338,22976046,,Visual arts,cs
23,Výstava,186218,,3287,20221217121448,22232446,,Visual arts,cs
24,Wilhelm_Uhde,1700283,,6738,20230412165214,22692490,,Visual arts,cs
26,Český_komiks,298288,,10711,20230529134430,22838481,,Visual arts,cs
29,Josef_Führich,544948,,11673,20221124105012,21969229,,Visual arts,cs
30,Liga_výjimečných,1113594,,1371,20171006081747,15431621,,Visual arts,cs
32,Abakový_květ,794641,,389,20181111123329,16628000,,Visual arts,cs
33,Socha_svatého_Jana_Nepomuckého_(Čepice),1097491,,3925,20230304151936,22514665,,Visual arts,cs
36,Intaglio,1360056,,3547,20230113130926,22337270,,Visual arts,cs
39,Tuš,94691,,1417,20210808183442,20351087,,Visual arts,cs
40,Architekt,93828,,7011,20230720133417,22990304,,Visual arts,cs
41,Bodypainting,451399,,4554,20211031084549,20595377,,Visual arts,cs
43,Figurální_kresba,663268,,678,20221212085215,22207744,,Visual arts,cs
46,Mobil_(umění),721812,,1871,20210808180036,20348805,,Visual arts,cs
47,Julianova_akademie,1318125,,11119,20211125234127,20672115,,Visual arts,cs
50,Obrazový_rám,772103,,1790,20230331210726,22592847,,Visual arts,cs
52,Doryforos,1630286,,10138,20220928185126,21719715,,Visual arts,cs
53,Z_pekla,706565,,1653,20210605194456,20028492,,Visual arts,cs
54,Cabinet_des_Médailles,869887,,5140,20230408175100,22627868,,Visual arts,cs
55,Jane_Morris,859750,,4262,20221124134223,21983283,,Visual arts,cs
56,Triptych,630104,,845,20180401110333,15977497,,Visual arts,cs
59,Lazura,224883,,3533,20210808154614,20340923,,Visual arts,cs
61,Josef_Konstantin_Beer,420266,,3962,20221125073642,21995124,,Visual arts,cs
66,Mikrotužka,1525683,,5018,20230223201719,22487291,,Visual arts,cs
67,Carbro,529343,,2083,20140825175659,11771928,,Visual arts,cs
69,Mezinárodní_konfederace_architektonických_muzeí,720724,,6377,20221202154805,22171329,,Visual arts,cs
70,Svět_umění_(sdružení),1642333,,12802,20210803094751,20273431,,Visual arts,cs
73,Užité_umění,74086,,955,20230312133330,22537849,,Visual arts,cs
75,Barevná_hloubka,40078,,4552,20220411112019,21152728,,Visual arts,cs
76,Sribnyj_molbert,1328365,,28501,20230522183112,22815929,,Visual arts,cs
78,Inkrustace_(umění),202539,,1334,20211108214531,20621292,,Visual arts,cs
79,Sítotisk,64428,,20207,20230701200932,22933477,,Visual arts,cs
82,J._&_L._Lobmeyr,1740502,,34170,20230717184956,22983018,,Visual arts,cs
84,Polokrychle,267289,,781,20150809140958,12791194,,Visual arts,cs
86,Polychromie,202530,,2297,20210809064944,20359941,,Visual arts,cs
87,Fotografický_proces,327400,,6752,20220520093048,21295332,,Visual arts,cs
89,Mandorla,165632,,2261,20221230085329,22278647,,Visual arts,cs
91,Milan_Hajdík,1598788,,6271,20230106004611,22307082,,Visual arts,cs
92,Výtvarný_ateliér,522378,,1426,20221210164433,22201750,,Visual arts,cs
93,Jan_Kaláb,99129,,9575,20230322001630,22565136,,Visual arts,cs
94,Marina_(malířství),1142599,,1224,20210808192551,20354123,,Visual arts,cs
98,Pecha_Kucha,379011,,2411,20220521113736,21301473,,Visual arts,cs
99,Seznam_komiksů_považovaných_za_nejvýznamnější,1007197,,8501,20190614223708,17362381,,Visual arts,cs
100,Zimní_zahrada,773084,,6058,20220129085928,20884108,,Visual arts,cs
101,Šmoulové,205684,,23339,20230725103319,23008014,,Visual arts,cs
103,Talent_designu,968728,,5253,20201209145432,19246877,,Visual arts,cs
104,Karikatura,272802,,3267,20210923192313,20495879,,Visual arts,cs
114,SAIC_Program_In_Prague,568576,,1297,20220310081402,21019337,,Visual arts,cs
115,Monogram,349798,,3108,20210531015813,19977015,,Visual arts,cs
116,Rheintalhaus,1744817,,7829,20230713075003,22972622,,Visual arts,cs
117,Lukáš_Kladívko,1326748,,12243,20230104041300,22298054,,Visual arts,cs
120,Kincugi,1635005,,7870,20221212085749,22208107,,Visual arts,cs
122,Videoart,1289591,,2135,20230616131309,22891373,,Visual arts,cs
124,Projektová_dokumentace,37490,,11827,20230512140029,22787401,,Visual arts,cs
125,Transavantgarda,629758,,1246,20180513134238,16081597,,Visual arts,cs
129,Kamej,571970,,3632,20210724083941,20238829,,Visual arts,cs
130,Asambláž,243180,,917,20210601083102,19984654,,Visual arts,cs
132,Banksy,555557,,4988,20230429141439,22748615,,Visual arts,cs
134,Strip,73523,,1229,20210117090218,19367000,,Visual arts,cs
135,Vnitroblok,1354395,,795,20221212112817,22213412,,Visual arts,cs
136,František_Tkadlík,659731,,10861,20221124093417,21963027,,Visual arts,cs
139,Nádvoří,489270,,1496,20210814154000,20387962,,Visual arts,cs
140,Malířský_stojan,401324,,1361,20210601100024,19986298,,Visual arts,cs
142,Majolika,277510,,816,20190503103145,17206490,,Visual arts,cs
143,Preacher_–_Kazatel,802815,,12049,20221031201518,21818888,,Visual arts,cs
145,Křesťanské_motivy_ve_výtvarném_umění,374732,,12999,20200530223055,18570588,,Visual arts,cs
