number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Paul_Molitor,37462,,27461,20230417120630,1150311951,,Biography,en
2,Tyler_Ward,35489734,,11139,20230703210455,1163257848,,Biography,en
4,Marianne_Blicher,54196689,,1079,20210726150420,1035589093,,Biography,en
5,Marta_Felicitas_Galedary,52805439,,5129,20211124070140,1056901950,,Biography,en
6,Spyros_Gogolos,8408666,,6785,20230709085738,1164454321,,Biography,en
7,Erika_Christensen,1320759,,33487,20230717152213,1165810672,,Biography,en
8,Beethova_Obas,45671613,,3000,20220517191849,1088393939,,Biography,en
9,Michael_Oakes,3567896,,10607,20230719104200,1166101121,,Biography,en
12,Fred_LaBour,8295800,,11334,20230526115504,1157114585,,Biography,en
13,Anna_Fantastic,12764581,,5112,20230603032935,1167170513,,Biography,en
14,Brunello_Iacopetta,69822497,,3055,20230531210725,1157926598,,Biography,en
15,Rex_Hunt,1884781,,24309,20230718040646,1165901741,,Biography,en
16,Jermaine_Taylor_(basketball),21048852,,15405,20230531184915,1157907737,,Biography,en
17,Billy_Cockcroft,41606281,,4949,20210820162754,1039766934,,Biography,en
18,Ellis_Barkworth,55006287,,3884,20230707123653,1163986745,,Biography,en
19,Isaac_Adamson,5936615,,3797,20230624193122,1161741231,,Biography,en
20,Ivan_Dolček,60090126,,6572,20230722093306,1166554970,,Biography,en
21,Mateusz_Szczepaniak_(speedway_rider),14301573,,4957,20230422165422,1151219110,,Biography,en
22,Mariano_Deidda,70417894,,5771,20230418001437,1150405709,,Biography,en
23,Adam_Lasus,5693898,,11180,20230216022644,1139627837,,Biography,en
24,Guoguo,72239160,,6086,20230701141105,1162858292,,Biography,en
25,Polyp_(cartoonist),6148252,,4563,20230321071029,1145835007,,Biography,en
26,Miki_Inoue,13344316,,3351,20220404181047,1081001035,,Biography,en
27,Aghvan_Papikyan,32832062,,7718,20230709201400,1164562852,,Biography,en
28,Sewal_Fraunceys,46687028,,985,20210907120708,1042917060,,Biography,en
29,Stefan_Kaufmann_(musician),7803646,,4602,20230409035227,1148929231,,Biography,en
31,Ismaray_Marrero,58592210,,1610,20230524192040,1156814033,,Biography,en
32,Arkángel_Divino,69631973,,6979,20230512034519,1154385486,,Biography,en
33,Grégory_Martinetti,60693699,,1395,20230526020235,1157065929,,Biography,en
34,Ben_Earl,57466520,,9963,20230706182538,1163844543,,Biography,en
35,Tony_Trujillo,9421436,,5234,20230618031629,1160678923,,Biography,en
36,Akio_Minakami,8946147,,2760,20211129182453,1057793955,,Biography,en
37,Zachary_Woolfe,70483906,,6531,20230211005242,1138683703,,Biography,en
38,Miho_Bošković,18606281,,7597,20230624180718,1161731606,,Biography,en
39,Paul_McCabe,6472252,,5957,20230630144120,1162678544,,Biography,en
40,Yolande_Zauberman,24680761,,3937,20220124140700,1067650656,,Biography,en
41,Aubrey_Dennis,57631695,,3379,20230612102341,1159757920,,Biography,en
43,Hamdan_Al-Shamrani,59463182,,5878,20230709124200,1164486889,,Biography,en
46,Lotfi_Bouchnak,35527818,,4012,20230718203326,1166007958,,Biography,en
47,Leroy_Smith_(American_football),30473336,,3495,20230628045620,1162287513,,Biography,en
49,Quenton_Nelson,55829129,,17473,20230716012040,1165571665,,Biography,en
50,Evelyn_M._Cohen,28292418,,3536,20220605185008,1091685979,,Biography,en
51,Siri_Sunde,35910886,,957,20230225141431,1141526047,,Biography,en
52,Callan_O'Keeffe,73070245,,15193,20230225201307,1141585191,,Biography,en
53,Julius_Babatunde_Adelakun,64503363,,1850,20221023200607,1117827348,,Biography,en
54,Gabriella_Souza,48988652,,7389,20230407110955,1148633479,,Biography,en
55,Celso_Zubire,37176583,,5902,20220726211949,1100621155,,Biography,en
56,Mustafa_Sejmenović,15103731,,3071,20230705175121,1163594958,,Biography,en
57,"Shao_Shuai_(footballer,_born_1997)",60779419,,3172,20230706101121,1163750118,,Biography,en
58,Stanislav_Dryanov,37237692,,8816,20230705204417,1163629936,,Biography,en
60,Gia_Milani,51617208,,4306,20230419032720,1150613815,,Biography,en
61,Tomohiro_Yamamoto,13769557,,3306,20221102201750,1119671014,,Biography,en
62,Valerie_Weiss,48626343,,7930,20230623193901,1161598454,,Biography,en
63,Pablo_Vainstein,51302363,,3678,20230524101046,1156735187,,Biography,en
64,Brett_Krutzsch,61082094,,8314,20230323220115,1146279266,,Biography,en
65,Christina_Foggie,42551557,,3784,20230707043527,1163922781,,Biography,en
66,Marcelinho_Carioca,2660226,,11258,20230709181318,1164541688,,Biography,en
67,Kylie_Jones,15064769,,3526,20230420140909,1150861684,,Biography,en
68,Sasha_Kaun,4434868,,15531,20230530022545,1157651587,,Biography,en
70,Frank_Müller-Rosentritt,63384324,,3185,20221128153540,1124368297,,Biography,en
71,Monika_Beer,61492403,,1323,20230524094358,1156731726,,Biography,en
72,Gerald_M._Bowers,33309470,,3071,20230312010603,1144136109,,Biography,en
74,Larry_Jordan_(basketball),72453869,,6736,20230609224704,1159374914,,Biography,en
75,Andrea_Catherwood,5192290,,7404,20230624142337,1167304737,,Biography,en
76,Ahmad_Riza_Patria,60645801,,5821,20230321184203,1145918782,,Biography,en
77,Nicolae_Grigore,10828465,,6745,20230708144746,1164262422,,Biography,en
78,Sadarius_Hutcherson,69387527,,7049,20230719032847,1166055503,,Biography,en
79,"Paul_Manning_(police_officer,_born_1947)",66871995,,3832,20220417185825,1083223238,,Biography,en
80,Brendan_Fowler,5005926,,2841,20230608163021,1159156793,,Biography,en
81,Samantha_Redgrave,71840754,,2066,20230704124440,1163361754,,Biography,en
82,Brian_Beshara,13125873,,5882,20230616020422,1160368322,,Biography,en
83,Jorgelina_Rimoldi,7479175,,3266,20230523223902,1156649571,,Biography,en
84,Bent_Hansen_(cyclist),43672527,,1485,20230523144205,1156572488,,Biography,en
85,Thiago_Sales,13550357,,6098,20230709171201,1164530948,,Biography,en
86,Andrew_Cornick,43441598,,1737,20201001170326,981326989,,Biography,en
87,Anna-Maria_Hallgarn,44032507,,7373,20210907144731,1042941083,,Biography,en
90,Belinda_Meuldijk,31059893,,7882,20230524171328,1156794853,,Biography,en
92,Phil_Hoadley,14766593,,6312,20230707173039,1166750038,,Biography,en
93,Mahmoud_Mekki,36703574,,8593,20220807210823,1102975837,,Biography,en
94,Christy_Ren,26314976,,4086,20230525051255,1156902592,,Biography,en
95,Liana_Salazar,49796587,,6050,20230524030304,1156684658,,Biography,en
96,Eduard_Müller_(Austrian_politician),61177431,,8335,20230525220216,1157036885,,Biography,en
97,Moustafa_Ben_Lahbib,59216744,,1485,20230523081053,1156520531,,Biography,en
98,Ashok_Chavda,49695971,,11768,20230507193623,1153693379,,Biography,en
99,Ann_Streissguth,65092762,,6208,20230628085348,1162311309,,Biography,en
100,Alexandru_Lungu_(fighter),37460122,,15199,20230524155519,1156782140,,Biography,en
101,Nikolay_Petrov_(footballer),13095152,,4877,20230706083011,1163727304,,Biography,en
102,Daniel_Esposito,36966223,,2767,20230524171028,1156794343,,Biography,en
103,Miwa_Yonetsu,56801589,,3024,20200326043431,947416193,,Biography,en
104,Michael_McGovern_(footballer),1849304,,24487,20230715065235,1165444559,,Biography,en
105,Emily_Bell,41317979,,7234,20230306214306,1143284606,,Biography,en
106,Megan_Tandy,26242393,,6274,20230523041847,1156492771,,Biography,en
107,Yōji_Kuri,26465529,,6561,20230510132253,1154133165,,Biography,en
108,Louis_Hynes,53587663,,5475,20230604223507,1167338363,,Biography,en
109,Jack_Barry_(Gaelic_footballer),61813989,,3380,20230411153959,1149334724,,Biography,en
110,John_Charles_Wester,8829661,,10218,20230620072258,1161040682,,Biography,en
111,Sumi_Hwang,56556050,,5532,20230721020114,1166361807,,Biography,en
112,Rainer_Strohbach,35726849,,2384,20230525095647,1156936960,,Biography,en
113,Paruyr_Hayrikyan,18502902,,12692,20230316003052,1144865038,,Biography,en
114,Rudolf_Buitendach,21449799,,5407,20230612172733,1159808463,,Biography,en
115,Simon_Target,7704575,,10436,20230516122100,1155064020,,Biography,en
116,Roman_Popov_(footballer),46880658,,2958,20230721042046,1166375738,,Biography,en
117,Joey_Gjertsen,7015816,,7476,20230709053233,1164423138,,Biography,en
118,Natalia_Zubarevich,70463591,,7202,20230327230314,1146949195,,Biography,en
119,David_Bogie,29113548,,13484,20230211024608,1138698216,,Biography,en
120,Nib_Hogg,37928994,,2316,20230708180534,1164302083,,Biography,en
121,Josip_Bodrožić,38190137,,7981,20230612174229,1159810267,,Biography,en
122,James_Medway,61429777,,4595,20230512111841,1154423481,,Biography,en
123,Valerie_Trueblood,48532309,,985,20210422145034,1019293720,,Biography,en
124,Bojan_Tokić,30017340,,8444,20230711024714,1164782888,,Biography,en
125,Jorge_Briola,59997533,,1407,20230525233354,1157047662,,Biography,en
126,Jusuf_Dajić,6926418,,5925,20230709153014,1164512547,,Biography,en
127,Kisaburō_Suzuki_(musician),49763585,,1378,20230205015217,1166938562,,Biography,en
129,Lottie_B._Scott,69460575,,8869,20230612165757,1159804698,,Biography,en
130,Neil_D._Drysdale,5261903,,8687,20221018192332,1116869952,,Biography,en
131,Chris_Muller_(baseball),73788157,,8137,20230716061650,1165600072,,Biography,en
132,Edward_Thomas_(physicist),64275308,,13345,20230103220531,1131376058,,Biography,en
133,Tiranan_Khajornklinmala,63143889,,2492,20230525044543,1156898501,,Biography,en
134,GoodGirl_LA,72716648,,7185,20230520235739,1156051905,,Biography,en
136,Isao_Homma,20234766,,6557,20230708072949,1164185263,,Biography,en
137,Iliya_Todorov,60931696,,1308,20230523041656,1156492585,,Biography,en
138,Saharat_Hiranthanapuwadol,22772797,,5981,20230317032040,1145068173,,Biography,en
139,Nissae_Isen,52689870,,3961,20230208133926,1138189425,,Biography,en
141,Sergio_van_Kanten,50594068,,4645,20230709062245,1164431976,,Biography,en
142,Dasun_Madushan,40932847,,2287,20230617183709,1160620723,,Biography,en
144,Marcin_Staniszewski,61206548,,3013,20230719082554,1166087005,,Biography,en
145,Constantina_Pițigoi,12772228,,1158,20230524111031,1156742136,,Biography,en
147,Shaoquett_Moselmane,25375879,,20918,20230426230750,1151900390,,Biography,en
148,Boris_Jovanović,32645532,,3344,20230708194833,1164320434,,Biography,en
149,Frederick_Boateng,64304678,,3680,20230708010756,1164122088,,Biography,en
150,Nolan_Zajac,67763529,,8611,20230216080114,1139667985,,Biography,en
151,Álex_Craninx,60888597,,12266,20230708233028,1164362751,,Biography,en
152,Plaridel_Abaya,71797415,,4113,20221112020802,1121394759,,Biography,en
153,Pilou_Asbæk,34045127,,23336,20230616201039,1160487906,,Biography,en
154,Kathy_Treible,37145907,,5502,20230618100227,1160719295,,Biography,en
155,John_Rothmann,12085541,,3312,20221214053211,1127343889,,Biography,en
