number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
4,Floc_(biofilm),57805865,,3260,20210605195413,1027047411,,Biology,en
5,Compilospecies,40470355,,6135,20230519191707,1155797223,,Biology,en
6,Acidophobe,4136287,,3233,20220315204530,1077342155,,Biology,en
7,Fauna,722672,,10749,20230309182528,1143759438,,Biology,en
8,Lack's_principle,43359261,,4391,20220530180137,1090662541,,Biology,en
10,Environmental_epigenetics,72989088,,14914,20230419215057,1150735786,,Biology,en
11,List_of_taxa_with_candidatus_status,56209785,,51315,20230103123616,1131285531,,Biology,en
12,Molecular_Structure_of_Nucleic_Acids:_A_Structure_for_Deoxyribose_Nucleic_Acid,2661507,,19363,20230427003819,1151910098,,Biology,en
13,Biology,9127632,,133290,20230621224255,1161309754,,Biology,en
16,Cranial_vault,8474825,,3197,20220514233451,1087865157,,Biology,en
19,Biostasis,42940,,10044,20230305235025,1143106456,,Biology,en
20,Climax_species,25652596,,8345,20230131095430,1136634129,,Biology,en
21,Haldane's_rule,623379,,12284,20230406214755,1148554644,,Biology,en
22,Clarke_Medal,6273739,,9402,20230411072553,1149280745,,Biology,en
26,Algae_bioreactor,24128922,,21050,20230709083148,1164450673,,Biology,en
28,Prime_editing,62129266,,26536,20230616035824,1166895955,,Biology,en
29,Purpureocillium_lilacinum,33691299,,19238,20220610101907,1092448059,,Biology,en
31,List_of_environmental_sampling_techniques,68386230,,8206,20220719003546,1099097754,,Biology,en
32,Erzherzog_Rainer-Medaille,15105531,,1800,20221229192055,1130352131,,Biology,en
33,Germ_plasm,1275119,,8009,20211223105522,1061703802,,Biology,en
34,Somatic_fusion,20727645,,10933,20220730165648,1101365530,,Biology,en
36,List_of_restriction_enzyme_cutting_sites:_Ba–Bc,27456286,,37683,20230130095007,1136445458,,Biology,en
37,Biodilution,29102236,,5512,20220825040813,1106540271,,Biology,en
40,Jarman–Bell_principle,60847281,,35637,20230409083512,1148958582,,Biology,en
41,Smash_and_Grab_(biology),53942957,,993,20230627181542,1162214530,,Biology,en
43,Epibiont,14858764,,3680,20221011052000,1115380614,,Biology,en
48,Daniel_Giraud_Elliot_Medal,28306572,,7523,20230311095056,1144019670,,Biology,en
52,Transfection,619632,,34841,20230307152639,1143412993,,Biology,en
53,Philosophy_of_biology,1551073,,21406,20230710125935,1164680809,,Biology,en
56,Outline_of_biochemistry,3209677,,8279,20220505170043,1086346713,,Biology,en
57,Vectors_in_gene_therapy,34217148,,36550,20230305051009,1142954935,,Biology,en
58,List_of_restriction_enzyme_cutting_sites:_Bst–Bv,27456863,,37074,20230119232623,1134675571,,Biology,en
61,Chemotroph,1791725,,8971,20221228154756,1130098658,,Biology,en
62,Transfer_DNA,779824,,13809,20230327101842,1146853984,,Biology,en
