number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,FCM_Travel_Solutions,36214545,,4837,20230628130153,1166894347,,Business and economics,en
3,Documentary_collection,18265957,,3212,20210302155812,1009845523,,Business and economics,en
4,Independent_contracting_in_the_United_States,789973,,21034,20230413000618,1149557646,,Business and economics,en
5,Safe_harbor_(commerce),35924264,,1979,20230615164613,1160305984,,Business and economics,en
6,Research_spin-off,25202899,,1913,20221106102312,1120315358,,Business and economics,en
7,Captive_unit,19350143,,1747,20210929172123,1047221219,,Business and economics,en
8,Shareholder_democracy,70679601,,8942,20230411133848,1149318795,,Business and economics,en
9,MDDL,5345493,,886,20210416133854,1018139781,,Business and economics,en
10,Economic_consulting,71977346,,10702,20230501094249,1152619456,,Business and economics,en
13,Six_Sigma,222448,,53770,20230523155443,1156583685,,Business and economics,en
16,Jewish_business_ethics,29270993,,29320,20230628074725,1162304522,,Business and economics,en
17,Scarcity_value,397040,,2975,20230126183008,1135761904,,Business and economics,en
18,Pain_of_paying,64042952,,12873,20230515163447,1154935138,,Business and economics,en
19,SZSE_100_Index,52223395,,9037,20221013102229,1115815163,,Business and economics,en
23,Visa_Cash,1441126,,1970,20230427033434,1151931437,,Business and economics,en
25,Appraiser,2890325,,2670,20230426140704,1151828699,,Business and economics,en
27,Okun's_law,627957,,11747,20230517184501,1155337966,,Business and economics,en
32,Tulane_Corporate_Law_Institute,16773166,,7165,20221031152906,1119265666,,Business and economics,en
33,International_Economic_History_Association,62692253,,22787,20221030133829,1119057435,,Business and economics,en
35,Fortune_European_Businessman_of_the_Year,2544706,,1469,20220914080159,1110216822,,Business and economics,en
36,Company_code_of_conduct,52954662,,6666,20230315001205,1144676835,,Business and economics,en
39,Complementary_monopoly,13864664,,2531,20201018205852,984209406,,Business and economics,en
44,Innovation_leadership,37375537,,44669,20230330221037,1147429480,,Business and economics,en
45,Wealth_effect,1854161,,4243,20210124045033,1002385426,,Business and economics,en
47,No-arbitrage_bounds,1648293,,1682,20220811140753,1103920203,,Business and economics,en
48,Employer_Registration,11519693,,1860,20170810094948,794837961,,Business and economics,en
53,Owner_earnings,8831073,,4390,20220114211851,1065703675,,Business and economics,en
54,Romanticism_and_economics,68210680,,18689,20221012130203,1115639704,,Business and economics,en
56,Harris–Todaro_model,585882,,5216,20230321003152,1145789330,,Business and economics,en
58,Origination_fee,1117233,,1881,20230630013043,1162585851,,Business and economics,en
59,Workplace_deviance,22709409,,13763,20230416071014,1150085905,,Business and economics,en
61,Expenditure_incidence,20622556,,2225,20230704140453,1163371931,,Business and economics,en
62,Private_company_limited_by_shares,30862930,,11959,20230625115155,1167282805,,Business and economics,en
63,Induced_consumption,2634501,,1337,20230608235731,1159211491,,Business and economics,en
66,Talygen_Business_Intelligence,42865956,,3711,20230706054414,1163707675,,Business and economics,en
68,Adversarial_purchasing,21453335,,1233,20230626184710,1162055271,,Business and economics,en
69,Net_national_product,1435816,,3495,20220703090659,1096257830,,Business and economics,en
72,Mark_Twain_effect,975111,,1432,20201211041355,993543303,,Business and economics,en
73,National_Association_of_Government_Contractors,15090988,,978,20230701001218,1162757872,,Business and economics,en
74,Conversocial,39219632,,11363,20230319160403,1145524244,,Business and economics,en
77,Product_(business),240410,,21194,20230709140630,1164499593,,Business and economics,en
80,Stock_mix,9644000,,338,20211209155847,1059459504,,Business and economics,en
81,Front_office,1583605,,5922,20221123203428,1123451678,,Business and economics,en
82,Export_and_Imports_Permits_Act,65709085,,3175,20230630005030,1162581053,,Business and economics,en
83,Family_business,1467641,,23603,20230305185849,1143062236,,Business and economics,en
86,Stylized_fact,1416885,,7522,20230101051712,1130832758,,Business and economics,en
88,General_partnership,1730791,,8383,20230703231710,1163275566,,Business and economics,en
89,Bestshoring,21232723,,816,20170305112731,768719192,,Business and economics,en
93,Refusal_to_deal,9629973,,2086,20211113201712,1055089564,,Business and economics,en
94,Business_executive,4706893,,4665,20221123141725,1123395984,,Business and economics,en
95,Operation_Enterprise,3424368,,1156,20220511063331,1087234960,,Business and economics,en
96,Pushkin_Industries,69472431,,3810,20230401012820,1147607576,,Business and economics,en
97,CommunicAsia,22887461,,10780,20230522102627,1156338996,,Business and economics,en
99,Liquidity_premium,4242623,,3104,20230702142809,1163027563,,Business and economics,en
100,Kabushiki_gaisha,3469273,,18623,20230530051507,1157665188,,Business and economics,en
