number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Surfactin,7136636,,13793,20230203014315,1137149378,,Chemistry,en
2,Enantiomer,176304,,23866,20230713114842,1165165487,,Chemistry,en
3,Folding_(chemistry),10607261,,1761,20230717105309,1165781456,,Chemistry,en
4,Endo-exo_isomerism,2627469,,1410,20230717105709,1165781880,,Chemistry,en
5,Brunner_Professor_of_Physical_Chemistry,60278132,,117,20220505212115,1086382394,,Chemistry,en
7,Amorphous_brazing_foil,14694087,,4210,20230407092213,1148623143,,Chemistry,en
8,Crystallography,7794,,26902,20230708105749,1164220517,,Chemistry,en
9,Peptoid_nanosheet,41017951,,6006,20211219000039,1060993873,,Chemistry,en
10,Gas_phase_electrophoretic_molecular_mobility_analysis,50227746,,1474,20200413143901,950726064,,Chemistry,en
11,Industrial_separation_processes,45275951,,2913,20220701111223,1095949795,,Chemistry,en
12,International_Palladium_Medal,50909983,,12325,20230130024350,1136390471,,Chemistry,en
13,Bond_hardening,40748127,,17483,20210506210107,1021817059,,Chemistry,en
14,RiboGreen,1196936,,1862,20210123175158,1002278511,,Chemistry,en
16,Plumbosolvency,4372013,,2403,20200222214924,942144393,,Chemistry,en
18,Product_(chemistry),540448,,9205,20230717111221,1165783335,,Chemistry,en
19,Haber–Weiss_reaction,6044329,,7765,20230325103657,1146513647,,Chemistry,en
21,Dibromobenzene,33893630,,492,20180218013644,826243911,,Chemistry,en
22,Allylguaiacol,9879300,,434,20201101192813,986583775,,Chemistry,en
23,Femtochemistry,450543,,5710,20230109162213,1132589617,,Chemistry,en
24,Electron_configuration,67211,,59798,20230711085420,1164819735,,Chemistry,en
25,Journal_of_Chemical_Information_and_Modeling,5349958,,3678,20230629063510,1162444637,,Chemistry,en
26,Dihydroxycholecalciferol,25571747,,432,20150204161824,645619557,,Chemistry,en
27,Wet_oxidation,7399275,,9843,20221109213146,1120979393,,Chemistry,en
28,ADME,826690,,6472,20230715191638,1165528778,,Chemistry,en
29,Anisidine,3586281,,294,20180202142058,823641818,,Chemistry,en
30,Size-exclusion_chromatography,97911,,31337,20230713064341,1165137770,,Chemistry,en
31,Mole_fraction,20306,,9001,20221219232904,1128400117,,Chemistry,en
32,Nitroaniline,12310762,,557,20230710000318,1164595403,,Chemistry,en
33,Fluoroamphetamine,24416168,,430,20210307062036,1010769067,,Chemistry,en
34,History_of_fluorine,39483774,,21686,20230625214338,1161922387,,Chemistry,en
36,Magic_number_(chemistry),17625628,,1453,20220624171220,1094816268,,Chemistry,en
37,Thallium_hydroxide,29151976,,465,20220513010539,1087534222,,Chemistry,en
39,List_of_steroidal_antiandrogens,51983374,,3806,20220314174952,1077133441,,Chemistry,en
40,Glycosyl_donor,22484288,,3937,20171024120515,806828707,,Chemistry,en
41,Atomic_number,673,,14346,20230710132316,1164683699,,Chemistry,en
43,Hydroxyflavone,24339665,,524,20220412170711,1082342958,,Chemistry,en
44,Chiral_shift_reagent,7587223,,1787,20200331172155,948366934,,Chemistry,en
45,Redox_indicator,577876,,5880,20230506190825,1153495384,,Chemistry,en
46,Faraday_Society,696626,,5509,20230721003120,1166350414,,Chemistry,en
47,Molybdenum_chloride,20955504,,424,20180715004543,850298531,,Chemistry,en
48,Methylene_(compound),30333000,,13161,20230709094359,1164460732,,Chemistry,en
49,Phosphorus_tribromide_(data_page),2189362,,4380,20230412113903,1149461123,,Chemistry,en
50,Flash_photolysis,3032460,,2223,20220909190256,1109424040,,Chemistry,en
52,Mass-independent_fractionation,1739569,,10956,20230506003933,1153384630,,Chemistry,en
54,Imbibition,2785135,,4729,20221229103444,1130266962,,Chemistry,en
55,Octanediol,51600225,,454,20171027000907,807275250,,Chemistry,en
56,Hydroxycoumarin,24233554,,412,20151222160657,696355197,,Chemistry,en
57,Methylfentanyl,36375767,,461,20151220214350,696093330,,Chemistry,en
58,Standard_electrode_potential_(data_page),38877,,53138,20230612094329,1159753497,,Chemistry,en
60,Tm_ligands,4289311,,3751,20230404124701,1148160217,,Chemistry,en
61,Thulium_fluoride,72637596,,483,20230101145110,1130900451,,Chemistry,en
62,Chemical_potential,218628,,28717,20230704222558,1163444201,,Chemistry,en
63,Klyne–Prelog_system,39253041,,1945,20230717105606,1165781762,,Chemistry,en
64,Roasting_(metallurgy),8920717,,7099,20221208132708,1126276144,,Chemistry,en
65,Properties_of_water,24027000,,82746,20230716192038,1166938352,,Chemistry,en
66,Othmer_Gold_Medal,43036630,,14465,20221030141018,1119061944,,Chemistry,en
67,Kosmotropic,2833962,,6029,20230522135157,1156365781,,Chemistry,en
70,Ferrier_carbocyclization,22409391,,6170,20200924054442,980028700,,Chemistry,en
71,Epimer,1059781,,4622,20220621125844,1094232886,,Chemistry,en
