number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,List_of_alternative_shells_for_Windows,458520,,6159,20230626172021,1162043282,,Computing,en
3,S-LINK,1734731,,2207,20211022175122,1051304870,,Computing,en
6,Enhanced_Variable_Rate_Codec,1188566,,1848,20210821005948,1039829655,,Computing,en
9,OS/4,73493574,,1496,20230504193730,1153195152,,Computing,en
10,Critical_error,32679314,,90,20130112065538,532662500,,Computing,en
11,Data_science,35458904,,23722,20230722124417,1166572580,,Computing,en
12,Vert.x,37679972,,6625,20230109155450,1132585254,,Computing,en
14,List_of_computer_system_emulators,11561331,,96375,20230702161630,1163041799,,Computing,en
16,Semantics_of_Business_Vocabulary_and_Business_Rules,13404388,,19009,20220429103821,1085252262,,Computing,en
18,List_of_AMD_graphics_processing_units,3898076,,193970,20230605025811,1158603687,,Computing,en
19,Data_wrangling,12487489,,14546,20230711155142,1164870853,,Computing,en
20,Page_fault,1157143,,8501,20230119093816,1134571572,,Computing,en
22,ACM/IEEE_Supercomputing_Conference,26528420,,44879,20230703180310,1163233681,,Computing,en
23,Information_silo,3620743,,6386,20230417114406,1150309165,,Computing,en
24,Esprit_Systems,69494267,,2105,20230212061200,1166990654,,Computing,en
25,Execution_model,46755114,,11305,20230218103042,1140088796,,Computing,en
26,IBM_1015_(terminal),68329749,,2726,20230126215414,1135791540,,Computing,en
27,SuperCPU,20259897,,2631,20230109205435,1132639289,,Computing,en
29,Research_Unix,2901245,,16860,20230516130215,1167034981,,Computing,en
31,ICL_2900_Series,2811049,,15762,20230704155812,1163388394,,Computing,en
32,List_of_users'_groups,3420518,,1847,20221107233556,1120618757,,Computing,en
33,System_on_a_chip,100563,,45704,20230707040246,1163919838,,Computing,en
35,Ferranti_Perseus,57906086,,5180,20221217164716,1127960387,,Computing,en
36,Sistema_700,68810760,,5448,20230121145847,1134927711,,Computing,en
38,OSS_through_Java,2598319,,1795,20210211044227,1006121376,,Computing,en
39,Write_buffer,4576285,,3029,20230405152931,1148338182,,Computing,en
