number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Global_Standard_Stratigraphic_Age,1786604,,4171,20230320044107,1145633598,,Earth and environment,en
4,Soil_conservation,1704228,,17495,20230703054212,1163140345,,Earth and environment,en
6,Bioretention,13737048,,10597,20220814121548,1104356529,,Earth and environment,en
7,Oceanography,44044,,42700,20230715220829,1165550106,,Earth and environment,en
13,Hydrophobic_soil,4211997,,14767,20230714121709,1165321581,,Earth and environment,en
19,Soil_liquefaction,544776,,29284,20230509001946,1153895213,,Earth and environment,en
20,Hotspot_Ecosystem_Research_and_Man's_Impact_On_European_Seas,25367575,,36192,20210811004222,1038181341,,Earth and environment,en
23,Planetary_boundaries,24458151,,102195,20230714124003,1165324382,,Earth and environment,en
26,Reid's_paradox_of_rapid_plant_migration,63265544,,6334,20220514141430,1087785115,,Earth and environment,en
29,Natural_resource_management,10432412,,45950,20230526105939,1157110224,,Earth and environment,en
33,Mesoplates,11107751,,13068,20200524201946,958620236,,Earth and environment,en
34,John_Lawton_(biologist),2768185,,8433,20230114123232,1133565643,,Earth and environment,en
37,Personal_environmental_impact_accounting,20574897,,3068,20221127003950,1124032938,,Earth and environment,en
44,Pesticide_drift,16335526,,19649,20230408145131,1148821022,,Earth and environment,en
46,Day_length_fluctuations,35971482,,10301,20230429131218,1152310880,,Earth and environment,en
51,Carbon_dioxide_in_Earth's_atmosphere,11251601,,84509,20230714202208,1167333828,,Earth and environment,en
52,Arctic_Intermediate_Water,37793688,,3096,20221005155132,1114256964,,Earth and environment,en
55,Steady-state_economy,1517620,,152433,20230706064714,1163714721,,Earth and environment,en
56,NASA_Earth_Science,6045951,,2412,20220518202121,1088566772,,Earth and environment,en
58,Action_for_Climate_Empowerment,53839669,,19095,20230702063301,1162978587,,Earth and environment,en
59,Climate_inertia,46676535,,19394,20230722232611,1167438642,,Earth and environment,en
60,Redox_gradient,27499917,,18509,20230212163257,1138958725,,Earth and environment,en
68,Bioconversion,3788586,,6712,20220819205847,1105353767,,Earth and environment,en
69,Tropical_salt_pond_ecosystem,35300839,,11197,20230421150209,1151041416,,Earth and environment,en
75,Tundra,30684,,24702,20230613101217,1159916413,,Earth and environment,en
