number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
5,Bachelor_of_General_Studies,941183,,2365,20230616210121,1160493410,,Education,en
9,"Science,_technology,_engineering,_and_mathematics",3437663,,92722,20230726124551,1167220628,,Education,en
11,The_Nova_Project,4238041,,5392,20230717062401,1165756255,,Education,en
15,Letters_to_a_Pre-Scientist,69558423,,5623,20230326125130,1146697660,,Education,en
18,Asia-Pacific_Regional_Conference_on_Service-Learning,54821799,,9914,20230721070457,1166390763,,Education,en
20,Differentiated_instruction,30872766,,32424,20230614062650,1160064464,,Education,en
21,Think-pair-share,47681764,,2931,20230720024306,1166212935,,Education,en
23,Synchronous_conferencing,8143988,,9615,20230509012036,1153903054,,Education,en
26,Secular_education,827398,,5526,20221221131957,1128695420,,Education,en
27,National_Repository_of_Open_Educational_Resources,45061396,,3779,20230702125251,1163017099,,Education,en
29,Capitation_fee,20509727,,35463,20230415222004,1150024118,,Education,en
33,Wellspring_Academies,3266808,,12245,20220820183217,1105540735,,Education,en
34,Small_schools_movement,2297237,,11035,20230211203612,1138821230,,Education,en
40,Hasidic_education_controversy_(New_York),74313807,,51274,20230727191606,1167438101,,Education,en
45,Demerit_(school_discipline),62028281,,3226,20230515154348,1154929029,,Education,en
47,Career_Clusters,9486045,,4255,20230425014508,1151600877,,Education,en
53,National_Curriculum_for_Wales_(2008–2026),42417640,,13845,20230505231625,1153374604,,Education,en
54,Greenhouse_Schools_Project,7146201,,968,20221022154830,1117598186,,Education,en
56,Training_schools_in_China,57508682,,1862,20210703071607,1031720460,,Education,en
58,Service-learning_in_engineering_education,17183579,,15644,20230515190538,1154954966,,Education,en
60,Two-room_school,66751812,,17340,20221111043450,1121220389,,Education,en
63,Northern_Ireland_Curriculum,42418203,,6252,20220911205740,1109782214,,Education,en
70,Excellence_and_equity,9857554,,4421,20230408121742,1148800781,,Education,en
71,History_of_institutions_for_deaf_education,63287127,,26871,20230606022313,1158761133,,Education,en
73,Notre_Dame_of_Isulan,36708944,,1887,20230113045747,1133314068,,Education,en
77,Learning_analytics,28486111,,60929,20230517091530,1155242187,,Education,en
78,Ministry_of_Education_(Rwanda),44055488,,4003,20200430025723,953989437,,Education,en
79,Wisconsin_Center_for_the_Advancement_of_Postsecondary_Education,9091662,,5869,20190216020735,883549096,,Education,en
84,Academic_specialization,21490880,,3198,20230430113743,1152465000,,Education,en
85,Chrysalis_(boarding_school),30065745,,2253,20230508133244,1153811252,,Education,en
87,Commonwealth_Register_of_Institutions_and_Courses_for_Overseas_Students,7332005,,24296,20230421040525,1150973177,,Education,en
91,Digital_media_in_education,60513764,,23762,20230213005918,1139035058,,Education,en
94,Cascade_school,73756062,,6881,20230704124447,1163361767,,Education,en
95,Educational_management,58651179,,50539,20230613231739,1160017253,,Education,en
96,National_Survey_of_Student_Engagement,5022384,,10020,20230702025915,1162957119,,Education,en
98,Network_for_Education_and_Academic_Rights,12414897,,2515,20220730164647,1101364035,,Education,en
99,M-learning,1420232,,40179,20230725054148,1167019711,,Education,en
103,Future_Problem_Solving_Program_International,37470376,,11835,20230626161943,1162036121,,Education,en
104,Legacy_preferences,2054729,,27819,20230730182940,1167929248,,Education,en
105,Vocational_school,663857,,29903,20230722160316,1166596340,,Education,en
111,The_Hidden_Curriculum,1191780,,5922,20230522141800,1156369770,,Education,en
112,Schmerenbeck_Educational_Centre_for_Gifted_and_Talented_Children,25114247,,4285,20230321083914,1145844002,,Education,en
113,Free_university,54982526,,4948,20220803001939,1102019445,,Education,en
116,Informal_education,10096030,,10243,20230622043144,1161350389,,Education,en
117,Dylan_Wiliam,47918654,,8180,20230408121527,1148800579,,Education,en
121,Externship,1710902,,6601,20230405221008,1148393089,,Education,en
126,Working_class_education,20391957,,11849,20230711235043,1164927806,,Education,en
128,Old_West_Academy,8775663,,5237,20230529113922,1157555318,,Education,en
129,Scholastic_probation,28682955,,1845,20230728205055,1167615422,,Education,en
130,Physical_education,217324,,21701,20230720091821,1166248101,,Education,en
131,"St._Therese_Educational_Foundation_of_Tacloban,_Inc.",31311141,,1411,20230801082543,1168185628,,Education,en
137,St._Vincent_School,26681262,,1630,20230523105746,1156540390,,Education,en
149,"Centre_for_Research_in_the_Arts,_Social_Sciences_and_Humanities",13572669,,9141,20220923223528,1111960063,,Education,en
150,Ignition_(student_training),31204157,,1786,20211017170548,1050410736,,Education,en
152,Mexico_Link,6334308,,2768,20200401145551,948527536,,Education,en
153,Blended_learning,584757,,33549,20230706073019,1163720034,,Education,en
154,Master_of_Religious_Education,5302079,,3906,20220830015427,1107447917,,Education,en
155,Scholarship,180337,,13580,20230721124306,1166421058,,Education,en
159,Contract_grading,13476264,,16552,20230105134452,1131731023,,Education,en
160,Issues_in_higher_education_in_the_United_States,61009214,,142658,20230722140103,1166582152,,Education,en
163,Dharma_Realm_Buddhist_University,39225718,,24137,20230313004904,1144309012,,Education,en
166,WestEd,22632742,,35475,20230131072312,1136619817,,Education,en
169,Core_Curriculum_(Columbia_College),1170640,,17408,20230716080715,1165609983,,Education,en
171,College_tuition_in_the_United_States,4585857,,36326,20230705002340,1163457712,,Education,en
172,Shortridge_Academy,5993202,,3061,20230603022733,1158280094,,Education,en
176,Reverse_jigsaw,47783649,,4194,20220813064355,1104177257,,Education,en
177,Foundation_course,17083000,,4222,20230305191922,1143065452,,Education,en
180,School_classification,56829633,,3273,20220317103717,1077633540,,Education,en
184,Interactive_Learning,31939066,,5689,20230409122355,1148981330,,Education,en
185,Zero-tolerance_policies_in_schools,4552421,,38479,20230718231908,1166027420,,Education,en
187,Classical_education_movement,27812828,,24477,20230531043201,1157813614,,Education,en
188,Majma-ul-Uloom_Al-Islamia,70102597,,4586,20230709200405,1164561225,,Education,en
189,Postgraduate_Diploma_in_Education,1442208,,1831,20221128000149,1124234629,,Education,en
190,Micro-schooling,26098809,,6651,20230508111956,1153797706,,Education,en
191,Education_minister,10946460,,15800,20230415030104,1149892805,,Education,en
192,World_Teachers'_Day,2822215,,6105,20230531140004,1157871414,,Education,en
193,Lifewide_learning,10160973,,2937,20230522141616,1156369513,,Education,en
194,Student-centered_learning,411509,,16248,20230703212056,1163260394,,Education,en
199,Alternative_school,419631,,16671,20230324021700,1146307985,,Education,en
201,Key_Stage_4,2338202,,4654,20230531140456,1157871907,,Education,en
202,Institute_of_Education_Sciences,7909073,,10932,20230730044740,1167834608,,Education,en
203,Certified_teacher,13805926,,27238,20230607185754,1159023217,,Education,en
208,MENTOR,13908378,,3383,20230413152148,1149650902,,Education,en
210,List_of_Sudbury_schools,485404,,3347,20230711141009,1164857109,,Education,en
214,Humane_education,5713212,,15852,20230317231748,1145233407,,Education,en
219,Discrimination_in_education,46945565,,24016,20230528093602,1157395855,,Education,en
220,Parent_Commission,64747298,,18122,20221111192038,1121338505,,Education,en
221,Invest_in_US,48897888,,12178,20221026063628,1118300355,,Education,en
223,International_students_in_Canada,63342378,,33612,20230730161406,1167911257,,Education,en
225,Resource_room,22630504,,8842,20230201141459,1136855685,,Education,en
232,Emergent_curriculum,10674678,,15360,20230313084056,1144354843,,Education,en
236,Walden's_Path,44865622,,4100,20230508040701,1153753390,,Education,en
238,Early_childhood_education,429541,,61677,20230801091605,1168190101,,Education,en
239,Student_financial_aid,28814703,,1616,20220406163656,1081304245,,Education,en
242,Personal_and_social_education,852223,,2242,20220915161426,1110462423,,Education,en
244,Disengagement_from_education,63416800,,11787,20220329090554,1079913170,,Education,en
245,Architecture_studio,16012095,,1159,20191116141811,926454208,,Education,en
249,Passive_learning,50026297,,8206,20230703000851,1163100121,,Education,en
252,Dropping_out,2925542,,16576,20230713134904,1165176818,,Education,en
255,Context-based_learning,36927848,,1594,20230208122359,1138178038,,Education,en
256,Spiral_approach,980688,,3018,20230408122649,1148801603,,Education,en
260,Srishti_Institute_of_Art_Design_and_Technology,8514923,,6101,20230604004416,1158422385,,Education,en
262,Small_Learning_Community,8017127,,4238,20210710065618,1032881041,,Education,en
263,Technion_Faculty_of_Electrical_Engineering,41201513,,3148,20230723140729,1166746767,,Education,en
264,Bachelor_of_Science_in_Paramedicine,36367085,,3094,20220213000029,1071501200,,Education,en
265,Science_of_team_science,27514641,,22539,20230731173042,1168079957,,Education,en
267,Writing_center,1235779,,20152,20230702031517,1162959390,,Education,en
269,Online_lecture,20078136,,2482,20230602003331,1158102450,,Education,en
270,Institutional_research,2138561,,4398,20230215153349,1139521322,,Education,en
271,Leadership_school,1239504,,979,20211228145622,1062450512,,Education,en
272,Macondo_Writers_Workshop,50594033,,5821,20230602003933,1158103255,,Education,en
273,Visual_arts_education,2071765,,28771,20230627143046,1162185262,,Education,en
274,Secondary_school,554992,,18750,20230621132457,1161240501,,Education,en
275,Authentic_learning,42478813,,17114,20230707201412,1164068036,,Education,en
279,Online_communication_between_school_and_home,29367893,,24680,20230129011027,1136160469,,Education,en
280,Free_education,724650,,32504,20230717042950,1165744883,,Education,en
282,Irish_Second–Level_Students'_Union,21597838,,5090,20230708105943,1164220897,,Education,en
285,Nursery_schools_of_France,71195460,,15635,20230330131022,1147362604,,Education,en
287,Core_Knowledge,9015666,,1963,20171113154018,810140897,,Education,en
288,NSTF_–_National_Student_Travel_Foundation,27679373,,19710,20230621072516,1161199010,,Education,en
290,Social_media_in_education,48839543,,58387,20230622040613,1161347614,,Education,en
294,Dialogic_learning,16921071,,34822,20221225050911,1129405327,,Education,en
300,Ministry_of_Federal_Education_and_Professional_Training,17201208,,10620,20221021151442,1117405443,,Education,en
303,Education_in_Georgia_(country),18102855,,3185,20221104040758,1119923385,,Education,en
307,Open_University,158464,,73913,20230730070830,1167852056,,Education,en
311,Higher_education_leadership,30806773,,814,20210219105741,1007681849,,Education,en
312,International_Preschool,26578865,,1681,20230130182655,1136514776,,Education,en
313,Teacher_leadership,45314428,,23603,20220904044908,1108395503,,Education,en
314,Blindness_and_education,571026,,14880,20230109202731,1132635269,,Education,en
315,Supreme_Education_Council_(Qatar),47300092,,4507,20220914052349,1110198317,,Education,en
317,Arts_in_education,7306013,,6271,20220725140613,1100358236,,Education,en
318,Diamond_Ranch_Academy,29083835,,16893,20230730074816,1167856486,,Education,en
325,National_Numeracy_Strategy,5760660,,3564,20211212134710,1059927202,,Education,en
326,Teacher_burnout,70089769,,4842,20230702030922,1162958694,,Education,en
327,White_Stag_Leadership_Development_Program,18465292,,77861,20230626210115,1162072609,,Education,en
333,European_Schoolnet,20517051,,7413,20230210145445,1138599522,,Education,en
335,Learning-by-doing,30961939,,21179,20230709053213,1164423071,,Education,en
340,List_of_University_of_Oxford_people_in_education,12823318,,11314,20220822104239,1105916829,,Education,en
341,Digital_scholarship,40107286,,12287,20221106225328,1120420962,,Education,en
342,Senior_secondary_education,45033110,,2719,20221019141727,1117017677,,Education,en
347,Newcomer_education,63308682,,35662,20230212224034,1139014332,,Education,en
349,Foundation_Stage,7082759,,4162,20230417163642,1150345024,,Education,en
350,Australian_Universities_Quality_Agency,52196595,,2787,20220301143501,1074675122,,Education,en
351,Free_school_movement,41019082,,11446,20230303211238,1142687919,,Education,en
352,College,5689,,77098,20230718085308,1165928094,,Education,en
355,Curriki,8509684,,4090,20211117163204,1055756273,,Education,en
357,Infant_school,432742,,8209,20230305173028,1143048560,,Education,en
362,Licentiate_of_Arts,1890222,,488,20220425232527,1084679866,,Education,en
364,East_Kent_Sudbury_School,59356664,,4636,20230403145342,1148012313,,Education,en
365,Special_education,436831,,104625,20230725012820,1166989116,,Education,en
369,Collaborative_pedagogy,38522836,,19155,20220917173251,1110810030,,Education,en
370,Ability_grouping,1209078,,5640,20230103012554,1131201890,,Education,en
372,Open_classroom,2958612,,6511,20230525105503,1156943547,,Education,en
374,Integrated_Postsecondary_Education_Data_System,9387810,,14102,20230325001103,1146454477,,Education,en
377,LIFO_(education),31680808,,12336,20230112151155,1133173372,,Education,en
380,Monsignor_Fraser_College,40794568,,8419,20230525185610,1157008240,,Education,en
386,K–12,230961,,14631,20230710150651,1164697136,,Education,en
392,Multilingual_education,10870972,,9784,20230418100610,1150463061,,Education,en
393,Phonics,42325,,204318,20230723021544,1166671854,,Education,en
394,Standardized_test,225971,,87981,20230622163547,1161425615,,Education,en
397,Technology_education,1747550,,11113,20230310115157,1143868942,,Education,en
404,"Board_of_Intermediate_and_Secondary_Education,_Dera_Ghazi_Khan",30141070,,2194,20230301121104,1142262173,,Education,en
405,Bachelor's_Degree_Examination_for_Self-Education,20653446,,3025,20221226170718,1129684269,,Education,en
406,The_DO-IT_Center,38384510,,16514,20230612121017,1159769042,,Education,en
407,Graduate_enrollment_management,45303654,,3546,20220312055615,1076645361,,Education,en
409,Period_(school),27411966,,4555,20230708034606,1164152593,,Education,en
410,Key_Stage_2,6097875,,5325,20230419101603,1150653153,,Education,en
412,Council_of_International_Students_Australia,31045225,,4499,20230726101225,1167204794,,Education,en
414,Edge_(educational_foundation),16160262,,3585,20221005090525,1114197963,,Education,en
417,Continuing_education_unit,3294201,,2801,20221024140757,1117969075,,Education,en
