number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
3,Huamo,56671606,,1185,20220820193718,1105554179,,Food and drink,en
4,Whey_protein,1525498,,13809,20230405111628,1167225097,,Food and drink,en
8,Food_competition,21339283,,3569,20220625093135,1094915431,,Food and drink,en
11,Bread_in_culture,51793268,,27962,20230613105051,1159920241,,Food and drink,en
13,List_of_serving_utensils,36180638,,760,20230710143332,1164692906,,Food and drink,en
17,Non-protein_nitrogen,15234661,,2415,20230425134323,1151669470,,Food and drink,en
18,Food_industry,2437974,,35603,20230720203304,1166322780,,Food and drink,en
19,Expiration_date,47412303,,36257,20230722202723,1166632539,,Food and drink,en
23,List_of_foodborne_illness_outbreaks_by_death_toll,33350084,,34765,20230501232031,1152728358,,Food and drink,en
26,Degustation,2832638,,2458,20210304172252,1010273405,,Food and drink,en
28,Food_Balance_Sheet,26064110,,6346,20181227130432,875562136,,Food and drink,en
31,Organic_food,17345999,,104373,20230712000621,1164929585,,Food and drink,en
35,King_of_cheeses,47675977,,3261,20230531194623,1157916128,,Food and drink,en
38,Hangover_remedies,54686588,,29209,20230608083601,1159107693,,Food and drink,en
39,Local_food,233373,,27990,20230617193927,1160627665,,Food and drink,en
46,Boston_bread_riot,2503716,,2019,20230405172725,1148353291,,Food and drink,en
53,Rolled_oats,2762999,,6108,20230605152210,1158677305,,Food and drink,en
55,Bread_crumbs,1277062,,7235,20230416105115,1150111828,,Food and drink,en
56,Food_policy,3766266,,75347,20230721123401,1166420136,,Food and drink,en
59,Health_effects_of_wine,3187173,,43034,20230505231751,1153374813,,Food and drink,en
60,Asian_Restaurant_and_Takeaway_Awards,74134873,,6398,20230714195904,1165377158,,Food and drink,en
62,Ark_of_Taste,19612516,,71869,20230427121225,1151979339,,Food and drink,en
64,Vegetarian_cuisine,32601,,24401,20230708015522,1167109362,,Food and drink,en
68,Hoarding_(animal_behavior),1847013,,18467,20230319034504,1145433263,,Food and drink,en
70,Flaming_drink,8653966,,19368,20230620021322,1161013537,,Food and drink,en
71,Toxic_food_environment,5909481,,6421,20230411214944,1149382817,,Food and drink,en
72,Weight_loss_effects_of_water,28541957,,2881,20230720110944,1166257094,,Food and drink,en
73,Standards_of_identity_for_food,7594365,,5354,20211111123648,1054669688,,Food and drink,en
75,Food_extrusion,36442869,,19311,20230610154440,1159478296,,Food and drink,en
76,Nutrition_facts_label,3426093,,54109,20230607140323,1158986143,,Food and drink,en
79,An_Edible_History_of_Humanity,34156730,,7024,20230418161156,1150511948,,Food and drink,en
81,Foodshed,31304600,,12167,20211010181337,1049243417,,Food and drink,en
83,Sustainable_food_system,12812621,,95275,20230713124710,1165170728,,Food and drink,en
84,Molecular_gastronomy,2623191,,41452,20230720005134,1166199887,,Food and drink,en
85,Functional_chewing_gum,8033023,,2173,20220607110658,1091953371,,Food and drink,en
86,Centella_asiatica,4417862,,11174,20230711084309,1164818551,,Food and drink,en
87,Eating,212818,,21631,20230706205310,1163868193,,Food and drink,en
88,Met-Rx,3878317,,7465,20220427050827,1084887520,,Food and drink,en
89,Sweetened_beverage,39164260,,49311,20230129023747,1167429200,,Food and drink,en
90,Good_Food_Awards,47041382,,6437,20211109021534,1054272706,,Food and drink,en
92,TrimSpa,1593284,,4699,20230602114452,1158175135,,Food and drink,en
94,Ensure,6066671,,6003,20230519232002,1155833849,,Food and drink,en
95,History_of_sugar,16984755,,51862,20230721005201,1166353082,,Food and drink,en
96,Club_des_Croqueurs_de_Chocolat,64758806,,4343,20230713233242,1165248268,,Food and drink,en
98,Hazard_analysis_and_critical_control_points,316849,,27508,20230714101326,1165307947,,Food and drink,en
99,Asian_cuisine,294770,,14305,20230722172031,1166605790,,Food and drink,en
100,Shell_Chuan_Chim,61629852,,132,20190828235208,912957235,,Food and drink,en
108,Social_lubricant,13994442,,1551,20230624204053,1161748637,,Food and drink,en
109,Coffee_cupping,6132240,,12671,20230616183229,1160476256,,Food and drink,en
111,History_of_Japanese_cuisine,35722648,,20603,20230704000455,1163280859,,Food and drink,en
113,Pea_protein,33441129,,19221,20230721180039,1167083991,,Food and drink,en
115,Wine_and_food_pairing,1045978,,25778,20230510144208,1154142709,,Food and drink,en
116,Food_history,21955305,,40021,20230705174440,1163593763,,Food and drink,en
121,Food_hubs,51892405,,4662,20220208191933,1070690774,,Food and drink,en
123,Peanut_milk,2794726,,9881,20230707200817,1164066919,,Food and drink,en
124,Packaging_gas,2905823,,3396,20220818182528,1105135321,,Food and drink,en
125,Food_industry_of_Russia,39916066,,10598,20220708173246,1097103201,,Food and drink,en
126,World_Milk_Day,46871463,,7506,20230717044536,1165746455,,Food and drink,en
127,Food_riot,16371284,,11304,20230629032750,1162429843,,Food and drink,en
128,Food_contaminant,12376746,,24308,20230621112702,1161225323,,Food and drink,en
129,United_States_beef_imports_in_Japan,17867773,,6657,20230310082751,1143848896,,Food and drink,en
130,Gustatory_technology,42707047,,1958,20230512145622,1154445747,,Food and drink,en
131,Efficiency_of_food_conversion,18977457,,2015,20220120202751,1066923931,,Food and drink,en
132,Specialty_food,45544699,,22382,20230523100855,1156534127,,Food and drink,en
136,Wash_versus_trim,23607668,,1356,20220909024321,1109295786,,Food and drink,en
137,Mandatory_country-of-origin_labeling_(US),11933276,,14416,20220515190019,1088014879,,Food and drink,en
138,British_Restaurant,16797425,,8632,20230623161447,1161573163,,Food and drink,en
139,History_of_KFC,40483571,,66874,20230721143623,1166433889,,Food and drink,en
140,List_of_bean-to-bar_chocolate_manufacturers,5290678,,22558,20230524223921,1156844881,,Food and drink,en
142,Spice_use_in_antiquity,52085224,,18308,20230611142811,1159626495,,Food and drink,en
144,Heterocyclic_amine_formation_in_meat,33264130,,17995,20211230214836,1062844175,,Food and drink,en
145,List_of_restaurant_terminology,43158315,,4055,20221231061810,1130643931,,Food and drink,en
147,Gynostemma_pentaphyllum,3514773,,9375,20230625182601,1161898398,,Food and drink,en
149,Codex_Alimentarius_Austriacus,758017,,2981,20230420154105,1150878016,,Food and drink,en
152,Oxford_Symposium_on_Food_and_Cookery,8630409,,49549,20230704220453,1163440166,,Food and drink,en
154,International_Beer_Day,23820600,,4072,20230125192144,1135610196,,Food and drink,en
155,Butter_grading,48617542,,6724,20211227091628,1062255525,,Food and drink,en
161,Fibe_Mini,34709036,,3967,20230402102350,1147813781,,Food and drink,en
162,Metamucil,3052398,,2844,20230510223620,1154201848,,Food and drink,en
163,Public_analyst,7362920,,10983,20220519191020,1088719194,,Food and drink,en
164,Guild_feasts_in_medieval_England,64826667,,5427,20230319061229,1145449063,,Food and drink,en
165,Standard_components_(food_processing),4106274,,1669,20220401235940,1080558238,,Food and drink,en
167,2010–2012_world_food_price_crisis,32477075,,4574,20221003173004,1113879622,,Food and drink,en
168,The_Revolution_Will_Not_Be_Microwaved,32032690,,2272,20220915004907,1110355602,,Food and drink,en
171,Don't_feed_the_troll,2359872,,79,20221114014258,1121769912,,Food and drink,en
173,Palatability,12126172,,7447,20230418175643,1150529133,,Food and drink,en
176,Sugar_industry,51299981,,13654,20221125103509,1123732165,,Food and drink,en
177,Food_swap,41149314,,7032,20230210142459,1138595218,,Food and drink,en
178,List_of_PDO_products_by_country,68862051,,275806,20230719122424,1166113009,,Food and drink,en
180,Kitchen_hack,62582460,,9997,20221214001611,1127303633,,Food and drink,en
182,Food_Chemicals_Codex,48746314,,17377,20230420154328,1166945401,,Food and drink,en
184,Salt_Lick_Award,26176168,,2622,20230126055527,1135687365,,Food and drink,en
185,Food_rheology,24391644,,6407,20230321084604,1145844469,,Food and drink,en
189,Food_photography,4448258,,15161,20230719133116,1166120117,,Food and drink,en
195,Plumpy'nut,2040311,,19286,20230721081009,1166397445,,Food and drink,en
196,Substantial_equivalence,1129005,,15658,20230315015449,1144691210,,Food and drink,en
197,House_wine,61026863,,3674,20210915191757,1166972662,,Food and drink,en
198,Beer_and_food_matching,36562827,,115,20230326052227,1146653644,,Food and drink,en
203,Herb,24542769,,20259,20230612222924,1159847568,,Food and drink,en
204,Food_packaging,7920832,,54839,20230719064042,1166073486,,Food and drink,en
207,Food_studies,21551874,,19935,20230402090305,1147806198,,Food and drink,en
209,Gingerbread_house,1200020,,20722,20230403234232,1148079870,,Food and drink,en
211,Astringent,2050894,,10112,20230625173255,1161891841,,Food and drink,en
212,Sustainable_diet,16492832,,38828,20230629093256,1162459627,,Food and drink,en
216,Bletting,8157239,,5646,20230423223858,1151415913,,Food and drink,en
223,Drinking,66254,,15146,20230623171545,1167109848,,Food and drink,en
224,Maggot_farming,52763276,,3923,20230606191849,1158870291,,Food and drink,en
225,Adulterant,1616827,,11129,20230719024706,1166051159,,Food and drink,en
226,Siraitia_grosvenorii,3172298,,14358,20230713153258,1165188695,,Food and drink,en
227,Organic_coffee,10851210,,13722,20230713163337,1165196803,,Food and drink,en
228,The_Trussell_Trust,41428595,,8399,20230620122718,1161067012,,Food and drink,en
229,The_British_Curry_Awards,30880895,,5301,20230627210356,1162238961,,Food and drink,en
230,List_of_feeding_behaviours,245407,,8822,20230119122715,1134590335,,Food and drink,en
233,TikTok_food_trends,66963891,,32919,20230714125659,1165326477,,Food and drink,en
236,Entrée,879384,,13803,20230610211739,1159519511,,Food and drink,en
237,Dirty_kitchen,50547725,,1879,20221218134107,1167138739,,Food and drink,en
240,History_of_California_bread,30515136,,30998,20230424215615,1151572148,,Food and drink,en
242,Boilery,24734729,,2156,20220927121457,1112662705,,Food and drink,en
243,Nutrilite,3107081,,7210,20230614042109,1160053524,,Food and drink,en
252,List_of_cooking_appliances,43674629,,3466,20230606144344,1158835226,,Food and drink,en
254,Nutraceutical,1221381,,14303,20230509110350,1153959009,,Food and drink,en
257,Egg_garnish,53847012,,3632,20210513040235,1022896518,,Food and drink,en
258,US_Food_Sovereignty_Alliance,44468330,,8142,20230703204347,1163254690,,Food and drink,en
263,Adverse_food_reaction,27783337,,1071,20230308103329,1143536207,,Food and drink,en
264,Yellow_sticker,56275153,,6087,20230719234956,1166193363,,Food and drink,en
265,Regional_cuisine,11644740,,3849,20230122232859,1135152476,,Food and drink,en
269,Peasant_foods,1299938,,10767,20230716041345,1165589549,,Food and drink,en
270,Monde_Selection,39095510,,2198,20230615032132,1160216005,,Food and drink,en
271,Emergen-C,3304538,,5694,20230515144114,1154921236,,Food and drink,en
272,Mukimono,3114311,,1791,20210823113016,1040236697,,Food and drink,en
273,Cold_chain,2466187,,16181,20230510033859,1154079460,,Food and drink,en
277,Assize_of_Bread_and_Ale,5470621,,9099,20221225073812,1129419863,,Food and drink,en
279,Food_safety,8053588,,69337,20230615192553,1160324532,,Food and drink,en
