number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,132nd_meridian_west,21424811,,3069,20220916193524,1110669119,,Geographical,en
3,Turin_Papyrus_Map,2115139,,6508,20230707184819,1164051911,,Geographical,en
6,List_of_geography_awards,62770526,,10995,20221127120905,1124117241,,Geographical,en
9,"List_of_political_and_geographic_subdivisions_by_total_area_from_1,000_to_3,000_square_kilometers",18255139,,58924,20230710164345,1164709908,,Geographical,en
12,13th_meridian_west,20941793,,2937,20220916154514,1110636979,,Geographical,en
15,161st_meridian_east,21354155,,3549,20220915231154,1110515455,,Geographical,en
16,136th_meridian_west,21424597,,2760,20220915205159,1110500191,,Geographical,en
22,Telmatology,49926495,,426,20211009192157,1049086769,,Geographical,en
24,138th_meridian_west,21424416,,2115,20220915205219,1110500229,,Geographical,en
25,93rd_meridian_west,21169263,,4405,20220916192747,1110668205,,Geographical,en
28,111th_meridian_west,8756679,,5116,20230212211156,1139001311,,Geographical,en
30,5th_meridian_east,18620030,,3690,20220916133127,1110615849,,Geographical,en
32,103rd_meridian_east,21224407,,4858,20220915232401,1110516774,,Geographical,en
33,Collective_landscape,5232329,,2150,20220616225157,1093485938,,Geographical,en
37,Squalicum_Creek,74234061,,2435,20230722140905,1166583004,,Geographical,en
40,1st_meridian_west,20926220,,4574,20220916134643,1110617742,,Geographical,en
41,36th_meridian_east,20982044,,5056,20220916124138,1110609065,,Geographical,en
43,Geosophy,4120316,,2049,20191227052922,932617968,,Geographical,en
45,101st_meridian_west,8755067,,6122,20220916192909,1110668337,,Geographical,en
46,64th_meridian_east,21124213,,2809,20220915235202,1110519308,,Geographical,en
47,46th_meridian_west,20979010,,4248,20220916155455,1110638449,,Geographical,en
49,Landscape_of_Ashdown_Forest,30639580,,11234,20230531154430,1157883594,,Geographical,en
50,Aethiopian_Sea,28298424,,7755,20230117172459,1134234916,,Geographical,en
51,61st_meridian_west,21143965,,7969,20220916155918,1110639102,,Geographical,en
53,Challenger_expedition,88284,,38613,20230706194418,1163857358,,Geographical,en
54,List_of_historical_maps,13390482,,3620,20221205230010,1125803302,,Geographical,en
56,44th_meridian_west,20978991,,3998,20220916155439,1110638401,,Geographical,en
57,135th_meridian_east,18618334,,5657,20220915231647,1110516022,,Geographical,en
58,63rd_meridian_west,21144919,,7922,20220916160044,1110639321,,Geographical,en
60,71st_meridian_west,20994963,,6965,20220916184220,1110663109,,Geographical,en
62,"List_of_political_and_geographic_subdivisions_by_total_area_from_20,000_to_30,000_square_kilometers",18609296,,23764,20230430090607,1152450405,,Geographical,en
65,List_of_cliffs_by_continent,67265605,,17920,20230531161015,1167071693,,Geographical,en
