number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
8,Historical_urban_community_sizes,5778710,,127905,20230722011729,1166908737,,History,en
11,Feudal_maintenance,25897509,,584,20200410131932,950147953,,History,en
13,"Department_of_Archaeology,_University_of_Sheffield",67738787,,39244,20230531042104,1157812730,,History,en
14,Afrocentrism,194624,,65069,20230706181500,1163842832,,History,en
15,Venus_tablet_of_Ammisaduqa,1157399,,9809,20230511095826,1154268589,,History,en
16,Biblical_literalist_chronology,41005444,,208080,20230603065705,1158304864,,History,en
17,Octamasadas,27108302,,3629,20230622081919,1161374358,,History,en
18,Timeline_of_geopolitical_changes_(before_1500),65716034,,130625,20230531162749,1157889099,,History,en
21,Khazar_hypothesis_of_Ashkenazi_ancestry,41039874,,109964,20230707095712,1163967236,,History,en
23,Landscape_archaeology,670499,,33607,20230718002252,1165875780,,History,en
25,Historikerstreit,1494870,,219512,20230719125533,1166116235,,History,en
41,Index_of_Sasanian_Empire–related_articles,65843983,,6362,20220711153657,1097591113,,History,en
42,Date_of_birth_of_Jesus,49730752,,55078,20230721195059,1166471356,,History,en
44,Era_of_the_Martyrs,1390423,,4376,20230715190644,1165527571,,History,en
60,Historical_negationism,26092,,171768,20230720201455,1167219000,,History,en
61,Lost_Cause_of_the_Confederacy,1405473,,131626,20230719184421,1167265073,,History,en
71,Historiography_in_North_Macedonia,57834358,,64346,20230716005217,1167374285,,History,en
76,Alternative_theories_of_the_location_of_Great_Moravia,47745480,,53771,20230205083315,1137564221,,History,en
83,The_Myth_of_the_Twentieth_Century,2161849,,17076,20230716172339,1165669991,,History,en
85,List_of_genocides,39136264,,167918,20230719172250,1167244806,,History,en
86,Conjectural_history,38674164,,32642,20230529170643,1157592345,,History,en
92,Centuriation,33185681,,14760,20221031101640,1119224251,,History,en
94,Artifact_(archaeology),584894,,15190,20230524100441,1156734469,,History,en
101,List_of_antiquarian_societies,21288006,,1746,20220509214230,1087028042,,History,en
124,Index_of_Byzantine_Empire–related_articles,342408,,154975,20230707084415,1163957173,,History,en
125,Progressive_historians,24468933,,3584,20230426195113,1151873623,,History,en
126,Waddell's_chronology,37469226,,16775,20230618121210,1160732863,,History,en
127,Denial_of_the_genocide_of_Serbs_in_the_Independent_State_of_Croatia,64152009,,26849,20230714011327,1165258650,,History,en
137,Ica_stones,2026389,,36454,20230613162612,1159958598,,History,en
141,Grote_Prize,60602089,,2870,20221220140318,1128507284,,History,en
145,Life_of_Sethos,20286284,,6909,20230317204934,1145212190,,History,en
153,Leninist_historiography,72640890,,2552,20230125075004,1135536724,,History,en
155,Pre-Adamite,1499508,,27652,20230614234333,1160192695,,History,en
156,Anachronism,60731,,24284,20230516200721,1155125697,,History,en
157,The_Thirteenth_Tribe,2553487,,19456,20230613152746,1159951075,,History,en
158,Palestinabuch,63652843,,15973,20230719183538,1166160101,,History,en
168,Annales_Tiliani,70236806,,6947,20230129082305,1136216325,,History,en
169,History_of_magic,71832514,,220118,20230715200942,1165535105,,History,en
170,Nationalization_of_history,29305513,,32364,20230630000146,1162575177,,History,en
172,The_Mysterious_Numbers_of_the_Hebrew_Kings,22286701,,33203,20230325151926,1146548098,,History,en
175,Succession_of_the_Roman_Empire,434048,,102155,20230712022041,1166934319,,History,en
189,Josephine_Del_Deo,66509266,,10846,20230425063205,1151628923,,History,en
192,Glossary_of_history,21014942,,60607,20230603065020,1158304262,,History,en
193,Kingdom_of_Macedonia_(1912),67440005,,2262,20220506164551,1086518149,,History,en
196,List_of_events_named_massacres,104985,,424514,20230716184329,1167153604,,History,en
202,List_of_common_misconceptions_about_the_Middle_Ages,65867339,,19491,20230317095147,1145110547,,History,en
204,Porter–MacKenzie_debate,50923930,,6263,20210928133218,1046992704,,History,en
212,British_Israelism,71510,,61512,20230717031146,1165736360,,History,en
213,Sothic_cycle,985583,,18736,20230305151159,1143028305,,History,en
218,Onomasticon_(Eusebius),32036020,,14435,20230501094706,1152620008,,History,en
219,Outline_of_ancient_history,14463933,,17040,20230228175609,1142131439,,History,en
228,List_of_historians_by_area_of_study,380488,,71076,20230508143330,1153820071,,History,en
234,Scepter_of_Judah,3615589,,2633,20210217192628,1007365173,,History,en
238,Leo_Gershoy_Award,40724137,,6565,20230503072232,1152941504,,History,en
246,Creighton_Lecture,24960516,,12575,20230523234524,1156657787,,History,en
250,Religious_views_of_Adolf_Hitler,5287573,,189809,20230719133310,1166120321,,History,en
254,Magistra_vitae,11205103,,1646,20200101115658,933507354,,History,en
258,Translatio_imperii,262830,,22736,20230623124439,1166706101,,History,en
263,Chronology_of_the_Bible,8792209,,31624,20230624153959,1161714829,,History,en
272,Herstory,14015,,7420,20230612064250,1159735383,,History,en
282,Götaland_theory,251821,,7992,20230710161252,1164705955,,History,en
283,Austrian_Holocaust_Memorial_Award,7104982,,8773,20230504210811,1153207995,,History,en
291,Historiography,13276,,153913,20230721190954,1166466184,,History,en
293,Serbian_historiography,49510573,,72427,20230222103938,1166705542,,History,en
299,Historical_method,2557305,,19015,20230511005213,1154215768,,History,en
300,East_Danes,1092965,,1950,20211212122652,1059918723,,History,en
309,Great_Stirrup_Controversy,13020812,,10965,20230312132830,1144216548,,History,en
312,Outline_of_classical_studies,9819006,,21357,20221230160324,1130523886,,History,en
316,Phantom_time_conspiracy_theory,3091094,,12975,20230719230031,1166718937,,History,en
318,Missing_years_(Jewish_calendar),1791995,,18957,20230707234421,1164107060,,History,en
325,Chronographer,66144878,,30122,20230103031824,1131218200,,History,en
339,Irghiz_River_skirmish,68286211,,15049,20230608065339,1167076075,,History,en
340,Annales_Petaviani,42841565,,3394,20190127034942,880383523,,History,en
341,Historical_anthropology,47499031,,4450,20221029184712,1118924151,,History,en
344,Italiani_brava_gente,44797462,,6321,20230719192146,1167279404,,History,en
349,Thirty_Tyrants,296021,,14065,20230607175440,1159014921,,History,en
360,Dunning_School,3281041,,20600,20230711200012,1167345585,,History,en
362,Edmonton_Hundred_Historical_Society,47888895,,4832,20220518163328,1088537102,,History,en
371,Baradostian_culture,7280373,,5433,20230414113633,1149781904,,History,en
373,Consequences_of_the_Black_Death,4807194,,40825,20230604030814,1158439195,,History,en
381,Outline_of_the_Renaissance,13715965,,10837,20230421133118,1151029417,,History,en
392,Baptist_successionism,1249052,,10367,20230524093411,1156730635,,History,en
393,Periodization,23733,,14978,20230626191733,1162059566,,History,en
398,Calendar_era,442948,,28856,20230630062050,1162616975,,History,en
399,Spanish_era,6506732,,6401,20221209074019,1126425299,,History,en
401,Uscenum,67749142,,1505,20221104044445,1119927199,,History,en
403,Ars_historica,25095039,,6071,20211122150405,1056570657,,History,en
408,New_chronology_(Fomenko),409192,,63986,20230628025424,1166722845,,History,en
414,Germanic_history,62705316,,117,20191231104817,933344191,,History,en
420,Theory_of_Phoenician_discovery_of_the_Americas,38366244,,14567,20230613172757,1159965962,,History,en
421,Göttingen_school_of_history,50371799,,8077,20230603065806,1158304944,,History,en
428,African-American_history,1142431,,206102,20230722033203,1167404560,,History,en
430,The_Life_and_Miracles_of_St_William_of_Norwich,44031337,,7855,20230621105559,1161221678,,History,en
456,Titanic_conspiracy_theories,2144400,,22792,20230719084254,1166088747,,History,en
459,Medieval_ecclesiastic_historiography,72327819,,23445,20230518163527,1166710037,,History,en
467,List_of_Sasanian_inscriptions,54405097,,4130,20230504180002,1153181447,,History,en
468,Anti-Normanism,66515514,,39420,20230423224328,1151416404,,History,en
469,Capitulary_of_Ver,65934204,,1622,20230103163021,1131318886,,History,en
473,Azes_era,12509846,,3139,20220126165802,1068101007,,History,en
474,Historical_revisionism,13293,,58908,20230704135328,1163370456,,History,en
476,Obidiaceni,6803164,,1904,20230309174435,1143753688,,History,en
481,Outline_of_prehistoric_technology,39684519,,33588,20230715223703,1165553282,,History,en
486,Migration_Period,103155,,35748,20230714165726,1165355453,,History,en
487,Timeline_of_Norse_colonization_of_the_Americas,2642379,,3030,20230604150510,1158515994,,History,en
492,Traditional_Jewish_chronology,69883821,,147171,20230615225033,1160348490,,History,en
496,Antiquarian,149685,,35726,20230617144028,1160591443,,History,en
502,List_of_largest_cities_throughout_history,11065526,,32095,20230722210702,1167456467,,History,en
513,Outline_of_the_Middle_Ages,8543648,,8306,20230329100959,1147184565,,History,en
514,Historicity_of_the_Iliad,3537964,,25169,20230603030100,1158283947,,History,en
517,List_of_wealthiest_historical_figures,12944918,,32893,20230710133911,1167339309,,History,en
526,Bormanum,67749894,,1515,20221104044624,1119927375,,History,en
536,Ahnenerbe,423021,,70410,20230721121026,1166417981,,History,en
538,Short_twentieth_century,1477991,,1289,20230706125025,1163783679,,History,en
545,Nationalist_historiography,2049749,,20938,20230519214418,1166870280,,History,en
550,First_Italo-Senussi_War,45784193,,889,20230622214809,1161463316,,History,en
555,Auschwitz_bombing_debate,6167964,,52726,20230226025700,1141647391,,History,en
558,Ancient_Egyptian_race_controversy,18880184,,179636,20230721181105,1167424355,,History,en
565,The_Whitfield_Prize,31427982,,7500,20230602114335,1158175004,,History,en
566,Origins_of_society,33524705,,38474,20230529163802,1157588962,,History,en
569,The_Two_Babylons,1380800,,16031,20230613162918,1159958984,,History,en
572,Pseudohistory,175216,,56683,20230701191948,1162897636,,History,en
573,Post-classical_history,13139823,,166216,20230722170110,1166603501,,History,en
576,Historic_recurrence,3977310,,46850,20230722095405,1166556658,,History,en
582,Chronicle_of_Fredegar,3465606,,19851,20230706081409,1163724776,,History,en
583,Alternative_historical_interpretations_of_Joan_of_Arc,4020368,,10810,20230608013857,1159069543,,History,en
584,Outline_of_classical_architecture,614197,,18686,20220909190820,1109424676,,History,en
587,Historia_Regum_Britanniae,690194,,26933,20230613150517,1159948370,,History,en
592,Treason_of_the_Long_Knives,1797168,,8546,20230119061257,1134546841,,History,en
601,Pan-Latinism,38065041,,4644,20230522074634,1156313752,,History,en
619,List_of_timelines,4873297,,43450,20230613043725,1159885531,,History,en
620,Ussher_chronology,372753,,17065,20230306180821,1143250434,,History,en
632,Hessell-Tiltman_Prize,368973,,16218,20230720011214,1166202254,,History,en
639,Pseudo-Council_of_Sinuessa,57645278,,7355,20230613155419,1159954795,,History,en
644,Medieval_studies,558492,,23224,20230521193932,1156216246,,History,en
645,Guy_Le_Strange,43254840,,4380,20221218051057,1128063880,,History,en
648,Outline_of_history,3402732,,21966,20230603030055,1158283936,,History,en
651,Mari_Eponym_Chronicle,51175373,,2110,20211113180943,1055072417,,History,en
652,Historical_source,59632972,,3136,20230607062201,1158942539,,History,en
654,Euhemerism,808876,,22516,20230719161428,1166142873,,History,en
660,Nestor_Iskander's_Tale_on_the_Taking_of_Tsargrad,16430357,,4842,20230323101800,1146197136,,History,en
663,Trissum,67750623,,1449,20221104044500,1119927220,,History,en
677,German_Historical_Institutes,10403760,,1152,20200615123433,962681035,,History,en
685,Jesus_in_India,24698833,,143,20220419143246,1083573501,,History,en
688,Kriminalgeschichte_des_Christentums,38279418,,23407,20220801204139,1101788723,,History,en
690,Toreatae,6802972,,2392,20210912163749,1043909681,,History,en
704,History_of_Western_civilization,4305070,,242528,20230720124755,1167092508,,History,en
710,Anno_Domini,1400,,32492,20230706202403,1167079206,,History,en
717,Ages_of_Man,639285,,7722,20230718015625,1165885685,,History,en
718,Helladic_chronology,1748869,,44411,20230208131924,1138186377,,History,en
721,List_of_kings_of_Epirus,12350852,,2677,20230529130207,1157563153,,History,en
725,Chronology_of_the_ancient_Near_East,26289316,,62143,20230701100953,1162828981,,History,en
730,Atlantis,2178,,98489,20230719163323,1166144895,,History,en
734,Ancient_kings_of_Finland,66834109,,19193,20230611172533,1159650700,,History,en
737,Outline_of_the_Ottoman_Empire,27828658,,34425,20230326084038,1146671228,,History,en
746,Jand_(Transoxania),14986299,,588,20220124094048,1067613155,,History,en
752,Oera_Linda_Book,1100845,,16125,20230503193011,1167039003,,History,en
754,The_British_Edda,34416873,,7195,20230613170826,1159963626,,History,en
766,Minoan_chronology,7218910,,33958,20221101040055,1119354722,,History,en
768,Place_names_of_Palestine,20176151,,43644,20230703021234,1163115614,,History,en
777,Historiography_of_the_fall_of_the_Western_Roman_Empire,1123369,,66118,20230617113528,1166706697,,History,en
778,Autochthonous_theory_about_the_origin_of_the_Bulgarians,58344517,,6339,20230105020656,1131635361,,History,en
799,Turkish_History_Thesis,59652834,,13396,20230523042309,1156493279,,History,en
812,Legacy_of_the_Indo-Greeks,13786015,,47885,20230204110833,1137391827,,History,en
813,List_of_time_periods,86760,,29236,20230721101548,1166793527,,History,en
819,Outline_of_the_Greek_genocide,72974410,,56130,20230716015316,1167401586,,History,en
