number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Creepypasta,39909481,,18960,20230714095734,1165306405,,Internet culture,en
5,FaceApp,54294875,,11509,20230517183351,1155335893,,Internet culture,en
7,Redshirt_(video_game),64020954,,6504,20230117003735,1134098120,,Internet culture,en
9,Volume_(video_game),40229030,,21692,20230427083959,1151959075,,Internet culture,en
13,Cursed_image,64049071,,6590,20230708191752,1164315265,,Internet culture,en
14,Still_Alive,24390121,,30639,20230311125528,1144036884,,Internet culture,en
16,Netizen,164033,,14995,20230215174313,1166735367,,Internet culture,en
17,"Game,_game,_game_and_again_game",38471343,,9917,20230701165519,1162879095,,Internet culture,en
20,Gummibär,22615493,,11967,20230720235917,1166895163,,Internet culture,en
22,List_of_virtual_communities,15134308,,5916,20230509012131,1153903166,,Internet culture,en
23,Blogger's_Code_of_Conduct,10661427,,6052,20230408174359,1148847157,,Internet culture,en
24,Social_network_hosting_service,19577322,,909,20230606173005,1158856204,,Internet culture,en
27,Darknet,1030104,,14936,20230327132512,1146873760,,Internet culture,en
28,Facebook_privacy_and_copyright_hoaxes,48794806,,2968,20230114003918,1133478141,,Internet culture,en
29,Private_message,5855447,,10811,20230322065542,1146007628,,Internet culture,en
31,Online_shaming,46972538,,52169,20230711214314,1164914616,,Internet culture,en
34,Locker_(software),34312171,,6098,20221208120110,1126266195,,Internet culture,en
36,Coachella_filter,72140557,,3248,20230616162259,1160460246,,Internet culture,en
41,Line_Rider,7425107,,25959,20230608194922,1159184192,,Internet culture,en
48,Virtual_influencer,66368969,,9056,20230709092239,1164457779,,Internet culture,en
52,Impact_of_the_COVID-19_pandemic_on_social_media,63446562,,60209,20230706073636,1163720642,,Internet culture,en
54,Sociology_of_the_Internet,17669599,,57298,20230721202352,1167435081,,Internet culture,en
55,Limbo_of_the_Lost,12083378,,13308,20230206204002,1137861310,,Internet culture,en
56,Nostr,73588114,,1926,20230710161849,1164706604,,Internet culture,en
58,Domain_name_front_running,15160679,,4379,20210130053050,1003687736,,Internet culture,en
59,Warez,32881,,51382,20230711065429,1164807913,,Internet culture,en
60,AIUI,4454045,,369,20210509190127,1022303358,,Internet culture,en
61,MeWe,60102607,,28713,20230719064620,1166074023,,Internet culture,en
65,GFETE,12483769,,412,20191231113432,933349350,,Internet culture,en
68,Zorz,19747963,,384,20210925184940,1046451339,,Internet culture,en
71,Chat_room,38892,,7410,20230612021727,1159711098,,Internet culture,en
72,Pageview,2384177,,17191,20230721214541,1166485099,,Internet culture,en
77,Email,9738,,84192,20230709125814,1164489149,,Internet culture,en
78,Internet_genre,38680889,,4706,20220316035050,1077403274,,Internet culture,en
79,Push_technology,1982854,,20613,20230603183052,1166822288,,Internet culture,en
