number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
7,National_Library_(Vanuatu),23642000,,2740,20200414121633,950895953,,Libraries & information,en
8,León_de_Greiff_Library,39935356,,2689,20230215142035,1139509311,,Libraries & information,en
9,National_Archives_of_Austria,43773670,,1965,20230627122418,1162171732,,Libraries & information,en
11,Alexander_Campbell_King_Law_Library,9953543,,2301,20220611231238,1092694110,,Libraries & information,en
13,Mechanic_Apprentices_Library_Association,29068549,,9446,20210527120027,1025411914,,Libraries & information,en
20,Homer_D._Babbidge_Library,25122732,,4212,20220923093318,1111861514,,Libraries & information,en
22,Libraries_and_the_LGBT_community,41358634,,65606,20230617145055,1160592477,,Libraries & information,en
24,OCLC_PICA,4710872,,2597,20210727032544,1035684367,,Libraries & information,en
26,Guerrilla_librarian,24938530,,6362,20221221071502,1128652532,,Libraries & information,en
30,Zentral-_und_Hochschulbibliothek_Luzern,44675477,,828,20200102122511,933677627,,Libraries & information,en
31,Encyclopaedistics,66049941,,5691,20230512005914,1154367486,,Libraries & information,en
32,Königsberg_State_and_University_Library,37989618,,18146,20230120111007,1134745636,,Libraries & information,en
33,Skemman,57923123,,3028,20230601023657,1157962615,,Libraries & information,en
36,National_Library_of_Jordan,14513691,,3429,20230420153910,1150877733,,Libraries & information,en
38,New_Mexico_State_Library,58471581,,2096,20220812160003,1104091567,,Libraries & information,en
39,Zentralbibliothek_Zürich,19742816,,3398,20230213033427,1139055224,,Libraries & information,en
41,Public_Library_of_Youngstown_and_Mahoning_County,7266597,,5898,20221124120040,1123564952,,Libraries & information,en
46,Documentation,164430,,15892,20230725202419,1167118036,,Libraries & information,en
54,Delhi_Public_Library,29458575,,4309,20230228100922,1142070733,,Libraries & information,en
58,Bibliothèque_Inguimbertine,26479588,,4027,20230629205426,1162552038,,Libraries & information,en
59,Citation_Style_Language,10018490,,3147,20230402182415,1147870274,,Libraries & information,en
60,Digital_South_Asia_Library,33949679,,2760,20230514151131,1154770116,,Libraries & information,en
65,Kuopio_City_Library,70862993,,3346,20230619023220,1160833939,,Libraries & information,en
66,South_Portland_Public_Library,37356959,,2456,20230130233930,1136562956,,Libraries & information,en
69,Art_Historical_Photo_Archives,31765330,,7178,20210224210600,1008744421,,Libraries & information,en
71,Svenskt_författarlexikon,69532039,,4423,20230321210629,1145939349,,Libraries & information,en
73,Octagonal_Pavilion_Library,67575598,,4819,20230729192141,1167766501,,Libraries & information,en
74,National_Library_of_Togo,37319880,,2070,20230109014906,1132474652,,Libraries & information,en
75,Persistent_identifier,35168650,,4971,20230527060710,1157225590,,Libraries & information,en
79,Association_library,45619110,,1241,20220903150931,1108284751,,Libraries & information,en
81,National_Library_of_the_Kingdom_of_Morocco,39069513,,6985,20230412230720,1149551566,,Libraries & information,en
82,SirsiDynix,14137809,,11287,20230707101709,1163969492,,Libraries & information,en
85,Mesa_County_Public_Library_District,17706537,,1533,20230524054015,1156703784,,Libraries & information,en
87,Patron-driven_acquisition,40107651,,3721,20220530005657,1090535182,,Libraries & information,en
88,Library_theft,39003363,,12698,20230515211241,1154970901,,Libraries & information,en
89,Humanities_Advanced_Technology_and_Information_Institute,6220069,,5416,20210128192827,1003390783,,Libraries & information,en
90,Quincy_Library,7142371,,3791,20230428152053,1152156904,,Libraries & information,en
93,OCLC,883885,,49684,20230725064349,1167026783,,Libraries & information,en
97,City_Central_Library_after_Avetik_Isahakyan,66554861,,3238,20220822022849,1105845193,,Libraries & information,en
102,Xinjiang_Library,67593094,,3896,20220714085555,1098125668,,Libraries & information,en
104,DataCite,26964279,,9474,20230607144823,1158991502,,Libraries & information,en
108,William_W._Jeffries_Memorial_Archives,9674870,,2179,20220922213116,1111778357,,Libraries & information,en
112,Liberal_Archive_(Belgium),15161657,,1334,20230423200034,1151396014,,Libraries & information,en
113,"Asian_Centre_academic_library,_Vancouver",52660616,,1841,20210910214138,1043588590,,Libraries & information,en
115,Librarians_in_popular_culture,4250405,,89155,20230719121904,1166112426,,Libraries & information,en
118,Handrit.is,40239047,,716,20220424184827,1084476430,,Libraries & information,en
120,H._A._I._Goonetileke,27515831,,5700,20230613024018,1159875107,,Libraries & information,en
121,National_Library_of_the_Democratic_Republic_of_Congo,41035545,,3947,20230215142303,1139509726,,Libraries & information,en
123,ISO_15489,50256471,,3980,20220314150115,1077101927,,Libraries & information,en
125,Richard_B._Russell_Special_Collections_Building,56866875,,1470,20230316053047,1144899658,,Libraries & information,en
126,Jan_Gruter,238297,,3384,20230506194548,1153499600,,Libraries & information,en
130,Alkek_Library,17100018,,4272,20230717231610,1165869301,,Libraries & information,en
136,S._Cornelia_Young_Memorial_Library,7142855,,2066,20210902195646,1042014082,,Libraries & information,en
138,Tualatin_Public_Library,37897327,,2062,20220327160420,1079589324,,Libraries & information,en
141,National_Library_of_Yemen,32378241,,957,20210917064417,1044815846,,Libraries & information,en
146,Scottish_Rite_Masonic_Museum_&_Library,15858089,,3574,20230523171423,1156595868,,Libraries & information,en
150,Biblioteca_Forteguerriana,53014429,,1604,20230316164957,1144986319,,Libraries & information,en
154,Baker_Library/Bloomberg_Center,55526631,,6100,20230418051141,1150436962,,Libraries & information,en
160,Brahms-Institut,38937834,,1029,20220313045117,1076827831,,Libraries & information,en
161,"Mercantile_Library_Association_(Boston,_Massachusetts)",24286713,,12335,20210706175926,1032314791,,Libraries & information,en
163,West_Hollywood_Library,57371961,,3108,20230324053500,1146325973,,Libraries & information,en
166,PATMA_Library,23533455,,1395,20230111013510,1132879704,,Libraries & information,en
173,BiblioVault,1626752,,4096,20221219054555,1128249982,,Libraries & information,en
176,Universal_Bibliographic_Control,51286237,,1803,20220604161301,1091486092,,Libraries & information,en
177,Toy_Train_Reference_Library,37733861,,2186,20160930030810,741859621,,Libraries & information,en
180,Killam_Library,29566418,,2071,20230214094549,1139286226,,Libraries & information,en
187,Keesing's_Contemporary_Archives,44191914,,3505,20221223164239,1129107556,,Libraries & information,en
195,Karlsruher_Virtueller_Katalog,1218938,,2774,20230624002404,1161631828,,Libraries & information,en
202,Legal_deposit,629729,,63900,20230613014224,1159868537,,Libraries & information,en
206,Talis_Group,16281733,,6988,20220415231503,1082925874,,Libraries & information,en
211,Transportation_libraries,36986132,,2183,20220611233718,1092696561,,Libraries & information,en
214,Strandfontein_Library,43281424,,2053,20220427080111,1084906285,,Libraries & information,en
215,Outline_of_library_and_information_science,3405279,,15688,20230126112354,1135714830,,Libraries & information,en
221,Lillian_Goldman_Law_Library,7023681,,3945,20220611231435,1092694304,,Libraries & information,en
224,Carnegie_Library_of_Covington,36065619,,3281,20220328025443,1079683895,,Libraries & information,en
227,IFLA_Library_Reference_Model,65047318,,3677,20221217014820,1127859575,,Libraries & information,en
228,Biblioteca_Municipal_de_Guayaquil,22315628,,644,20190929161836,918625500,,Libraries & information,en
230,"Not_Censorship,_But_Selection",43134310,,7480,20230130065859,1136424459,,Libraries & information,en
239,Scope_statement,2305841,,6109,20230509100343,1153952503,,Libraries & information,en
240,Guide_to_information_sources,33487458,,3509,20230313205634,1144450746,,Libraries & information,en
