number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
3,Pig_Latin,22973,,17767,20230726172425,1167254806,,Linguistics,en
4,International_Sign,47636,,24995,20230619092551,1160882600,,Linguistics,en
5,Milewski's_typology,9078910,,5699,20230721225714,1166493230,,Linguistics,en
7,Recursively_enumerable_language,54789,,4675,20230518080214,1155464497,,Linguistics,en
8,Predicate_(grammar),1847057,,18321,20230720162602,1166291591,,Linguistics,en
9,Speedtalk,3154064,,2619,20220626141637,1095124424,,Linguistics,en
11,Letter_case,625125,,64840,20230726154034,1167241748,,Linguistics,en
12,Guosa,57081068,,18163,20230706085445,1163732854,,Linguistics,en
14,Scottish_Corpus_of_Texts_and_Speech,2898829,,3104,20230414200423,1149847186,,Linguistics,en
16,Anglophone_pronunciation_of_foreign_languages,4051786,,14538,20220507111045,1086631590,,Linguistics,en
17,Unish,34195587,,12492,20220405081309,1081093561,,Linguistics,en
18,Parataxis,1438343,,12071,20220715224722,1098454785,,Linguistics,en
21,Lexis_(linguistics),3136742,,17299,20230309154221,1143736911,,Linguistics,en
22,Automated_Similarity_Judgment_Program,37496248,,13403,20230715064327,1165443451,,Linguistics,en
23,Philosophical_language,1850174,,3881,20230728124449,1167552829,,Linguistics,en
25,Allomorph,1832,,8851,20230705080659,1163503452,,Linguistics,en
26,Emic_unit,34803901,,5644,20230624174108,1161728426,,Linguistics,en
29,Critical_discourse_analysis,433475,,20353,20230730053041,1167840213,,Linguistics,en
30,Anthropological_linguistics,320063,,18151,20230508144614,1153821815,,Linguistics,en
33,Diaphoneme,5501025,,57883,20221225063350,1129413660,,Linguistics,en
34,Prenoun,19080249,,3001,20230227141628,1141911646,,Linguistics,en
35,Constructed_language,20324344,,45999,20230729142425,1167727674,,Linguistics,en
36,Creole_language,49823,,69585,20230715182816,1165522807,,Linguistics,en
37,Grammar_induction,4375576,,17134,20230604143906,1158512703,,Linguistics,en
38,Linguistic_turn,1828083,,7250,20230707085001,1163958032,,Linguistics,en
39,Kotava,38913440,,17731,20230531205532,1157925216,,Linguistics,en
41,Šatrovački,1422131,,11250,20230515002601,1154839927,,Linguistics,en
42,Verbal_case,35731228,,3189,20230401130335,1147674028,,Linguistics,en
43,Adjective_phrase,74323,,14256,20230726054845,1167180753,,Linguistics,en
44,Hockett's_design_features,39356537,,16984,20230707160631,1164020456,,Linguistics,en
48,Word_guessing,8266405,,594,20220816172827,1104744938,,Linguistics,en
49,Internal_history,19823081,,1027,20220604171440,1091495650,,Linguistics,en
50,Possession_(linguistics),1758796,,9968,20230708185040,1164310555,,Linguistics,en
51,Neo_language,2448403,,16801,20230110142106,1132774117,,Linguistics,en
52,Joanes_Leizarraga,17550417,,12856,20230316172725,1144991297,,Linguistics,en
53,Croatian_National_Corpus,4744726,,4594,20210704041611,1031867331,,Linguistics,en
54,Junction_Grammar,24330902,,37710,20220720194611,1099437768,,Linguistics,en
55,Black_Speech,149302,,22424,20230414181904,1149834336,,Linguistics,en
56,Final_clause,465844,,4807,20230307005326,1143314960,,Linguistics,en
58,Code-switching,232905,,107567,20230729042417,1167664262,,Linguistics,en
59,German_Reference_Corpus,25167933,,4426,20230127204952,1135944080,,Linguistics,en
60,Pleonasm,218879,,54848,20230718084317,1165927334,,Linguistics,en
61,Ostensive_definition,771465,,3461,20230731034636,1167995186,,Linguistics,en
66,Geolinguistics,4675457,,4591,20221207194516,1126143695,,Linguistics,en
70,Transformational_syntax,36474624,,3942,20190501110516,895000226,,Linguistics,en
71,Dothraki_language,42677739,,15524,20230707230614,1164098471,,Linguistics,en
73,Volapük,32812,,32458,20230619030546,1160837571,,Linguistics,en
75,Categorial_grammar,882427,,23555,20230421081751,1150997134,,Linguistics,en
78,Contrast_set,13630663,,2640,20230623013856,1161488549,,Linguistics,en
81,Intonation_(linguistics),3707734,,37162,20230705014756,1163466969,,Linguistics,en
82,Pierre_Lhande,23791148,,2356,20210425133149,1019797086,,Linguistics,en
85,Language_contact,1361149,,13201,20230324191018,1146416961,,Linguistics,en
86,Sketch_Engine,43563308,,12372,20230629054437,1162440970,,Linguistics,en
87,Context_(linguistics),12531634,,6366,20230615031455,1160215445,,Linguistics,en
89,Dictionarium_quatuor_linguarum,35142484,,4415,20230316235758,1145043076,,Linguistics,en
91,Conjunction_(grammar),113500,,23274,20230508204642,1153871953,,Linguistics,en
92,Wenja_language,72811100,,36699,20230729145633,1167731750,,Linguistics,en
93,Sino-Tibetan_Etymological_Dictionary_and_Thesaurus,66172882,,7408,20220903202437,1108332752,,Linguistics,en
96,Telicity,2205691,,12194,20230707161207,1164021567,,Linguistics,en
97,Discourse,45134,,20203,20230614214054,1160179042,,Linguistics,en
100,Declension,8645,,26631,20230723205517,1166801407,,Linguistics,en
101,Forensic_linguistics,602412,,65012,20230712074508,1164981454,,Linguistics,en
