number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,The_Book_(short_story),17758717,,3366,20230512180649,1154467480,,Literature,en
2,Hingchabi,73067774,,3802,20230219060749,1140254426,,Literature,en
3,Chainarol,73139161,,6400,20230415200651,1150009574,,Literature,en
5,Neue_Frankfurter_Schule,59777646,,3926,20201029181621,986085498,,Literature,en
7,Implied_author,3370128,,8963,20201217160558,994797140,,Literature,en
10,Western_fiction,655326,,15816,20230710123903,1164678669,,Literature,en
11,Cozy_mystery,17574524,,14225,20230716163613,1165664213,,Literature,en
12,Quest,188949,,10897,20230301201523,1142328594,,Literature,en
13,Theme_(narrative),699908,,10753,20230405111337,1148309419,,Literature,en
17,"List_of_electronic_literature_authors,_critics,_and_works",17550904,,12024,20230714174712,1165361475,,Literature,en
19,Nick_Carter_(character),1331845,,31706,20230706191224,1163851904,,Literature,en
21,Blue_book,1845300,,11436,20230531211648,1157927652,,Literature,en
22,Tales_from_Gavagan's_Bar,6604629,,7495,20230529193925,1157609631,,Literature,en
23,Narrative_paradigm,2234191,,32366,20230603084833,1158315043,,Literature,en
24,Bildungsroman,4880,,41434,20230717150447,1165808650,,Literature,en
27,Domestic_realism,19284595,,3214,20220607105303,1091951970,,Literature,en
29,Conference_proceedings,1274640,,6242,20230506220541,1153517077,,Literature,en
30,Returning_to_Shakespeare,68648328,,1525,20230721012516,1166357702,,Literature,en
31,Publishers_Weekly_lists_of_bestselling_novels_in_the_United_States,2351186,,2031,20230207015329,1137915894,,Literature,en
33,Flashback_(narrative),2051540,,18305,20230720154720,1166286964,,Literature,en
34,Dente_Feira_de_Publicações,71497129,,9163,20221224040614,1129212927,,Literature,en
35,Women_of_Wonder:_The_Classic_Years,69467998,,5624,20230430001714,1152394448,,Literature,en
36,Anaphora_(rhetoric),341714,,12665,20230715175957,1165518669,,Literature,en
41,Fool's_literature,43064317,,1244,20200530190255,959811788,,Literature,en
42,Writing_style,5218457,,18415,20230719140553,1166124070,,Literature,en
43,Literature_in_the_other_languages_of_Britain,50871484,,43844,20230530201218,1157763656,,Literature,en
45,Divine_Comedy_in_popular_culture,6147199,,78387,20230719180942,1166156894,,Literature,en
46,Ancillary_Mercy,48083752,,3620,20221223224403,1129166651,,Literature,en
51,Todorov's_narrative_theory_of_equilibrium,66246778,,17112,20230519132419,1155734878,,Literature,en
53,Tell_Me_What_You_See_(2022_book),73494542,,11177,20230629144509,1162495937,,Literature,en
55,Biographical_novel,8873362,,3945,20230211223941,1138838067,,Literature,en
56,Paradox_(literature),13696101,,9922,20230418223556,1150576589,,Literature,en
57,Tulsa_Studies_in_Women's_Literature,26326735,,7210,20200530202609,959827031,,Literature,en
62,Historical_criticism,33543260,,21940,20230704201607,1166710092,,Literature,en
64,Rithā',48896724,,3809,20221212070858,1126977990,,Literature,en
67,Narrative_hook,4751502,,6685,20230501044412,1152592229,,Literature,en
68,Yemenite_Jewish_poetry,49015936,,50301,20230211224652,1138839107,,Literature,en
69,The_Practice_of_Diaspora,51284453,,8415,20221006004654,1114338960,,Literature,en
71,History_of_a_Six_Weeks'_Tour,18703984,,41855,20230205170036,1137624351,,Literature,en
72,Rose_is_a_rose_is_a_rose_is_a_rose,242844,,20298,20230621082226,1161205359,,Literature,en
73,Sandars_Lectures,52673644,,12621,20230705103624,1163518061,,Literature,en
74,Biographical_fallacy,26021687,,4743,20220823212016,1106257295,,Literature,en
75,Women_of_Wonder:_The_Contemporary_Years,69468186,,5950,20230714145554,1165340375,,Literature,en
77,Party_piece,60096722,,9403,20230330205256,1147419765,,Literature,en
78,The_Cambridge_Companion_to_Shakespeare's_Poetry,69142989,,2323,20220321223157,1078504037,,Literature,en
81,Literary_criticism,51123,,28787,20230625063343,1161813162,,Literature,en
82,Minced_oaths_in_media,23407994,,23257,20230514075714,1154725073,,Literature,en
86,Book,3778,,75305,20230720040340,1166220268,,Literature,en
87,American_Renaissance_(literature),1496260,,8262,20230317161312,1145162529,,Literature,en
88,Archetypal_literary_criticism,3958324,,16546,20230224150526,1141335390,,Literature,en
91,Rhetorical_modes,4644634,,13602,20230616144345,1160447825,,Literature,en
94,Tutenglon,73556046,,4839,20230617143627,1160590841,,Literature,en
95,Romance_(prose_fiction),68899744,,59546,20230707183309,1167239106,,Literature,en
96,Keibu_Keioiba,71000704,,18247,20230706224406,1163882596,,Literature,en
99,List_of_scholarly_publishing_stings,53393522,,35865,20230716170048,1166890529,,Literature,en
100,Chinese_literature,153825,,83131,20230707235401,1164108364,,Literature,en
101,Focal_character,8341465,,2592,20230330095655,1147343487,,Literature,en
103,The_Metamorphosis_in_popular_culture,58408428,,23377,20230716143327,1165648672,,Literature,en
104,Psychological_fiction,1551566,,9471,20230520060430,1155891265,,Literature,en
106,12th_century_in_literature,3709201,,18848,20230503172713,1153010689,,Literature,en
107,Shakespeare:_The_Critical_Heritage,68651771,,2740,20230206232613,1137890052,,Literature,en
108,Khamba_Thoibi_Sheireng,62260450,,19728,20230424124929,1151497916,,Literature,en
109,Living_review,56730913,,2487,20220614151416,1093101548,,Literature,en
110,O_Captain!_My_Captain!,2601554,,45909,20230722184802,1166617931,,Literature,en
112,Ukrainian_literature,2152773,,31572,20230708001246,1164111496,,Literature,en
113,Damascus_House,50404367,,4555,20221223001015,1128975528,,Literature,en
115,Silva_rerum,17116069,,4313,20230324212840,1146435274,,Literature,en
117,"Awake,_our_drowsy_souls",57765273,,4284,20210411205847,1017272964,,Literature,en
118,Where's_Wally?,18006767,,31239,20230706114716,1163771000,,Literature,en
119,Descriptive_poetics,51502285,,2737,20230720043903,1166223302,,Literature,en
123,Premio_Brancati,73154698,,2070,20230324132609,1146371474,,Literature,en
124,History_of_literature,138848,,93038,20230710195116,1164735381,,Literature,en
125,Hexalogy,23699464,,4348,20230601171709,1158049210,,Literature,en
126,Theatre-fiction,65220074,,3408,20230208091708,1138155785,,Literature,en
128,Ecofiction,51820944,,26224,20230622123936,1161398100,,Literature,en
129,Extended_metaphor,583165,,9156,20230411221756,1149386222,,Literature,en
130,Horizon_of_expectation,38914229,,7842,20230310140050,1143883740,,Literature,en
131,Pop_culture_fiction,65326971,,11332,20230514040610,1154703200,,Literature,en
133,Liaden_universe,444351,,77689,20230703061010,1163143727,,Literature,en
134,Stock_character,98352,,13979,20230709101829,1164465869,,Literature,en
135,Anthology,316889,,9543,20230710073836,1164645049,,Literature,en
136,Parallel_novel,6120035,,5944,20230623044940,1161506663,,Literature,en
139,Castalian_Band,18058077,,14573,20230516133431,1155072785,,Literature,en
140,Narrativity,886895,,3424,20230310195512,1143932238,,Literature,en
141,A_View_of_Religions,54980087,,15389,20230616223354,1160505524,,Literature,en
143,Umbertina,55636516,,13236,20220111025911,1064961252,,Literature,en
144,Anxiety_of_influence,9305546,,7566,20230417004317,1150230418,,Literature,en
146,Dialogue_in_writing,3451484,,3075,20221109030505,1120841324,,Literature,en
147,List_of_writing_genres,23299133,,38670,20230712152211,1165030579,,Literature,en
150,Arabic_literature,462469,,107236,20230708015131,1164130452,,Literature,en
151,Social_novel,8528135,,40629,20230502205130,1152874596,,Literature,en
155,Megatext,16414153,,3162,20230319083950,1145463428,,Literature,en
157,Mythologies_(book),404656,,18820,20230715090331,1165459834,,Literature,en
158,Mimesis:_The_Representation_of_Reality_in_Western_Literature,21452894,,17090,20230128032920,1135995286,,Literature,en
