number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Feller–Tornier_constant,53626824,,2342,20221027081418,1118489840,,Mathematics,en
2,History_of_mathematical_notation,6134187,,146989,20230705223224,1163649701,,Mathematics,en
3,Outline_of_statistics,28651,,8271,20220829152642,1107354664,,Mathematics,en
4,Prime_constant,1512119,,2759,20220814030153,1104301383,,Mathematics,en
5,Copeland–Erdős_constant,3904191,,4147,20230521053714,1156097785,,Mathematics,en
9,List_of_unsolved_problems_in_mathematics,183091,,189405,20230722233525,1166655777,,Mathematics,en
11,List_of_zeta_functions,34532,,3084,20230402063022,1147793060,,Mathematics,en
17,Square_root_of_5,12599267,,18627,20230529234007,1157634541,,Mathematics,en
18,Bauer_maximum_principle,59522751,,2197,20230621155837,1161258975,,Mathematics,en
21,Limiting_case_(mathematics),40400729,,2680,20230209194907,1138453181,,Mathematics,en
24,List_of_incomplete_proofs,14528017,,34439,20230312062423,1144175293,,Mathematics,en
25,Mathematical_diagram,19266946,,13528,20230510180857,1154169200,,Mathematics,en
28,Ordinal_notation,6108552,,15526,20221123061021,1123338742,,Mathematics,en
31,Brouwer–Hilbert_controversy,19245793,,31367,20230605154514,1158680781,,Mathematics,en
32,Outline_of_combinatorics,350204,,8257,20230128185535,1136098585,,Mathematics,en
34,Dehn_plane,4207234,,4335,20230122030814,1135019091,,Mathematics,en
44,Chisini_mean,1081339,,1673,20230710034418,1164619820,,Mathematics,en
49,List_of_number_theory_topics,346955,,10168,20230719234115,1166192664,,Mathematics,en
50,Cantor's_first_set_theory_article,22697171,,103902,20230711040248,1164792078,,Mathematics,en
51,List_of_random_number_generators,4160163,,21346,20230510205942,1167226809,,Mathematics,en
53,Invariant_(mathematics),1126638,,22061,20230430015503,1152407115,,Mathematics,en
54,Natural_pseudodistance,16593557,,5183,20210430103258,1020662623,,Mathematics,en
55,Pure_mathematics,457210,,14771,20230406051244,1148442187,,Mathematics,en
61,Parity_(mathematics),143135,,21672,20230329233241,1147286144,,Mathematics,en
62,Outline_of_regression_analysis,23770615,,4766,20200703172303,965830756,,Mathematics,en
