number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Self-report_sexual_risk_behaviors,22575147,,7286,20211115011102,1055291020,,Medicine & health,en
4,Average_daily_quantity,62431286,,485,20191128181500,928376180,,Medicine & health,en
5,Terminal_cleaning,12293209,,2388,20220811232038,1103983870,,Medicine & health,en
7,Outline_of_health,7646602,,6902,20230613220213,1160008878,,Medicine & health,en
9,Left_without_being_seen,20771501,,2084,20230310224838,1143952153,,Medicine & health,en
10,Age_of_onset,2054607,,11863,20230428222441,1152219029,,Medicine & health,en
13,A_Manual_of_Diseases_of_the_Nervous_System,74003189,,1886,20230720170847,1166297140,,Medicine & health,en
14,Estrogen_insensitivity_syndrome,8104482,,34661,20230730141820,1167896994,,Medicine & health,en
15,Emergency_care_instructor,56297415,,2664,20191208045534,929780035,,Medicine & health,en
16,Sexual_headache,2425344,,8845,20230610172123,1159490400,,Medicine & health,en
18,Responsible_drug_use,40513485,,23067,20230321094337,1145849796,,Medicine & health,en
19,FRAX,31733943,,5443,20230216200603,1139765328,,Medicine & health,en
20,Decision_aids,24934154,,9903,20211115174130,1055401496,,Medicine & health,en
21,Clinical_collaboration,66254045,,12969,20230707132947,1163993913,,Medicine & health,en
22,National_Survey_on_Drug_Use_and_Health,49494992,,1950,20230517124335,1155274981,,Medicine & health,en
23,Fatty_acid_ratio_in_food,38375564,,18572,20230710014000,1164606278,,Medicine & health,en
25,Subjective_response_to_alcohol,51805386,,23302,20230331185329,1147557993,,Medicine & health,en
26,Electric_bath_(electrotherapy),31336108,,7039,20230313191145,1144434467,,Medicine & health,en
27,Functional_Capacity_Index,33255504,,2137,20221022162819,1117604669,,Medicine & health,en
28,Biliary_sludge,45063599,,5168,20230117114108,1134185440,,Medicine & health,en
29,Mossman–Pacey_paradox,60988515,,2638,20220531025921,1090736051,,Medicine & health,en
34,Dysthanasia,7361571,,4161,20230725091418,1167041497,,Medicine & health,en
35,Herbal_medicine,439973,,61175,20230719014739,1166043274,,Medicine & health,en
36,Race_and_health,9819863,,91786,20230707045346,1163924662,,Medicine & health,en
37,Drug_rehabilitation,427922,,76540,20230707213404,1164082525,,Medicine & health,en
40,Terminal_lucidity,47885671,,15396,20230731094551,1168028389,,Medicine & health,en
42,Body_image_(neuroscience),31621992,,5619,20230121115857,1134910314,,Medicine & health,en
43,Medical_Technology_Group,41214581,,28726,20230212023500,1138871135,,Medicine & health,en
44,TIME-ITEM,11004277,,5056,20220115145002,1065829740,,Medicine & health,en
49,Death_by_misadventure,29538184,,2600,20230410232027,1149229889,,Medicine & health,en
50,Crunch_(exercise),1274608,,4280,20230704041450,1163309754,,Medicine & health,en
52,Sealedenvelope.com,60977471,,899,20210129150205,1003551999,,Medicine & health,en
53,Livor_mortis,166814,,4858,20230405031459,1148267740,,Medicine & health,en
54,Grand_rounds,10371792,,5605,20221002210011,1113700275,,Medicine & health,en
56,BioNTech,64671486,,38932,20230624174735,1161729221,,Medicine & health,en
57,Curative_care,25229846,,1363,20210608132128,1027532038,,Medicine & health,en
63,Classificatie_van_verrichtingen,31886842,,1159,20220528011921,1090194368,,Medicine & health,en
65,Adventist_Health_Studies,17700269,,10444,20230707050700,1163925983,,Medicine & health,en
67,Non-pharmaceutical_intervention_(epidemiology),63674823,,28892,20230504033724,1153082929,,Medicine & health,en
69,Health_crisis,32890301,,25751,20230714181259,1165364715,,Medicine & health,en
70,List_of_causes_of_genital_pain,48757814,,11376,20220717061441,1098726776,,Medicine & health,en
71,Denudation_(medicine),47906922,,1395,20211003203042,1048019695,,Medicine & health,en
74,Minority_stress,33462899,,59297,20230723192929,1166788575,,Medicine & health,en
75,Field_Hygiene_and_Sanitation,19335228,,1573,20210421220337,1019173665,,Medicine & health,en
76,Paraveterinary_worker,33102832,,26005,20230712091855,1164990961,,Medicine & health,en
77,Deep_hypothermic_circulatory_arrest,6891706,,50336,20230730222542,1167958650,,Medicine & health,en
78,Parity_of_esteem,9579546,,5805,20230314161317,1144604599,,Medicine & health,en
79,Tinnitus_retraining_therapy,1686266,,16980,20230401175623,1147711306,,Medicine & health,en
81,Tool_for_Influenza_Pandemic_Risk_Assessment,64788590,,1477,20220915182355,1110482334,,Medicine & health,en
82,Patient_safety_organization,5928345,,54955,20230729102147,1167702210,,Medicine & health,en
84,SCARF_syndrome,5830212,,14148,20230517201918,1155355757,,Medicine & health,en
85,Acoustoelastography,44088995,,1448,20230719120108,1166110317,,Medicine & health,en
86,Drop_attack,4864508,,3913,20220629232359,1095716407,,Medicine & health,en
87,Fissure_of_the_nipple,4377168,,2488,20230723025205,1166676207,,Medicine & health,en
88,Death_trajectory,44452821,,5556,20211108110833,1054153154,,Medicine & health,en
89,List_of_diseases_by_year_of_discovery,57004286,,1480,20230507235542,1153725287,,Medicine & health,en
