number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Army,1376,,30674,20230801125645,1168210881,,Military and warfare,en
2,Ambush,1905,,16367,20230705233118,1163660858,,Military and warfare,en
4,"Archduke_Charles,_Duke_of_Teschen",2875,,28008,20230707144210,1164004399,,Military and warfare,en
5,Blitzkrieg,4652,,115781,20230722030139,1166518846,,Military and warfare,en
6,Citadel,6695,,15878,20230718152827,1165969679,,Military and warfare,en
7,Conventional_warfare,7310,,6650,20230213163320,1139146959,,Military and warfare,en
8,FUBAR,11177,,213,20230702182828,1163058558,,Military and warfare,en
12,Lists_of_battles,18693,,5765,20230712182628,1165052629,,Military and warfare,en
14,Militia,20622,,127309,20230717170911,1165824411,,Military and warfare,en
15,List_of_military_tactics,21027,,13736,20230705164503,1163580001,,Military and warfare,en
19,Prisoner_of_war,25008,,127528,20230719083553,1166087980,,Military and warfare,en
22,Siege,26905,,82314,20230703073316,1163154149,,Military and warfare,en
23,Sabotage,29462,,38818,20230714041751,1165275184,,Military and warfare,en
24,Total_war,29974,,49586,20230725202359,1167117991,,Military and warfare,en
25,United_Arab_Emirates_Armed_Forces,31841,,36869,20230731110851,1168036195,,Military and warfare,en
27,World_War_II,32927,,257065,20230802002032,1168300824,,Military and warfare,en
28,War,33158,,107756,20230802013023,1168311763,,Military and warfare,en
29,War_film,33171,,101849,20230621051552,1161184768,,Military and warfare,en
30,Non-judicial_punishment,36875,,10933,20230605130648,1158661862,,Military and warfare,en
31,Depleted_uranium,37514,,135202,20230731000100,1167968892,,Military and warfare,en
32,Warfare,37942,,63,20171010180043,804714316,,Military and warfare,en
33,Electronic_warfare_support_measures,41102,,3388,20230131004226,1136572381,,Military and warfare,en
34,Multiple_homing,41387,,1041,20171107223334,809235507,,Military and warfare,en
35,Survivability,41764,,11389,20230701015657,1162769804,,Military and warfare,en
36,List_of_comparative_military_ranks,43332,,14083,20230420195320,1150919830,,Military and warfare,en
37,Military_incompetence,44127,,3909,20220214103726,1071790591,,Military and warfare,en
38,National_Security_Act_of_1947,44426,,31420,20230612172510,1159808178,,Military and warfare,en
40,First_strike_(nuclear_strategy),45876,,33222,20230624111202,1161689666,,Military and warfare,en
41,Asymmetric_warfare,46863,,63859,20230729224525,1167792898,,Military and warfare,en
42,War_crime,48626,,56308,20230717224556,1165865769,,Military and warfare,en
43,Yuri_Andropov,50122,,83056,20230801134720,1168216468,,Military and warfare,en
44,Martial_law,50477,,69451,20230714122848,1165323014,,Military and warfare,en
46,Strategic_bombing,53374,,70699,20230710082105,1164649974,,Military and warfare,en
51,Wilhelm_Canaris,57873,,52774,20230628110654,1162324918,,Military and warfare,en
52,Disarmament,57979,,20543,20230530001455,1157637881,,Military and warfare,en
53,Airborne_forces,58478,,73106,20230727090922,1167366637,,Military and warfare,en
54,Military_tactics,60981,,17800,20230425215157,1151728772,,Military and warfare,en
55,Armistice,61111,,8083,20230106032116,1131863468,,Military and warfare,en
56,Superpower,61398,,60494,20230801184607,1168257552,,Military and warfare,en
58,Article_9_of_the_Japanese_Constitution,62710,,46505,20230718061553,1165913997,,Military and warfare,en
59,World_War_III,65307,,95932,20230731012947,1167979903,,Military and warfare,en
60,Iraq_disarmament_crisis,66436,,25011,20230705161204,1163573231,,Military and warfare,en
61,Mutiny,69443,,35104,20230721183055,1166461720,,Military and warfare,en
62,Children_in_the_military,72214,,171820,20230720224714,1166340272,,Military and warfare,en
64,List_of_military_writers,78171,,11676,20230801034505,1168155840,,Military and warfare,en
66,Military_science,86586,,43404,20230626044111,1161966014,,Military and warfare,en
69,Military_strategy,91515,,89122,20230620225821,1161143889,,Military and warfare,en
70,Military,92357,,55821,20230722230840,1166652988,,Military and warfare,en
71,Military_doctrine,100669,,48346,20230728193446,1167604619,,Military and warfare,en
72,Civilian_casualties,104983,,14063,20230512084143,1154410595,,Military and warfare,en
73,Korean_Air_Lines_Flight_007,108257,,138977,20230731021126,1167984588,,Military and warfare,en
74,Collateral_damage,136560,,19563,20230726234951,1167304132,,Military and warfare,en
76,World_war,142735,,40524,20230729063957,1167680817,,Military and warfare,en
77,Civilian,145804,,33295,20230411163030,1149341469,,Military and warfare,en
78,Unlawful_combatant,145809,,85025,20230610231659,1159532890,,Military and warfare,en
79,Law_of_war,146319,,49092,20230801173152,1168246083,,Military and warfare,en
81,Combatant,146707,,10215,20230429082131,1152282255,,Military and warfare,en
82,Paramilitary,146730,,9766,20230801130914,1168212215,,Military and warfare,en
83,Reprisal,146798,,8276,20221222043146,1128821310,,Military and warfare,en
84,Human_shield,147008,,116361,20230713114202,1165164824,,Military and warfare,en
89,Regime_change,154074,,10200,20230709131524,1164491700,,Military and warfare,en
90,Xi'an_Incident,155418,,11033,20230714073823,1165293952,,Military and warfare,en
91,Pincer_movement,158244,,7468,20230524115214,1156747064,,Military and warfare,en
92,Scorched_earth,164406,,64771,20230801234551,1168296271,,Military and warfare,en
93,Cowardice,165119,,8033,20230705230158,1163652868,,Military and warfare,en
94,Janissary,166311,,53563,20230801015746,1168140792,,Military and warfare,en
95,Ottoman_military_reforms,166317,,15834,20230516173146,1155104392,,Military and warfare,en
97,Chemical_weapons_in_World_War_I,167578,,86008,20230628110912,1162325188,,Military and warfare,en
99,"Charles-Joseph,_7th_Prince_of_Ligne",169109,,19007,20230316215739,1145028368,,Military and warfare,en
100,Mamluk,172627,,74786,20230730075944,1167857953,,Military and warfare,en
101,Just_war_theory,173505,,53535,20230728033342,1167495910,,Military and warfare,en
102,Fragging,178043,,44392,20230613095606,1159914941,,Military and warfare,en
103,Casus_belli,178904,,26501,20230701144017,1162862025,,Military and warfare,en
105,Schlieffen_Plan,179828,,102991,20230728015002,1167485081,,Military and warfare,en
106,Trench_warfare,182259,,124939,20230801144313,1168223469,,Military and warfare,en
108,AWOL,186908,,139,20220818024908,1105018548,,Military and warfare,en
109,Manning_the_rail,188466,,3173,20230327132518,1146873779,,Military and warfare,en
110,Military_aid_to_the_civil_power,191273,,24419,20230429070113,1152274067,,Military and warfare,en
111,Military_justice,193300,,34013,20230427040613,1151934353,,Military and warfare,en
112,Pyrrhic_victory,197740,,23638,20230710083242,1164651220,,Military and warfare,en
113,Militarism,199160,,36897,20230722084304,1166550961,,Military and warfare,en
114,Friendly_fire,202484,,28027,20230504133338,1153145005,,Military and warfare,en
116,Fortification,204118,,61727,20230727234028,1167471332,,Military and warfare,en
121,Military–industrial_complex,211683,,41258,20230724211241,1166959988,,Military and warfare,en
123,Richard_Sorge,212352,,79491,20230726085717,1167197215,,Military and warfare,en
124,No_War_but_the_Class_War,227585,,3793,20230607071226,1158947464,,Military and warfare,en
127,Airborne_early_warning_and_control,236466,,38715,20230522215915,1156444264,,Military and warfare,en
128,Melee,238142,,4641,20230707204235,1164073468,,Military and warfare,en
130,Disarming_Act_1715,246302,,3920,20230725075101,1167033867,,Military and warfare,en
132,"John_French,_1st_Earl_of_Ypres",248715,,240945,20230718001305,1165874676,,Military and warfare,en
133,Military_awards_and_decorations,250041,,4873,20230708180708,1164302410,,Military and warfare,en
134,Commander-in-chief,254428,,102709,20230724235831,1166978319,,Military and warfare,en
135,List_of_military_decorations,261239,,25063,20230629210653,1162553791,,Military and warfare,en
136,Declaration_of_war,261939,,30842,20230725040838,1167009081,,Military and warfare,en
137,USS_Cumberland_(1842),265631,,27429,20230403130805,1147999803,,Military and warfare,en
139,Georgian_Military_Road,267645,,9821,20230709194705,1164558489,,Military and warfare,en
140,Co-belligerence,270160,,14411,20230715000620,1165404699,,Military and warfare,en
141,Private_military_company,274262,,77258,20230731073649,1168016681,,Military and warfare,en
142,Land_letter,274668,,2986,20230419160742,1150692907,,Military and warfare,en
143,Military_police,275990,,120741,20230725020102,1166994162,,Military and warfare,en
144,Killing_field,276575,,1600,20210708145057,1032613162,,Military and warfare,en
145,Fashoda_Incident,283542,,23569,20230801222113,1168285844,,Military and warfare,en
146,Neutral_country,284003,,78397,20230801135807,1168217809,,Military and warfare,en
147,Naval_base,291782,,2107,20211105152422,1053709763,,Military and warfare,en
148,Blockade,293054,,15577,20230620110320,1161059931,,Military and warfare,en
149,War_children,296627,,75186,20230422222939,1151261020,,Military and warfare,en
150,Tunnel_rat,297366,,11419,20230616121901,1160431433,,Military and warfare,en
151,Search_and_destroy,297373,,9386,20230627225636,1162251858,,Military and warfare,en
152,People's_war,301266,,18901,20230801230452,1168291732,,Military and warfare,en
153,Copperhead_(politics),303134,,29263,20230722200408,1166628872,,Military and warfare,en
154,Naval_rating,304198,,4782,20230523084856,1156524843,,Military and warfare,en
155,War_profiteering,304899,,41136,20230702031359,1162959237,,Military and warfare,en
162,General_order,323630,,2299,20221114224534,1121930566,,Military and warfare,en
163,World_War_II_combatives,324146,,3308,20230719221831,1166185462,,Military and warfare,en
164,Veteran,327806,,42641,20230728191234,1167600202,,Military and warfare,en
168,Attrition_warfare,343446,,15462,20230715163832,1165508877,,Military and warfare,en
170,Antoine-Henri_Jomini,358590,,20713,20230729231347,1167798133,,Military and warfare,en
171,National_Guard,365009,,4458,20230511001204,1154211189,,Military and warfare,en
172,Combat_air_patrol,365226,,7243,20221020021909,1117128109,,Military and warfare,en
173,Killed_in_action,368513,,3894,20230501010449,1152567998,,Military and warfare,en
175,Comparison_of_World_War_I_tanks,372300,,7934,20230429092555,1152287870,,Military and warfare,en
177,William_J._Hardee,376149,,14796,20230710202804,1164741109,,Military and warfare,en
178,List_of_defense_contractors,378088,,7844,20230715093515,1165462651,,Military and warfare,en
179,Defection,383663,,22204,20230621161058,1161260597,,Military and warfare,en
180,Preemptive_war,384984,,33485,20230711174922,1164886727,,Military and warfare,en
184,Édouard_Daladier,400253,,54435,20230618084502,1160711307,,Military and warfare,en
185,Spider_hole,401240,,3921,20220820002246,1105383609,,Military and warfare,en
187,Defensive_fighting_position,401883,,11144,20230707183317,1164048999,,Military and warfare,en
188,Peace_treaty,404505,,21260,20230419025339,1150610664,,Military and warfare,en
190,Unexploded_ordnance,406804,,89971,20230727204621,1167449844,,Military and warfare,en
191,Unconditional_surrender,415242,,19178,20230525004351,1156861415,,Military and warfare,en
192,War_reparations,421012,,22725,20230722175201,1166610240,,Military and warfare,en
193,White_flag,422019,,13130,20230720155135,1166287452,,Military and warfare,en
195,Trent_Affair,427977,,118048,20230718013739,1165883659,,Military and warfare,en
196,Nose_art,432001,,30291,20230628090244,1162312245,,Military and warfare,en
199,War_memorial,443150,,39737,20230623230343,1161622400,,Military and warfare,en
200,Hanno_II_the_Great,446236,,2968,20230617111109,1160571214,,Military and warfare,en
202,Francs-tireurs,456526,,18127,20230331185806,1147558565,,Military and warfare,en
204,Charge_(warfare),474957,,23313,20230526074916,1157096093,,Military and warfare,en
206,Operation_Bagration,476582,,70995,20230728042431,1167502536,,Military and warfare,en
207,Three_Soldiers_(statue),481223,,11172,20230616001055,1160355965,,Military and warfare,en
208,Salient_(military),487105,,8251,20220916042613,1110548744,,Military and warfare,en
210,Belligerent,496527,,3812,20230325135837,1146534496,,Military and warfare,en
211,Ruse_de_guerre,499547,,20773,20230616194318,1160484852,,Military and warfare,en
212,Flying_ace,501722,,44695,20230704034751,1163307275,,Military and warfare,en
217,Cooking_off,530238,,7731,20230421143741,1151037955,,Military and warfare,en
219,Sino-Soviet_border_conflict,552565,,59326,20230730200408,1167941615,,Military and warfare,en
221,Enfilade_and_defilade,556633,,8752,20230502072531,1152776513,,Military and warfare,en
223,War_economy,562666,,17933,20230704221719,1163442265,,Military and warfare,en
224,Defence_Forces,562759,,5870,20230706015447,1163681080,,Military and warfare,en
226,International_crisis,572337,,6685,20230714231618,1165399408,,Military and warfare,en
227,List_of_military_occupations,574247,,79767,20230627222814,1162248901,,Military and warfare,en
228,Patrolling,576232,,2877,20230108160338,1132378318,,Military and warfare,en
229,Unrestricted_submarine_warfare,586345,,11229,20230623102623,1161534992,,Military and warfare,en
230,Roger_Williams_(soldier),586495,,15292,20220916065807,1110567155,,Military and warfare,en
231,Strategic_depth,589917,,17133,20230507194154,1153694176,,Military and warfare,en
232,Comparative_officer_ranks_of_World_War_II,589999,,92022,20230704122035,1163359215,,Military and warfare,en
233,The_world_wonders,592524,,13054,20230315110138,1144751277,,Military and warfare,en
234,Ceasefire,592591,,20777,20230522101835,1156337855,,Military and warfare,en
235,War_cabinet,594796,,28668,20230518104509,1155485009,,Military and warfare,en
236,Weapons_platform,596518,,3142,20220309235256,1076216082,,Military and warfare,en
237,Revolution_in_military_affairs,598620,,30579,20230512133427,1154437040,,Military and warfare,en
239,Missing_in_action,601205,,78328,20230717041216,1165742917,,Military and warfare,en
240,Preventive_war,607226,,13134,20230619203934,1160969726,,Military and warfare,en
242,Arms_industry,608296,,33821,20230715093550,1165462703,,Military and warfare,en
243,Cannon_fodder,615914,,6157,20230508154759,1153830069,,Military and warfare,en
244,Demilitarisation,623992,,6143,20230626091415,1161990115,,Military and warfare,en
245,Landing_zone,628969,,9602,20230607155156,1158999608,,Military and warfare,en
246,Vietnam_syndrome,629179,,11764,20230526102859,1157107246,,Military and warfare,en
247,Comparative_officer_ranks_of_World_War_I,629214,,38686,20230728001124,1167474753,,Military and warfare,en
248,Unity_of_command,630353,,2526,20220601172114,1091009103,,Military and warfare,en
251,Grand_strategy,636943,,49405,20230728030712,1167493171,,Military and warfare,en
253,Non-belligerent,638594,,4583,20230731040433,1167996771,,Military and warfare,en
254,Resistance_to_interrogation,642795,,2495,20230713090335,1165149612,,Military and warfare,en
255,Goldwater–Nichols_Act,644624,,18542,20230719192836,1166166235,,Military and warfare,en
256,Wardroom,651300,,5787,20230301102945,1142253884,,Military and warfare,en
257,Suppressive_fire,652110,,15088,20230708093804,1164206915,,Military and warfare,en
258,Future_of_the_Royal_Navy,660831,,100409,20230729225607,1167794982,,Military and warfare,en
259,Long-range_reconnaissance_patrol,662352,,37203,20230716203540,1165693814,,Military and warfare,en
260,Point_target,666418,,1434,20230207063734,1137950903,,Military and warfare,en
261,Surgical_strike,666610,,7273,20230617014102,1160525008,,Military and warfare,en
262,War_college,669244,,1798,20230716131937,1165639633,,Military and warfare,en
263,Ski_warfare,679433,,9711,20230625092631,1161830521,,Military and warfare,en
265,Skirmisher,691301,,17761,20230514020310,1154690840,,Military and warfare,en
266,Military_surplus,693285,,3676,20230317105400,1145116580,,Military and warfare,en
267,Fabian_strategy,693404,,16471,20230801030958,1168150455,,Military and warfare,en
268,Daniel_Sickles,697616,,46598,20230722203434,1166633687,,Military and warfare,en
271,Police_action,722328,,9519,20230731215017,1168111713,,Military and warfare,en
272,War_Is_a_Racket,726561,,7148,20230730184441,1167931138,,Military and warfare,en
273,Military_rule,728710,,881,20221222203212,1128944006,,Military and warfare,en
274,Navy_Day,728761,,17852,20230709035047,1164406032,,Military and warfare,en
275,List_of_United_States_Navy_ratings,729760,,103775,20230715212205,1165544792,,Military and warfare,en
276,Deterrence_theory,735661,,63647,20230717073912,1165762864,,Military and warfare,en
277,Red_star,738596,,45819,20230602213619,1158247918,,Military and warfare,en
278,Blockhouse,741071,,17669,20230314204705,1144647443,,Military and warfare,en
280,Denied_area,763464,,3269,20230601222346,1158085741,,Military and warfare,en
281,Front_(military),789071,,2933,20230402170641,1147860287,,Military and warfare,en
285,Bridgehead,820230,,4352,20211213210511,1060165870,,Military and warfare,en
286,Lieber_Code,831817,,23542,20230730112600,1167879497,,Military and warfare,en
288,Mentioned_in_dispatches,841947,,18592,20230708164353,1164285639,,Military and warfare,en
289,Options_for_Change,847278,,23192,20230619052104,1160851860,,Military and warfare,en
290,List_of_war_crimes,849750,,252138,20230801161409,1168235051,,Military and warfare,en
291,Wounded_in_action,871054,,3056,20230609083327,1159267950,,Military and warfare,en
293,England_expects_that_every_man_will_do_his_duty,879180,,22702,20230801141022,1168219311,,Military and warfare,en
295,List_of_orders_of_battle,890647,,90051,20230728094537,1167535504,,Military and warfare,en
296,Military_strike,897238,,3494,20230329032225,1147144436,,Military and warfare,en
302,Power_projection,931158,,133350,20230721123943,1166420716,,Military and warfare,en
303,Military_service,938728,,121647,20230718061630,1165914052,,Military and warfare,en
304,Parachutist_badge,954729,,27065,20230731174418,1168081879,,Military and warfare,en
306,Organic_unit,968050,,1678,20220116220456,1066117500,,Military and warfare,en
307,"The_wrong_war,_at_the_wrong_place,_at_the_wrong_time",969397,,7096,20230322103543,1146029642,,Military and warfare,en
308,Slighting,973614,,19470,20230711201530,1164904541,,Military and warfare,en
309,Fire_support,973908,,4859,20230113020944,1133293245,,Military and warfare,en
310,Military_art,977757,,68794,20230522025236,1156276529,,Military and warfare,en
311,Militaria,979708,,1835,20230413005437,1149563130,,Military and warfare,en
312,Economic_militarism,985541,,7650,20220721041204,1099505932,,Military and warfare,en
313,Insubordination,986842,,9136,20230702113436,1163009094,,Military and warfare,en
314,Military_discipline,988138,,2999,20230206053238,1137738525,,Military and warfare,en
315,Post–September_11_anti-war_movement,989997,,45763,20221030114753,1119043715,,Military and warfare,en
316,Tercio,1001476,,35212,20230801211632,1168277527,,Military and warfare,en
317,Albrecht_Adam,1005051,,11782,20230801223732,1168288231,,Military and warfare,en
318,Combat_stress_reaction,1019091,,44309,20230615204505,1160334090,,Military and warfare,en
319,Military_education_and_training,1022936,,5233,20230307153748,1143414362,,Military and warfare,en
320,Gennady_Yanayev,1025557,,22033,20230708213347,1164340221,,Military and warfare,en
321,Pocket_(military),1031496,,16359,20230328065908,1146997853,,Military and warfare,en
322,War_correspondent,1042601,,19937,20230629234640,1162573365,,Military and warfare,en
323,Levée_en_masse,1043835,,23909,20230514234356,1154835294,,Military and warfare,en
324,Military_operations_other_than_war,1051860,,19186,20230615193923,1160326171,,Military and warfare,en
325,Decapitation_(military_strategy),1054389,,12697,20230504005223,1153066104,,Military and warfare,en
326,Angary,1063650,,2347,20230607023726,1158921449,,Military and warfare,en
327,Stormtroopers_(Imperial_Germany),1073621,,28561,20230711194524,1164900993,,Military and warfare,en
328,Defensive_war,1079530,,4900,20230702072447,1162984301,,Military and warfare,en
330,Dedovshchina,1088880,,14271,20230624063735,1161665136,,Military and warfare,en
331,Second_Taiwan_Strait_Crisis,1101139,,24915,20230730131051,1167889924,,Military and warfare,en
332,Peace_walk,1102553,,21680,20230220211349,1140600090,,Military and warfare,en
333,Demobilization,1110114,,6513,20230506235104,1153530670,,Military and warfare,en
