number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,About–Picard_law,1482062,,33860,20230507162512,1153668037,,Philosophy and religion,en
2,Laufa,69175352,,2839,20220405224128,1081199910,,Philosophy and religion,en
5,New_Philosophers,1191013,,5009,20230614214702,1160179788,,Philosophy and religion,en
7,Fu_Jen_School,67470746,,3812,20230707234655,1164107461,,Philosophy and religion,en
8,Manda_(Mandaeism),14063657,,4932,20230429204337,1152369454,,Philosophy and religion,en
9,Institute_of_Art_and_Ideas,21295350,,13537,20230705155239,1163569549,,Philosophy and religion,en
11,Byzantinism,2488327,,20507,20230717170208,1167403906,,Philosophy and religion,en
12,Cultural_schema_theory,17146474,,18021,20230705174336,1163593562,,Philosophy and religion,en
13,Noosphere,21508,,15888,20230516121257,1155063043,,Philosophy and religion,en
14,Religion_in_Barbados,22324505,,4290,20230413061351,1149592356,,Philosophy and religion,en
15,1000-Word_Philosophy,47223994,,2998,20230528114442,1157409104,,Philosophy and religion,en
17,Nature_religion,14272151,,9640,20221114075420,1121812823,,Philosophy and religion,en
18,First_they_came_...,192609,,14605,20230721102942,1167111850,,Philosophy and religion,en
19,Renaissance_humanism,290237,,41153,20230619184340,1160953768,,Philosophy and religion,en
20,Dogma,44941,,13695,20230628072309,1162301996,,Philosophy and religion,en
21,Genesis_Prize,40612017,,27752,20230509094017,1153950188,,Philosophy and religion,en
23,Astronomy_and_spirituality,62662353,,3927,20221102175300,1119648436,,Philosophy and religion,en
24,Dispensation_(period),24366867,,12340,20221201142357,1124971261,,Philosophy and religion,en
26,Collective_responsibility,1808630,,19767,20230630031334,1162598306,,Philosophy and religion,en
27,Dii_involuti,63748587,,2798,20230302182028,1142493158,,Philosophy and religion,en
28,Zandaqa,4618857,,8276,20230501101727,1167060093,,Philosophy and religion,en
30,Lay_preacher,1763515,,3082,20230614102251,1160087899,,Philosophy and religion,en
33,Trinity_Church_Square,44622036,,3446,20230714233018,1165400868,,Philosophy and religion,en
34,Secular_morality,18410383,,43411,20230622151001,1161414522,,Philosophy and religion,en
35,Non-wellfounded_mereology,36202984,,885,20170413090527,775196555,,Philosophy and religion,en
36,Religious_information_by_country,41232042,,312396,20230209161726,1138422634,,Philosophy and religion,en
39,Integral_yoga,1817874,,40329,20230113213340,1133450011,,Philosophy and religion,en
41,Numinous,3166033,,19092,20230510035557,1154080793,,Philosophy and religion,en
42,Computation_of_time_(Catholic_canon_law),49847177,,6500,20221208191237,1126325412,,Philosophy and religion,en
43,Energy_(esotericism),5186688,,9269,20230625040029,1161796451,,Philosophy and religion,en
44,Twelve-step_program,31398,,41526,20230706132957,1163791986,,Philosophy and religion,en
47,A_Letter_Concerning_Toleration,910851,,10189,20230501003841,1152564758,,Philosophy and religion,en
48,Counter-apologetics,47458100,,5009,20230221212701,1140800460,,Philosophy and religion,en
52,Antisuperstition,38919445,,882,20220927225623,1112752203,,Philosophy and religion,en
53,Semicompatibilism,52374403,,911,20230511161207,1154308412,,Philosophy and religion,en
54,Soulcatcher,14324827,,3681,20230123070709,1135202127,,Philosophy and religion,en
56,Religious_experience,1468653,,76345,20230717194125,1167433831,,Philosophy and religion,en
57,Constructional_system,52282320,,1449,20161206230847,753400874,,Philosophy and religion,en
58,Theistic_evolution,328815,,50608,20230608181128,1159170246,,Philosophy and religion,en
59,Dinka_religion,98511,,9928,20230417190200,1150363536,,Philosophy and religion,en
61,Logic_and_dialectic,50141080,,5237,20230603041814,1158291183,,Philosophy and religion,en
62,Outline_of_spirituality,405816,,9276,20230607034135,1167433456,,Philosophy and religion,en
63,Physical_universe_(philosophy),2399976,,1142,20221221023154,1128619783,,Philosophy and religion,en
64,13th_century_in_philosophy,55354061,,1269,20230713150423,1165185278,,Philosophy and religion,en
