number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,McLeod_gauge,1155556,,3401,20230308103030,1143535948,,Physics,en
2,Physics_in_the_medieval_Islamic_world,17944118,,14754,20230623155424,1161570657,,Physics,en
3,United_States_gravity_control_propulsion_research,19256144,,41877,20230722170655,1166604112,,Physics,en
4,Koenig's_manometric_flame_apparatus,16646920,,4013,20220829210053,1107404712,,Physics,en
5,Open_quantum_system,1079106,,19289,20230622152748,1161416578,,Physics,en
6,Middle_World,12748155,,2389,20221004131659,1114034934,,Physics,en
8,Laser_printing_of_single_nanoparticles,42347710,,3008,20210518020841,1023738259,,Physics,en
10,Pomeranchuk_Prize,18433248,,3090,20230704164758,1163394929,,Physics,en
11,Einstein_Prize_for_Laser_Science,37271462,,2958,20200119211701,936600216,,Physics,en
12,Physical_Review_Focus,421326,,1890,20210706211247,1032342557,,Physics,en
13,Hyperuniformity,48870431,,41191,20230315190631,1144818365,,Physics,en
14,History_of_special_relativity,1790788,,141119,20230721091324,1166854786,,Physics,en
15,Codex_on_the_Flight_of_Birds,16611762,,19822,20230711174357,1164886078,,Physics,en
16,Radio-frequency_induction,60994,,2042,20210503161403,1021230837,,Physics,en
17,Optical_force,25654089,,928,20220724185127,1100207471,,Physics,en
19,Institute_of_Physics_Awards,62862012,,21242,20230611160444,1159640283,,Physics,en
21,Lists_of_physics_equations,9100987,,1356,20230706221005,1163878806,,Physics,en
22,Specific_potential_energy,40523438,,677,20220415040252,1082790764,,Physics,en
25,Malter_effect,11713313,,4159,20230323021704,1146152511,,Physics,en
27,Entanglement_monotone,61638365,,2684,20230426183355,1151863303,,Physics,en
28,History_of_quantum_mechanics,9067941,,78022,20230716023832,1166794583,,Physics,en
29,Fermat's_principle,37232,,61824,20230703142440,1163203233,,Physics,en
34,Phase_switch,5074961,,820,20181130215457,871412565,,Physics,en
37,Potentiometric_surface,14220244,,1519,20220114173941,1166817720,,Physics,en
40,Electron_quadruplets,69057786,,2355,20221202052610,1125101058,,Physics,en
42,Schiller_layers,32960907,,662,20230417104824,1166828824,,Physics,en
43,History_of_loop_quantum_gravity,856680,,12571,20230721103737,1166410217,,Physics,en
45,Fermi–Pasta–Ulam–Tsingou_problem,2864857,,19829,20221209070308,1126420955,,Physics,en
46,K_band_(infrared),52012421,,1565,20230319100157,1145474317,,Physics,en
47,Phase_offset_modulation,6729866,,1182,20220516084901,1088123158,,Physics,en
48,Non-contact_force,7786484,,3048,20230524053948,1156703739,,Physics,en
50,Oxford_Calculators,4555383,,15918,20230613205059,1159999880,,Physics,en
51,Women_in_physics,7932544,,40404,20230620080906,1161044657,,Physics,en
52,Relativity_of_simultaneity,3406142,,21145,20230720051042,1166226261,,Physics,en
54,Thermodynamic_limit,2262550,,6120,20220312002513,1076605984,,Physics,en
55,Leo_Szilard_Lectureship_Award,49947894,,6178,20230611172151,1159650268,,Physics,en
56,Einstein's_Blackboard,42492459,,14870,20230717220922,1165861963,,Physics,en
58,Streaming_vibration_current,13680444,,1330,20220507202500,1086699689,,Physics,en
59,Vector_potential,422936,,4427,20230510133612,1154134757,,Physics,en
60,History_of_variational_principles_in_physics,5586409,,13488,20230604210405,1167241971,,Physics,en
62,Delta-v_(physics),14454695,,1492,20210610042052,1027810649,,Physics,en
63,Tomassoni_awards,34653775,,2002,20220409101222,1081738171,,Physics,en
64,Spin_pumping,5447381,,6839,20230704030307,1163302693,,Physics,en
65,Ternary_fission,32098871,,6422,20230529211035,1157619874,,Physics,en
66,Wigner_quasiprobability_distribution,1884336,,36274,20230525184633,1157006865,,Physics,en
68,List_of_relativistic_equations,147337,,22642,20230126150049,1135735438,,Physics,en
69,Equivalent_dumping_coefficient,9363637,,2037,20220622010853,1094337086,,Physics,en
70,Carreau_fluid,2041081,,2020,20220916072918,1110572065,,Physics,en
71,Dirac_Medal,237799,,20883,20230719100745,1166097740,,Physics,en
73,Superglass,20650838,,1860,20221030224700,1119137483,,Physics,en
74,Wave_function_collapse,71138,,25748,20230722114347,1166566111,,Physics,en
75,Gribov_Medal,63089932,,7215,20220225202617,1073994861,,Physics,en
76,Virtual_particle,192316,,22469,20230628112839,1162327145,,Physics,en
77,Medard_W._Welch_Award,17569127,,10382,20220624010257,1094692433,,Physics,en
78,Ritz_ballistic_theory,32782978,,9372,20230409142445,1148993626,,Physics,en
81,Perturbation_theory,102140,,20822,20230622232427,1161473219,,Physics,en
82,List_of_states_of_matter,1314474,,9449,20230618124805,1160737079,,Physics,en
84,Virial_theorem,32664,,42885,20230610190702,1159503954,,Physics,en
86,Fresnel_equations,11149,,69799,20230602105518,1158170414,,Physics,en
87,Spectrum_(physical_sciences),71483551,,21998,20230415174632,1167334216,,Physics,en
91,Energy_functional,20560973,,1480,20220408145250,1081615489,,Physics,en
94,Timeline_of_quantum_mechanics,24084197,,80712,20230621215825,1161305329,,Physics,en
95,Specific_mechanical_energy,40523295,,4209,20220405143227,1081135866,,Physics,en
97,List_of_scattering_experiments,53155398,,1569,20220719193434,1099248354,,Physics,en
99,List_of_physics_mnemonics,45417452,,8567,20221207194532,1126143745,,Physics,en
100,Lorentz_scalar,1911511,,8219,20220519031503,1088613626,,Physics,en
101,PANDA_experiment,31254087,,4337,20230104063716,1131454429,,Physics,en
102,Classical_unified_field_theories,932217,,15772,20230723055603,1166695642,,Physics,en
103,High_Energy_Physics_Advisory_Panel,43070586,,2690,20230202190836,1137089033,,Physics,en
104,Poincaré_Seminars,4891505,,4656,20201214214243,994269924,,Physics,en
106,Wigner–Weyl_transform,4277086,,19887,20221223145032,1129091869,,Physics,en
108,List_of_centroids,5220510,,11745,20230627134646,1162180155,,Physics,en
109,List_of_atmospheric_optical_phenomena,73055811,,2167,20230621014840,1167282325,,Physics,en
110,Path_integral_formulation,438476,,86026,20230621214357,1161303827,,Physics,en
111,Covariance_group,19260818,,2848,20220120174447,1166994188,,Physics,en
112,Rydberg_formula,237708,,13585,20230712002019,1164931223,,Physics,en
114,Time_translation_symmetry,54016907,,10163,20230129233003,1136356549,,Physics,en
117,List_of_textbooks_in_thermodynamics_and_statistical_mechanics,3117016,,48483,20230404123526,1148158880,,Physics,en
118,Rutherford_Memorial_Medal,3424427,,4062,20230127212041,1135948005,,Physics,en
121,Henri_Poincaré_Prize,4890712,,3846,20230623133611,1161553734,,Physics,en
122,List_of_plasma_physicists,1839391,,17042,20230524212826,1156834394,,Physics,en
124,List_of_Feynman_diagrams,25945211,,3118,20220604015152,1091399462,,Physics,en
127,International_Centre_for_Theoretical_Physics,4194183,,9245,20230525213806,1157033592,,Physics,en
128,Orders_of_magnitude_(angular_momentum),58611869,,1861,20220902173740,1167279162,,Physics,en
129,David_Adler_Lectureship_Award_in_the_Field_of_Materials_Physics,23432134,,2944,20230608024934,1159078062,,Physics,en
130,Britney_Spears'_Guide_to_Semiconductor_Physics,22950086,,1918,20230226005147,1141630341,,Physics,en
131,James_Joule_Medal_and_Prize,62669390,,7864,20230611153016,1159635578,,Physics,en
133,History_of_spectroscopy,35980148,,51139,20230615001102,1160195610,,Physics,en
135,List_of_textbooks_on_classical_mechanics_and_quantum_mechanics,61276647,,11743,20230718134023,1165956284,,Physics,en
137,Klopsteg_Memorial_Award,12710750,,5897,20221021213532,1117465664,,Physics,en
139,Nanomechanical_resonator,50250122,,2100,20210507162116,1021955139,,Physics,en
140,Einstein's_thought_experiments,57264039,,108239,20230310004914,1143806192,,Physics,en
141,Stationary-action_principle,249438,,26426,20230702071007,1167242270,,Physics,en
142,Arctowski_Medal,28306556,,7090,20221025172015,1118191507,,Physics,en
144,Sznajd_model,44120932,,6912,20210705204445,1032161475,,Physics,en
146,Specific_density,5341704,,2183,20230414214839,1149859124,,Physics,en
147,Exceptional_point,70917667,,3578,20230602230054,1158257945,,Physics,en
148,Marian_Smoluchowski_Medal,63175378,,4107,20230425135514,1151670826,,Physics,en
151,List_of_Slovenian_physicists,796647,,1433,20221029012912,1118809578,,Physics,en
152,Midwestern_Universities_Research_Association,35026878,,3727,20220612021554,1092712157,,Physics,en
153,Los_Alamos_Primer,4592501,,4008,20210904054856,1042288462,,Physics,en
154,Shortwave_radiation,154581,,3403,20230424191713,1151551795,,Physics,en
155,Outline_of_physics,24489,,35249,20230614210612,1160174605,,Physics,en
156,Feynman_diagram,11617,,93152,20230709043424,1164413327,,Physics,en
157,Active_and_passive_transformation,366436,,11033,20221010161417,1115263541,,Physics,en
159,Potential_gradient,467428,,8948,20221104001238,1119892946,,Physics,en
161,Final_state_conjecture,71461171,,1116,20220809132527,1103391961,,Physics,en
163,Mott_criterion,21162207,,968,20201202075534,991879334,,Physics,en
164,Parabola_of_safety,26481832,,1813,20220106022024,1064002055,,Physics,en
166,Radiation_effect,33373776,,535,20181022013609,865144753,,Physics,en
167,List_of_Proton_Synchrotron_experiments,55188089,,12514,20220313173257,1076927063,,Physics,en
168,Enrico_Fermi_Award,146276,,4224,20230704013201,1167253999,,Physics,en
170,Conventional_superconductor,51070,,1857,20221205164626,1125746513,,Physics,en
171,Ruze's_equation,22630452,,3545,20221004135258,1114040092,,Physics,en
172,Inertia_damper,23586028,,2391,20230425090933,1151643544,,Physics,en
173,Moseley's_law,1983277,,8048,20230523110534,1156541540,,Physics,en
177,History_of_optics,2627738,,45566,20230709234214,1164593304,,Physics,en
179,Ponderomotive_energy,8853472,,2864,20230413125630,1149632102,,Physics,en
183,Edison_Volta_Prize,37641022,,4132,20220927155600,1112695925,,Physics,en
185,List_of_letters_used_in_mathematics_and_science,150144,,16250,20230709121702,1164483086,,Physics,en
187,Dasar,10536559,,471,20220805162158,1102546223,,Physics,en
188,Asymptotic_safety_in_quantum_gravity,37596615,,45527,20230621205726,1161298389,,Physics,en
192,Mechanical_explanations_of_gravitation,11817317,,26065,20230620083956,1161046977,,Physics,en
193,List_of_particles,385334,,32052,20230702180724,1163056175,,Physics,en
194,Free_particle,1297539,,12503,20230616133753,1160440182,,Physics,en
195,Isotropic_radiation,1965987,,411,20230629235356,1162574148,,Physics,en
196,List_of_moments_of_inertia,468843,,22398,20230501104507,1152625557,,Physics,en
197,Environment_(systems),22247762,,1701,20230209204312,1138462318,,Physics,en
198,Proof_mass,41565982,,2348,20220323024035,1078744279,,Physics,en
199,Nimrod_(synchrotron),16239927,,1779,20210817164056,1039255748,,Physics,en
200,List_of_contributors_to_general_relativity,2388068,,20282,20220423060115,1084214499,,Physics,en
201,I._I._Rabi_Award,43678078,,2652,20230720124415,1166266313,,Physics,en
202,The_Internet_Pilot_to_Physics,2884065,,1809,20230612183027,1159816413,,Physics,en
203,Vector_space,32370,,96195,20230719051744,1167090884,,Physics,en
204,Ernest_Kempton_Adams_Lectures,73901890,,2664,20230709133656,1164494816,,Physics,en
205,State_space_(physics),9718351,,2382,20230423071959,1151314825,,Physics,en
206,Identity_channel,33849734,,622,20161025020046,746063628,,Physics,en
207,Air_lock,765175,,4142,20230716030555,1165583562,,Physics,en
208,M5-brane,53072781,,485,20170413222847,775290856,,Physics,en
209,List_of_mesons,2377848,,54133,20230614231341,1160189634,,Physics,en
210,Fuel_mass_fraction,10132968,,944,20230722000026,1166499295,,Physics,en
211,Rollin_film,2157145,,4266,20230628205246,1162391444,,Physics,en
212,Lorenz_gauge_condition,1718317,,10789,20230713231424,1165246469,,Physics,en
215,History_of_general_relativity,1963519,,38094,20230706035037,1166801752,,Physics,en
216,Peter_Mark_Memorial_Award,19943360,,2927,20210419175055,1018753271,,Physics,en
217,Niels_Bohr_Institute,53296,,14960,20230508115834,1153801504,,Physics,en
218,Sackler_Prize,6617299,,14643,20230222195057,1140986590,,Physics,en
219,Mechanical_impedance,3219545,,2333,20230625112909,1161844973,,Physics,en
