number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Adversarial_system,2598,,12661,20230321160816,1145895577,,Politics and government,en
3,Government_of_Barbados,3514,,19940,20230414231453,1149868613,,Politics and government,en
4,Coalition_government,6036,,48436,20230730112853,1167879847,,Politics and government,en
7,Country_Liberal_Party,6468,,41018,20230508013812,1153738103,,Politics and government,en
8,Citizenship,6784,,60919,20230801220110,1168282966,,Politics and government,en
9,Democracy,7959,,202939,20230801124015,1168209106,,Politics and government,en
10,Diplomatic_mission,8970,,20573,20230714135612,1165333455,,Politics and government,en
12,Election,9457,,45459,20230718193332,1166000122,,Politics and government,en
15,Egalitarianism,10113,,29167,20230728224546,1167629636,,Politics and government,en
16,Executive_(government),10263,,6890,20230731145357,1168061027,,Politics and government,en
19,Government,12229,,37675,20230613150556,1159948453,,Politics and government,en
20,Grand_jury,12684,,62014,20230609093444,1159275226,,Politics and government,en
21,General_election,12795,,6041,20230329162032,1147229030,,Politics and government,en
28,Impeachment,15328,,70421,20230623000219,1161477166,,Politics and government,en
30,Manifesto,20832,,5857,20230726064347,1167185206,,Politics and government,en
32,Nomenklatura,21999,,14378,20230731002817,1167972541,,Politics and government,en
33,Oligarchy,22315,,27285,20230726021522,1167161319,,Politics and government,en
36,Politics,22986,,80696,20230728002106,1167475819,,Politics and government,en
37,Postmaster,22990,,6204,20230706214027,1163875299,,Politics and government,en
39,Political_philosophy,23040,,78076,20230726045548,1167175180,,Politics and government,en
40,Propaganda,23203,,86416,20230725022534,1166998682,,Politics and government,en
43,Political_party,23996,,125995,20230611054920,1159572984,,Politics and government,en
44,List_of_pacifist_organisations,24374,,1515,20230330181242,1147399539,,Politics and government,en
45,Political_science,24388,,64700,20230729231430,1167798227,,Politics and government,en
46,Parliament,24406,,77411,20230728073117,1167522052,,Politics and government,en
49,Peace,24702,,61892,20230727163827,1167417952,,Politics and government,en
52,Real_Irish_Republican_Army,25731,,63696,20230616134344,1160440725,,Politics and government,en
58,Totalitarianism,30439,,93247,20230801060635,1168172288,,Politics and government,en
60,Treaty_of_Verdun,30898,,9985,20230503231816,1153055711,,Politics and government,en
62,Two-party_system,31605,,86434,20230728054049,1167511085,,Politics and government,en
64,Congress,36546,,10448,20230615235538,1160354154,,Politics and government,en
66,Theories_of_political_behavior,37123,,17064,20230222113750,1140913552,,Politics and government,en
67,Head_of_government,37570,,41412,20230729085607,1167694371,,Politics and government,en
68,United_Nations_Interim_Administration_Mission_in_Kosovo,38326,,60460,20230618093026,1160715965,,Politics and government,en
69,Social_contract,39704,,49158,20230725082050,1167036489,,Politics and government,en
70,Homeland_security,42105,,21201,20230517051540,1155209386,,Politics and government,en
71,Naturalization,42314,,129198,20230721190938,1166466157,,Politics and government,en
72,Senate,44417,,23497,20230730213651,1167953034,,Politics and government,en
73,Legislature,44421,,19930,20230730233430,1167966208,,Politics and government,en
78,Referendum,51582,,30372,20230518202754,1155583063,,Politics and government,en
81,Corporate_welfare,52221,,24689,20230322111803,1146033980,,Politics and government,en
82,Representative_democracy,52318,,24737,20230517195131,1155350682,,Politics and government,en
83,Watergate_scandal,52382,,144225,20230725054751,1167020501,,Politics and government,en
88,Pendleton_Civil_Service_Reform_Act,55663,,22417,20230116123519,1133983384,,Politics and government,en
90,List_of_kingdoms_and_royal_dynasties,58653,,24580,20230713171156,1165201362,,Politics and government,en
92,Judicial_discretion,58792,,3697,20230413001956,1149559115,,Politics and government,en
94,Judiciary,59564,,25889,20230709141144,1164500451,,Politics and government,en
100,Mixed_economy,65668,,59526,20230710192503,1164731714,,Politics and government,en
103,Ambassador,68651,,21228,20230623185525,1161593514,,Politics and government,en
104,Suffrage,70322,,110283,20230724044112,1166852734,,Politics and government,en
105,Parliamentary_procedure,70935,,17488,20230318041103,1145265157,,Politics and government,en
109,Veto,74661,,88808,20230617161733,1160601714,,Politics and government,en
112,List_of_treaties,77970,,231245,20230710222226,1164754558,,Politics and government,en
113,Electoral_college,79771,,23858,20230726235303,1167304458,,Politics and government,en
116,International_relations,82533,,78300,20230728113855,1167546131,,Politics and government,en
117,Counterterrorism,83392,,67339,20230629205012,1162551473,,Politics and government,en
119,Sheriff,89516,,35812,20230721180817,1166459196,,Politics and government,en
120,County_court,89776,,14739,20230524031355,1156685991,,Politics and government,en
123,Dries_van_Agt,98051,,30239,20230729084511,1167693430,,Politics and government,en
124,Green_anarchism,98514,,28427,20230712084534,1164987978,,Politics and government,en
126,George_Gallup,100077,,10552,20230419134930,1150674720,,Politics and government,en
128,Mayor,101146,,60592,20230707204056,1164073169,,Politics and government,en
131,National_Assembly,140559,,15890,20230726102919,1167206467,,Politics and government,en
133,Unlawful_combatant,145809,,85025,20230610231659,1159532890,,Politics and government,en
1,Head_of_state,13456,,154756,20230714003738,1166972784,,Politics and government,en
6,Campaign_advertising,2188206,,43077,20230706233704,1163888129,,Politics and government,en
7,Canadian_Union_of_Public_Employees_v_Ontario_(Minister_of_Labour),35312751,,5537,20221102062445,1119560814,,Politics and government,en
10,Cour_des_Comptes_(France),1618081,,14395,20220918210238,1111011177,,Politics and government,en
11,Trial_court,306967,,4712,20230704224900,1163447169,,Politics and government,en
13,Petition_for_review,49879674,,9071,20220331212456,1080369597,,Politics and government,en
20,Receiver_general,4377103,,583,20220322081841,1166797670,,Politics and government,en
21,Social_issue,2345894,,57034,20230719112930,1166891885,,Politics and government,en
31,Elrod_v._Burns,53642027,,9820,20230413002518,1149559701,,Politics and government,en
36,Junta_of_National_Reconstruction,1729727,,5105,20221015150027,1116236992,,Politics and government,en
37,Provisional_Revolutionary_Government_of_the_Republic_of_South_Vietnam,68273,,17345,20230712100816,1164996500,,Politics and government,en
43,Dog_whistle_(politics),1853472,,39181,20230721195613,1166472035,,Politics and government,en
48,Political_decay,42308421,,10193,20230624022558,1161644728,,Politics and government,en
54,WinRed,63455259,,13707,20230609213918,1167467440,,Politics and government,en
59,Ghost_detainee,1648647,,13527,20230510132958,1154133967,,Politics and government,en
66,Particracy,1697919,,13402,20230313050552,1144336914,,Politics and government,en
67,Ethical_socialism,43473082,,18140,20230514050144,1154709007,,Politics and government,en
72,Warrant_sale,18832046,,2946,20230713213331,1165235379,,Politics and government,en
74,Public_trust,174363,,8972,20221005235021,1114330658,,Politics and government,en
75,Michael_Farris_(lawyer),2199751,,11047,20230709184643,1164547977,,Politics and government,en
77,Liberal_Republican_Party_(United_States),742475,,31520,20230513005838,1154516571,,Politics and government,en
81,SD_public_opinion_reports,69984661,,2020,20230305023521,1142933729,,Politics and government,en
83,Tractatus_Politicus,31148390,,3061,20220807004930,1102808083,,Politics and government,en
90,Tripartisme,7350640,,13217,20230705122706,1163531275,,Politics and government,en
91,Computational_politics,61580753,,10062,20230705154906,1166894024,,Politics and government,en
96,Non-ministerial_government_department,2826064,,4577,20230722044117,1166527488,,Politics and government,en
99,List_of_countries_with_coalition_governments,27830442,,21920,20230528150521,1157429359,,Politics and government,en
101,Voter_segments_in_political_polling,51552568,,9581,20230328230024,1147113789,,Politics and government,en
102,Majoritarian_democracy,3084768,,4474,20230225081919,1141483566,,Politics and government,en
107,Regulatory_state,8003324,,1899,20220221063130,1073145200,,Politics and government,en
108,Political_ReviewNet,21837800,,1174,20210107190613,998941079,,Politics and government,en
