number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Innuitian_Region,14922675,,2750,20221225053846,1129408325,,Regions,en
2,Nunatsiavut,616289,,37433,20230401203249,1147730504,,Regions,en
3,New_Guinea,20611456,,63574,20230711025526,1164783804,,Regions,en
4,Geographic_Regions_of_the_Dominican_Republic,15305538,,7442,20230408091257,1148784431,,Regions,en
5,Fouta_Djallon,1364993,,16534,20230701150843,1162865743,,Regions,en
7,Nubia,21492837,,107998,20230719200105,1166170050,,Regions,en
9,Vojvodina,176801,,60996,20230722224040,1167097797,,Regions,en
10,Judea,21491730,,41251,20230717120946,1165788902,,Regions,en
11,Mbaise,2983518,,7429,20221231183829,1130737661,,Regions,en
12,French_America,862859,,11076,20230619161114,1166803256,,Regions,en
13,Former_Region_10_(Johannesburg),1336232,,909,20220703023344,1096215297,,Regions,en
14,Geshur,3021242,,10155,20230709081741,1164448611,,Regions,en
15,Baltic_Sea_States_Sub-regional_Co-operation,70651373,,6321,20230104105225,1131487697,,Regions,en
16,Savoy,27885,,29116,20230711190326,1164895694,,Regions,en
17,Barbary_Coast,507628,,6554,20230531122603,1157861938,,Regions,en
18,Il-Lunzjata_Valley,69328369,,2601,20230624174011,1161728333,,Regions,en
20,Arnhem_Land,632126,,34624,20230709072303,1164440769,,Regions,en
21,Thaidene_Nëné_National_Park_Reserve,14347142,,11854,20230509212255,1154038664,,Regions,en
23,Tabaristan,12689405,,17375,20230625152604,1161876443,,Regions,en
25,Bohemian_Forest_Region,7946174,,3360,20220915195434,1110493267,,Regions,en
26,Zanj,1572414,,16860,20230701233019,1162930613,,Regions,en
27,Duggar_(region),22500160,,7275,20230323061127,1146175453,,Regions,en
32,Dhundhar,2388372,,6442,20230529023426,1157505447,,Regions,en
34,Western_Tajikistan,68191946,,208,20221226191408,1129708121,,Regions,en
35,Fly_Tiwi,36629350,,6536,20230508005151,1153732712,,Regions,en
36,Moldavia,46007,,63615,20230711155437,1164871313,,Regions,en
37,Maghreb,346014,,77817,20230719025846,1166052505,,Regions,en
39,Santa_Fe_de_Nuevo_México,53724,,21690,20230625191717,1161904782,,Regions,en
40,Moson_County,923461,,7127,20221126012816,1123852605,,Regions,en
41,Mingrelia,390716,,5780,20230429222514,1152381641,,Regions,en
