number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
5,Cultural_history_of_the_buttocks,31547233,,13187,20230524102907,1156737323,,Society,en
6,Down-low_(sexual_slang),391933,,33418,20230716231041,1165710794,,Society,en
12,History_of_rape,5672823,,45866,20230511184229,1154326411,,Society,en
25,Lesbian_feminism,790968,,77390,20230619081655,1160872788,,Society,en
45,Cultural_studies,37961224,,52884,20230720121114,1166262855,,Society,en
47,Action_alert,1710895,,3179,20220824014649,1106309774,,Society,en
52,Ascribed_characteristics,91869,,9452,20230413064548,1149595945,,Society,en
57,Peter_Lesgaft,6364607,,3333,20221003074227,1113789590,,Society,en
58,Nuclear_family,193132,,22779,20230722170229,1166603656,,Society,en
60,Blood_donation_restrictions_on_men_who_have_sex_with_men,17602457,,130345,20230706183503,1163846075,,Society,en
64,Networked_individualism,48648507,,4447,20230419160709,1150692849,,Society,en
67,Economic_violence,45288072,,9042,20230327131006,1146871693,,Society,en
72,Cultural_framework,8135793,,1299,20220503041020,1085915975,,Society,en
74,Spur_Posse,870545,,5025,20230625090919,1161828432,,Society,en
75,Heterosociality,7447280,,7380,20230209174116,1138434385,,Society,en
79,Obrazovanshchina,41955107,,4526,20220806102004,1102687156,,Society,en
86,Social_inequality,14130192,,89538,20230701044925,1162791198,,Society,en
88,Impact_of_the_COVID-19_pandemic_on_people_with_disabilities,65480227,,25324,20230330163003,1147387203,,Society,en
90,Raciolinguistics,52723963,,8992,20230129041222,1136185467,,Society,en
93,Spouse,29298,,11272,20230713144404,1165183006,,Society,en
95,Reference_group,2974770,,119,20200501181739,954300764,,Society,en
96,International_Noise_Awareness_Day,44352305,,3924,20230604133228,1158504820,,Society,en
99,List_of_conspiracy_theories,360128,,209878,20230714155304,1165347359,,Society,en
100,Social_equality,41207422,,28077,20230611085915,1159591168,,Society,en
101,History_of_the_family,23431927,,27528,20230403053055,1147947364,,Society,en
103,Social_protection,24352014,,22318,20230413024136,1149575025,,Society,en
108,Gender_equality,1271927,,209136,20230712195658,1165064221,,Society,en
109,Race_and_society,4816797,,44564,20230721204745,1166477917,,Society,en
110,Integrative_communication_theory,16934559,,20980,20230417180800,1150356696,,Society,en
111,Gender_sensitivity,62537457,,5452,20220614123845,1166960106,,Society,en
120,Human_behavior,563299,,56130,20230622091051,1161378938,,Society,en
121,Gender_mainstreaming,4682892,,37104,20230322052118,1145999136,,Society,en
123,Sexual_harassment_in_Malaysia,65685570,,52708,20230606100610,1158805180,,Society,en
125,Symbolic_power,4140063,,5467,20230714164243,1166941421,,Society,en
128,Civilization,6258,,85341,20230722221408,1166646963,,Society,en
130,Pinkwashing_(LGBT),44821234,,26878,20230626091723,1161990353,,Society,en
132,Timeline_of_piracy,1560449,,10699,20221226084611,1129611410,,Society,en
142,Spoon_theory,43467592,,11872,20230715123639,1167093160,,Society,en
143,Clique,37521774,,14540,20230703085928,1163164661,,Society,en
144,Societal_collapse,3328588,,97728,20230721211319,1166480836,,Society,en
145,Klimaforum09,30079590,,3884,20230613223745,1160012809,,Society,en
147,Working_parent,30691539,,22702,20230621192837,1161286718,,Society,en
148,Organizing_principle,19777249,,3943,20230508130707,1153808245,,Society,en
149,Symbolic_violence,40112545,,13891,20230621040402,1161176656,,Society,en
157,Institutional_analysis_and_development_framework,42172529,,5765,20201118153448,989362940,,Society,en
158,Lavender_marriage,707385,,11615,20230405042954,1167324829,,Society,en
170,Conjugal_family,1244615,,3395,20230325014353,1146465499,,Society,en
176,Gender_self-identification,65397174,,100331,20230426025214,1167415206,,Society,en
178,Demographic_engineering,67056571,,26450,20230212112625,1138922891,,Society,en
180,Gender_roles_in_agriculture,20483911,,33474,20230427040749,1151934482,,Society,en
181,Social_group,191253,,36755,20230630002524,1162578060,,Society,en
187,Childlessness,6949196,,27293,20230605055048,1158621631,,Society,en
193,2014_UN_Climate_Summit,42498130,,10094,20220717065711,1098731576,,Society,en
194,Exploitation_of_women_in_mass_media,36161211,,101327,20230714133757,1165331461,,Society,en
201,Sexual_stigma,31422045,,14088,20211109234031,1054424688,,Society,en
205,Sexual_capital,6603869,,29745,20230722232107,1166654331,,Society,en
213,Stay-at-home_dad,3339988,,31695,20230614135730,1160113790,,Society,en
220,Sexual_partner,2024408,,2577,20230513184653,1154640298,,Society,en
222,Circle_jerk,30951390,,3052,20230427094731,1151966535,,Society,en
225,Sociology_of_the_family,2539563,,86662,20230620011600,1161004913,,Society,en
227,Public_humiliation,544223,,20537,20230716233308,1165712724,,Society,en
228,Mobilities,33739475,,17478,20230601174257,1158052492,,Society,en
230,Land-bonded_society,30854586,,1019,20220717000522,1098674382,,Society,en
231,Closeted,18912922,,23377,20230717041850,1165743541,,Society,en
234,LGBT_marketing,3255815,,21587,20230529124412,1157561381,,Society,en
236,Peasant,68282,,27123,20230713163525,1165196990,,Society,en
238,Impairment_rating,39948152,,2056,20220706041556,1096703967,,Society,en
247,Crowds_(adolescence),34111734,,15854,20230419173318,1150703705,,Society,en
249,Relationship_anarchy,39793846,,10876,20230713034258,1165122143,,Society,en
254,Same-sex_marriage_and_the_family,24527227,,38951,20221130052726,1124727456,,Society,en
256,Cohabitation,36527,,142428,20230709052812,1167113397,,Society,en
257,Domestic_partnership,220426,,43217,20230419044840,1150620530,,Society,en
262,Kinship_care,4322093,,29928,20230405232902,1148404151,,Society,en
264,Heteropatriarchy,50757692,,12985,20230718184936,1165994222,,Society,en
270,Environmental_security,2313093,,19745,20230220130838,1140522647,,Society,en
271,Supraethnicity,61077004,,4474,20210308112401,1010983097,,Society,en
284,Civil_inattention,11537515,,3869,20221203173035,1125372285,,Society,en
293,Schismogenesis,980971,,15745,20230228073359,1142054651,,Society,en
305,Verstehen,1519001,,12625,20220124110853,1067624584,,Society,en
307,Social_stratification,1182927,,51551,20230722210218,1166638063,,Society,en
311,Dutch_Society_for_Sexual_Reform,3375584,,4506,20220924202807,1112129029,,Society,en
317,LGBT_conservatism,28696353,,46072,20230620205818,1161130576,,Society,en
321,Moral_exclusion,37783638,,29310,20230522021500,1156271795,,Society,en
323,Racial_transformation,585935,,2088,20220223193018,1073640239,,Society,en
330,Religion_and_agriculture,3862966,,1274,20230102173314,1131123287,,Society,en
333,Bunga_bunga,30515983,,13861,20230616001305,1160356205,,Society,en
334,Social_orphan,17507803,,1891,20221219124606,1128305881,,Society,en
336,Animal_studies,2559736,,9818,20230711213143,1167005660,,Society,en
337,History_of_prostitution,23845095,,67649,20230703061600,1163144176,,Society,en
342,Incel,57379245,,174699,20230719041907,1167007629,,Society,en
343,Social_change,329948,,18844,20230710135229,1164687946,,Society,en
347,Origins_of_society,33524705,,38474,20230529163802,1157588962,,Society,en
349,Future_planning_for_disability_care,41041000,,14728,20230103194146,1131352286,,Society,en
350,Indigenization,33523320,,10625,20230528170614,1157443941,,Society,en
359,Family,10401954,,136571,20230721122930,1166419692,,Society,en
370,Ethnology,9928,,9603,20230706171652,1163832009,,Society,en
382,Pornification,47418754,,10887,20230614113902,1166857291,,Society,en
383,The_National_Marriage_Project,32326682,,1403,20220929201358,1113110285,,Society,en
385,List_of_social_movements,2591918,,6329,20230517180346,1155330175,,Society,en
389,Types_of_social_groups,1855579,,16140,20230719040424,1166058570,,Society,en
394,Coming_out,71537,,72510,20230719201120,1166171103,,Society,en
396,Deception,151604,,48035,20230714052343,1165280608,,Society,en
401,Social_history_of_viruses,29802394,,125053,20230630114643,1162653788,,Society,en
404,Primitive_Culture_(book),1713306,,3402,20220805122453,1102511895,,Society,en
405,Global_environmental_inequality,60163117,,142,20220423170449,1084289858,,Society,en
407,Outline_of_green_politics,303094,,19131,20230303155340,1142642862,,Society,en
412,Classic_Maya_collapse,10443117,,41137,20230615134330,1160282237,,Society,en
422,Facilitated_communication,273482,,114991,20230717181200,1165831523,,Society,en
424,Homo_faber,677443,,2751,20230312152426,1144231546,,Society,en
429,Matriarchy,83525,,162418,20230720090419,1167472723,,Society,en
431,Agricultural_philosophy,3613142,,10289,20200919193938,979265966,,Society,en
435,Political_lesbianism,3600412,,12578,20230316015406,1144876150,,Society,en
436,Teen_dating_violence,12166425,,28696,20230523044919,1156495969,,Society,en
