number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Triangulum_Minus,1586724,,1711,20230730193050,1167937295,,Space,en
4,E-ASTROGAM,50969253,,5052,20220823191943,1106232546,,Space,en
6,Welteislehre,594865,,12186,20230111091747,1132926214,,Space,en
11,ASASSN-19bt,61900168,,2985,20230729174835,1167754588,,Space,en
13,Timeline_of_Chinese_astronomy,1524698,,3131,20221214180530,1127436198,,Space,en
16,Corona_Australis,6424,,52826,20230603084706,1158314929,,Space,en
18,PicSat,55024475,,16017,20230310024235,1143818719,,Space,en
25,Opposition_surge,22858502,,8912,20221224142623,1129287591,,Space,en
27,Hopkins_Ultraviolet_Telescope,21653817,,11726,20230103203031,1131360588,,Space,en
30,The_Day_the_Earth_Smiled,39788995,,11639,20230206062923,1137746155,,Space,en
47,The_Porter_Garden_Telescope,57305294,,13564,20220325215259,1079264434,,Space,en
48,Vilnius_photometric_system,5838194,,3239,20230714055452,1165283749,,Space,en
49,Lupus_(constellation),18112,,11928,20230603085452,1158315500,,Space,en
55,Planet,22915,,191505,20230723080956,1166709902,,Space,en
56,Lunar_Infrastructure_for_Exploration,4486552,,2867,20200820195347,974047654,,Space,en
59,IAU_Circular,3106291,,2705,20230114183634,1133619938,,Space,en
60,List_of_minor_planet_discoverers,51098561,,347492,20230729192246,1167766636,,Space,en
61,HARPS-N,36174770,,4275,20230405145249,1148333550,,Space,en
64,Infrared_Space_Observatory,526216,,27008,20230425145026,1151677697,,Space,en
67,Faint_young_Sun_paradox,2202381,,29933,20230626050426,1161968029,,Space,en
73,SN_2018cow,57744417,,34708,20230326145759,1146716594,,Space,en
76,The_Milky_Way_Project,32847552,,8992,20221125021505,1123679882,,Space,en
77,Photon_underproduction_crisis,43336080,,6087,20230320130556,1145690158,,Space,en
78,Grupo_de_Astronomía_y_Ciencias_del_Espacio,40789733,,1086,20230729214419,1167785221,,Space,en
82,Space_telescope,29006,,8901,20230702161242,1163041305,,Space,en
83,Celestial_sphere,48239,,18909,20230627052555,1162132795,,Space,en
84,Star-Sighting,15579375,,61,20150729212021,673692918,,Space,en
89,SETILive,36101753,,3224,20230729200052,1167771203,,Space,en
90,Jovilabe,52093555,,2949,20211012135110,1049552616,,Space,en
92,Cygnus_(constellation),6421,,51587,20230618084331,1160711117,,Space,en
96,Multiple_satellite_imaging,16014461,,8386,20230710195517,1164736115,,Space,en
100,Isoplanetic_patch,29182681,,1447,20230321014541,1145799761,,Space,en
101,Star_clock,2491665,,983,20230405155547,1148341524,,Space,en
102,Isotropic_beacon,51456706,,2040,20221023214429,1117845051,,Space,en
103,Celestial_cartography,10780895,,15055,20230708123358,1164236511,,Space,en
106,Magnetosphere,20479,,16141,20230704165817,1163396449,,Space,en
108,Equinox_(celestial_coordinates),13549049,,13965,20230722155627,1166595479,,Space,en
110,Non-standard_cosmology,208656,,45344,20230528152859,1157432169,,Space,en
114,X-ray_flash_(astronomy),40927909,,1848,20131121074103,582641096,,Space,en
117,Circumpolar_constellation,3592275,,144,20210902212014,1042027643,,Space,en
118,Horizontal_coordinate_system,48386,,8825,20230625041732,1161797720,,Space,en
119,Photometric_parallax,3717908,,1282,20230130010236,1136372120,,Space,en
122,Granat,13795040,,19226,20220820235836,1105600031,,Space,en
129,Orion_(constellation),153797,,45692,20230727141317,1167399543,,Space,en
130,Gravitational_instability,41975063,,2792,20220716224218,1098662629,,Space,en
131,Ariel_5,16080899,,9516,20230427100814,1151968712,,Space,en
134,Eclipse_cycle,66109,,30665,20230514201539,1154810662,,Space,en
135,Irish_Federation_of_Astronomical_Societies,14175499,,3501,20210719184520,1034416041,,Space,en
136,Greisen–Zatsepin–Kuzmin_limit,180236,,18909,20230223141450,1141129976,,Space,en
137,Carl_Sagan_Medal,11091254,,2428,20211208201902,1059324426,,Space,en
