number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Fischer–Spassky_(1992_match),41239809,,57544,20230622205307,1161457131,,Sports,en
3,Sports_complex,31563846,,2966,20230512134711,1154438332,,Sports,en
4,Racism_in_sport,11983860,,52055,20230720105345,1166255703,,Sports,en
5,World_Snowshoe_Championships,55521829,,11191,20230111061243,1132908051,,Sports,en
7,Cricket_administration,74116882,,1680,20230708050919,1164165444,,Sports,en
8,Technology_doping,31240382,,9531,20230720142141,1166276925,,Sports,en
13,Jockey,284545,,37173,20230722161426,1166597668,,Sports,en
15,List_of_violent_spectator_incidents_in_sports,1202932,,146844,20230718170319,1165981414,,Sports,en
16,2011_NCAA_football_bowl_games,34199099,,291,20210227162642,1009258675,,Sports,en
17,Crowd_abuse,37568775,,3284,20210211141543,1006180080,,Sports,en
19,2014_Fiesta_Bowl,43178462,,347,20210227163603,1009260315,,Sports,en
23,Phil_Mickelson,592392,,118285,20230721200113,1166472616,,Sports,en
25,Assistive_technology_in_sport,36931547,,14415,20230627183514,1162216805,,Sports,en
28,National_Athletic_and_Cycling_Association,9584750,,15384,20221202171413,1125186334,,Sports,en
29,List_of_ice_hockey_players_who_died_during_their_playing_careers,13203433,,88319,20230720081056,1166242538,,Sports,en
30,107%_rule,16308030,,48937,20230428184812,1152186965,,Sports,en
32,Vladimir_Morozov_(figure_skater),37679646,,85864,20230720002751,1166197368,,Sports,en
33,Form_(exercise),11022353,,1244,20210126142110,1002890923,,Sports,en
34,2015_Shenzhen_Open,58721534,,284,20211220194016,1061279015,,Sports,en
35,Race_queen,1036588,,188,20220306131821,1075564705,,Sports,en
36,Futsal_Hoofdklasse_(women),53708658,,1369,20230228010920,1142006887,,Sports,en
37,Nationalism_and_sport,398317,,10709,20230405205956,1148381691,,Sports,en
40,List_of_world_cups,16842834,,6343,20230722045742,1166529019,,Sports,en
41,Princeton_Tigers_ice_hockey,48294885,,517,20210329150409,1014870594,,Sports,en
42,Congressional_Baseball_Game,22166508,,50721,20230619073126,1160866089,,Sports,en
43,List_of_players_sent_off_in_National_Rugby_League_matches,67747262,,67118,20230723022643,1167133342,,Sports,en
44,Perfect_season,2356756,,104645,20230710133127,1164684882,,Sports,en
48,2014_Olympics,936313,,455,20210228075631,1009379785,,Sports,en
50,Three-peat,345955,,64994,20230718115715,1165946045,,Sports,en
51,1988_Olympics,286721,,544,20210227165107,1009262851,,Sports,en
52,Coppa_Italia_(disambiguation),62520243,,621,20201117124002,989165910,,Sports,en
53,Annie_Hughes,74370776,,2717,20230717100015,1165776399,,Sports,en
54,Evgenia_Tarasova,37679667,,86380,20230720002806,1166197394,,Sports,en
56,Ivan_Kuliak,68845945,,12364,20230408082257,1148779993,,Sports,en
57,1944_Olympics,30864575,,293,20210812180041,1038461882,,Sports,en
58,2011_Bahrain_Grand_Prix,28687447,,14408,20230124125043,1135400410,,Sports,en
60,List_of_protest_clubs,26218124,,12304,20230508234147,1153891384,,Sports,en
61,StatSheet,27951978,,3221,20200421132509,952283752,,Sports,en
62,Open_(sport),2337918,,916,20230322143854,1146058245,,Sports,en
63,Phoenix_club_(sports),27530710,,73610,20230711153038,1164867793,,Sports,en
65,People's_Olympiad,899864,,6662,20230502142624,1152820896,,Sports,en
67,1971_World_Table_Tennis_Championships,35366602,,4964,20220713182418,1097998104,,Sports,en
71,Split_draw,41300674,,5526,20220904174033,1108489592,,Sports,en
72,List_of_driver_deaths_in_motorsport,63085579,,353172,20230718144215,1165963574,,Sports,en
77,U.S._National_Water_Ski_Championships,52012151,,939,20230504144701,1153154973,,Sports,en
78,Concussions_in_American_football,36082813,,108536,20230711195405,1164902094,,Sports,en
79,Grandfather_rule,3715006,,11027,20230305160213,1143035136,,Sports,en
