number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
4,Gadget,533170,,8539,20230719190030,1166162970,,Technology,en
5,EMI_(protocol),503432,,3769,20221020175358,1117246094,,Technology,en
9,Compact_Cassette_tape_types_and_formulations,63742889,,53256,20230714134720,1165332510,,Technology,en
13,Invention_of_the_telephone,2193804,,63494,20230608034624,1167259287,,Technology,en
14,RTFM,136530,,5301,20230616115633,1160428770,,Technology,en
20,Riser_card,18995765,,4912,20230606122307,1158817491,,Technology,en
22,User-centered_design,504357,,24679,20230714142601,1165336790,,Technology,en
26,Amplidyne,8032763,,7251,20230711104827,1164832573,,Technology,en
30,G.983,9156640,,2534,20221214192222,1127447064,,Technology,en
31,History_of_the_steam_engine,17423952,,51449,20230317045325,1145081066,,Technology,en
33,Privacy_platform,50005025,,1175,20230324130009,1146368131,,Technology,en
38,Pause_Giant_AI_Experiments:_An_Open_Letter,73541609,,6393,20230715171330,1165513187,,Technology,en
42,Clube_do_Hardware,14224240,,2518,20220814141610,1104369375,,Technology,en
47,Micro_power_source,14504482,,757,20221025130656,1118150601,,Technology,en
51,Outline_of_telecommunication,7531293,,6905,20221130162854,1124808654,,Technology,en
57,Dumb_pipe,15376280,,6960,20190909070007,914760573,,Technology,en
60,Explosive-driven_ferroelectric_generator,25828273,,2637,20220516005624,1088066117,,Technology,en
61,Shaker_(testing_device),30196054,,853,20220919232644,1111226142,,Technology,en
62,Digital_immortality,23347654,,16657,20230625160001,1161881037,,Technology,en
66,Network_on_Terminal_Architecture,15791310,,7887,20220428091658,1085084490,,Technology,en
67,Asset_Description_Metadata_Schema,35676267,,6759,20211114045631,1055149136,,Technology,en
69,Drive_testing,8103238,,11179,20230327051811,1146826439,,Technology,en
72,Exhaust_gas_temperature_gauge,16997450,,4575,20230116090601,1133960357,,Technology,en
73,Unified_endpoint_management,58757300,,2751,20220718110350,1098975993,,Technology,en
76,Commotion_Wireless,38743590,,5471,20220914142638,1110264292,,Technology,en
77,List_of_energy_abbreviations,20478586,,44828,20230521022415,1156076592,,Technology,en
78,Substrate_(materials_science),10160612,,3604,20230220152505,1140543089,,Technology,en
82,Outline_of_energy_development,6585471,,2467,20230225233038,1141617158,,Technology,en
84,Electronic_authentication,7363430,,37163,20230531012326,1157795869,,Technology,en
85,High_resistance_connection,40930669,,4836,20230601142020,1158027114,,Technology,en
86,Technical_writing,1219301,,23411,20230614213044,1160177746,,Technology,en
94,Nericell,48068261,,1161,20230506180343,1153487262,,Technology,en
98,Statite,29417,,2476,20230502044055,1152762609,,Technology,en
101,HackerNest,44733676,,11934,20220101225013,1063220960,,Technology,en
104,Duckbill_valve,13315204,,1554,20220331012130,1080228482,,Technology,en
107,List_of_electric_vehicle_battery_manufacturers,17420716,,22171,20230712202444,1165068007,,Technology,en
111,Track_technology,64760108,,7546,20230715180212,1165519086,,Technology,en
112,Monitoring_as_a_service,52641996,,2032,20210430062410,1020638590,,Technology,en
113,Sampled_data_system,2211723,,1605,20230417085741,1150291915,,Technology,en
114,Twine_(device),37792009,,1741,20210608203242,1027589564,,Technology,en
116,System_for_Cross-domain_Identity_Management,44657216,,11723,20230524123435,1156752247,,Technology,en
118,Dead_Internet_theory,73220111,,14383,20230720214036,1167453233,,Technology,en
121,Segmentation_Rules_eXchange,27118137,,3360,20220821063410,1105668016,,Technology,en
122,AgcXML,21612644,,7201,20220723151936,1099970076,,Technology,en
