number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,ArtBabble,25396193,,3108,20220825135227,1106611687,,Visual arts,en
3,2012_Turner_Prize,37825719,,1759,20220501204628,1085674967,,Visual arts,en
4,Western_Norway_Exhibition,51201505,,3635,20210312041030,1011665976,,Visual arts,en
5,Jindřich_Chalupecký_Award,32008438,,4607,20230315132924,1144769278,,Visual arts,en
7,Trichromy,37732144,,2152,20230207021503,1137919489,,Visual arts,en
8,St_John's_Wood_Art_School,36786946,,4173,20230717102354,1165778545,,Visual arts,en
12,Cresson_Traveling_Scholarship,39095600,,5628,20230316230539,1145036989,,Visual arts,en
13,World_Sensorium,36586999,,15891,20230607030749,1158924655,,Visual arts,en
14,Studio_pottery,2610498,,14804,20230226164614,1141754385,,Visual arts,en
16,Upside-down_painting,72165192,,7781,20230413003856,1149561309,,Visual arts,en
17,Megilp,7875632,,1913,20230220214224,1140604585,,Visual arts,en
18,Art_movement,228568,,19667,20230627110842,1162164655,,Visual arts,en
20,Matchstick_model,970936,,1656,20201203145838,992105689,,Visual arts,en
21,Night_and_Sleep,32485720,,1926,20230601210924,1158077512,,Visual arts,en
22,Visionary_art,248309,,5896,20230124212250,1135467391,,Visual arts,en
24,New_media_art,30872739,,40329,20230702025945,1167400724,,Visual arts,en
25,Make_Something!!,28140255,,3540,20220830020557,1107449847,,Visual arts,en
26,Art_gallery,65393931,,16077,20230706005148,1163670804,,Visual arts,en
28,Inkwell,60287,,5994,20230429193452,1152360758,,Visual arts,en
31,Range-finder_painting,52765834,,3817,20230316034236,1144887432,,Visual arts,en
32,Line_art,3251497,,2557,20230515224905,1154982434,,Visual arts,en
33,Acrylic_paint,2838,,32648,20230705175515,1167357026,,Visual arts,en
35,Composition_(visual_arts),1822919,,23178,20221005123725,1114226877,,Visual arts,en
36,Cloudscape_(art),6539646,,3713,20210703041651,1031700255,,Visual arts,en
39,Stone_carving,615075,,15191,20230626123245,1162008716,,Visual arts,en
40,Suprematist_Composition,27341810,,2823,20230710044238,1164625093,,Visual arts,en
43,Picturesque_Ukraine,70100949,,1548,20230501225902,1152725560,,Visual arts,en
45,Drybrush,6502938,,4854,20221119042213,1122706030,,Visual arts,en
48,Abstract_impressionism,148895,,17870,20230505162529,1153327016,,Visual arts,en
51,Singerie,7761118,,7036,20230425214341,1151727713,,Visual arts,en
53,Tortillon,947187,,1234,20230405142025,1148329019,,Visual arts,en
55,Selfie_museum,65203585,,8541,20230719144536,1166132834,,Visual arts,en
56,Screentone,540098,,1657,20220219021310,1072700562,,Visual arts,en
