number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Trung_Hiếu_(diễn_viên),324879,,13464,20230714142647,70442441,,Biography,vi
2,Ali_Gadzhibekov,13828917,,6214,20221102145151,69270231,,Biography,vi
3,Rodion_Shchedrin,780853,,11052,20230429171342,69933454,,Biography,vi
4,Sato_Hidetatsu,14105156,,867,20211214074003,67545496,,Biography,vi
5,Jamie_Lambert,19483803,,2261,20211214110918,67563763,,Biography,vi
6,Hwang_Chan-sung,3157484,,16752,20230112190937,69564273,,Biography,vi
7,Abdullah_Malallah,13556487,,2087,20211213215417,67522678,,Biography,vi
8,Berenice_I_của_Ai_Cập,812612,,5288,20220124173117,68040676,,Biography,vi
9,Uemura_Tomoya,16988039,,794,20211214104519,67561948,,Biography,vi
10,Marcel_Wenig,19790642,,2459,20230308154701,69756657,,Biography,vi
11,Ernestina_Naadu_Mills,15156019,,2352,20190724015853,54626297,,Biography,vi
12,Ricky_Ohorella,14300825,,3215,20211214105802,67563103,,Biography,vi
13,Nakagawa_Shōichi,417683,,3626,20220717094330,68868175,,Biography,vi
14,Isata_Dora_Bangura,14871747,,3448,20230105044505,69527530,,Biography,vi
15,Elon_Musk,2221608,,161770,20230621082757,70493902,,Biography,vi
16,Bochra_Belhaj_Hmida,15142141,,6852,20221008102158,69174619,,Biography,vi
17,Kageyama_Masanaga,9571486,,1374,20211214083301,67550520,,Biography,vi
18,Yamazaki_Ryohei,13625038,,20088,20230105061612,69530425,,Biography,vi
19,Nelson_Azevedo-Janelas,13481973,,1543,20211214001702,67529031,,Biography,vi
21,Patrick_Cotnoir,19547674,,4152,20211024102945,66466647,,Biography,vi
22,Saara_Kuugongelwa,13642350,,6438,20230503060430,69943729,,Biography,vi
23,Lionn,19131148,,7432,20230117185142,69579852,,Biography,vi
24,Ichikawa_Shinya,14134073,,789,20211214092217,67556293,,Biography,vi
25,Chitpanya_Tisud,13598616,,2667,20220205150555,68105283,,Biography,vi
26,Tomiyama_Takamitsu,13606289,,4470,20211213205347,67519709,,Biography,vi
27,Cecilia_Kadzamira,13675073,,8272,20220331072918,68380161,,Biography,vi
28,Sarah_McBride,19513388,,10361,20230124161420,69601560,,Biography,vi
29,Giáo_hoàng_Calixtô_II,450925,,4748,20210430110410,64826362,,Biography,vi
30,Araiba_Toru,14127825,,1167,20211214021604,67534069,,Biography,vi
31,Mauricio_Igor_Rodrigues_Martins,13672863,,2665,20211214093401,67557274,,Biography,vi
32,Balghis_Badri,13857837,,3070,20211220115904,67691844,,Biography,vi
33,Anissa_Rawda_Najjar,15562394,,6682,20230716043512,70448194,,Biography,vi
34,Tằng_Dũng,19732183,,3260,20220610065324,68703619,,Biography,vi
35,Nguyên_Thánh_vương,1127153,,5805,20230629074627,70388203,,Biography,vi
36,Chanhthuem_Latmany,19544461,,983,20210203121750,64365519,,Biography,vi
37,Giáo_hoàng_Stêphanô_VII,449964,,2644,20211213082500,67501952,,Biography,vi
38,Hayakawa_Fumiya,14205131,,1025,20211214032332,67537310,,Biography,vi
39,Ri_Sol-ju,1405599,,13103,20230101084056,69506087,,Biography,vi
40,María_Luisa_Ávila_Agüero,15158129,,10266,20230120043913,69586526,,Biography,vi
41,Triệu_Dịch_Hoan,1580936,,8202,20230614095756,70336288,,Biography,vi
42,"Steve_Leslie_(cầu_thủ_bóng_đá,_sinh_năm_1952)",19485068,,3086,20211214104557,67562002,,Biography,vi
43,Débora_Giorgi,14912988,,3543,20230106185845,69544244,,Biography,vi
44,Jaume_Collet-Serra,19762382,,3771,20221121082346,69337182,,Biography,vi
45,Maria_Ceiça,15162244,,3918,20211214050952,67540195,,Biography,vi
46,Kadima_Kabangu,13469113,,3518,20211213233205,67526999,,Biography,vi
