number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Kế_toán,1675,,44162,20230622152927,70367605,,Business and economics,vi
3,Tổng_sản_lượng_quốc_gia,2077,,5313,20220505093608,68564486,,Business and economics,vi
4,Lạm_phát,2248,,94866,20230526192420,70040899,,Business and economics,vi
5,Sức_mua_tương_đương,3015,,11621,20221102113424,69269318,,Business and economics,vi
8,Hiệp_ước_chung_về_thuế_quan_và_mậu_dịch,4801,,10575,20230606160101,70091558,,Business and economics,vi
10,Giao_thương,7788,,4996,20221115134652,69318036,,Business and economics,vi
11,Bảo_hộ_mậu_dịch,8313,,8972,20230105023658,69521362,,Business and economics,vi
12,Hồ_sơ_ứng_tuyển,8396,,7430,20230321094706,69800914,,Business and economics,vi
14,Phương_thức_sản_xuất,9440,,13284,20230703044119,70400942,,Business and economics,vi
15,NNP,9515,,1388,20221108001341,69288667,,Business and economics,vi
16,NNI,9517,,1270,20221108001313,69288666,,Business and economics,vi
18,Trí_khôn_của_đám_đông,10876,,1384,20200329161346,59913195,,Business and economics,vi
19,Tiền,12651,,36861,20230708103756,70420209,,Business and economics,vi
22,Kinh_tế_học,15964,,41643,20230620232914,70361393,,Business and economics,vi
23,Kinh_tế_chính_trị,15997,,12208,20230616044934,70343787,,Business and economics,vi
24,Giải_Nobel_Kinh_tế,16242,,9772,20230611071146,70126811,,Business and economics,vi
26,Thương_mại_điện_tử,16317,,40465,20230315053316,69778102,,Business and economics,vi
29,Hệ_thống_hài_hòa_(hải_quan),17042,,3295,20220723083246,68889237,,Business and economics,vi
31,Chủ_nghĩa_tư_bản,26002,,174236,20230606175234,70092030,,Business and economics,vi
32,Quản_lý,26294,,15031,20211102162555,66645432,,Business and economics,vi
34,Khu_vực_Mậu_dịch_Tự_do_ASEAN,29881,,7231,20220815103913,68995616,,Business and economics,vi
35,Phát_triển_kinh_tế,30131,,10055,20221115051828,69316566,,Business and economics,vi
39,Tỷ_phú,35907,,7599,20230717170030,70453329,,Business and economics,vi
41,Hiệu_quả_Pareto,37437,,23639,20221114082703,69313693,,Business and economics,vi
45,Mô_hình_Solow–Swan,42781,,25004,20230410080656,69867295,,Business and economics,vi
47,Nhóm_Ngân_hàng_Thế_giới,44003,,10176,20230629044517,70387677,,Business and economics,vi
48,Dự_án,44365,,2208,20230702153007,70399288,,Business and economics,vi
49,Cầm_đồ,44550,,1431,20220222140225,68189985,,Business and economics,vi
51,Chủ_nghĩa_xã_hội,48293,,69007,20230515131657,69984657,,Business and economics,vi
52,Tư_vấn_xây_dựng,48388,,5117,20230403071441,69842248,,Business and economics,vi
53,Khủng_hoảng_tài_chính_châu_Á_1997,50105,,32075,20230612154645,70264851,,Business and economics,vi
54,Xác_định_giá_trị_doanh_nghiệp,51671,,10641,20210911084029,66108072,,Business and economics,vi
56,Bàng_quan_(kinh_tế_học),52226,,2653,20221102115253,69269391,,Business and economics,vi
57,Chế_ước_ngân_sách,52629,,908,20210416093116,64765024,,Business and economics,vi
58,Thỏa_dụng,52631,,1344,20230312082022,69769155,,Business and economics,vi
59,Lựa_chọn_tối_ưu,52730,,622,20160913154601,24205011,,Business and economics,vi
