number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
14,"Trường_Đại_học_An_Giang,_Đại_học_Quốc_gia_Thành_phố_Hồ_Chí_Minh",15013,,17871,20230705082337,70407935,,Education,vi
15,Trường_Đại_học_Mỹ_thuật_Thành_phố_Hồ_Chí_Minh,15624,,15799,20220825082857,69037794,,Education,vi
16,Trường_Đại_học_Tổng_hợp_Hà_Nội,15767,,6513,20230502033332,69940541,,Education,vi
17,Sách_giáo_khoa,16201,,3115,20230411142718,69871351,,Education,vi
18,Giáo_dục,16203,,43588,20230726121438,70487063,,Education,vi
19,Mục_tiêu_giáo_dục,16204,,3015,20180109062459,36498562,,Education,vi
24,Ngày_Nhà_giáo_Việt_Nam,17043,,6283,20230104091330,69519330,,Education,vi
29,Đại_học_British_Columbia,26224,,7089,20221007110236,69171732,,Education,vi
35,Trường_Đại_học_Xây_dựng_Hà_Nội,30402,,8672,20230705073350,70407797,,Education,vi
37,Đồ_án_tốt_nghiệp,32844,,11817,20230501124133,69938828,,Education,vi
38,Giảng_viên,33025,,4438,20221230014009,69488333,,Education,vi
43,Đại_học_Giao_thông_Đường_bộ_Moskva,40681,,8225,20230713213252,70440083,,Education,vi
45,Jurispedia,47201,,1146,20210827130956,65839476,,Education,vi
47,Giáo_sư,47457,,12161,20230215193821,69681897,,Education,vi
48,Đại_học_Victoria,47819,,1597,20220809095709,68963390,,Education,vi
49,Đại_học_California_tại_Los_Angeles,50541,,4060,20210814070947,65466389,,Education,vi
50,Đại_học_Huế,51236,,19627,20230726120240,70486985,,Education,vi
59,Trường_Đại_học_Văn_Lang,57534,,4715,20230720091856,70462203,,Education,vi
60,Trường_Đại_học_Lâm_nghiệp,57761,,11884,20230612021828,70153521,,Education,vi
61,Trung_học_cơ_sở_(Việt_Nam),58300,,3108,20230719082315,70458640,,Education,vi
65,Sư_phạm_phê_phán,62750,,17754,20220117120426,67971071,,Education,vi
73,Giáo_dục_tiểu_học,66420,,3376,20230503055508,69943706,,Education,vi
80,Học_bổng,73908,,2539,20220924084723,69130837,,Education,vi
85,Trường_Đại_học_Sư_phạm_Kỹ_thuật_Vinh,78706,,7917,20230304130232,69742300,,Education,vi
86,Đại_học_Purdue,79066,,10369,20221224222903,69469601,,Education,vi
88,Trường_Đại_học_Công_nghệ_Vạn_Xuân,79659,,5573,20230425040318,69920126,,Education,vi
90,Thời_kỳ_Khai_Sáng,80324,,94257,20230707060453,70414655,,Education,vi
93,Trường_Đại_học_Văn_hóa_Thành_phố_Hồ_Chí_Minh,81655,,4248,20230723142830,70475174,,Education,vi
94,Trường_Đại_học_Y_Dược_Thành_phố_Hồ_Chí_Minh,81729,,16705,20230616041958,70343665,,Education,vi
96,Đại_học_Thái_Nguyên,82828,,3616,20230726120358,70486990,,Education,vi
97,Đại_học_Wesleyan,83495,,1679,20210512030916,64893400,,Education,vi
98,Trường_Đại_học_Hùng_Vương_Thành_phố_Hồ_Chí_Minh,85775,,7382,20221114155727,69315135,,Education,vi
101,Hương_cống,85818,,3319,20220203030827,68094244,,Education,vi
104,Học_vị,86106,,2765,20221220220757,69454431,,Education,vi
105,"Trường_Đại_học_Bách_khoa,_Đại_học_Đà_Nẵng",86226,,31876,20230710090501,70426688,,Education,vi
106,"Trường_Đại_học_Kinh_tế,_Đại_học_Đà_Nẵng",86227,,15476,20230710052914,70426150,,Education,vi
107,"Trường_Đại_học_Ngoại_ngữ,_Đại_học_Đà_Nẵng",86229,,8785,20230710053709,70426176,,Education,vi
