number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Kim_chi,66901,,23477,20230726123040,70487155,,Food and drink,vi
4,Thực_phẩm_thiết_yếu,826574,,7049,20220804224646,68937190,,Food and drink,vi
9,Bagnet,19813682,,5848,20230717022338,70451170,,Food and drink,vi
10,Nacho,3659791,,7392,20220202022156,68089728,,Food and drink,vi
12,Mont_lone_yay_baw,19656522,,3421,20230121075050,69590191,,Food and drink,vi
14,Rau_câu,1288308,,7009,20230526043812,70035937,,Food and drink,vi
15,Văn_hóa_ẩm_thực,13510212,,3464,20230516113035,69987578,,Food and drink,vi
16,Xa_lát_kiểu_Nice,3186803,,2850,20230105152356,69537635,,Food and drink,vi
19,Tập_tính_tích_trữ,7847471,,3817,20200823170056,63672936,,Food and drink,vi
20,Máy_làm_bánh_kếp,19735934,,13648,20230719014443,70457587,,Food and drink,vi
21,Chế_độ_ăn_lành_mạnh,13743956,,8111,20230608022544,70097875,,Food and drink,vi
22,Bisteck_a_la_chorrillana,3658145,,1814,20220109150408,67904261,,Food and drink,vi
24,Hello_Panda,19468959,,3026,20230618103558,70352057,,Food and drink,vi
25,Mì_sợi_Trung_Quốc,14458008,,4002,20220105141040,67880432,,Food and drink,vi
27,Lactarius_indigo,744517,,3552,20230105061648,69530491,,Food and drink,vi
28,Từ_cô,2228252,,4269,20221107005332,69285148,,Food and drink,vi
29,Bún_chả,15910,,10305,20230619083759,70355534,,Food and drink,vi
31,Carpaccio,531690,,3597,20211212091118,67496165,,Food and drink,vi
32,Nếp_cái_hoa_vàng_Đại_Thắng,3271069,,17828,20230130223515,69621839,,Food and drink,vi
33,Trứng_vịt_bắc_thảo,586322,,6863,20230318144801,69790006,,Food and drink,vi
35,Gạo_vàng,1422422,,4876,20230324005025,69809824,,Food and drink,vi
42,Naem,3509387,,17745,20230122095119,69593426,,Food and drink,vi
43,Cà_ri_xanh,854990,,2483,20230513105509,69976230,,Food and drink,vi
44,Ngày_Sữa_Thế_giới,19743514,,3503,20230628150941,70386162,,Food and drink,vi
45,Quả_giả,145854,,2187,20210811212209,65415361,,Food and drink,vi
46,Milkybar,19750289,,2045,20220918020031,69112123,,Food and drink,vi
47,Oligosaccharide,3259645,,4997,20210716032225,65214913,,Food and drink,vi
53,Laddu,13876563,,2160,20220413021122,68455516,,Food and drink,vi
54,Chế_phẩm_bổ_sung,15190987,,8504,20220703225304,68806289,,Food and drink,vi
55,Bánh_cốm,1181045,,3284,20230228143309,69727540,,Food and drink,vi
56,Trà_đen,1295595,,6458,20230403072359,69842275,,Food and drink,vi
57,Phản_ứng_Maillard,19798626,,6747,20230420084012,69902510,,Food and drink,vi
58,Kèo_nèo,865875,,6022,20230425163531,69921947,,Food and drink,vi
59,Dưa_lê,3226095,,3490,20230610093409,70123296,,Food and drink,vi
60,Siêu_thực_phẩm,14824876,,13083,20221123183353,69345051,,Food and drink,vi
61,Mì_ăn_liền,73907,,48082,20230627084044,70382034,,Food and drink,vi
64,Parafin,16935,,7243,20221208194120,69396194,,Food and drink,vi
