number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
6,Sông_Phần,213055,,3943,20220417041920,68477444,,Geographical,vi
9,Núi_Thái_Bình_(Hồng_Kông),210040,,2438,20200206181938,58412452,,Geographical,vi
11,Quần_đảo_Solor,371996,,1361,20170826101437,30649095,,Geographical,vi
18,Fjord,1140976,,6173,20230315060926,69778192,,Geographical,vi
26,Dãy_núi_Trung_Cardamom,14537935,,1675,20210819124159,65591054,,Geographical,vi
28,Đảo_Quang_Hòa,144942,,4975,20230224003853,69710880,,Geographical,vi
35,Vườn_quốc_gia_Maryland,318666,,1025,20211220123446,67694740,,Geographical,vi
36,Sông_Salhyr,2446219,,1502,20221011215252,69185834,,Geographical,vi
43,Thác,38922,,3225,20221207151742,69392669,,Geographical,vi
47,Đại_Antilles,259261,,3242,20180910150002,42547519,,Geographical,vi
69,Núi_Banahaw,9172390,,7375,20210513143123,64899872,,Geographical,vi
70,Sông_Bến_Tre,305046,,2681,20230309084026,69759071,,Geographical,vi
75,Dãy_núi_Vindhya,1159211,,2641,20200924030521,63859849,,Geographical,vi
84,Sông_Khai_Đô,1296687,,4800,20230214221304,69678597,,Geographical,vi
89,Sông_Kuban,114352,,4266,20210814091259,65467385,,Geographical,vi
91,Hòn_Tháp,555996,,2910,20230224003855,69710887,,Geographical,vi
97,Khí_hậu_vùng_cực,125079,,8506,20220515143910,68604045,,Geographical,vi
100,Morotai,825249,,1947,20200823124023,63652886,,Geographical,vi
102,Sông_Mun,95316,,4255,20201009060618,63923042,,Geographical,vi
106,Đảo_Cây,144859,,2545,20230224003852,69710876,,Geographical,vi
109,Siêu_đô_thị,491340,,12732,20230704143421,70405711,,Geographical,vi
114,Dãy_núi_Tuyết_Sơn,818784,,2221,20211011073010,66277259,,Geographical,vi
120,Núi_Elgon,230207,,2318,20230629155543,70389746,,Geographical,vi
123,Ulster,78642,,4013,20210718110102,65229316,,Geographical,vi
131,Sông_Cầu_Chày,759680,,2218,20221209122538,69398201,,Geographical,vi
135,Sông_Dom_Noi,96312,,865,20201009060618,63923020,,Geographical,vi
142,Vịnh_Genova,310727,,734,20200214091805,58611905,,Geographical,vi
147,Sông_Nam_Định,110172,,2383,20230708045439,70418582,,Geographical,vi
152,Quần_đảo_Cayman,135260,,8872,20230606202530,70092248,,Geographical,vi
154,Bãi_ngầm_James,811167,,9041,20230505055628,69949197,,Geographical,vi
155,Vườn_quốc_gia_Hainich,360793,,1725,20200825070737,63714367,,Geographical,vi
166,Vườn_quốc_gia_Barakee,317780,,1030,20170123055917,26137284,,Geographical,vi
167,UTC+10:00,134224,,1270,20210309070608,64574512,,Geographical,vi
171,Sông,36771,,20127,20230714154015,70442708,,Geographical,vi
175,Đồi,130829,,1063,20230306122435,69748834,,Geographical,vi
198,Hari_Rud,10052085,,3589,20230618064351,70351406,,Geographical,vi
207,Đảo_Malakal,803406,,1288,20140719114801,18510632,,Geographical,vi
213,Núi_Nguộc,1401674,,2484,20200814121634,63236565,,Geographical,vi
217,Hang_Neptune,3306242,,6592,20220418121007,68489384,,Geographical,vi
231,Đảo_chắn_Bắc_Frisia,1698223,,7734,20230610032253,70121876,,Geographical,vi
233,Vịnh_Hudson,173547,,1942,20210104154906,64232382,,Geographical,vi
235,"Rochester,_Kent",3194840,,2482,20211012113320,66313974,,Geographical,vi
236,Eo_biển_Manche,188400,,2902,20190527182533,53514307,,Geographical,vi
237,Hồ_Eyre,30677,,3553,20220610020833,68702890,,Geographical,vi
238,Danh_sách_hoang_mạc,3103782,,17845,20220519041757,68621376,,Geographical,vi
244,Uchan-su_(thác_nước),2446162,,923,20161224052311,26049746,,Geographical,vi
253,Sông_Belaya_(Kama),114350,,3634,20220927164523,69141568,,Geographical,vi
259,Đảo,37155,,9424,20230714021422,70440448,,Geographical,vi
264,Hồ_Ulungur,1297653,,1809,20151009230752,22182247,,Geographical,vi
268,Vườn_quốc_gia_Gyeongju,185028,,2501,20210228033102,64521201,,Geographical,vi
273,Công_viên_cột_thiên_nhiên_Lena,1555644,,4858,20230120144008,69588518,,Geographical,vi
276,Sông_Niagara,540685,,687,20140713143015,18217012,,Geographical,vi
278,Minbu,640412,,2166,20230519103241,69996510,,Geographical,vi
282,Hồ_Bosten,1296685,,3442,20211116135609,66962075,,Geographical,vi
289,Dãy_núi_Hoggar,3392208,,2833,20220509055845,68580357,,Geographical,vi
301,Egling,2426456,,698,20200829081205,63757744,,Geographical,vi
302,Vịnh_Kotor,1710878,,2468,20200728120012,63123534,,Geographical,vi
313,Băng_sơn,295120,,3947,20221208142522,69395482,,Geographical,vi
314,Awasa,3704610,,4475,20210604171150,64998707,,Geographical,vi
319,Bồi_tích,302061,,6540,20230608155017,70112137,,Geographical,vi
327,Vườn_quốc_gia_Virachey,233049,,3572,20220117194532,67975219,,Geographical,vi
329,Đá_Lồi,1325674,,4585,20230224003857,69710892,,Geographical,vi
330,Dolomites,359407,,7244,20230723062003,70473685,,Geographical,vi
332,Đảo_Vella_Lavella,1334280,,721,20140719115132,18510909,,Geographical,vi
336,Sông_Zeya,306768,,1727,20201009061240,63923172,,Geographical,vi
348,Puerto_Vallarta,1430453,,5710,20200823164830,63672173,,Geographical,vi
362,Eo_biển_Sumba,373083,,976,20200822160559,63605189,,Geographical,vi
365,Sông_Khanui,17642713,,1096,20221103053520,69272213,,Geographical,vi
366,Hải_lưu_Alaska,302448,,1545,20171011152928,31944985,,Geographical,vi
377,Hòn,19740498,,1786,20220806060539,68946220,,Geographical,vi
378,Đầm_lầy_cây_thân_gỗ,813493,,4527,20211116135243,66961777,,Geographical,vi
