number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
4,Lịch_sử,3081,,24303,20230625092616,70375695,,History,vi
13,Ngày_Julius,7105,,8151,20230125134403,69603643,,History,vi
18,Phục_Hưng,13824,,112522,20230701093038,70395215,,History,vi
21,Anadoluhisari,16330,,857,20151006033604,22156275,,History,vi
25,Hậu_hiện_đại,19446,,6928,20230113091334,69565301,,History,vi
30,Thời_đại_Khám_phá,24752,,193724,20230707062013,70414697,,History,vi
32,Chiến_tranh_Lạnh,30668,,207366,20230720143225,70463883,,History,vi
34,Constantinopolis,31365,,6381,20221111035720,69300554,,History,vi
36,Lịch_sử_Hồng_Kông,35740,,11750,20211117063930,66972236,,History,vi
38,Lịch_sử_thế_giới,36304,,118291,20230725021243,70481238,,History,vi
41,Lưỡi_liềm_Màu_mỡ,37402,,2135,20230515140530,69984793,,History,vi
44,Hãn,44390,,3014,20230308151030,69756488,,History,vi
50,Đế_quốc_Gupta,63574,,19342,20230708153347,70421038,,History,vi
51,Lịch_sử_Kitô_giáo,64685,,4170,20230601020911,70066903,,History,vi
59,Thời_tiền_sử,81441,,37302,20221024212710,69230571,,History,vi
64,Thời_đại_đồ_sắt,94199,,23907,20210803135608,65305289,,History,vi
65,Hiệp_ước_Latêranô,94278,,5944,20230105174824,69539341,,History,vi
70,Trận_Quan_Độ,98024,,18896,20230601134652,70069662,,History,vi
81,Trận_Marathon,113210,,33973,20221216063417,69434188,,History,vi
82,Phong_trào_Nghĩa_Hòa_Đoàn,122479,,19062,20230528124141,70048863,,History,vi
86,Trận_Leuctra,130384,,14777,20230608090518,70103505,,History,vi
88,Trận_Xích_Bích,136495,,52220,20221011014429,69183328,,History,vi
89,Cộng_hòa_Weimar,138470,,16727,20230720115243,70463108,,History,vi
92,Niên_hiệu,143504,,11084,20220510095534,68584558,,History,vi
93,Jayavarman_VIII,146293,,1731,20221220221706,69454694,,History,vi
100,Bhavavarman_I,146985,,2431,20211213164611,67507369,,History,vi
101,Suryavarman_II,146988,,4900,20220915072343,69104005,,History,vi
106,Jayavarman_I_(Chân_Lạp),157391,,2773,20210314125126,64598949,,History,vi
110,Trận_Đồng_Quan_(211),182579,,83901,20220804231415,68939466,,History,vi
111,Titus_Livius,184219,,738,20220330163957,68377761,,History,vi
112,Thế_Holocen,184572,,6837,20230315121253,69779251,,History,vi
114,Alfred_Cả,187966,,66977,20221104125540,69276567,,History,vi
116,Trận_Kosovo,192233,,20245,20221219220040,69450192,,History,vi
118,Philippos_II_của_Macedonia,200986,,26157,20220106082853,67883950,,History,vi
121,Trận_Vittorio_Veneto,206562,,8371,20211102002626,66622291,,History,vi
122,Biên_niên_sử,209158,,1075,20230723101116,70474395,,History,vi
123,Alexandros_I_của_Macedonia,209689,,3281,20211214104103,67561523,,History,vi
124,Naboukhodonosor_II,220387,,7813,20220424022652,68525461,,History,vi
125,Amel-Marduk,220609,,1298,20211214020917,67533729,,History,vi
126,Alexandros_V_của_Macedonia,229731,,1923,20211214100053,67559223,,History,vi
128,Kim_Thái_Tông,235029,,5325,20220722044043,68884797,,History,vi
130,Biên_niên_sử_Giáo_hội_Công_giáo_Rôma,246603,,44991,20220411154531,68447857,,History,vi
133,Hệ_thống_Mandala,254391,,3057,20200525103257,61837280,,History,vi
134,Omar_bin_Abd_al-Aziz,254814,,1671,20211214003021,67529661,,History,vi
136,Abd_al-Malik,257127,,2229,20211213215324,67522637,,History,vi
143,Pied-Noir,281838,,3404,20221214121757,69426650,,History,vi
146,Ngọc_tỷ_truyền_quốc,291635,,15304,20221005062504,69164743,,History,vi
147,Trận_Nikopolis,291674,,7269,20230526072602,70036760,,History,vi
148,Trận_Salamis,292109,,69965,20230616021113,70343274,,History,vi
150,Cổ_đại_Hy-La,300408,,3204,20190416092414,52026924,,History,vi
151,Petăr_IV_của_Bulgaria,307147,,1523,20200715122724,63043004,,History,vi
152,Simeon_I_của_Bulgaria,307211,,2117,20211214105750,67563085,,History,vi
154,Trận_Actium,312854,,18222,20230221005120,69701292,,History,vi
155,Ivan_Asen_II_của_Bulgaria,313697,,1820,20180612152709,40630138,,History,vi
157,Ivan_Sratsimir_của_Bulgaria,313843,,1840,20230513173546,69977529,,History,vi
159,Thập_tự_Sắt,315723,,16810,20210822191106,65723382,,History,vi
160,Cuộc_nổi_dậy_Tạ_Văn_Phụng,320220,,4157,20230301061833,69729480,,History,vi
174,Hữu_Sào,384326,,2373,20210827135217,65847080,,History,vi
176,Trận_Ipsus,384508,,36362,20221206054133,69387038,,History,vi
179,Ngũ_Long,400671,,1360,20210321210731,64643348,,History,vi
181,Thucydides,404738,,10563,20220330163957,68377763,,History,vi
182,Samudragupta,406819,,2921,20211214005014,67530648,,History,vi
188,Eiji_(Ryukyu),413625,,1395,20211126225717,67139585,,History,vi
189,Triều_đại,414134,,19443,20230603151944,70077571,,History,vi
190,Langkasuka,414818,,6985,20210530120623,64975319,,History,vi
191,Pan_Pan,414821,,2997,20160727155219,24023139,,History,vi
193,Chiến_tranh_Cách_mạng_Pháp,418059,,11376,20220329111431,68371376,,History,vi
198,Thời_kỳ_cổ_đại,421843,,2392,20220804223919,68936446,,History,vi
203,Go_Museo,423967,,962,20200823091003,63640636,,History,vi
208,Văn_minh_Mycenae,437989,,80426,20230619120519,70356346,,History,vi
209,Thần_phả,440764,,3597,20210705111314,65151244,,History,vi
211,Thái_sư,447355,,2767,20230527144833,70044451,,History,vi
221,Thời_kỳ_cận_đại,475947,,4476,20230126232101,69607117,,History,vi
225,Aliyah,501693,,4935,20230715173454,70447249,,History,vi
228,El_Dorado,515785,,29943,20230314043852,69774766,,History,vi
234,Các_thị_quốc_Pyu,523161,,6421,20230602054307,70071971,,History,vi
238,Mạnh_Mẫu,527878,,4674,20230714162248,70442822,,History,vi
240,Trận_Ký_Thành,532557,,18466,20211011113902,66288385,,History,vi
242,Eumenes_III,543416,,3604,20221112054155,69304533,,History,vi
245,Trận_sông_Hydaspes,552211,,9050,20220115085907,67952116,,History,vi
255,Cựu_Ngũ_Đại_sử,565486,,24948,20220522204902,68633640,,History,vi
256,Tân_Ngũ_Đại_sử,565495,,16899,20230529181539,70056771,,History,vi
257,Minh_sử,565496,,77070,20230708114553,70420408,,History,vi
258,Tân_Nguyên_sử,565502,,1830,20220115170750,67954393,,History,vi
261,Tây_Hạ_Mạt_Chủ,569641,,4073,20221201132556,69372002,,History,vi
265,Harshavarman_I,574696,,1754,20211213164334,67507345,,History,vi
271,Tarumanagara,592270,,4477,20170530110554,26623331,,History,vi
272,Salakanagara,595383,,1488,20140711224649,18164785,,History,vi
273,Singhasari,611729,,4413,20210601132930,64986872,,History,vi
275,William_và_Mary,626105,,1311,20221030031724,69249501,,History,vi
277,Trận_rừng_Teutoburg,658029,,79683,20230101082258,69505094,,History,vi
287,Giai_đoạn_Di_cư,778832,,2407,20211112131956,66874179,,History,vi
288,Trận_Sellasia,782651,,18806,20211202184310,67232654,,History,vi
291,Vương_triều_Caroling,787245,,1686,20230418134452,69896677,,History,vi
298,Thành_Nghi,796801,,1174,20211213073719,67501447,,History,vi
301,Dương_Thu_(Tam_Quốc),796805,,1912,20190707013408,54478446,,History,vi
302,Lương_Hưng_(Đông_Hán),796809,,2998,20211214081156,67548180,,History,vi
303,Pocahontas,797434,,7315,20220923115505,69128486,,History,vi
306,A_Cổ_Bách,797708,,4128,20211203125556,67268013,,History,vi
308,Thời_kỳ_Homeros,799186,,960,20220317033627,68294250,,History,vi
309,Tô_Định,799244,,1604,20220607121837,68693210,,History,vi
310,Tôn_Càn,800260,,2846,20230622134139,70367186,,History,vi
311,Mã_Nguyên_Nghĩa,800487,,1141,20211213073710,67501445,,History,vi
315,Trận_Tours,802765,,50447,20221026140418,69236678,,History,vi
316,Lâu_Lan,803058,,9747,20230228161350,69727971,,History,vi
318,Mai_Bhago,803600,,1289,20210118013907,64283604,,History,vi
320,Marguerite_Delaye,803609,,2851,20220918044336,69114195,,History,vi
321,Người_Ostrogoth,803757,,13823,20230603100136,70076210,,History,vi
322,Trận_Châlons,804185,,45571,20220320172603,68320926,,History,vi
323,Wallachia,804689,,13923,20230525053139,70030846,,History,vi
325,Đao_phủ,805856,,7553,20230527104115,70043202,,History,vi
327,Thời_kỳ_Tăm_tối_(sử_học),808684,,33607,20220707011003,68817179,,History,vi
329,Niên_hiệu_Triều_Tiên,813489,,3940,20211210104039,67487095,,History,vi
331,Elisabeth_nước_Hungary,815069,,9289,20221022161217,69220925,,History,vi
335,Hoàng_đế_La_Mã,819499,,5662,20230619032608,70354553,,History,vi
339,Quyền_hưởng_đêm_đầu,825756,,6576,20211027104809,66523464,,History,vi
340,Lý_Liên_Anh,826538,,14706,20220812151601,68976454,,History,vi
342,Trận_Kumanovo,888814,,10255,20211218145718,67598693,,History,vi
344,Cuộc_vây_hãm_Kut,894035,,6840,20200819051324,63430170,,History,vi
352,Vương_triều_Thiên_Tôn,1000833,,1235,20230418162203,69897353,,History,vi
384,Đại_Trường_Hòa,1094208,,3791,20230527045048,70042098,,History,vi
398,Trận_Malplaquet,1102154,,24640,20220411141708,68447356,,History,vi
401,Trận_Poitiers_(1356),1133453,,27142,20220901060712,69059764,,History,vi
404,Hamengkubuwana,1180209,,3645,20210614051156,65038883,,History,vi
406,Đông_Hạ,1204253,,2562,20211020155054,66429771,,History,vi
407,Trận_Chaeronea_(338_TCN),1206033,,47762,20220602072404,68675776,,History,vi
408,Trận_cánh_đồng_Crocus,1209008,,4127,20221205232400,69386250,,History,vi
410,Trận_Torino,1220871,,8157,20220821111410,69022606,,History,vi
414,Hoàng_đế_Đức,1264285,,16474,20220509122053,68581700,,History,vi
416,Thế_kỷ_29_TCN,1277123,,1489,20220511072318,68587505,,History,vi
