number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Dấu_viết_lược,19692499,,2379,20220209070430,68125445,,Linguistics,vi
4,Điện_hạ,15154112,,4033,20200823190350,63678514,,Linguistics,vi
10,Tiếng_Kangean,14816082,,1113,20210814131736,65474279,,Linguistics,vi
17,Thành_ngữ,2422324,,1844,20221030024220,69249353,,Linguistics,vi
22,Ngữ_liệu_văn_bản,1059242,,3155,20220210103619,68131704,,Linguistics,vi
24,StarDict,147140,,6575,20220225050258,68199614,,Linguistics,vi
25,Tiếng_Sumer,2361537,,9218,20230707125345,70416296,,Linguistics,vi
27,Bảng_chữ_cái_Azerbaijan,14846179,,4256,20230506033950,69952775,,Linguistics,vi
37,Tiếng_Phạn,17537,,83958,20230707123513,70416241,,Linguistics,vi
40,Thật_sự_cầu_thị,867633,,1557,20160729100718,24038168,,Linguistics,vi
41,Bảng_chữ_cái_Uyghur_Latin,19434113,,3615,20220802230914,68929250,,Linguistics,vi
42,Nhóm_ngôn_ngữ_Frisia,524554,,4041,20211026222922,66506075,,Linguistics,vi
45,Tiếng_Liên_Slav,16943239,,7228,20230524204635,70029020,,Linguistics,vi
47,Tiếng_Asturias,2354162,,3850,20230101075445,69503406,,Linguistics,vi
51,Ngôn_ngữ_thiêng_liêng,19128727,,1406,20210107202245,64241512,,Linguistics,vi
58,Đường_đồng_ngữ,19725001,,4322,20220506133126,68568664,,Linguistics,vi
67,Tiếng_Sioux,14614447,,3824,20220926103540,69137169,,Linguistics,vi
68,Nói_ríu,3258561,,1118,20220226091007,68204819,,Linguistics,vi
69,Tiếng_Eskaya,19325508,,6222,20220321190835,68325866,,Linguistics,vi
73,Hệ_chữ_viết,1296122,,17265,20220129052100,68069675,,Linguistics,vi
74,Từ_cán,19726561,,11219,20220521060945,68627962,,Linguistics,vi
75,Lịch_sử_dịch_máy,1297523,,10500,20230101082216,69505044,,Linguistics,vi
78,Triện_thư,370401,,6814,20221205023552,69383514,,Linguistics,vi
81,Tiếng_Syriac,2451913,,5851,20230713093245,70437701,,Linguistics,vi
84,Dịch_Tác_Lâm,523105,,1984,20221012084944,69187091,,Linguistics,vi
85,Đồng_nguyên_(ngôn_ngữ_học),19808959,,1805,20230613172805,70324437,,Linguistics,vi
87,Tiếng_Triêng,17910143,,1732,20210522042521,64937725,,Linguistics,vi
91,Mệnh_đề_quan_hệ,471574,,1678,20230228072139,69726221,,Linguistics,vi
92,Ngữ_tộc_Slav,3855,,3302,20230508143009,69961459,,Linguistics,vi
95,Ngôn_ngữ_học_lịch_sử,19233763,,10695,20230609112302,70115861,,Linguistics,vi
96,Ludwig_Wittgenstein,197865,,30897,20230215162357,69681500,,Linguistics,vi
98,Nén_ngữ_nghĩa,19325446,,1398,20220601183704,68674433,,Linguistics,vi
99,Tiếng_Ido,524483,,1470,20211026222911,66506074,,Linguistics,vi
101,А̃,19815796,,1102,20230726121919,70487092,,Linguistics,vi
112,Đánh_dấu_vai_nghĩa,2451011,,2562,20210601024320,64984182,,Linguistics,vi
114,Ngữ_liệu_tiếng_nói,19553877,,2548,20210817050538,65515152,,Linguistics,vi
119,Tiếng_Scotland,2353769,,10033,20230707125111,70416293,,Linguistics,vi
122,Ér_hóa,19432669,,8127,20221227081405,69476904,,Linguistics,vi
123,Tiếng_Ho,29301,,4854,20220706194623,68816808,,Linguistics,vi
130,Dấu_chấm_lửng,3383653,,2226,20230504163626,69947903,,Linguistics,vi
131,Light_Warlpiri,2197314,,1536,20180603191932,40519731,,Linguistics,vi
132,Danh_từ_hóa,18935275,,12825,20221120092337,69333614,,Linguistics,vi
133,Trigram,18738810,,1818,20230318183526,69790462,,Linguistics,vi
134,Giới_từ,501577,,44836,20220417070125,68481433,,Linguistics,vi
135,Ngôn_ngữ_tại_Liên_Xô,17858617,,5592,20230105055151,69528193,,Linguistics,vi
137,Tiếng_Na_Uy,230698,,5600,20230316220218,69784292,,Linguistics,vi
138,Nhóm_ngôn_ngữ_Ả_Rập,17343895,,5652,20210814143315,65482890,,Linguistics,vi
139,Ngôn_ngữ_nói,14457705,,3277,20220929074002,69146320,,Linguistics,vi
142,Chính_tả,507613,,3079,20230721171335,70467474,,Linguistics,vi
144,Ђ,19813489,,3403,20230721031718,70465190,,Linguistics,vi
146,Phương_ngữ_học,19553926,,2981,20210817062508,65516857,,Linguistics,vi
150,Âm_ngạc_mềm,3192615,,6247,20230606170012,70091936,,Linguistics,vi
151,Bính_âm_Hán_ngữ,36532,,25558,20230202043748,69632726,,Linguistics,vi
156,Tiếng_Khmer,87250,,19244,20230416162533,69890482,,Linguistics,vi
157,Danh_sách_thuật_ngữ_ngôn_ngữ_học,18856,,43634,20230131064535,69623623,,Linguistics,vi
159,Từ_viết_tắt_từ_chữ_đầu,1167,,1799,20230617155745,70349635,,Linguistics,vi
160,Bạch_thoại,3201731,,2130,20220222063118,68188157,,Linguistics,vi
163,Tiếng_Kalmyk,8200820,,3000,20221130053448,69366740,,Linguistics,vi
165,Ꚙ,19815206,,1259,20230720134551,70463658,,Linguistics,vi
168,Bảng_chữ_cái,469502,,7792,20230720102356,70462541,,Linguistics,vi
170,Chữ_Tày_Lự_mới,14824887,,2994,20230515143606,69984950,,Linguistics,vi
172,Tiếng_Phù_Dư,3420991,,745,20180605170536,40535907,,Linguistics,vi
176,Xenoglossy,13515416,,13567,20230106173030,69543828,,Linguistics,vi
179,Lina,1746550,,2493,20160903163055,24170905,,Linguistics,vi
191,Kết_trị_(ngôn_ngữ_học),19515815,,1685,20201112071039,64038065,,Linguistics,vi
192,Tiếng_Chăm,90392,,6454,20220702182708,68802617,,Linguistics,vi
203,Tiếng_Sardegna,3141191,,5526,20221025051307,69231468,,Linguistics,vi
209,Sung_ngữ,19721398,,20623,20220428031846,68538299,,Linguistics,vi
214,Ký_tự,2419090,,4530,20230719024550,70457759,,Linguistics,vi
221,Chủ_nghĩa_cấu_trúc,15325261,,4888,20221110050831,69297065,,Linguistics,vi
223,Tiếng_Phù_Lá,15613655,,1726,20210814140638,65482090,,Linguistics,vi
224,Noam_Chomsky,73796,,190815,20230722043631,70468922,,Linguistics,vi
225,Ngữ_pháp_tiếng_Latinh,10403,,1180,20180616141637,40671377,,Linguistics,vi
229,Thuật_ngữ_ngữ_âm_học,19107,,15576,20191019130713,55882391,,Linguistics,vi
230,Chữ_ký,14594462,,1438,20230327130330,69820588,,Linguistics,vi
231,Phiên_âm_Bình_thoại,3197605,,1427,20200822101741,63596327,,Linguistics,vi
237,Tên_ví_dụ,19741831,,1018,20220729151707,68910241,,Linguistics,vi
239,Tiếng_Lule_Sami,19736387,,2173,20220702131051,68801660,,Linguistics,vi
240,Ngữ_chi_Mảng,364827,,7664,20221010185946,69182714,,Linguistics,vi
242,Bệnh_lý_ngôn_ngữ_nói,15486637,,5552,20211223122717,67724453,,Linguistics,vi
243,Chữ_Tạng,3515581,,22842,20230415044247,69882321,,Linguistics,vi
255,Ԝ,19814728,,3186,20230720080727,70461840,,Linguistics,vi
256,Phong_cách_học,15449496,,3680,20220809005459,68961554,,Linguistics,vi
