number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Khosrow_và_Shirin,13660185,,4898,20210819114342,65583340,,Literature,vi
2,Ali-Shir_Nava'i,517380,,9553,20221004032840,69161031,,Literature,vi
3,Vua_Arthur,462374,,63507,20230328164513,69824256,,Literature,vi
5,Thú_nhân,18271591,,6183,20220930122918,69149797,,Literature,vi
8,Dã_nhân,3230517,,884,20220514104557,68599483,,Literature,vi
9,Bí_kíp_luyện_rồng_(phim),492575,,11132,20221230145824,69490087,,Literature,vi
10,Leviathan,1266333,,3875,20230217230447,69688962,,Literature,vi
11,Đốt_sách_chôn_nho,38028,,4512,20230517015639,69989344,,Literature,vi
12,Murder_Princess,1337090,,27645,20220804225321,68937974,,Literature,vi
15,Truyện_tranh,356067,,77203,20230714023148,70440489,,Literature,vi
16,Hội_Nhà_văn_Việt_Nam,197922,,15044,20230125114956,69603416,,Literature,vi
17,Who_Framed_Roger_Rabbit,3373062,,9907,20220118070407,67977497,,Literature,vi
18,Phê_bình_văn_học,151315,,6752,20200612140030,62319303,,Literature,vi
20,Sách_điện_tử,119011,,56951,20230705064210,70407640,,Literature,vi
21,Kết_thúc_bỏ_lửng,14297269,,2348,20221112092801,69305336,,Literature,vi
23,Nam_quốc_sơn_hà,1593,,25915,20221222084037,69459901,,Literature,vi
24,Lương_Châu_từ,46558,,2192,20211208173046,67479814,,Literature,vi
27,Khổng_Ất_Kỷ,233456,,2503,20211219112704,67616584,,Literature,vi
29,The_Closing_of_the_American_Mind,3237736,,1405,20211120152738,67094842,,Literature,vi
32,50_in_50,19566680,,2158,20210323162506,64653715,,Literature,vi
33,Nobuta_wo_Produce,278971,,11172,20200826105310,63740555,,Literature,vi
34,"Đồng_tính,_song_tính_và_hoán_tính_trong_thần_thoại",436439,,8683,20220606125322,68689941,,Literature,vi
36,Totto-chan_bên_cửa_sổ,53482,,11344,20230518052513,69992750,,Literature,vi
37,Truyện_ma,19612300,,39059,20230207042324,69651339,,Literature,vi
38,Kể_chuyện_đa_phương_tiện,19332681,,22157,20211105123222,66712962,,Literature,vi
39,Trình_bày,19470317,,1470,20200801134402,63142234,,Literature,vi
43,Tôi_là_Bêtô,14904016,,4945,20230309101557,69759275,,Literature,vi
45,Bỉ_vỏ,7460151,,6126,20220804225328,68937986,,Literature,vi
46,Phim_tiểu_sử,19789350,,11502,20230306063601,69747879,,Literature,vi
47,Âm_chất_quốc_ngữ,19519668,,1264,20201123211415,64076847,,Literature,vi
51,Âm_đạo_có_răng,19736008,,15805,20230105025702,69521488,,Literature,vi
52,The_Maze_Runner_(bộ_sách),3265187,,1223,20221109114228,69294347,,Literature,vi
56,Biện_nhi_thoa,19801186,,5781,20230613101005,70287861,,Literature,vi
60,Hello_World_(phim),15151234,,22412,20230618103623,70352058,,Literature,vi
62,Peter_in_Magicland,1699174,,6054,20211219203624,67636117,,Literature,vi
63,The_Honest_Woodcutter,3275148,,4629,20210826121123,65812968,,Literature,vi
67,Nhật_ký_chú_bé_nhút_nhát_(sách),1738422,,4461,20211119021304,67048662,,Literature,vi
68,Trái_tim_thiếu_nữ,19813060,,9867,20230710101034,70426886,,Literature,vi
77,Bambi,324858,,8472,20200818034716,63293619,,Literature,vi
78,Tây_Sơn_thuật_lược,3375840,,6592,20230322100657,69804592,,Literature,vi
79,Trữ_tình_ngoại_đề,147808,,2370,20200801124848,63142052,,Literature,vi
80,Charlotte_và_Wilbur,250303,,6105,20220304042835,68231039,,Literature,vi
82,Azuma_Hiroki,3128552,,5233,20180714210458,41102470,,Literature,vi
83,Sách_Đa-ni-en,19586484,,5171,20210510035037,64883808,,Literature,vi
90,12_Books_That_Changed_the_World,19564048,,1428,20230708094904,70420102,,Literature,vi
91,Mark_Twain,31311,,39357,20230626022724,70378069,,Literature,vi
94,Thần_thoại_Maya,781425,,828,20221223142653,69464004,,Literature,vi
97,Sách_cũ,15659591,,2804,20211110120634,66821983,,Literature,vi
98,Nhà_thơ,51259,,4562,20230315135215,70489899,,Literature,vi
100,Phố_(tiểu_thuyết),229661,,5439,20220409225319,68429377,,Literature,vi
102,Bunkobon,14316234,,2094,20230101083427,69505699,,Literature,vi
103,Tarzan_(phim_1999),98520,,8220,20220319185439,68316087,,Literature,vi
104,Kị_sĩ_thiên_nga,19589784,,10650,20221009103600,69178428,,Literature,vi
106,Văn_học,146620,,36288,20230222155503,69706893,,Literature,vi
108,Sử_thi,137139,,27487,20230706142033,70412586,,Literature,vi
111,Philip_Reeve,16327186,,2830,20211214003645,67529989,,Literature,vi
113,Giải_Guillaume_Apollinaire,3276703,,9209,20221124061621,69346223,,Literature,vi
114,Fear_and_Loathing_in_Las_Vegas,3339780,,2670,20171012000256,31950681,,Literature,vi
118,Thuật_phù_thuỷ,1342081,,6133,20230311081214,69765782,,Literature,vi
122,"Súng,_Vi_trùng_và_Thép",19605426,,14781,20230106060051,69540889,,Literature,vi
123,Samurai_I:_Musashi_Miyamoto,2439873,,6493,20230105060916,69529887,,Literature,vi
124,Văn_học_không_tưởng,19425550,,3590,20220217015402,68165097,,Literature,vi
125,Chào_mừng_đến_với_N.H.K!,140019,,24449,20230104080820,69519183,,Literature,vi
129,Thần_thoại_học,53957,,100389,20230315101659,69778936,,Literature,vi
130,Agota_Kristof,31951,,3355,20211213215644,67522787,,Literature,vi
131,Trước_vòng_chung_kết,15307253,,6936,20221023150538,69226271,,Literature,vi
132,Bản_tình_ca_của_J._Alfred_Prufrock,434709,,5500,20200721205236,63068371,,Literature,vi
135,Thơ_cổ_phong,19470728,,4285,20211203113458,67265497,,Literature,vi
141,Lưu_gia_độ,27115,,1534,20200821143034,63559472,,Literature,vi
142,Tỉ_(văn_học),19505870,,1395,20201020000741,63958757,,Literature,vi
143,Văn_học_tư_liệu,19469787,,3409,20200804150055,63187679,,Literature,vi
144,Ấn_hiệu,3126457,,7370,20230611115408,70127960,,Literature,vi
145,Patrick_Modiano,3158188,,10176,20230416004240,69887397,,Literature,vi
146,Sách_thảo_dược,13808893,,3055,20210827201142,65857775,,Literature,vi
147,Si_bà_tử_truyện,19801185,,7480,20230613101003,70287859,,Literature,vi
148,Tiểu_thuyết_lãng_mạn,515135,,6634,20230317033439,69784804,,Literature,vi
149,Ngụ_ngôn,150409,,10015,20220623062121,68761664,,Literature,vi
150,Thơ,18991,,61128,20230407111935,69855403,,Literature,vi
152,Ron_Weasley,29286,,26376,20230527133348,70043991,,Literature,vi
153,Tử_thần_Thực_tử,110294,,68236,20221208080028,69394500,,Literature,vi
155,Anastasia_on_Her_Own,3123308,,2967,20210505135656,64854294,,Literature,vi
157,Chế_lệ,19494206,,1572,20220410184135,68440875,,Literature,vi
160,Truyện_slash,19436389,,3487,20221231193730,69495092,,Literature,vi
161,Niketas_Choniates,3704251,,7172,20220330163957,68377764,,Literature,vi
162,Binh_thư_yếu_lược,6697,,2677,20211231150325,67772411,,Literature,vi
163,Mèo_thông_thái,19597893,,10297,20221006213203,69169823,,Literature,vi
164,Quái_vật,437970,,1449,20220930120434,69149739,,Literature,vi
165,Aladdin_và_cây_đèn_thần,52801,,5140,20230707073009,70414946,,Literature,vi
169,Libertas,3296424,,778,20210827022310,65828396,,Literature,vi
170,Chuyện_kể_năm_2000,276590,,5252,20230105101304,69533091,,Literature,vi
171,Quần_đảo_Gulag,590009,,16156,20230212034805,69669471,,Literature,vi
172,Edward_Cullen,322720,,19034,20230725214831,70484041,,Literature,vi
174,Thanh_Thảo_(nhà_thơ),319726,,5527,20230219040926,69693097,,Literature,vi
176,Tuyển_tập_truyện_ngắn,19766515,,1934,20221220042952,69450812,,Literature,vi
178,Chu_lâm_dã_sử,19807670,,7583,20230612101013,70208784,,Literature,vi
186,The_Satanic_Verses,19746710,,30744,20230408094512,69859321,,Literature,vi
187,Châm_biếm,3186385,,6898,20230724170624,70480557,,Literature,vi
190,Vợ_nhặt,60351,,2135,20230628163143,70386410,,Literature,vi
192,Ba_chàng_ngốc,803464,,30538,20230711181509,70431761,,Literature,vi
197,Tiểu_thuyết_truyền_kỳ,19469826,,977,20200801032416,63139635,,Literature,vi
203,Bình_Ngô_sách,601094,,1813,20171012084655,31963224,,Literature,vi
205,Historia_regum_Britanniae,13478168,,12278,20230706210736,70413649,,Literature,vi
209,Nidome_no_Jinsei_o_Isekai_de,14253371,,28472,20230629075212,70388216,,Literature,vi
211,Hoan_hỷ_oan_gia,19801184,,2599,20230610101029,70123403,,Literature,vi
213,The_19th_Wife,19565682,,2382,20210402133045,64709213,,Literature,vi
215,Hogwarts_School_of_Prayer_and_Miracles,19723324,,11317,20220501203816,68551904,,Literature,vi
219,Những_người_trên_cửa_biển,7680484,,15371,20220104051049,67826845,,Literature,vi
221,Aleph_(tiểu_thuyết),19659193,,3424,20211101084014,66595328,,Literature,vi
222,Nguyên_lý_tảng_băng_trôi,19425715,,15610,20211202181630,67230642,,Literature,vi
223,Michel_Houellebecq,564474,,5451,20220728100230,68905467,,Literature,vi
224,Danh_sách_nhân_vật_trong_Chạng_vạng,322160,,48248,20220906071502,69077384,,Literature,vi
225,Trăm_linh_một_chú_chó_đốm,149718,,2217,20220424133133,68527730,,Literature,vi
227,Rhett_Butler,346396,,15929,20220314045651,68281404,,Literature,vi
231,Thi_nhân_Việt_Nam,198792,,12394,20221114102255,69313974,,Literature,vi
232,Flashback,13983655,,4084,20220102102446,67784484,,Literature,vi
233,Cơ_sở_(Euclid),56369,,5307,20230411154340,69871828,,Literature,vi
235,Dōjinshi,105432,,3595,20221214182712,69427761,,Literature,vi
236,Văn_hóa_dân_gian,2339701,,1880,20230312095520,69769435,,Literature,vi
237,Haunchyville,19748171,,4216,20230111001410,69559474,,Literature,vi
238,Richie_Tozier,19732331,,2428,20221130120202,69367709,,Literature,vi
239,Pippi_tất_dài,139308,,4303,20220416101114,68474102,,Literature,vi
243,12:_The_Elements_of_Great_Managing,19564582,,2937,20220111044148,67914805,,Literature,vi
246,Điếu_văn,19805700,,13505,20230604152530,70082151,,Literature,vi
247,Farid_al-Din_Attar,3403689,,6259,20220529142037,68663147,,Literature,vi
248,Tống_Trân_Cúc_Hoa,662873,,8302,20220804230114,68938533,,Literature,vi
250,O._Henry,31229,,16808,20230609111045,70115836,,Literature,vi
