number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Cổ_điển_giao_thoa,252294,,4074,20210730063322,65284558,,Media,vi
2,Wirtland,19549845,,9519,20221030054537,69251610,,Media,vi
4,Văn_học_không_tưởng,19425550,,3590,20220217015402,68165097,,Media,vi
5,So_sánh_các_chương_trình_quản_lý_tải_xuống,374047,,21486,20230303195718,69739232,,Media,vi
6,Cut_the_Rope,1763186,,20576,20230103065038,69514414,,Media,vi
7,Spore,3138439,,28422,20221112002713,69303473,,Media,vi
9,Turla_(phần_mềm_độc_hại),19804296,,4529,20230709113316,70423442,,Media,vi
10,Quảng_cáo_video,19333960,,30894,20230510043952,69965740,,Media,vi
11,MC_dự_báo_thời_tiết,19470284,,2300,20221006052733,69167310,,Media,vi
12,Trình_quản_lý_tải_xuống,316063,,2410,20220207111803,68115968,,Media,vi
14,So_sánh_các_phần_mềm_BitTorrent,43739,,31571,20200823162447,63670557,,Media,vi
16,MongoDB,19691925,,8977,20230417065358,69892072,,Media,vi
17,Nhạc_Latinh,19577502,,6743,20230629052235,70387799,,Media,vi
19,Foxit_Software,8052892,,18525,20230616084015,70344414,,Media,vi
20,Kiwix,1641659,,3186,20221129091600,69363960,,Media,vi
23,Trùm_truyền_thông,19428688,,1029,20221006033616,69167016,,Media,vi
25,Thời_biểu_của_Microsoft_Windows,3134695,,18142,20230218130533,69691308,,Media,vi
26,Chamrieng_Samai,14314131,,1691,20210227123715,64484818,,Media,vi
31,Giám_đốc_sản_xuất,2413485,,2231,20221006060957,69167415,,Media,vi
32,Truyền_hình_Internet,811934,,1914,20220920001229,69119386,,Media,vi
34,Báo_viết,402397,,62794,20230703154525,70402664,,Media,vi
36,Đơn_vị_chế_tác,19363636,,3457,20230315220506,69780572,,Media,vi
38,Video_theo_yêu_cầu,415183,,29429,20230101061621,69501479,,Media,vi
39,Oracle_Database,19540692,,13286,20210717130818,65221188,,Media,vi
41,Re:Zero_−_Bắt_đầu_lại_ở_thế_giới_khác,3386576,,53972,20230702164137,70399494,,Media,vi
