number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Chiến_tranh_Việt_Nam,779,,565957,20230726152141,70487656,,Military and warfare,vi
2,Chiến_tranh_Đông_Dương,1287,,486001,20230722143447,70470760,,Military and warfare,vi
3,Chiến_tranh_Vùng_Vịnh,1290,,119574,20230720151936,70464012,,Military and warfare,vi
4,Phong_trào_Chữ_thập_đỏ_và_Trăng_lưỡi_liềm_đỏ_quốc_tế,1418,,40630,20230306111423,69748631,,Military and warfare,vi
5,Chiến_tranh_thế_giới_thứ_hai,2350,,259466,20230626193416,70380568,,Military and warfare,vi
7,Đại_tướng,8308,,16898,20230724085821,70478122,,Military and warfare,vi
8,Quân_lực_Việt_Nam_Cộng_hòa,8542,,40051,20230713032219,70436693,,Military and warfare,vi
9,Thống_tướng,8573,,7253,20230718091958,70455509,,Military and warfare,vi
10,Chuẩn_tướng,8574,,11924,20230714174119,70443365,,Military and warfare,vi
11,Nguyên_soái,8578,,13366,20230723122845,70474725,,Military and warfare,vi
12,Quân_hàm,8605,,48848,20230702071404,70397834,,Military and warfare,vi
13,Chiến_tranh_Bảy_Năm,9797,,57959,20230705145942,70409042,,Military and warfare,vi
14,Chiến_tranh_lạnh_(thuật_ngữ),10534,,1188,20220113143555,67942643,,Military and warfare,vi
15,Blitzkrieg,10596,,76876,20230717195059,70454064,,Military and warfare,vi
16,Đô_đốc,12112,,8833,20230616145540,70345550,,Military and warfare,vi
17,Đối_chiếu_cấp_bậc_quân_sự,12434,,8831,20221010011304,69180222,,Military and warfare,vi
18,Chiến_tranh_Triều_Tiên,12470,,193074,20230609204507,70121172,,Military and warfare,vi
19,Trận_Vòng_cung_Kursk,12593,,229117,20230709121337,70423684,,Military and warfare,vi
20,Trận_Stalingrad,12594,,165599,20230717132431,70452753,,Military and warfare,vi
21,Chiến_tranh_thế_giới_thứ_nhất,13921,,182412,20230726042909,70485103,,Military and warfare,vi
22,Sự_kiện_Tết_Mậu_Thân,14210,,173400,20230705215713,70409829,,Military and warfare,vi
23,Chiến_tranh_biên_giới_Việt_Nam_–_Campuchia,15372,,142942,20230604113532,70080952,,Military and warfare,vi
24,Chiến_tranh_biên_giới_Việt–Trung_1979,15373,,218453,20230701074103,70394972,,Military and warfare,vi
27,Súng,25662,,75131,20230707124515,70416274,,Military and warfare,vi
28,Lực_lượng_vũ_trang,26881,,4153,20230614020644,70333671,,Military and warfare,vi
29,Cuộc_tấn_công_Iraq_2003,27387,,37074,20230722024105,70468612,,Military and warfare,vi
30,Chiến_tranh_Iraq,27812,,28384,20230106081421,69541177,,Military and warfare,vi
33,Chiến_tranh_Lạnh,30668,,207366,20230720143225,70463883,,Military and warfare,vi
34,Entente,30731,,12211,20230320142935,69797795,,Military and warfare,vi
35,Điện_báo_Zimmermann,30869,,4357,20230527132450,70043943,,Military and warfare,vi
36,Cơ_quan_Tình_báo_Trung_ương_(Hoa_Kỳ),31028,,35782,20230722171111,70471358,,Military and warfare,vi
37,Thuyết_domino,31277,,22269,20230726151835,70487645,,Military and warfare,vi
38,Trận_Poltava,31638,,54658,20221228153315,69483169,,Military and warfare,vi
39,Chiến_tranh_Kế_vị_Tây_Ban_Nha,31640,,77896,20230629050641,70387735,,Military and warfare,vi
40,Đại_chiến_Bắc_Âu,31675,,77970,20230105095156,69532992,,Military and warfare,vi
41,Adolf_Hitler,32049,,243118,20230717042403,70451488,,Military and warfare,vi
42,Tổng_tư_lệnh,32260,,2421,20221121121903,69337957,,Military and warfare,vi
43,Vũ_khí,32263,,35238,20230219052725,69693315,,Military and warfare,vi
44,Thượng_tá,33007,,3154,20230407121817,69855573,,Military and warfare,vi
45,Hải_quân,33578,,5260,20220418145652,68495297,,Military and warfare,vi
46,Công_binh,33579,,1054,20201229082527,64200841,,Military and warfare,vi
47,Không_quân,33583,,11142,20230115165803,69573362,,Military and warfare,vi
48,Lục_quân,33587,,14753,20230606155553,70091469,,Military and warfare,vi
49,Lực_lượng_Biên_phòng,33593,,1077,20220403040048,68391968,,Military and warfare,vi
