number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
2,Do_Thái_giáo,328009,,46974,20230602195638,70074430,,Philosophy and religion,vi
4,Đức_Mẹ_La_Mã_Bến_Tre,812248,,9486,20220723035955,68887975,,Philosophy and religion,vi
6,Ngôn_sứ,2353738,,2132,20230111083200,69560493,,Philosophy and religion,vi
7,Chủ_nghĩa_thế_tục,3211719,,6650,20230717081704,70451952,,Philosophy and religion,vi
8,Thánh_Mẫu,42272,,1773,20230719090559,70458769,,Philosophy and religion,vi
9,Vật_chất_(triết_học),456122,,10004,20221018041646,69204213,,Philosophy and religion,vi
12,Nhà_triết_học,28658,,1743,20220528065537,68657567,,Philosophy and religion,vi
13,Tôn_giáo_và_phá_thai,19497772,,26626,20230322170715,69805792,,Philosophy and religion,vi
14,Hiệu_ứng_pizza,18019020,,13918,20211224103453,67729583,,Philosophy and religion,vi
15,Hành_vi_học,2221725,,4547,20230512040713,69972273,,Philosophy and religion,vi
16,Công_đồng_Lateranô_III,1937843,,1703,20170820095954,29155082,,Philosophy and religion,vi
17,Immanuel_Kant,30992,,101772,20230620133655,70360240,,Philosophy and religion,vi
18,Nhất_nguyên,46010,,3849,20211129181427,67165793,,Philosophy and religion,vi
20,Lương_tâm,76509,,1946,20230309161054,69760349,,Philosophy and religion,vi
21,Đàn_áp_tôn_giáo,19498047,,13071,20210821125337,65661596,,Philosophy and religion,vi
22,Gandharva,2908585,,1898,20220405131303,68402116,,Philosophy and religion,vi
23,Thần,308567,,6356,20230718081829,70455315,,Philosophy and religion,vi
24,Tu_viện,803853,,5001,20220115103957,67952573,,Philosophy and religion,vi
25,Apeiron_(vũ_trụ_học),3394443,,4147,20200817225842,63276236,,Philosophy and religion,vi
26,Căn_phòng_tiếng_Trung_Quốc,3253795,,1707,20230115101006,69572258,,Philosophy and religion,vi
27,Ludwig_von_Mises,19526846,,5253,20211213191634,67513686,,Philosophy and religion,vi
28,Di_vật,19724242,,5924,20221120221834,69336023,,Philosophy and religion,vi
29,Giáo_điều,19586204,,5625,20230506025510,69952359,,Philosophy and religion,vi
30,Tu_sĩ,1301143,,4879,20220821071439,69021769,,Philosophy and religion,vi
31,Trần_Đức_Thảo,56515,,28575,20230320224649,69799274,,Philosophy and religion,vi
33,Các_tôn_giáo_khởi_nguồn_từ_Abraham,6782,,32742,20220804224218,68936720,,Philosophy and religion,vi
35,Jaegwon_Kim,1407046,,2687,20211214033718,67538007,,Philosophy and religion,vi
36,Thần_đạo,143986,,32109,20230331142328,69832979,,Philosophy and religion,vi
37,Sự_dung_hợp_tôn_giáo,19790071,,19760,20230606154813,70091415,,Philosophy and religion,vi
38,Nho_giáo,7031,,237064,20230629004012,70387002,,Philosophy and religion,vi
39,Công_đồng_Lateranô_II,1937841,,2608,20211013155357,66344134,,Philosophy and religion,vi
40,Mật_tông,6173,,15241,20230402165829,69840359,,Philosophy and religion,vi
41,Quảng_Cung_Công_chúa,3679117,,7311,20230613161927,70324285,,Philosophy and religion,vi
42,Chiến_tranh_tôn_giáo,7869534,,3522,20220504041334,68560265,,Philosophy and religion,vi
43,Chủ_nghĩa_thực_chứng_logic,19364276,,4325,20211010095127,66249534,,Philosophy and religion,vi
45,Thiền_tông_Việt_Nam,19686022,,3925,20220622101600,68759350,,Philosophy and religion,vi
46,Do_Thái_giáo_Hasidim,3144713,,3830,20211203014852,67245738,,Philosophy and religion,vi
