number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
10,Văn_hóa,4114,,58310,20230526043020,70035833,,Society,vi
11,Toàn_cầu_hóa,4314,,50487,20230605235408,70087258,,Society,vi
16,Đồng_tính_luyến_ái,5092,,270416,20230625102848,70375932,,Society,vi
22,Xã_hội,7497,,38336,20221030020047,69249140,,Society,vi
23,Họ,7657,,53949,20230619211209,70357759,,Society,vi
29,Gái_mại_dâm,9054,,58386,20230719172840,70459979,,Society,vi
30,Mại_dâm,9060,,198159,20230627123217,70382660,,Society,vi
39,Môi_trường,13055,,23787,20230527014221,70041488,,Society,vi
40,Hôn_nhân,13087,,39828,20230516013505,69985987,,Society,vi
45,Sức_khỏe,15183,,13670,20221023072402,69224765,,Society,vi
49,Mục_tiêu_giáo_dục,16204,,3015,20180109062459,36498562,,Society,vi
53,Béo_phì,16699,,11539,20230314142427,69776339,,Society,vi
58,Nhập_cư,18091,,1248,20210810121546,65393201,,Society,vi
66,Khoa_học_xã_hội,24215,,5010,20230630050858,70391205,,Society,vi
67,Xã_hội_dân_sự,24249,,23447,20230612062749,70184390,,Society,vi
69,Tình_yêu,24893,,70155,20230710003800,70425127,,Society,vi
76,Tính_cách,26272,,5711,20230507151211,69958405,,Society,vi
80,Khủng_bố,28912,,56227,20230606140338,70494187,,Society,vi
81,Quấy_rối_tình_dục,29029,,11354,20211216083657,67583244,,Society,vi
84,Công_nghệ_môi_trường,30228,,6703,20221114042240,69312900,,Society,vi
86,Ăn_thịt_đồng_loại,30965,,16545,20230612164509,70271022,,Society,vi
90,Hôn,32134,,6775,20230722120121,70470134,,Society,vi
92,Đấu_tranh_bất_bạo_động,32277,,16351,20220120113653,67989824,,Society,vi
98,Phản_động,36020,,11621,20230705113747,70408536,,Society,vi
99,Nhân_quyền,36048,,64033,20230726031755,70484646,,Society,vi
103,Cận_Đông_cổ_đại,37169,,22679,20230619032809,70354571,,Society,vi
109,Người_bất_đồng_chính_kiến,39085,,7809,20220826072937,69040526,,Society,vi
111,Quan_hệ_tình_dục,39135,,178044,20230430084240,69935126,,Society,vi
112,Giết_người,39239,,10384,20230714043108,70440829,,Society,vi
117,Tự_sát,40212,,100698,20230615065211,70340862,,Society,vi
118,Văn_minh_lúa_nước,40354,,26401,20220804231602,68939646,,Society,vi
121,Phong_kiến_(châu_Âu),41275,,8200,20230421074530,69907087,,Society,vi
131,Gian_dâm,46710,,6236,20230727173955,70493035,,Society,vi
134,Hiếp_dâm,47561,,25603,20230618153821,70352888,,Society,vi
136,Chủ_nghĩa_Sô_vanh,48165,,3515,20230407190856,69856923,,Society,vi
138,Chủ_nghĩa_xã_hội,48293,,69007,20230515131657,69984657,,Society,vi
143,Tệ_nạn_xã_hội,48772,,5049,20230507123415,69957956,,Society,vi
146,Môi_trường_xã_hội,50396,,1361,20230216143304,69684263,,Society,vi
149,Tầng_lớp_trung_lưu,51505,,17690,20211210124042,67487544,,Society,vi
153,Dân_tộc_(cộng_đồng),52300,,6875,20221106044812,69282311,,Society,vi
154,Ngoại_tình,52357,,11025,20230619020204,70354213,,Society,vi
155,Chung_thân,52727,,5617,20220611205307,68709332,,Society,vi
158,Chủ_nghĩa_dân_tộc,53590,,49275,20230721070203,70465814,,Society,vi
162,Công_đoàn,56469,,20969,20230331031355,69831359,,Society,vi
169,Tự_do_trên_thế_giới_(báo_cáo),59010,,34889,20220402145851,68389725,,Society,vi
174,Phân_biệt_chủng_tộc,62952,,52269,20230411155001,69871928,,Society,vi
177,Kinh_tế,64004,,39430,20230613122234,70295616,,Society,vi
190,Khế_ước_xã_hội,69913,,9996,20211017205805,66395125,,Society,vi
191,Phát_triển_bền_vững,71456,,21223,20230618082643,70351694,,Society,vi
193,An_sinh_xã_hội,72405,,23166,20221210123337,69401604,,Society,vi
196,Khủng_hoảng_hậu_hôn_nhân,75664,,1747,20211219111839,67616266,,Society,vi
207,Tù_nhân_chính_trị,80919,,5557,20230322173216,69805840,,Society,vi
208,Kinh_tế_học_môi_trường,82855,,16231,20230622022854,70365304,,Society,vi
225,Triết_học_xã_hội,92714,,1708,20200619183341,62504844,,Society,vi
229,Critical_Mass,95455,,7276,20230508164346,69961981,,Society,vi
235,Cộng_đồng,102122,,2063,20211101014129,66589415,,Society,vi
236,Chủ_nghĩa_cộng_đồng,102125,,4497,20221117055854,69323206,,Society,vi
237,Anh_hùng_Liên_Xô,102604,,18596,20230721162433,70467323,,Society,vi
256,Công_tác_xã_hội,121211,,11876,20230525060316,70030899,,Society,vi
257,Dân_chủ_trực_tiếp,124004,,22196,20230614185222,70339189,,Society,vi
261,Chính_trị_cực_tả,127978,,3491,20220913033037,69096815,,Society,vi
265,Assyria,129294,,86994,20230630073207,70391540,,Society,vi
266,Lệch_lạc_(xã_hội_học),132824,,31454,20221229135843,69487152,,Society,vi
268,Lý_thuyết_gán_nhãn_hiệu,134260,,15224,20230502024901,69940439,,Society,vi
269,Tội_phạm_có_tổ_chức,134270,,6358,20220922135322,69126577,,Society,vi
273,Xã_hội_hóa_(xã_hội_học),138395,,20506,20211013162307,66345072,,Society,vi
