number,title,pageid,namespace,length,touched,last_revision,langs_count,category,wiki_lang
1,Phòng_tiếp_khách,825810,,5119,20211110123526,66827194,,Visual arts,vi
2,Kỹ_thuật_hạ_tầng_đô_thị,101591,,822,20170320091253,26342289,,Visual arts,vi
3,Máy_ảnh,76870,,15559,20230306153854,69749683,,Visual arts,vi
5,Lễ_hội_Băng_đăng_Quốc_tế_Cáp_Nhĩ_Tân,874601,,8694,20210826115915,65810603,,Visual arts,vi
7,"Nhà_thờ_Thánh_Margaret,_Westminster",788025,,3643,20230604100150,70080507,,Visual arts,vi
8,Đức_Mẹ_Sầu_Thương,19428385,,1470,20200803183009,63161849,,Visual arts,vi
10,Bảo_tàng_Pergamon,1440826,,1255,20230603012428,70074791,,Visual arts,vi
11,Mỹ_thuật_nguyên_thủy_và_cổ_đại,7459,,5436,20190323042045,50952535,,Visual arts,vi
14,Mỹ_thuật,7698,,5435,20230726045704,70485302,,Visual arts,vi
15,Tranh_giấy_xoắn,251189,,7210,20210812011428,65416349,,Visual arts,vi
17,Azumi,387556,,8531,20221115032510,69316242,,Visual arts,vi
22,Bảo_tàng_Orsay,93807,,38054,20230506101514,69954098,,Visual arts,vi
26,Kunsthal,1585351,,2617,20211219185236,67632541,,Visual arts,vi
27,Túi_mua_sắm_có_thể_tái_sử_dụng,19478903,,3673,20210807105144,65358781,,Visual arts,vi
31,Cửa_hàng_trang_sức,19791819,,1224,20230315154644,69779999,,Visual arts,vi
32,Ma_nơ_canh,19480231,,3002,20220917135852,69110600,,Visual arts,vi
33,Thiết_kế_môi_trường,19803105,,4514,20230607020455,70092844,,Visual arts,vi
34,Chicago_Spire,589437,,2738,20220805124109,68943488,,Visual arts,vi
35,Gambit_(truyện_tranh),66070,,5926,20190614143426,54070149,,Visual arts,vi
36,Autostereogram,293934,,7476,20221228141655,69482885,,Visual arts,vi
42,"Hellmuth,_Obata_&_Kassabaum",28094,,1925,20220313163845,68276890,,Visual arts,vi
49,Đại_đô_thị,774346,,7398,20230714005126,70440247,,Visual arts,vi
51,Nhà_thờ_Hồi_giáo_Sultan_Ahmed,505515,,5204,20211121193540,67105816,,Visual arts,vi
54,Nhiếp_ảnh_ý_niệm,825354,,5736,20210516052441,64911606,,Visual arts,vi
55,Mực_(in_viết),2360415,,1780,20221231185332,69494236,,Visual arts,vi
56,Đất_sét_Nhật_Bản,3643200,,5069,20200820181648,63502785,,Visual arts,vi
60,Mutō_Yūgi,107509,,20377,20220315011318,68284921,,Visual arts,vi
66,Đền_thờ_hang_động_Badami,3402924,,4273,20210819120102,65586014,,Visual arts,vi
74,Bảo_tàng_Quốc_gia_Luân_Đôn,3680199,,43151,20220621163959,68757117,,Visual arts,vi
76,Gottfried_Semper,28802,,2357,20211214031842,67537091,,Visual arts,vi
77,The_Anguished_Man,19587602,,2731,20210510033457,64883658,,Visual arts,vi
82,Sanchi,76758,,6354,20230325074727,69813477,,Visual arts,vi
83,Lâu_đài_Frederiksborg,2423098,,6274,20230105072414,69531933,,Visual arts,vi
