"number","title","pageid","namespace","length","touched"
"1","Ngerak_Florencio","46723233","","1107","20230522194316"
"2","Mario-Philippe_Losembe","54306622","","8753","20230624135328"
"3","Olivier_Megaton","28372980","","7239","20230612171237"
"4","Jen_and_Sylvia_Soska","32595745","","16392","20230615203311"
"5","Yuka_Ebihara","54576698","","11808","20230605122025"
"6","Jack_Lee_(rugby_league)","22762283","","2179","20220210072240"
"7","Fabian_Bredlow","43974094","","3455","20230519070210"
"8","Kathrin_Anders","72868990","","3571","20230613023743"
"9","Robbie_Howard","61280925","","8224","20230404042007"
"10","Dragan_Lakićević","36894375","","7164","20221116115835"
"11","Chang_Hyuk-jin","31887064","","4776","20230519211343"
"12","Anthi_Papakonstantinou","63716335","","2655","20230618062831"
"13","Candela_Andújar","55989933","","10171","20230404205000"
"14","Per_Olof_Berg","42505166","","5594","20230122134159"
"15","Takahiko_Yamamura","54814894","","1662","20230522175623"
"16","Beaumont_Hannant","7338292","","4247","20230308134743"
"17","Patrick_Grove","28233895","","21491","20230510083347"
"18","Torben_Knudsen","56000204","","1575","20210108063218"
"19","Jelko_Kacin","1473715","","3978","20210327143918"
"20","Andreas_Altmann","50693975","","2285","20230513005149"
"21","Maw-Kuen_Wu","36605101","","7509","20230402085558"
"22","Walter_Veltroni","1486197","","24069","20230605100525"
"23","Vasil_Varlamos","22380462","","1634","20230507071825"
"24","Nicholas_Mann_(occult_writer)","14234685","","3693","20210604144100"
"25","Tommy_Boyd","621360","","9478","20230607193908"
"26","Andrey_Svintsov","70851081","","4008","20230208133600"
"27","Eljero_Elia","7815735","","226460","20230625111520"
"28","Samson_Pruidze","59730903","","6046","20230517113312"
"29","Kamui_Kobayashi","9537340","","93728","20230702213650"
"30","Jack_Buckby","42655112","","11153","20230318185240"
"31","Maureen_Staal","56569649","","1626","20200501094429"
"32","Terry_Dance","47688696","","1901","20230509050647"
"33","Gerald_Cassidy_(lobbyist)","9856112","","3552","20230403044349"
"34","Amanda_Oliveira","16973645","","2029","20230525195156"
"35","Diederik_Jekel","67106963","","8254","20230509192636"
"36","Pedro_Beltrán_(footballer)","48258707","","1900","20230602051733"
"37","Paolo_Zampolli","24155688","","8800","20230415185325"
"38","Ratgar","26167369","","6382","20221025184852"
"39","Norm_Letnick","22784987","","21099","20230120061437"
"40","Marilyn_Lane","41125777","","10451","20221223020308"
"41","Michel_Boudrias","48308716","","5067","20230124222511"
"42","Gian_Pyres","2489682","","4484","20230502232607"
"43","Ram_Hari_Khatiwada","72593819","","1527","20230422234826"
"44","Piotr_Moszczynski","67582668","","1924","20230525191108"
"45","Carlos_Tábora","58379856","","7712","20230517152715"
"46","Wang_Quanshu","14595705","","2751","20220714084629"
"47","Yang_Fangxu","42790447","","3434","20230620151229"
"48","Nick_Shinn","7402310","","2424","20210330142556"
"49","Andy_Greenwald","3420968","","7549","20221214213737"
"50","Clarence_Munyai","51407250","","8406","20230602234910"
"51","Alessandro_de_Souza_Ferreira","68352745","","2259","20230525040150"
"52","Kitty_Crimes","60192554","","4785","20230430150807"
"53","John_Hutton_(cricketer)","68440308","","4781","20230529062926"
"54","Stefan_Bernhard","23974284","","6946","20230218164751"
"55","Tomoharu_Saitou","20599989","","15481","20230311140812"
"56","Karen_LeGresley","52400553","","1534","20230525091751"
"57","Daniel_Tai","51929919","","16706","20220825133045"
"58","Ekene_Emeka_Maduka","67054267","","7483","20220202220637"
"59","Aamir_Ali_(cricketer)","62399730","","2494","20221222112408"
"60","Ilija_Babić","66845130","","3131","20230701194335"
"61","Ivan_Petryak","33505969","","6571","20230630210404"
"62","Kangabam_Tomba","67609944","","6598","20230407120001"
"63","Gil_Nelson","35823345","","3039","20191002133529"
"64","James_Finnegan_(poet)","61029902","","7060","20230619231613"
"65","Zamzamin_Ampatuan","21573259","","4937","20230701140008"
"66","Mark_S._Komrad","44371756","","11788","20211231022407"
"67","Brian_Meehan","57786910","","2287","20230611144710"
"68","Kishorechandra_Wangkhem","67705447","","8197","20230508140755"
"69","Kim_Se-hee","63861807","","7269","20230524173547"
"70","Hiroto_Iwabuchi","71304665","","7574","20230518091144"
"71","Ed_Waterstreet","2915410","","1945","20230613142614"
"72","Eucharia_Okwunna","63867643","","3577","20230320124506"
"73","List_of_sovereign_states_and_dependent_territories_by_mortality_rate","2721921","","24048","20230310173938"
"74","Dianna_Hutts_Aston","57004808","","4426","20210125174153"
"75","Reynol_Junco","32586550","","12440","20230218161803"
"76","Sergi_Escobar_(cyclist)","12935809","","5250","20230523165428"
"77","Gordon_Buynak","22530714","","4990","20230330142509"
"78","Mark_Riddick","11190300","","3202","20221220134336"
"79","Rosemary_Aubert","39948169","","3383","20230121001114"
"80","Gary_Cahill_(hurler)","43174013","","4897","20201206130556"
"81","Jeff_Ulbrich","3343200","","9804","20230627035127"
"82","Ruslan_Mukhametshin","24448616","","3876","20230518145150"
"83","Shoaib_Mohammad","2448426","","5788","20230106190246"
"84","Gustav_Rydahl","37776662","","10445","20230612030527"
"85","Gerald_Mattinson","62319940","","11890","20221010033325"
"86","Serdal_Güvenç","13951838","","2406","20230522014136"
"87","Creep_(band)","43390889","","6975","20230326140725"
"88","Stephen_Murray_(BMX_rider)","13828213","","5695","20230207160841"
"89","Oana_Paveluc","28218952","","2591","20230603200839"
"90","Daniel_Sea","4396783","","12670","20230616091703"
"91","Amol_Jungade","48255046","","1394","20191220204241"
"92","Jan-Erik_Silfverberg","57684916","","1572","20211022102202"
"93","Wan_Exiang","8202353","","6607","20230530211050"
"94","Ayewoubo_Akomatsri","59562809","","1410","20230523090409"
"95","Craig_Hawkins","62135056","","1396","20220409001336"
"96","Manoranjan_Halder","55489756","","2126","20230205183835"
"97","Lixa_(footballer)","74117432","","3843","20230624070004"
"98","Tan_Zongliang","13322530","","4266","20230525023224"
"99","Ko_Ok-ran","64459499","","1088","20230524014251"
"100","Stanlee_Ohikhuare","68746108","","8694","20230306033957"
"101","László_Régi","41610325","","1779","20230524040353"
"102","Reiko_Chiba","1497672","","5902","20230220154714"
"103","Nasser_Al-Ghannam","54772096","","4682","20230511063115"
"104","Petar_Popović_(basketball,_born_1959)","54851421","","5526","20220405235309"
"105","Gabe_Dixon","8666752","","7340","20230502141606"
"106","Odette_Ntahonvukiye","36636144","","1134","20230524144326"
"107","Greg_Peterson_(Canadian_football)","18744393","","4283","20230216024433"
"108","Dhaffer_L'Abidine","11084640","","4959","20230516234037"
"109","Michel_Diouf","64734593","","4271","20230522220648"
"110","Dumitru_Bețiu","21178513","","1761","20230429052028"
"111","Yu_Tsai","21275517","","5257","20230518172000"
"112","Darryll_Lewis","3611411","","4831","20230626233158"
"113","Rick_Dantzler","17308150","","27048","20230201203300"
"114","Don_Tatro","69247220","","3882","20230225192943"
"115","Steve_Pederson","20649001","","14590","20220820213447"
"116","Carol_Joyce","24899336","","924","20230523110830"
"117","Shea_Emry","21759013","","4662","20230611043546"
"118","Barbara_Hernandez","60206707","","11913","20230701033432"
"119","Jeff_Russell","2803232","","8765","20230508093939"
"120","Friedrich_Strasser","31974068","","934","20220513031142"
"121","Felix_Ogong","68716308","","3454","20230209152153"
"122","Santiago_de_Ávila","67269240","","2503","20230516231232"
"123","Alexis_Danelón","17694959","","2164","20230530090412"
"124","Donald_Brockett","41611101","","3597","20220425223340"
"125","Cathy_Chedal","35563146","","831","20230522074755"
"126","James_Cowan_(English_cricketer)","61313877","","4137","20230528061848"
"127","Hans_Gut","42091712","","2050","20230525014719"
"128","Denis_Betts","2522121","","16563","20230429124829"
"129","Zac_Millar","62381244","","2232","20220507142649"
"130","Ben_George","38820987","","6704","20230526204933"
"131","Kim_Yong-mi_(cyclist)","46241178","","3293","20230523164851"
"132","Sami_Uotila_(actor)","12416686","","2793","20230615203842"
"133","Guillaume_Vuilletet","54427378","","10492","20220817042302"
"134","John_Susman","26679057","","6827","20220221053120"
"135","Élisabeth_Moreno","64483493","","6007","20230627182615"
"136","Tong_Kin_Man","50904190","","9274","20230519133030"
"137","John_Barber_(basketball)","13156474","","2364","20220710111250"
