"number","title","pageid","namespace","length","touched"
"1","Albedo","39","","64210","20230625155404"
"2","Alchemy","573","","111255","20230622195358"
"3","Alkane","639","","74120","20230628170356"
"4","Acid","656","","47693","20230531212620"
"5","Bitumen","657","","94084","20230625023033"
"6","Alkali_metal","666","","217548","20230628113525"
"7","Atomic_number","673","","14339","20230629211311"
"8","Mouthwash","782","","65747","20230612082242"
"9","Alfred_Nobel","851","","35462","20230628151950"
"10","Argon","896","","39712","20230217174603"
"11","Arsenic","897","","129039","20230624153644"
"12","Antimony","898","","58492","20230525144908"
"13","Actinium","899","","41755","20230411030303"
"14","Americium","900","","77160","20230523144452"
"15","Astatine","901","","82049","20230628003000"
"16","Atom","902","","126778","20230624064208"
"17","Aluminium","904","","139745","20230630182032"
"18","Abdul_Alhazred","972","","483","20230619011306"
"19","Alcohol_(chemistry)","1014","","34138","20230624204615"
"20","Alloy","1187","","39780","20230218065655"
"21","Atomic_physics","1200","","9423","20230612063828"
"22","Atomic_orbital","1206","","83599","20230614205627"
"23","Amino_acid","1207","","107469","20230703214605"
"24","Acoustic_theory","1234","","11785","20210719002250"
"25","Alpha_decay","1267","","19192","20230511121122"
"26","Aromatic_compound","1313","","12381","20230513002815"
"27","Ammonia","1365","","142289","20230701020419"
"28","Ambrosia","1369","","12568","20230630134037"
"29","Amber","1372","","60730","20230608180755"
"30","Alabaster","1387","","31625","20230619020237"
"31","Amine","1412","","32736","20230627064222"
"32","Absolute_zero","1418","","39925","20230621121821"
"33","Adiabatic_process","1419","","41968","20230528220204"
"34","Amide","1422","","21988","20230524075632"
"35","Acacia_sensu_lato","1445","","37731","20230610131622"
"36","Aspirin","1525","","158393","20230615154803"
"37","Albertus_Magnus","1573","","46336","20230625124459"
"38","Aloe","1650","","23185","20230608200604"
"39","Ambergris","1697","","22510","20230608014655"
"40","Acetylene","1778","","43467","20230407185950"
"41","Adenosine_triphosphate","1800","","43919","20230703205635"
"42","Antibiotic","1805","","143442","20230630081740"
"43","Antoine_Lavoisier","1822","","77312","20230616210126"
"44","Allotropy","1839","","23373","20230320095609"
"45","Archimedes","1844","","102250","20230701022500"
"46","Agarose_gel_electrophoresis","1910","","34512","20230311040537"
"47","Ampicillin","1912","","34357","20230622224259"
"48","Antigen","1915","","20418","20230526142446"
"49","Andrew_Carnegie","1938","","116993","20230625102601"
"50","Aliphatic_compound","2120","","5058","20230331143416"
"51","Ark_of_the_Covenant","2134","","51398","20230620222329"
"52","Chemistry_of_ascorbic_acid","2268","","25373","20230419073554"
"53","Actinide","2308","","126592","20230701033830"
"54","Abbe_number","2330","","8149","20230331223559"
"55","Alkaloid","2341","","68607","20230527220237"
"56","Antibody","2362","","103193","20230515221006"
"57","Auger_effect","2389","","5212","20230619125407"
"58","Anode","2392","","20326","20230608150545"
"59","Analytical_chemistry","2408","","32343","20221009164901"
"60","Apoptosis","2457","","92051","20230603145941"
"61","Abacá","2473","","37268","20230602065739"
"62","Adenylyl_cyclase","2528","","22996","20230413094029"
"63","Agent_Orange","2547","","146738","20230625004153"
"64","Agarose","2635","","19853","20230501161319"
"65","Atomic_absorption_spectroscopy","2637","","32643","20230301122424"
"66","Aberration_(astronomy)","2703","","60606","20230522181556"
"67","Aspartame","2752","","54209","20230702060031"
"68","Alkene","2761","","38873","20230609175728"
"69","Allenes","2762","","37908","20230630195810"
"70","Ames_test","2766","","19204","20220328173541"
"71","ACE_inhibitor","2767","","63472","20230516234127"
"72","Anatomical_Therapeutic_Chemical_Classification_System","2770","","14636","20230409154122"
"73","Aerodynamics","2819","","41118","20230628195444"
"74","Ash","2822","","4483","20230626011042"
"75","Acrylic_paint","2838","","32688","20230630223025"
"76","Plum_pudding_model","2840","","13707","20230607112358"
"77","Atomic_theory","2844","","56268","20230624224312"
"78","Ammeter","2866","","19070","20230608231642"
"79","Amoxicillin","2885","","39976","20230625150215"
"80","Amorphous_solid","2889","","22857","20230623010008"
"81","Alkali","2955","","7113","20221124151107"
"82","Convex_uniform_honeycomb","2961","","68903","20230316225703"
"83","Acid–base_reaction","3038","","36042","20230619024259"
"84","Atom_probe","3211","","32422","20221013114624"
"85","Amygdalin","3252","","33247","20230624125306"
"86","Agar","3262","","30574","20230623094104"
"87","Acid_rain","3263","","74916","20230630094529"
"88","Antioxidant","3277","","99662","20230609132425"
"89","Brass","3292","","66316","20230630104051"
"90","Boron_nitride","3370","","63000","20230623091429"
"91","Beryllium","3378","","92167","20230622230608"
"92","Boron","3755","","109068","20230621210059"
"93","Bromine","3756","","65963","20230701190540"
"94","Barium","3757","","34577","20230619115224"
"95","Berkelium","3758","","62473","20230411030519"
"96","Biochemistry","3954","","55916","20230625022407"
"97","Biopolymer","3974","","24581","20230516202526"
"98","Bicarbonate","3982","","13218","20230623021637"
"99","Basel_Convention","4012","","22394","20230603133607"
"100","Blaise_Pascal","4068","","54326","20230622111843"
"101","Benzoic_acid","4106","","28471","20230609123858"
"102","Bioleaching","4111","","18183","20230615013729"
"103","Boiling_point","4115","","18354","20230622133226"
"104","Bronze","4169","","37300","20230630104005"
"105","Bohrium","4194","","27060","20230616125424"
"106","Base_pair","4292","","31003","20230604065036"
"107","Brewing","4410","","110551","20230413132453"
"108","Brownian_motion","4436","","53980","20230611223842"
"109","Bacterial_conjugation","4460","","22206","20230424011113"
"110","Bose–Einstein_condensate","4474","","80524","20230628035002"
"111","Beer–Lambert_law","4476","","33226","20230703142942"
"112","Beta_decay","4651","","59234","20230627135838"
"113","Branch_Davidians","4778","","34339","20230701035444"
"114","Benzodiazepine","4781","","160892","20230620201329"
"115","Biological_membrane","4817","","19071","20230226182204"
"116","Bohr_model","4831","","65765","20230324143413"
"117","Blood_alcohol_content","4845","","58130","20230626194403"
"118","Background_radiation","4882","","53903","20230703033009"
"119","Bacardi","4921","","31058","20230630184839"
"120","Zebrafish","5009","","104598","20230625155102"
"121","Chemistry","5180","","78581","20230703172133"
"122","Carbon","5299","","98605","20230619052126"
"123","Chemical_equilibrium","5306","","44659","20230501152710"
"124","Carbon_nanotube","5320","","119163","20230628000843"
"125","Colloid","5346","","42754","20230621210517"
"126","Concrete","5371","","134490","20230622224915"
"127","Condensed_matter_physics","5387","","61181","20230614210110"
"128","Chemist","5636","","17516","20230615041001"
"129","Combustion","5638","","51102","20230628025850"
"130","Chemical_element","5659","","69356","20230701122909"
"131","Chlorine","5667","","108254","20230619112144"
"132","Calcium","5668","","47417","20230608115211"
"133","Chromium","5669","","103178","20230626231127"
"134","Cadmium","5672","","65786","20230518153526"
"135","Curium","5675","","66730","20230703114942"
"136","Californium","5676","","44683","20230527171610"
"137","Caesium","5879","","89013","20230621164825"
"138","Chalcogen","5905","","72715","20230503063940"
"139","Carbon_dioxide","5906","","110151","20230628122324"
"140","Cyanide","5910","","34850","20230527181644"
"141","Catalysis","5914","","43993","20230701103800"
"142","Catalyst","5915","","136","20230201141511"
"143","Cycling","5931","","88293","20230611123314"
"144","Carbohydrate","5932","","55928","20230630091326"
"145","Chemical_thermodynamics","5936","","21882","20230209212936"
"146","Compost","5966","","68613","20230625114856"
"147","Corundum","5974","","17373","20230531073437"
"148","Carbon_sink","5980","","28096","20230611221459"
"149","Coal","5987","","136897","20230605182605"
"150","Chemical_bond","5993","","39838","20230523175826"
"151","Crystal","6015","","29673","20230618060043"
"152","Cytosine","6016","","10144","20220809124023"
"153","Computational_chemistry","6019","","39731","20230618000217"
"154","Cahn–Ingold–Prelog_priority_rules","6034","","26345","20230615105405"
"155","Chemical_engineering","6038","","22392","20230628131502"
"156","Critical_temperature","6043","","97","20220818053515"
"157","CNO_cycle","6061","","36100","20230605030810"
"158","Carboxylic_acid","6099","","23258","20230616072701"
"159","Chemical_vapor_deposition","6111","","41914","20230616083330"
"160","Carbon_monoxide","6136","","77393","20230616045723"
"161","Covalent_bond","6246","","28183","20230614055640"
"162","Condensation_polymer","6247","","5741","20230108033020"
"163","Chemical_reaction","6271","","66218","20230701015335"
"164","Air_(classical_element)","6315","","11028","20230617004415"
"165","Chromatography","6329","","60248","20230605201159"
"166","Cell_biology","6339","","41867","20230628054349"
"167","Chloramphenicol","6346","","45525","20230623173050"
"168","Chloroplast","6355","","197872","20230608142514"
"169","Calorie","6423","","23976","20230703072645"
"170","Cholesterol","6437","","79121","20230701081442"
"171","Carcinogen","6445","","46858","20230621022933"
"172","Coca-Cola","6690","","147073","20230625231949"
"173","Citric_acid_cycle","6818","","55854","20230702124858"
"174","Carl_Sagan","6824","","155449","20230701031800"
"175","Reaction_kinetics_in_uniform_supersonic_flow","6839","","5028","20230407005129"
"176","Caffeine","6868","","197693","20230624181912"
"177","Outline_of_chemistry","6896","","33568","20230521130804"
"178","Cloning","6910","","104959","20230526192641"
"179","Cellulose","6911","","51280","20230619222447"
"180","Chromatin","6933","","55777","20230611213142"
"181","Cathode_ray","6943","","19855","20230519155420"
"182","Cathode","6944","","24124","20230603043349"
"183","Carbamazepine","6949","","33088","20230601054408"
"184","Conservation_law","6956","","19437","20230630145911"
"185","Cell_Cycle","6979","","3641","20230425230717"
"186","Chlorophyll","6985","","34651","20230427065326"
"187","Carotene","6986","","23233","20230321172922"
"188","Cyclic_adenosine_monophosphate","6988","","16461","20230430152843"
"189","Crookes_radiometer","7021","","21710","20230319011449"
"190","Chemical_formula","7043","","25712","20230522085225"
"191","Cryogenics","7176","","17865","20230330082144"
"192","Chemical_affinity","7225","","11982","20230323141450"
"193","Cardiac_glycoside","7296","","17341","20230624135036"
"194","Coordination_complex","7304","","58591","20230620002834"
"195","Complementary_DNA","7330","","18805","20230623120050"
"196","Chemotaxis","7403","","65486","20230602135128"
"197","Chalcolithic","7446","","28137","20230703173816"
"198","Cold_fusion","7463","","146746","20230630204406"
"199","Coal_tar","7466","","36114","20230615133917"
"200","Cross_section_(physics)","7480","","36707","20230531123947"
"201","RDX","7499","","57898","20230627034148"
"202","Concentration","7512","","10107","20230506133350"
"203","Calorimetry","7522","","32235","20230114033653"
"204","Cocaine","7701","","166206","20230623164515"
"205","Carbide","7739","","14710","20230429034211"
"206","Crystallography","7794","","26903","20230618121850"
"207","Cavitation","7807","","73214","20230422111320"
"208","Chain_reaction","7834","","17339","20230625192506"
"209","Crystallographic_defect","7849","","20221","20230313003404"
"210","Diatomic_molecule","7938","","20382","20230511033436"
"211","DNA","7955","","168893","20230628062615"
"212","Diamond","8082","","128873","20230630080151"
"213","Dysprosium","8102","","35206","20230414193628"
"214","Dye","8179","","23650","20230508162248"
"215","Timeline_of_chemical_element_discoveries","8200","","103969","20230608221504"
"216","Death","8221","","113267","20230704012015"
"217","Dissociation_constant","8263","","18091","20230530065152"
"218","Dimensional_analysis","8267","","96935","20230701133449"
"219","Distillation","8301","","68214","20230702123156"
"220","Denaturation_(biochemistry)","8456","","30884","20230103092627"
"221","Dubnium","8463","","50423","20230512091847"
"222","Disaccharide","8464","","10298","20230410085829"
"223","DDT","8494","","126126","20230625044108"
"224","Deuterium","8524","","71025","20230621211007"
"225","Damascus_steel","8593","","35238","20230531003919"
"226","Diffraction","8603","","48698","20230702091624"
"227","Molecular_diffusion","8643","","16074","20230327071751"
"228","DNA_ligase","8697","","23562","20230110223043"
"229","N,N-Dimethyltryptamine","8748","","135868","20230703224345"
"230","DNA_virus","8777","","25423","20230130122734"
"231","Dehydroepiandrosterone","8807","","43125","20230430181508"
"232","DNA_replication","9015","","57817","20230614180526"
"233","Enzyme","9257","","96256","20230627211543"
"234","Ether","9263","","18519","20230603202334"
"235","Electromagnetic_radiation","9426","","81919","20230703203319"
"236","Electron","9476","","155225","20230618103705"
"237","Europium","9477","","43941","20230424082356"
"238","Erbium","9478","","31382","20230531071603"
"239","Einsteinium","9479","","69738","20230628083736"
"240","Electronvolt","9598","","19993","20221230145648"
"241","Electrochemistry","9601","","63460","20230620142245"
"242","Ernest_Rutherford","9603","","54169","20230703222205"
"243","Ecology","9630","","211590","20230623125503"
"244","European_Environment_Agency","9644","","16386","20230624063047"
"245","Ester","9675","","40218","20230606060323"
"246","Erosion","9696","","62598","20230628085748"
"247","Electronegativity","9707","","36255","20230413155025"
"248","Electron_microscope","9730","","36200","20230625200824"
"249","Electric_charge","9804","","40827","20230703175209"
"250","Ethylene","9837","","28241","20230701104840"
"251","Electron_counting","9890","","10318","20221231055915"
"252","Entropy","9891","","113126","20230702164318"
"253","Equation_of_state","9908","","37316","20230626195116"
"254","Endomembrane_system","9927","","41769","20230406204534"
"255","Erwin_Schrödinger","9942","","56562","20230703101241"
"256","Episome","9944","","4282","20230219030539"
"257","Nitrox","9955","","59599","20230501061338"
"258","Electrode","10008","","40200","20230528014638"
"259","Ethanol","10048","","107040","20230629164048"
"260","Empirical_formula","10065","","4288","20221231092710"
"261","Erythromycin","10090","","38976","20230308172527"
"262","Endocytosis","10116","","25183","20230526054912"
"263","Explosive","10192","","74449","20230607061445"
"264","Exothermic_process","10201","","7607","20230131095932"
"265","Exon","10238","","13489","20230323060517"
"266","Enrico_Fermi","10264","","98128","20230701141302"
"267","Enthalpy","10274","","43883","20230428213206"
"268","Emulsion","10290","","36860","20230616151319"
"269","Evaporation","10303","","14583","20230603201157"
"270","Electrochemical_cell","10339","","18040","20230630132218"
"271","Endothermic_process","10356","","6510","20230612142337"
"272","Flagellate","10585","","11758","20230315054716"
"273","Friedrich_Wöhler","10777","","27975","20230424213206"
"274","Francium","10821","","36192","20230614161105"
"275","Fermium","10822","","32656","20230305211823"
"276","Felix_Bloch","10896","","17633","20230602140517"
"277","Functional_group","10911","","31462","20230620115030"
"278","Fluid","10915","","9381","20221127032022"
"279","Fatty_acid","10975","","54997","20230621092412"
"280","Fluid_dynamics","11034","","36888","20230606143146"
"281","Fat","11042","","137218","20230620202020"
"282","Forge","11057","","16951","20230407173338"
"283","Friction","11062","","73766","20230626120322"
"284","Fresco","11144","","42007","20230624025526"
"285","Fire","11145","","41837","20230628143702"
"286","Flatulence","11240","","53692","20230623102922"
"287","Francis_Bacon","11319","","88515","20230626010215"
"288","Francis_Crick","11461","","112292","20230704002508"
"289","August_Kekulé","11469","","21028","20230614210105"
"290","Fallout_shelter","11493","","42753","20230629142612"
"291","Frederick_Abel","11552","","10970","20230428155021"
"292","Fluorescence","11555","","93893","20230626021540"
"293","Feynman_diagram","11617","","93150","20230614210222"
"294","Filtration","11665","","24372","20230703082149"
"295","Fick's_laws_of_diffusion","11671","","51914","20230530183420"
"296","Facilitated_diffusion","11712","","14882","20221026150039"
"297","Fuel_cell","11729","","136530","20230626162929"
"298","Field_ion_microscope","11774","","7852","20220113110626"
"299","Frederick_Soddy","11778","","23242","20230617212607"
"300","Ferromagnetism","11807","","33573","20230614210225"
"301","Food_additive","11815","","25732","20230409225306"
"302","Gold","12240","","142787","20230629155138"
"303","Gallium","12241","","72220","20230616151450"
"304","Germanium","12242","","68976","20230621211533"
"305","Gadolinium","12243","","42022","20230523174429"
"306","Gustav_Kirchhoff","12332","","18995","20230527144252"
"307","Genetically_modified_organism","12339","","223380","20230607170134"
"308","Genetic_engineering","12383","","136622","20230628065547"
"309","Genetic_code","12385","","74371","20230607232305"
"310","Greenhouse_effect","12395","","111168","20230702205220"
"311","Guanine","12439","","15431","20230702180246"
"312","Cis–trans_isomerism","12528","","15969","20230526001718"
"313","Glass","12581","","90770","20230620063941"
"314","Gel_electrophoresis","12582","","43448","20230623070452"
"315","Glycolysis","12644","","82925","20230622161315"
"316","Griffith's_experiment","12718","","5876","20230309105836"
