"number","title","pageid","namespace","length","touched"
"1","Square_Deal","1641088","","10768","20220521184921"
"2","Historie_ergoterapie_v_Česku","1493307","","4420","20221004220138"
"3","Pastva","456063","","1924","20210808143827"
"4","Profesia","389081","","3659","20211101162449"
"5","Hmotnost_tisíce_semen","489898","","1346","20181223154348"
"6","Josef_Zavadil","1731385","","10324","20221125080744"
"7","Kugar","159820","","938","20190622031512"
"8","SIPO","342184","","3718","20230217185145"
"9","SAP_R/3","18426","","7216","20221212090949"
"10","Podnikový_software","1433804","","1140","20210808145643"
"11","Swarovski","609957","","3427","20210803095132"
"12","Plný_pracovní_úvazek","655794","","1510","20200917073349"
"13","Pracovní_etiketa","1846555","","12976","20230526101726"
"14","Lidská_ekologie","144499","","3020","20210604153106"
"15","Pracovní_sobota","210717","","4560","20211207210447"
"16","Asociace_pro_elektronickou_komerci","829958","","2754","20221219145930"
"17","Diverzifikace","241326","","3604","20201127095200"
"18","Česká_manažerská_asociace","1327811","","18740","20230705171143"
"19","IPC_(elektronika)","1516657","","5264","20211103084327"
"20","Manažer_štěstí","1276122","","5133","20230502214837"
"21","Diverzifikace_průmyslu","1812174","","4455","20230527143738"
"22","Startup","710324","","13630","20221214215154"
"23","Výkaz_zisku_a_ztráty","181004","","21657","20230326140811"
"24","Retino","1518388","","4598","20230626220220"
"25","Kádrová_politika_KSČ","900029","","7454","20230126223500"
"26","Textilní_průmysl_v_Číně","1765453","","14998","20230702101614"
"27","Úvěrová_expanze","598953","","1425","20130716124222"
"28","Worldee","1618243","","2915","20220821204456"
"29","Vinice","235499","","5311","20200608115445"
"30","SummerJob","1513712","","1372","20200307144529"
"31","Konsolidace_úvěrů","836700","","8078","20221128124901"
"32","Kopaničářství","889110","","1580","20221025113050"
"33","Association_for_Vertical_Farming","1636505","","4739","20210723090329"
"34","Igm_Robotersysteme","1506943","","4244","20211119092635"
"35","Komoditní_burzovnictví","1106757","","5649","20210517212645"
"36","Ekonomika_Nepálu","1640272","","11660","20221004203432"
"37","Hydroponie","51186","","10529","20230625131618"
"38","Předvaha","310636","","1628","20210606203649"
"39","Kariérové_poradenství","610463","","2823","20230118080508"
"40","Štefan_Oľha","1200742","","3554","20221129083822"
"41","Trhová_obec","1620519","","1469","20210810183904"
"42","Převzetí_podniku","1101906","","6051","20210802120419"
"43","František_Malota","945423","","8226","20221128091650"
"44","Úrok","193979","","17831","20230619071459"
"45","Účetní_zásady","316244","","4706","20170513215632"
"46","Hodinový_manžel","583860","","1278","20220720134748"
"47","Zaibacu","387012","","2479","20220311081244"
"48","Budovatel","216512","","7497","20210113165644"
"49","Obchod_s_lidmi","778108","","12986","20230106211434"
"50","Laura_(software)","1658259","","6662","20221020205304"
"51","Evropské_spotřebitelské_centrum","497634","","6040","20220105142148"
"52","Místní_výměnný_obchodní_systém","779665","","5236","20220722180151"
"53","Ekonomika_Ghany","1640445","","24181","20221122225955"
"54","Ekonomie_práce","1615793","","1576","20221115065143"
"55","Železný_dobytek","21424","","2828","20210704092059"
"56","Dr._Oetker","636134","","11814","20220814095620"
"57","Speciální_ekonomická_zóna","367642","","2653","20210607084020"
"58","Trojpolní_systém","49248","","1635","20221215073805"
"59","VímVíc.cz","1368844","","7633","20230121144526"
"60","Mezinárodní_federace_účetních","1308804","","6727","20230724211349"
"61","Chrámové_hospodářství","133408","","1340","20191119113727"
"62","Ekonomická_nerovnost","1049669","","40053","20230723073600"
"63","Offshore_bankovnictví","1641377","","30069","20220806071830"
"64","Den_bez_nákupů","1859072","","2752","20230606105829"
"65","Žďáření","108874","","1186","20221208092426"
"66","Journal_on_Legal_and_Economic_Issues_of_Central_Europe","588210","","600","20201121170020"
"67","Vejce","9030","","40025","20230221091612"
"68","Sdílení_pracovního_místa","1148163","","4496","20210809100800"
"69","Avalový_úvěr","239342","","1151","20110711143800"
"70","Údržba","627166","","9979","20220521122436"
"71","Účetní_případ","387732","","1909","20120208135201"
"72","Vorwerk","668304","","1905","20220117054255"
"73","Čestmír_Šimáně","662629","","4932","20221129073838"
"74","Rekvalifikace","274823","","2454","20221104082515"
"75","Technická_podpora","281618","","7254","20230317202541"
"76","Melouch","1726709","","3026","20221026153630"
"77","Den_pracovního_klidu","622154","","914","20210305124712"
"78","Technologický_pokrok","583747","","1449","20210910072233"
"79","Krátký_prodej","365509","","9897","20230102141927"
"80","Audit","384382","","4736","20220507194953"
"81","Přehled_o_peněžních_tocích","380310","","21117","20220626094549"
"82","Bankovní_úvěr","1303959","","11037","20221212084702"
"83","Průměrná_mzda","859905","","10635","20230426085635"
"84","Nizozemská_západoindická_společnost","1393106","","13772","20221205052014"
"85","Fortune_500","610508","","6579","20230212160411"
"86","Subprime_market","667354","","5028","20230427185759"
"87","Rabat_(ekonomika)","382020","","3690","20220716155230"
"88","Buvolí_mléko","1678583","","2526","20221016072233"
"89","Agrotechnika","233684","","814","20210216095558"
"90","Profitování","1317244","","5884","20210809073757"
"91","CEBRE_-_Česká_podnikatelská_reprezentace_při_EU","716495","","4789","20210811203607"
"92","Popis_pracovního_místa","884669","","5023","20210808150453"
"93","Holding","71105","","2717","20230314152447"
"94","Katharine_Cook_Briggsová","1216772","","7365","20230319150145"
"95","Banánová_válka_(EU-USA)","173806","","2297","20210512190138"
"96","Jednotná_kontaktní_místa_Hospodářské_komory_ČR","347730","","3558","20210425094531"
"97","Úvěr","200071","","12197","20230103103833"
"98","Jan_Váňa_(havíř)","1511342","","6131","20221124101851"
"99","Trojí_zodpovědnost","262251","","1265","20210808182327"
"100","Odpis","38407","","6884","20220522122539"
"101","Vest","1695086","","6660","20220226151645"
"102","Krecht","287003","","1426","20221215090542"
"103","Ekonomika_Filipín","1674491","","34541","20220115124220"
"104","Kultura_(zemědělství)","148811","","454","20210113134125"
"105","Mlékárna","1121043","","11630","20221128213418"
"106","Frikční_nezaměstnanost","59203","","11547","20210806084023"
"107","Hortikultura","1091174","","4700","20221113202649"
"108","Meliorace","431985","","3208","20211130210536"
"109","Životní_minimum","274820","","12582","20220918130147"
"110","František_Rašín_(podnikatel)","1638653","","6684","20221124125954"
"111","Mnichovský_úvěr","726104","","2266","20200607133850"
"112","Světová_obchodní_organizace","44631","","36880","20230524064741"
"113","Moratorium","418986","","2566","20171005093755"
"114","Elektronická_fakturace","678910","","3223","20181004154754"
"115","Cashflow_kvadrant","810608","","574","20200921192740"
"116","Fúze_(obchod)","855555","","15622","20230531132255"
"117","Jiří_Slavíček_(režisér)","464100","","3985","20221224222929"
"118","Podniková_architektura","477858","","8222","20210828053350"
"119","Alm","1779179","","9917","20230514140254"
"120","Varieta_(biologie)","45876","","3733","20220211100909"
"121","Agroturistika","451775","","3051","20200428170038"
"122","Abonent","267167","","408","20180131182546"
"123","Kolumbovská_výměna","522044","","4527","20220608083827"
"124","Bohuslav_Laštovička","678040","","15277","20230527013607"
"125","Defoliant","403171","","3701","20210719053325"
"126","Stachanovské_hnutí","251795","","2233","20221206135737"
"127","Statek_(zemědělství)","298007","","2391","20230512170800"
"128","Karel_Večeře","814505","","1469","20221130103717"
"129","Rozpočet","494285","","9933","20230328101510"
"130","Ekonomické_důsledky_ruské_invaze_na_Ukrajinu_(2022)","1747008","","79248","20230415192121"
"131","Školné","1140793","","4256","20210603100559"
"132","Dělnické_hnutí","631642","","1650","20210723112203"
"133","SoCal_Val","844581","","2144","20230418063917"
"134","Agrometeorologie","707822","","1778","20210804101122"
"135","Dodavatel","1022349","","5506","20221030090901"
"136","Vibrodiagnostika","1183781","","6986","20221212091512"
"137","Firma_na_splátky","813833","","1233","20170809113204"
"138","Tulipánová_horečka","752685","","5237","20230510225553"
"139","Amazon_Labor_Union","1757533","","12195","20230613132853"
"140","Podporované_zaměstnávání","634016","","1037","20200304064745"
"141","Kontokorent","333596","","5511","20230418064715"
"142","Vema","636541","","2838","20221023193621"
"143","Pokladna","455547","","1859","20230127052919"
"144","Flexibilní_hypotéka","855925","","3696","20140131165404"
"145","Terciární_sektor","736845","","3655","20211231033538"
"146","Akvizice","611562","","7805","20200212001857"
"147","Popelář","40887","","1320","20230620171119"
"148","Reciprocita","351659","","2985","20221227212148"
"149","První_globalizace","1756357","","8262","20221015163127"
"150","Reálné_opce","299103","","4519","20220615230246"
"151","Právo_na_práci","322925","","12313","20230111152838"
"152","Lenost","237728","","4594","20210117195348"
"153","Výškové_práce","899474","","3921","20230519081650"
"154","Vyvolávací_systém","416364","","3013","20210808194907"
"155","Dluhová_spirála","764500","","4288","20220507212826"
"156","Norma_množství","814139","","1275","20210531192850"
"157","Znalostní_ekonomika","739584","","4918","20200313172024"
"158","Uchazeč_o_zaměstnání","974424","","2439","20191029200748"
"159","Čchollima_(hnutí)","980761","","3198","20210803072506"
"160","Petr_Valdman","995965","","4000","20221130131812"
"161","Cofidis","401657","","7419","20230711091238"
"162","Plevel","30371","","14393","20230607005104"
"163","Norma_obsazení","814651","","2739","20210504001417"
"164","Zaměstnanost","1848418","","20847","20230605191911"
"165","Tísňová_péče","1457990","","2591","20221212091348"
"166","Provozovna","781333","","2674","20230208191640"
"167","Susan_Wojcicki","1424723","","12356","20230220010359"
"168","Agentura_práce","807426","","10249","20230227145602"
"169","Měšec","1632325","","2988","20230720180404"
"170","Špionáž","204636","","9466","20220722181825"
"171","Monster.com","737454","","3864","20220717181352"
"172","Identifikační_karta","1272678","","3235","20230628075231"
"173","Komplexní_průzkum_půd","1054448","","14399","20220511090637"
"174","Mezinárodní_politická_ekonomie","1451963","","12266","20220722224343"
"175","Holandská_aukce","690137","","15072","20230326143459"
"176","SMS_jízdenka","263569","","15553","20210604022059"
"177","Dokumentární_platba","132324","","462","20160309104320"
"178","Ekonomická_mobilita","1681707","","5509","20230608192425"
"179","Salamanská_škola","710860","","18072","20221127190905"
"180","Alpina_(automobilka)","1841938","","13102","20230504185803"
"181","Zaï","1192637","","1483","20220603191652"
"182","Cloudové_úložiště","1655431","","1465","20230707125051"
"183","Baltský_tygr","552982","","2139","20210908165502"
"184","Právní_forma","223635","","6501","20230409101748"
"185","Majdan","1743499","","1592","20230410190459"
"186","Hot_desking","911511","","4647","20210808194342"
"187","Traktor","73517","","8046","20230123092232"
"188","Pracovní_smlouva","81566","","3402","20230512071422"
"189","Storno","241327","","505","20210816100703"
"190","Matice_odpovědnosti","1171872","","2282","20221212090139"
"191","Přefakturace","919167","","1615","20191027223404"
"192","Vývoj_průměrné_mzdy_v_Česku","1190381","","16159","20221130095930"
"193","Franz_Josef_Kreibich","1739388","","5696","20221125070106"
"194","Kapitálové_náklady","73940","","1885","20211112101700"
"195","Kauce","642198","","5496","20190228100920"
"196","Tržnice","706463","","912","20221126232300"
"197","Registr_dlužníků","370649","","13787","20220306140341"
"198","Poměr_cena/výkon","810196","","1129","20210808150203"
"199","Brettonwoodský_systém","399578","","11296","20230417165254"
"200","Embosovaná_platební_karta","942852","","17475","20230417223057"
"201","Dodavatelský_řetězec","1555189","","1801","20220521111247"
"202","Adjutum","782828","","439","20170303113937"
"203","Tlumočení","292","","11220","20220528063848"
"204","JobChallenge","1155184","","10051","20221230155239"
"205","Ziskové_varování","268364","","368","20200308090641"
"206","Živnostenský_zákon","280577","","4329","20230208184110"
"207","Cizí_kapitál","945372","","4310","20220515133752"
"208","Pavel_Durov","1645085","","8338","20221130115659"
"209","Chala_(ekologie)","93202","","431","20130309103143"
"210","Zákaznický_servis","1068908","","11487","20220826225047"
"211","Obilniny","11469","","23586","20230330122704"
"212","Pokladní_místo","416431","","4906","20220702180236"
"213","Index_ekonomické_svobody","1207074","","1375","20221225040733"
"214","Proletarizace","1452656","","5329","20230721035209"
"215","Holdingová_společnost","65163","","1555","20230312115302"
"216","Ekonomika_Austrálie","1210364","","8156","20230504130430"
"217","Úvrať_(zemědělství)","622477","","3836","20230518081850"
"218","Bezhotovostní_platební_styk","786572","","8188","20220111180255"
"219","Platební_terminál","511015","","1848","20230509200936"
"220","Palácové_hospodářství","423079","","2946","20211215174442"
"221","Průmysl","45278","","10261","20230505102440"
"222","Tereziánský_katastr","283919","","4708","20230118061743"
"223","Vyjednávání","417817","","7470","20221113182614"
"224","Tobinova_daň","1852767","","14347","20230515151132"
"225","Snop","87846","","5786","20221129052238"
"226","Italské_odbory","569017","","2739","20210617170933"
"227","Účet","387449","","3100","20220513162254"
"228","Nominální_hodnota","393545","","1052","20230320061826"
"229","Medicejská_banka","1480094","","1463","20220521183408"
"230","Základní_nepodmíněný_příjem","379550","","89161","20230725114552"
"231","Lidské_zdroje","139204","","7982","20210808122811"
"232","Výchova_k_volbě_povolání","346716","","2136","20230527131236"
"233","Ekonomika","888","","14274","20221011130518"
"234","Komisionářská_smlouva","1104438","","10569","20230615135459"
"235","Syndikát","477236","","785","20210803095514"
"236","Kontrolní_hlášení_DPH","1181849","","40297","20230721092118"
"237","Reciproční_poptávka","211603","","976","20100510091328"
"238","Úhor","211111","","6570","20221205121840"
"239","Poplatek_z_prodlení","778538","","4848","20210921172455"
"240","Holandská_nemoc_(hospodářství)","1065600","","2868","20221005121110"
"241","Dluh","297029","","4200","20230712091838"
"242","Hrouda","116766","","1021","20191002144136"
"243","Syndrom_včelí_královny","1648960","","4824","20220112162149"
"244","Centrální_plán","252010","","4163","20210809183732"
"245","Sídlo_(právo)","855160","","10713","20230117100800"
"246","Džidóka","565073","","1240","20210806070838"
"247","Bonfilio_Paolazzi","1168374","","5219","20221125120308"
"248","Stravenka","235813","","15143","20230626000152"
"249","Kypření","116767","","520","20161020223530"
"250","Vladimir_Jakunin","1055981","","4176","20230207164153"
"251","Intenzivní_zemědělství","1599626","","3359","20230615041345"
"252","NEET","678104","","1377","20230201120446"
"253","Drůbežnictví","535482","","8313","20230422121327"
"254","Přeshraniční_platba","1106754","","5988","20210608132336"
"255","Strategie_od_zemědělce_ke_spotřebiteli","1846386","","25058","20230507210827"
"256","Zelený_růst","1040076","","4038","20210809085042"
"257","Zásoba","427446","","4323","20200608122655"
"258","Ekonomika_založená_na_zdrojích","803391","","2918","20210806080405"
"259","Úrodnost","267851","","3882","20221020075138"
"260","Spin-off_firma","1580706","","1405","20221210161547"
"261","Kariérní_centrum_Masarykovy_univerzity","1155121","","11436","20230122133252"
"262","Flexibilita","655966","","3982","20210517191255"
"263","Vladimír_Hanzel","669079","","12266","20221231011140"
"264","Černý_trh","378189","","13321","20220302153316"
"265","Initial_public_offering","312381","","21439","20220421165150"
"266","Zemědělství","2447","","161714","20230308100757"
"267","Employer_branding","1378256","","1693","20210908011430"
"268","Získávání_a_výběr_zaměstnanců","908014","","6219","20190308105528"
"269","Jozef_Sinčák","1670800","","5062","20221130120717"
"270","Výsledek_hospodaření","286458","","1108","20230201210734"
"271","Sortiment","276897","","2068","20230201161012"
"272","Olli-Pekka_Kallasvuo","508470","","893","20221130082435"
"273","Nonstop","748497","","912","20221201111609"
"274","Ford_Motor_Company","70377","","13967","20230307195915"
"275","Osobní_pohovor","70730","","4026","20220521113221"
"276","Dal_(účetnictví)","314435","","1045","20210805125745"
"277","Vinařství","562349","","12501","20230120132911"
"278","Hranice_práce","1335703","","35591","20230417221101"
"279","Domestikace_rostlin","1229670","","4350","20220521194223"
"280","Adolf_Patera_(chemik)","1466341","","2873","20230107222851"
"281","Elektrický_ohradník","412487","","6229","20230109181005"
"282","Dluhopis","90743","","29228","20230509122011"
"283","Mimosoudní_řešení_spotřebitelských_sporů","347722","","4960","20221013110928"
"284","Agrofyzika","39725","","5592","20210804124551"
"285","Geneea_Analytics","1686281","","3792","20230715124258"
"286","Hanza","4442","","8680","20230710194916"
"287","Senta_Čermáková","241253","","5296","20230114063718"
"288","Casting","136340","","1228","20221103113900"
"289","John_Virapen","663799","","1631","20221129111457"
"290","Eskontní_úvěr","215109","","2206","20171004132732"
"291","Asterisk","259515","","3355","20220520075229"
"292","Pole","221134","","2343","20230606090249"
"293","Manažerské_účetnictví","426989","","20031","20230109213752"
"294","Josef_Hlavnička_(ředitel)","945412","","6096","20221125113842"
"295","Eduard_Svoboda_(inženýr)","1652091","","10019","20221210113404"
"296","Pracovní_místo","685408","","755","20220521114328"
"297","Mez_(zemědělství)","579589","","1876","20220521111450"
"298","Platba","584500","","1555","20220701172740"
"299","Manipulační_den","787768","","1092","20120405080150"
"300","Digitální_revoluce","1154668","","11064","20230125223239"
"301","Ekonomická_integrace","33525","","6042","20230606074733"
"302","Heinrich_Ehrlich","845268","","5994","20230718112800"
"303","Personální_marketing","646540","","1762","20230322151213"
"304","Peněženka","277325","","4006","20220807145301"
"305","ParcelShop","1252160","","1062","20190414231529"
"306","Nákladnický_systém","571564","","2152","20210808134217"
"307","Assessment_centrum","1102834","","14391","20220523132050"
"308","Saharský_obchod","1609554","","4789","20220521115524"
"309","Gentský_systém","1659502","","1114","20210806100416"
"310","Outplacement","999696","","8282","20210808142801"
"311","Gulfstream_III","632266","","9305","20230617212211"
"312","JobCheckIN","1258410","","4015","20230122133245"
"313","Restrukturalizace_podniku","1000747","","2618","20221212090840"
"314","Strana_typu_firmy","1344502","","5196","20230701204816"
"315","Sociální_zemědělství","1116678","","6584","20221212091100"
"316","Hlavní_plán_výroby","756435","","14857","20220114152803"
"317","Jarovizace","418717","","3151","20220220234234"
"318","Trh_(akce)","572383","","1431","20221127162513"
"319","Rakouská_škola","15745","","28570","20230109213545"
"320","Urbické_antrozemě","669522","","791","20200125183600"
"321","Zelené_práce","79145","","1297","20200608122905"
"322","Business_Intelligence","127164","","24444","20230606095130"
"323","Manažer","316830","","10694","20221212090058"
"324","Fluktuace_zaměstnanců","1057382","","8569","20230530105929"
"325","Crowdsourcing","675990","","4694","20210805072948"
"326","Scuk.cz","1689843","","4230","20230528174911"
"327","Kádr","13948","","1560","20180718065045"
"328","Helikultura","1181602","","2140","20220222085819"
"329","Ledolam_(hra)","893731","","1085","20200607065408"
"330","Ekonomika_Uzbekistánu","1641346","","32310","20230528060631"
"331","Profesní_koučování","1106483","","12036","20220418091921"
"332","Zemědělská_věda","1387355","","3181","20210604200045"
"333","Dealer","408406","","1806","20230320122936"
"334","Veřejná_dražba","1034251","","1946","20210808191221"
"335","Motivace","57338","","3550","20230425154912"
"336","Virtuální_sídlo","596073","","6453","20230326073739"
"337","Ministerstvo_práce_a_sociálních_věcí_České_republiky","114243","","4344","20230416124802"
"338","Prázdný_prodej","475728","","1276","20211005222100"
"339","Burza","3175","","11587","20220612163247"
"340","Žně","658968","","1551","20220729100556"
"341","Strukturální_nezaměstnanost","302341","","4158","20230725183525"
"342","Remízek","1298200","","4225","20200807175704"
"343","Rozptýlená_zeleň","1661101","","3462","20230113090618"
"344","Admirál","33413","","3907","20211217231944"
"345","Benjamin_Fragner","538719","","6806","20230526064447"
"346","Hedvábnictví","797646","","13524","20221128123544"
"347","Cash_flow","184752","","3444","20230703122407"
"348","Verbování","1023177","","1560","20210808191111"
"349","Kontinentální_blokáda","438234","","35255","20221118071921"
"350","B_Corporation_(certifikace)","1151651","","17209","20220113191412"
"351","Psychologie_práce","237820","","1629","20230501073356"
"352","Zemědělská_rada_pro_Království_české","1842048","","5431","20230520120150"
"353","Doktrína_mzdového_fondu","998131","","2095","20210805132617"
"354","Živnostenské_oprávnění","399463","","2891","20230101211735"
