"number","title","pageid","namespace","length","touched"
"1","Zaměstnavatel","178504","","834","20230329082528"
"2","Zaměstnávání_osob_se_zdravotním_postižením","319996","","5526","20221212091635"
"3","Jozef_Sinčák","1670800","","5062","20221130120717"
"4","Bankovní_účty","1171876","Category","55","20190607093727"
"5","Adolf_Patera_(chemik)","1466341","","2873","20230107222851"
"6","Podnikatelé","15779","Category","134","20230123014926"
"7","JIC","781804","","4991","20221228230545"
"8","Worldee","1618243","","2915","20220821204456"
"9","Outsourcing","76019","","4862","20210719103748"
"10","Alois_Ježek","384504","","1521","20200619103027"
"11","Bilanční_diagnostika","1714105","","1166","20211023152323"
"12","Ředitelé_podle_zemí","1531294","Category","122","20230420192555"
"13","Národní_podnik","192364","","13701","20230619160422"
"14","Čistá_současná_hodnota","276819","","2158","20190228083257"
"15","Starožitnosti","502295","","10107","20230117000215"
"16","Počáteční_účet_rozvažný","314427","","915","20210312124720"
"17","Živnostenský_list","397518","","2302","20230518183228"
"18","Pracovní_sobota","210717","","4560","20211207210447"
"19","Lánská_akce","474669","","2009","20160804094419"
"20","Solventnost","876403","","1933","20210808164902"
"21","Objednávka","655681","","2218","20230324101151"
"22","Dealer","408406","","1806","20230320122936"
"23","Rabat_(ekonomika)","382020","","3690","20220716155230"
"24","Účet","387449","","3100","20220513162254"
"25","Sdružení_dopravců","268081","Category","107","20100803160713"
"26","Hynek_Baťa","947508","","2940","20221128062830"
"27","Etický_kodex_pro_auditory_a_účetní_znalce","1308767","","5009","20220111204708"
"28","Minimální_mzda","321503","","44889","20230527050446"
"29","Amazon_Labor_Union","1757533","","12195","20230613132853"
"30","Jan_Badalec","1192778","","10286","20230405215246"
"31","Cacti","208241","","979","20181216173842"
"32","Norma_času","814105","","1614","20230527131226"
"33","Účetní_standardy","280003","Category","121","20210225015202"
"34","Ředitelé_knihoven","867121","Category","120","20150528111904"
"35","Reálné_opce","299103","","4519","20220615230246"
"36","Myers-Briggs_Type_Indicator","365898","","23831","20230602205744"
"37","Manuální_práce","1721820","","21095","20230512131934"
"38","Lenost","237728","","4594","20210117195348"
"39","Vladimír_Hanzel","669079","","12266","20221231011140"
"40","Stravenky","1535648","Category","100","20191107184847"
"41","USSPA","1623276","","9856","20230524113025"
"42","Živnosti_ohlašovací","1209567","Category","266","20180414210852"
"43","Logistika","67766","","4579","20230626234755"
"44","Confluence","1732230","","1952","20220520082552"
"45","Provize","942856","","1450","20210603085537"
"46","Prestiž_povolání","1049232","","16984","20221103094110"
"47","Ředitelé","186013","Category","209","20221127212441"
"48","Jiří_Slavíček_(režisér)","464100","","3985","20221224222929"
"49","Vývoj_průměrné_mzdy_v_Česku","1190381","","16159","20221130095930"
"50","Manažeři_podle_zemí","1121717","Category","89","20220721122435"
"51","Ředitelé_zpravodajských_služeb","714231","Category","152","20210225020121"
"52","Aukce","639251","Category","59","20140602204304"
"53","Osoby_spjaté_s_marketingem","1807709","Category","80","20230123014830"
"54","Identifikační_číslo_osoby","287913","","12594","20230705223115"
"55","Kontrolní_hlášení_DPH","1181849","","39983","20230615172254"
"56","Workoholismus","315759","","8181","20230324173952"
"57","Účetní_software","846528","Category","120","20140612091205"
"58","Distribuce_software","272984","Category","113","20230301212609"
"59","Lidé_podle_zaměstnavatelů","762952","Category","123","20230414180434"
"60","Mary_Barraová","1402921","","5149","20230111130121"
"61","Daniel_Vasella","1013281","","4141","20221130083647"
"62","Výškové_práce","899474","","3921","20230519081650"
"63","Smluvní_služebník","568316","","2195","20220124192058"
"64","Bonfilio_Paolazzi","1168374","","5219","20221125120308"
"65","Metodika","55","","987","20221208041025"
"66","Faktura","176437","","3208","20230529073518"
"67","Obchod_se_slonovinou","1028837","","82198","20230108061209"
"68","Ledolam_(hra)","893731","","1085","20200607065408"
"69","Odboráři","437573","Category","149","20230413162829"
"70","Účetní_závěrka","272739","","4117","20210330203349"
"71","Restrukturalizace","1453307","","9288","20221021211350"
"72","Malé_a_střední_podniky","235429","","16815","20220715131812"
"73","McJob","351940","","2440","20220415162600"
"74","Technická_analýza","238000","","10818","20230215231053"
"75","Organizační_kultura","995980","","24082","20230108180858"
"76","Kolektivní_nakupování","588387","","5156","20210930225755"
"77","Porsche","42279","","18482","20230701042546"
"78","Živnostenské_oprávnění","399463","","2891","20230101211735"
"79","Svaz_průmyslu_a_dopravy_ČR","857470","","10829","20230516122133"
"80","Popis_pracovního_místa","884669","","5023","20210808150453"
"81","Pavlína_Louženská","1433965","","3631","20230525142634"
"82","Kariérní_centrum_Masarykovy_univerzity","1155121","","11436","20230122133252"
"83","Sweatshop","1542303","","5515","20220405124101"
"84","Marketing","21591","Category","114","20180218140145"
"85","Pilatus_PC-24","1205234","","4471","20230428045226"
"86","JobChallenge","1155184","","10051","20221230155239"
"87","Řízení_kariéry","1107948","","5563","20230213214056"
"88","Servery_pro_hosting_projektů","1405572","Category","218","20210225020529"
"89","Obchodníci_s_uměním","1614020","Category","129","20221121123605"
"90","Převzetí_podniku","1101906","","6051","20210802120419"
"91","Dělnická_třída","1810927","Category","55","20221126121448"
"92","Osoba_samostatně_výdělečně_činná","223613","","8292","20230302163940"
"93","Nezaměstnanost","25399","","17296","20230421080029"
"94","Vědeckotechnický_park","455781","","8349","20220521122856"
"95","Trest_obecně_prospěšných_prací","757626","","4072","20230319190127"
"96","Minimální_mzda_v_Evropě","707639","","5201","20230304103720"
"97","Komisionářská_smlouva","1104438","","10569","20230615135459"
"98","Zprostředkování","1209552","Category","298","20161103094947"
"99","Prezentační_software","281635","Category","119","20210225002404"
"100","Textilní_průmysl_v_Číně","1765453","","14998","20230702101614"
"101","Trh_(akce)","572383","","1431","20221127162513"
"102","Podnikatelé_v_automobilismu","1625067","Category","169","20230123043812"
"103","Den_pracovního_klidu","622154","","914","20210305124712"
"104","Tantiéma","505095","","3603","20190728165506"
"105","Mobbing","31657","","11487","20230628142234"
"106","Doktrína_mzdového_fondu","998131","","2095","20210805132617"
"107","Fundamentální_analýza","163563","","48023","20230130101103"
"108","Ergoterapie","383683","","5571","20230509153821"
"109","Rychloobrátkové_spotřební_zboží","714449","","793","20210809093820"
"110","Konsolidovaná_účetní_závěrka","314847","","10597","20230429151749"
"111","Forex","182335","","17686","20221122101115"
"112","Isabel_Briggsová_Myersová","1216826","","6148","20230617224423"
"113","Účetní_období","78635","","782","20210809191408"
"114","Den_nezadaných","1773908","","3024","20220823214412"
"115","Verbování","1023177","","1560","20210808191111"
"116","Provozovna","781333","","2674","20230208191640"
"117","Svaz_jugoslávských_odborů","1036500","","2668","20220727161102"
"118","Finanční_analýza","1801751","Category","66","20221106100751"
"119","Předsedové","1619162","Category","83","20211217230351"
"120","Fixní_náklady","371447","","1422","20230109213750"
"121","Akvizice","611562","","7805","20200212001857"
"122","Majetek","177148","","6087","20230702075607"
"123","Gulfstream_IV","632730","","15160","20220730104353"
"124","Výběrové_řízení","125564","","2843","20201028213613"
"125","Šabat","203431","","20801","20230606141401"
"126","Front_office","864371","","1286","20220522134059"
"127","Trhová_obec","1620519","","1469","20210810183904"
"128","Guvernéři_centrálních_bank","572752","Category","98","20211216014228"
"129","Nákladnický_systém","571564","","2152","20210808134217"
"130","Tomáš_Pojar","568150","","8067","20230316183034"
"131","Martin_Tlapa","234645","","6849","20230109162200"
"132","Kontraband","605528","","1209","20140823102239"
"133","Curriculum_vitæ","418382","","3153","20221005060451"
"134","Agentura_práce","807426","","10249","20230227145602"
"135","Ziskové_varování","268364","","368","20200308090641"
"136","Maslowova_pyramida","370364","","11636","20230531091715"
"137","Ředitelé_cirkusů","1731680","Category","63","20220111135009"
"138","Ředitel","452111","","1733","20221212110704"
"139","Bodyshopping","1598476","","5573","20211201214152"
"140","Obchodník_s_cennými_papíry","349351","","4494","20230103084204"
"141","Ministři_práce_a_sociálních_věcí","710014","Category","121","20201202150734"
"142","Dělníci","1587397","Category","104","20221126152844"
"143","Kariérové_poradenství","610463","","2823","20230118080508"
"144","Živnostenský_zákon","280577","","4329","20230208184110"
"145","Historie_ergoterapie_v_Česku","1493307","","4420","20221004220138"
"146","Maloobchod","493063","Category","71","20140601161205"
"147","Jaroslav_Preiss","566912","","13331","20230709092724"
