"number","title","pageid","namespace","length","touched"
"1","Symbol_prvku","26791","","4010","20230519190453"
"2","Alice_Ball","1865845","","10463","20230709073401"
"3","Disproporcionace","466166","","3511","20230603083631"
"4","Anglické_chemické_názvosloví","264141","","6101","20230428070548"
"5","Alkalicko-křemičitá_reakce","1401911","","8940","20230707185007"
"6","Americký_ústav_pro_ropu","1692141","","4974","20221230104435"
"7","Samozápalnost","1113897","","1476","20220213091127"
"8","Supramolekulární_chemie","1631394","Category","109","20201025005044"
"9","Chemická_zbraň","123854","","9660","20230605170734"
"10","Mechanochemie","1355820","","1691","20220408201403"
"11","Acidobazická_reakce","1182449","","6476","20220421172614"
"12","Mezihvězdné_prostředí","433002","","841","20230603150958"
"13","Mezinárodní_unie_pro_čistou_a_užitou_chemii","72443","","1590","20220521111523"
"14","Seznam_chladiv","699303","","63469","20230331092306"
"15","Skupiny_potravinových_aditiv","673745","Template","1161","20180414183831"
"16","Veličiny_analytické_chemie","277201","Category","66","20080112075654"
"17","Stechiometrie","1767196","Category","41","20220620165953"
"18","Koksárenský_plyn","147319","","2666","20220413191503"
"19","Nanotechnologie","231357","Category","160","20190926130533"
"20","Zelená_chemie","1666377","","7713","20220410004228"
"21","Molární_tepelná_kapacita","762506","","4228","20230215205918"
"22","Ostrov_stability","1218491","","22004","20230507085110"
"23","Syntetické_reakce","264819","Category","88","20210225012658"
"24","Názvosloví_organických_sloučenin","265171","","2917","20220921093013"
"25","Materiálové_inženýrství","45540","Category","143","20140606141927"
"26","Relativní_atomová_hmotnost","1199","","2638","20220620170110"
"27","Chemické_symboly_nebezpečí","276468","","4963","20230516182614"
"28","Chemické_teorie","249914","Category","48","20130403194336"
"29","Registr_toxických_účinků_chemických_látek","581770","","3383","20210808155324"
"30","Filtrace","112288","","3552","20220520174538"
"31","Korespondenční_seminář_inspirovaný_chemickou_tematikou","277449","","3033","20200922194536"
"32","Planetary_Instrument_for_X-Ray_Lithochemistry","1680714","","4207","20220521114039"
"33","Farmaceutická_chemie","106473","","1009","20171004113213"
"34","Radikálové_reakce","264849","Category","89","20210225003621"
"35","Chemický_průmysl","37053","Category","106","20140731144222"
"36","Chemické_navigační_šablony","273959","Category","116","20180414183906"
"37","Synproporcionace","1330217","","2660","20230614035711"
"38","Anorganická_chemie","9677","Category","100","20140530194703"
"39","Koordinační_chemie","239412","Category","275","20210224221121"
"40","Harriet_Brooks","1849975","","8492","20230425211232"
"41","Hydrofilie","869384","","4906","20221025112739"
"42","UN_kód","89581","","1231","20210809163804"
"43","Seznam_chemiků","6304","","29410","20230526203306"
"44","Sol-gel","89330","","3511","20211014193113"
"45","Plazmové_zplyňování","1488588","","9941","20230625032302"
"46","Nitrosylace","1623031","","1637","20210808135229"
"47","S","711446","Template","5939","20170222123725"
"48","Chemik","148767","","2389","20220816051104"
"49","Teorie_kyselin_a_zásad","436757","Category","110","20170321101557"
"50","Koksovny","1347229","Category","111","20171214082603"
"51","Spektroskopie","66066","Category","247","20181217185056"
"52","Chemoinformatika","667259","","712","20210606140642"
"53","Chemické_směsi","386985","Category","82","20140602185837"
"54","Rafinace","375235","","847","20230304120521"
"55","Hydrát","481157","","2639","20230310024210"
"56","Chemický_vzorec","48667","","18744","20221108082532"
"57","Chemické_vlastnosti","1187200","Category","54","20160419120816"
"58","Josef_Zdeněk_Raušar","1693796","","15378","20230622105301"
"59","Chemické_soutěže","248692","Category","68","20150803042102"
"60","Chemická_syntéza","1298870","Category","52","20170718121943"
"61","Zákon_stálých_poměrů_slučovacích","244026","","841","20220620170309"
"62","Koroze","400567","Category","205","20180209114610"
"63","Karbonylace","1820678","","9229","20230303054435"
"64","Triviální_název","26764","","3578","20220211100545"
"65","Desikanty","468285","Category","220","20211106150906"
"66","Hydratace","436248","","4605","20220313194528"
"67","Odorizace","637766","","1195","20221212090436"
"68","Chemický_průmysl","501719","","17303","20230125143721"
"69","Globálně_harmonizovaný_systém","543124","Category","168","20130331125354"
"70","Hustoty_látek","117196","","7092","20230317103757"
"71","Periodický_zákon","1407","","4565","20230130154816"
"72","Parfumerie","284578","","5007","20221027180641"
"73","Aktivita_(chemie)","115920","","1678","20230215165553"
"74","Fotokatalýza","461066","","2989","20221129162747"
"75","Článek_WikiProjektu_Chemie","275131","Template","1749","20230223010029"
"76","Destilace","61050","","8340","20230307072318"
"77","Atmosférická_chemie","1509557","","4658","20220423072612"
"78","E_číslo_(kód)","1623617","","3056","20230514080048"
"79","Chemické_dobré_články","275900","Category","337","20200202144813"
"80","Číslo_EC_(chemie)","569715","","8160","20210805100611"
"81","Názvosloví_derivátů_arenů","1749855","","9496","20230711101421"
"82","Toxikologie","26488","","3721","20221017115343"
"83","Sonochemie","84460","","1003","20220522122943"
"84","Fyzikální_chemie","9582","Category","170","20140601114939"
"85","Asfalt","85874","","4747","20211020160359"
"86","Thio-","1357329","","794","20210809135940"
"87","Skupina_(periodická_tabulka)","91447","","2244","20210719064531"
"88","Magnetohydrodynamický_generátor","1784203","","2618","20221212090047"
"89","Molární_plynová_konstanta","1236","","1752","20221225200128"
"90","Jmenné_reakce","1767869","Category","30","20230330143036"
"91","Kationtová_výměnná_kapacita","117512","","383","20210808111238"
"92","Teoretická_chemie","110284","","1173","20210606155851"
"93","Deprotonace","578797","","2065","20210805130853"
"94","Filozofie_chemie","1228376","","4175","20221103125952"
"95","Petrochemický_průmysl","526916","","824","20230429093449"
"96","Farmacie","149578","Category","149","20140601180754"
"97","Chemická_ocenění","944262","Category","82","20210224215610"
"98","NFPA_704","275962","Template","1815","20200128080453"
"99","Chemické_nehodnocené_články","275897","Category","346","20200202144805"
