"number","title","pageid","namespace","length","touched"
"1","Rez","226285","","4357","20221125111943"
"2","Butan-1-ol","1705713","","18254","20220629182620"
"3","Mezoterapie","976410","","4115","20210808194557"
"4","William_Howard_Stein","1146601","","1848","20221128084815"
"5","Cesium","7354","","17176","20230429093106"
"6","Indexové_číslo","628472","","2502","20220828053440"
"7","Dysprosium","53233","","7128","20220610213658"
"8","Jean_Charles_Galissard_de_Marignac","371112","","3329","20221124120034"
"9","E_306","811256","","64","20120617170242"
"10","Substrát_(chemie)","1742398","","2773","20220313194748"
"11","Podvojná_záměna","1587681","","2809","20210809064001"
"12","Grashofovo_číslo","1156827","","10427","20230419043022"
"13","Mondův_proces","141104","","1217","20220623124334"
"14","Bezdýmný_střelný_prach","212471","","7349","20230718134537"
"15","Relativní_molekulová_hmotnost","1201","","1178","20230120142940"
"16","Polykarbonát","394288","","34892","20230625093554"
"17","Barva_(materiál)","64781","","1335","20190322213016"
"18","Reakční_mechanismus","101615","","1632","20210809084822"
"19","E_249","728490","","71","20120617075723"
"20","Schlenkova_rovnováha","1721350","","3262","20230328110628"
"21","BODIPY","1761442","","13328","20221212095406"
"22","Ropa","9955","","66598","20230403091430"
"23","Autoionizace_vody","507850","","7787","20230216152148"
"24","Cudžiova–Trostova_reakce","1714581","","22901","20221025213043"
"25","Hydroxid_hořečnatý","1157964","","3341","20220528071957"
"26","Zelená_chemie","1666377","","7713","20220410004228"
"27","PFAS","1762693","","16735","20230601050334"
"28","Bublina","591277","","1787","20210919172759"
"29","Tellur","6714","","8454","20220501063842"
"30","Samozápalnost","1113897","","1476","20220213091127"
"31","Vlivy_kávy_na_zdraví","1340017","","13098","20220615104048"
"32","Magdeburské_polokoule","31059","","5687","20221121115506"
"33","Resorcinol","423440","","3616","20220911103841"
"34","Flakón","1036120","","4633","20220905153219"
"35","Kurkumin","30630","","5661","20220410140417"
"36","Plynofikace","613938","","599","20221212090624"
"37","E_161g","811010","","65","20120617082212"
"38","3-hydroxypropanal","1299148","","5534","20210523222507"
"39","Joachim_Frank","1380127","","2113","20221129095021"
"40","Trikresylfosfát","459247","","4694","20210809160210"
"41","Jean-Baptiste_van_Helmont","268790","","2934","20230609042632"
"42","Endokrinní_disruptory","401507","","40819","20221115135512"
"43","Geochronologie","180239","","3060","20221027105949"
"44","Griecova_třísložková_kondenzace","1855615","","2482","20230522112154"
"45","Fulcanelli","1449343","","2626","20230113111904"
"46","Gangliosidy","1767689","","4995","20221025112650"
"47","Střelivina","381448","","619","20210808190314"
"48","Benzylalkohol","1497760","","9258","20230503130546"
"49","Akrylátová_barva","462082","","4811","20220927121755"
"50","Autokosmetika","407915","","1847","20220824151129"
"51","Polyvinylacetát","375988","","2893","20230625094609"
"52","György_Lippay","1838405","","3200","20230302100325"
"53","Barevnost_komplexů","243168","","5663","20230216151324"
"54","Psilocybin","281010","","11871","20220730140729"
"55","Drogová_závislost","525788","","28921","20230708232856"
"56","Desikace","474638","","7229","20230514141200"
"57","Chlorid_dusitý","580662","","7586","20220109112128"
"58","1-propanol","386923","","5486","20220912180313"
"59","Kosmetika","286122","","9591","20230725084100"
"60","Methylová_violeť","329219","","2363","20221004152912"
"61","Přenos_elektronu_ve_vnější_sféře","1687296","","4819","20230225130522"
"62","Barel","5181","","2485","20230529211924"
"63","Pimm's","1547898","","3146","20230202100408"
"64","Robert_Wilhelm_Bunsen","403213","","4346","20230710030923"
"65","Všeobecně_považovaný_za_bezpečný","403651","","3459","20210809181057"
"66","Vodka","289682","","23286","20230513023519"
"67","Jakub_Jan_Václav_Dobřenský_z_Černého_Mostu","1167071","","6731","20230213004424"
"68","Jahnův–Tellerův_efekt","238792","","3608","20220924082513"
"69","Rýžové_víno","1235242","","2756","20230524045541"
"70","Tris(2-chlorethyl)-fosfát","512361","","1757","20210808182208"
"71","Bad_trip","1584255","","561","20210804103624"
"72","Chemická_past","1771042","","3785","20221212101756"
"73","Ilja_Prigogine","636940","","5058","20230628100332"
"74","Součin_rozpustnosti","949502","","3488","20210809191001"
"75","Glenn_Seaborg","87517","","2082","20221128120120"
"76","Lotosový_efekt","1581740","","8430","20230714084122"
"77","Loužení","331432","","1621","20210919215648"
"78","Hydrofluoralkeny","1528620","","2591","20230611231106"
"79","Ekvivalent_TNT","995440","","5809","20221224070621"
"80","Fluoren","1461244","","7543","20220917130234"
"81","Fenetylin_hydrochlorid","1855550","","5215","20230607041810"
"82","Destilace","61050","","8340","20230307072318"
"83","Shapirova_reakce","1445361","","8674","20220623131756"
"84","Trifluormethylace","1492524","","42003","20220405130805"
"85","Irène_Joliot-Curie","191144","","7714","20221125113932"
"86","Dow_Chemical","433438","","1521","20210723120024"
"87","Škrticí_clona","345717","","1431","20210518104954"
"88","Nitrid_stříbrný","1232449","","5782","20230218133031"
"89","Paraldehyd","505047","","7918","20220215194825"
"90","Diethylamid_kyseliny_lysergové","62809","","22163","20230531112425"
"91","Seznam_zkratek_kvality_chemikálií","1486907","","2522","20230115073204"
"92","E_322","707737","","61","20120617080158"
"93","Kovy_alkalických_zemin","102215","","6595","20220314150226"
"94","Objevování_léčiv","1832252","","53332","20230428100055"
"95","Novartis","280583","","6627","20220206050503"
"96","Francis_William_Aston","271301","","2690","20230414103102"
"97","Zákon_stálých_poměrů_slučovacích","244026","","841","20220620170309"
"98","Jedovatice","1732323","","14720","20230113052158"
"99","Manometr","550","","1943","20220310155458"
"100","Pepřovník_opojný","448704","","2754","20220711164728"
"101","Plování_těles","544","","3760","20230531132248"
"102","Jablonského_diagram","1669830","","4011","20220423074448"
"103","Pethidin","868082","","2941","20210809055305"
"104","Slitiny_s_tvarovou_pamětí","86253","","14548","20221112095829"
"105","Zlato","905","","27614","20230505051300"
"106","Aaron_Klug","841362","","3171","20221129192546"
"107","Lanthan","48349","","10035","20220806101511"
"108","Ergotismus","125331","","3062","20220406103803"
"109","Dream_Chemistry_Award","1545388","","6008","20230428221057"
"110","Gia","207680","","3203","20220722201805"
"111","Hmotnostní_koncentrace","39402","","963","20210806103529"
"112","Inhibice_(chemie)","1841737","","2125","20230313133857"
"113","Stojatka","1468971","","2004","20190207123807"
"114","Lighthouse_Wien","1098656","","5306","20210418203211"
"115","Plutonium-239","1438170","","9775","20230216151348"
"116","Hexafluorpropan-2-ol","1511867","","5022","20210828235320"
"117","Polonium-210","1341084","","4221","20220127194502"
"118","Biotransformace","263211","","1195","20190818170106"
"119","Hydrogenuhličitan_draselný","670782","","4023","20230501090441"
"120","Opus_magnum","645981","","7425","20230319062948"
"121","Kovy","26","","6193","20230606192519"
"122","Aditiva_do_maziv","725034","","1560","20210805110754"
"123","Chemická_reakce","84246","","11040","20230529032722"
"124","Americký_ústav_pro_ropu","1692141","","4974","20221230104435"
"125","Diethyltryptamin","489521","","1022","20220522121611"
"126","Tresť","449199","","529","20210624143644"
"127","Feťáci","1025110","","1823","20221212100816"
"128","Alkylpolyglykosidy","1642174","","3345","20221023085430"
"129","Kaustifikace","1642018","","6582","20220529211710"
"130","Chemicky_čistá_látka","27867","","1350","20220925115109"
"131","Deflagrace","500037","","832","20180716191240"
"132","Kyselina_2,4-dichlorfenoxyoctová","457859","","3143","20210719204305"
"133","Difuze","10987","","8070","20221123080343"
"134","Friedrich_Ernst_Dorn","1461560","","1966","20230710031012"
"135","Illy","226165","","2135","20230402001105"
"136","Mlíko","897333","","5485","20230106132902"
"137","PRTR","474300","","6774","20210927125428"
"138","Fritschův–Buttenbergův–Wiechellův_přesmyk","1858538","","3698","20230604144857"
