"number","title","pageid","namespace","length","touched"
"1","Klaviatura","101092","","5489","20210719111516"
"2","Informační_technologie","396625","Category","301","20150507124335"
"3","Roseapple_Pi","1158412","","3877","20211113214321"
"4","Procesní_řízení","560237","","18996","20230625191610"
"5","Cartridge","172958","","2115","20230423155702"
"6","SAS_System","430723","","811","20221212090952"
"7","Interprety","1480017","Category","89","20210224220042"
"8","Codecademy.com","791632","","10907","20230323203738"
"9","Sběr_dat","527712","","2262","20210518180550"
"10","Soundex","1522098","","5723","20220415142843"
"11","Opticam","1242793","","1478","20181217203035"
"12","Elektronické_právní_jednání","1751629","","10854","20220628044406"
"13","Princip_tří_architektur","1173297","","99","20160208104622"
"14","Nositelé_Turingovy_ceny","257925","Category","125","20170306220617"
"15","Detekce_a_oprava_chyb","957106","Category","175","20151128230058"
"16","EMA_(elektronická_mapa_trati)","1256930","","5964","20220507215531"
"17","Dynamické_programovací_jazyky","1342987","Category","104","20210224204045"
"18","CRAM-MD5","966799","","2044","20220702121040"
"19","Paralelní_čas","641202","","740","20151122150317"
"20","Shader_jazyky","746856","Category","72","20111204234623"
"21","Trojský_kůň_(program)","153097","","4117","20221101091359"
"22","Redundance","73950","","3050","20210809085101"
"23","Utajovaná_informace","1381326","","2447","20230511085225"
"24","Fleet_controlling","387901","","5296","20221027151346"
"25","Key_derivation_function","691225","","7230","20230523184958"
"26","Seznam_distribucí_Linuxu","18951","","28623","20221125063515"
"27","DLT","1073","","1215","20180825075141"
"28","Třídy_složitosti","7210","Category","37","20130406094549"
"29","Signály_pro_tramvaje_a_veřejnou_dopravu","142803","","32816","20230701200357"
"30","Síťový_socket","1210947","","8483","20230707200359"
"31","Průmysl_4.0","1137596","","21725","20230605083856"
"32","Portableware","406492","","724","20210515060252"
"33","TREE-META","1683815","","10274","20220218061347"
"34","Časopisy_o_počítačích","327882","Category","154","20140813172106"
"35","Archeologický_atlas_České_republiky","1587744","","5761","20230524232814"
"36","Binární_vyhledávání","134091","","4514","20210804112514"
"37","IPTC","178122","","5867","20221023142052"
"38","GT/s","586770","","642","20150904125836"
"39","Blockchain","1129948","","24685","20230614144557"
"40","Hradlo_OR","1107286","","3804","20221228011246"
"41","Zálohování_dat","26556","","10626","20230511085131"
"42","Ministerstvo_informatiky","918492","Category","101","20180620135700"
"43","Schránka_(software)","194504","","9510","20230625182723"
"44","Aliasing","80686","","7493","20230313113826"
"45","Turingova_cena","14065","","13794","20230322122002"
"46","Fortran","8351","","15517","20200413165105"
"47","Otevřené_vzdělávací_zdroje","65723","","27721","20220404204057"
"48","Obecná_umělá_inteligence","13915","","2156","20230423143203"
"49","Koncové_šifrování","1491067","","1718","20210808114712"
"50","Geodatabáze","756843","","4742","20220415142620"
"51","PhpPgAdmin","147072","","1317","20211028062153"
"52","Radio_Data_System","32460","","5790","20220802104258"
"53","Počítačová_nápověda","1032590","","3099","20230111025017"
"54","WhatsApp","750929","","8901","20230712221900"
"55","Software_Ideas_Modeler","793520","","3110","20191128025527"
"56","Otevřený_systém_(informatika)","436720","","3229","20230215114111"
"57","Tutor","83460","","3644","20230707045133"
"58","Bajtkód","697702","","8120","20210913103522"
"59","Kryptoanalýza","93695","","1301","20230222191031"
"60","RFID","77251","","30338","20230415103110"
"61","BeBox","52835","","1958","20211117092946"
"62","Stigmergie","1387775","","1357","20210809191101"
"63","Online_databáze","894895","Category","77","20220216114530"
"64","Faktová_tabulka","116185","","51","20060824132437"
"65","PL/M","465976","","2700","20221210175329"
"66","Traffic_Light_Protocol","1610195","","8409","20230511085839"
"67","Algebraický_datový_typ","1752724","","1671","20221220105943"
"68","Vestavěný_Linux","1496899","Category","72","20210225042101"
"69","Algoritmus_pro_výpočet_dne_v_týdnu","21865","","8256","20230522041355"
"70","Převrácená_třída","1236835","","4770","20211226105420"
"71","Visual_Basic_for_Applications","1110991","","4022","20230408120609"
"72","Virtuální_screening","1552625","","7086","20230529022147"
"73","RTFM","29386","","3722","20230703114650"
"74","Steganografie","58583","","10929","20230307154727"
"75","Systémová_biologie","621354","","2776","20210604193950"
"76","General_game_playing","963201","","3797","20220113104004"
"77","Bezpečné_prvočíslo","1256837","","3440","20210805075652"
"78","Trusted_Platform_Module","653861","","27964","20230701223016"
"79","Nebojte_se_Internetu","1250720","","3919","20230511094542"
"80","Management_informačních_technologií","795423","Category","90","20210224231835"
"81","Orchestrace_(informatika)","132807","","4473","20211017213424"
"82","Speccy","250123","","1555","20220105202605"
"83","Miranda_(programovací_jazyk)","428929","","5411","20210930213851"
"84","Temný_web","1330686","","24013","20230531064321"
"85","Databázový_sirotek","420543","","1288","20230401104614"
"86","Didaktika_informatiky","264315","","18151","20220507212352"
"87","Aproximace","732240","","1292","20220719065211"
"88","Decimace","234061","","2921","20181031171228"
"89","Algoritmy_pro_práci_s_řetězci","584247","Category","41","20210224191747"
"90","Programátorské_soutěže","593528","Category","66","20110925110805"
"91","Hra_s_nulovým_součtem","639739","","19398","20230326135530"
"92","Datové_centrum","160144","","15954","20230405025811"
"93","Landauova_notace","1175940","","5231","20220910043946"
"94","M-learning","346954","","19250","20220205060322"
"95","Informatici_podle_oborů_výzkumu","1362326","Category","118","20230420181502"
"96","Povinné_vydávání_klíčů","635283","","12622","20230625131225"
"97","Fiťácký_informatický_korespondenční_seminář","1439104","","1392","20220512092155"
"98","Freehosting","160083","","1491","20230708070214"
"99","Kryptografie_s_veřejným_klíčem","474523","Category","91","20140602193311"
"100","Odhad","145697","","645","20210808140253"
"101","Multiparadigmatické_jazyky","1177610","Category","114","20210224231251"
"102","Kontrolní_součty","557344","Category","90","20170313153457"
"103","Koncová_rekurze","815999","","4581","20210808114708"
"104","Selenium_(software)","853922","","8746","20220607122454"
"105","Jednodeskový_počítač","968433","","3991","20220216125630"
"106","Celulární_automaty","373152","Category","158","20140602184828"
"107","Čtečka_čárového_kódu","1392569","","12927","20230613143056"
"108","Počítačové_platformy","280355","Category","99","20140601203528"
"109","Software_podle_programovacího_jazyka","280106","Category","116","20230414153813"
"110","Shader_jazyk","744206","","2202","20230521143321"
"111","Cg_(programovací_jazyk)","393094","","2249","20200413170559"
"112","Pro-Dos_BASIC","198067","","2326","20210719065721"
"113","MPEG-4_ASP","763824","","1585","20210808133616"
"114","Interaktivní_zpracování","901421","","2437","20220210133835"
"115","Trusted_Computer_System_Evaluation_Criteria","754003","","9816","20230511085929"
"116","Náhodná_sekvence","151151","","1766","20210809185910"
"117","Programovací_jazyk_C","441298","Category","97","20170421203915"
"118","Elektronická_jízdenka_nebo_letenka","263568","","9050","20230608205318"
"119","Výpočetní_technika_a_společnost","1597767","Category","151","20200520020004"
"120","Tvarový_faktor","1634760","","1606","20210808183519"
"121","Eliasovo_gama_kódování","446498","","5194","20220620084940"
"122","Sůl_(kryptografie)","697861","","5841","20230504124949"
"123","Ozvučení_kláves","1607774","","1091","20221123200911"
"124","Výukový_objekt","62920","","644","20210809191624"
"125","Clean_room_design","1675361","","1209","20210805072332"
"126","Speciální_výpočetní_technika_pro_uživatele_se_zrakovým_postižením","292573","Category","157","20140404103614"
"127","Standardy_IEEE_podle_jména","979476","Category","58","20220721123027"
"128","Strojové_učení","94861","","6552","20230305171809"
"129","Relační_databáze","314326","","14150","20230221115434"
"130","Slovo_(paměťová_jednotka)","33657","","6285","20230309082237"
"131","Hackathon","1005362","","1653","20230611054931"
"132","Misterine","1401177","","2600","20221005085529"
"133","Generující_matice","324654","","1990","20221213124511"
"134","Koprogram","277021","","11429","20220119061134"
"135","Funkce_jedním_prstem","1598226","","2477","20220630102806"
"136","IDOS","322513","","17815","20221228065053"
"137","Pole_(datová_struktura)","31753","","4792","20220202172049"
"138","ALGOL","124302","","6631","20230128114405"
"139","Přenos_dat","795417","Category","98","20210225002858"
"140","NetBEUI","91735","","2432","20210808134925"
"141","Kategorická_logika","1678378","","860","20210808111226"
"142","C--","979487","","4451","20210416103451"
"143","Kód","347757","","1728","20230519162859"
"144","Shellový_skript","342185","","7300","20220115210355"
"145","Jedničková_soustava","727363","","4964","20230414114552"
"146","Řádek_(databáze)","1377158","","822","20190228110440"
"147","IM+","162783","","875","20210424014928"
"148","Otevřená_data","1112082","","11818","20220509183946"
"149","Platební_karty","1394824","Category","79","20210225011644"
"150","Datové_modelování","391490","Category","104","20180503231010"
"151","Barcode_of_Life_Data_System","1791079","","1019","20221025093346"
"152","FBD","378122","","808","20210806082522"
"153","Power_Good","497603","","2330","20190613220647"
"154","PEM","1371324","","4578","20210808144145"
"155","Uživatelské_rozhraní","274960","Category","225","20200520022810"
"156","Interlingvální_strojový_překlad","1173173","","9971","20230707121414"
"157","Popiratelné_šifrování","625644","","2058","20221030185950"
"158","NetworkManager","1030455","","1466","20200304141402"
"159","Vyhledávací_tabulka","371213","","2176","20210808194327"
"160","APDU","900676","","2664","20230330131811"
"161","Analogový_počítač","4223","","7658","20230429112539"
