"number","title","pageid","namespace","length","touched"
"1","Kříže_v_Bosně_a_Hercegovině","1826746","Category","97","20230111095505"
"2","Rovnoběžka","65544","","3340","20221229001234"
"3","IRAS","343344","","7604","20230405140915"
"4","Sedimentologie","882719","","5856","20210604192245"
"5","AUOS","987358","","802","20141027175924"
"6","CryoSat","117584","","2525","20220507210213"
"7","Uhlí","192186","Category","250","20140530212545"
"8","Sopka","5568","","347461","20230709064237"
"9","Amos_(satelit)","589681","","3317","20220728120215"
"10","Slapové_jevy","191002","","11024","20211029114306"
"11","Dehtové_písky","40849","","2839","20210723232215"
"12","Geostacionární_družice","45158","","1747","20210719095404"
"13","Kryosféra","136745","","18126","20221127125729"
"14","Proton_(družice)","421323","","2364","20210823062222"
"15","Superměsíc","1582600","","6687","20220617025937"
"16","COBE","132170","","11199","20230405140656"
"17","Astra_3B","1206030","","3842","20230405141225"
"18","Program_Landsat","382963","Category","144","20140601153457"
"19","Seznam_poledníků_a_rovnoběžek_tvořících_státní_hranice","1860724","","9199","20230617171642"
"20","Izoterma","1849771","","495","20230423151507"
"21","Seznam_nejdelších_jeskyní","224132","","2607","20230422120326"
"22","Meteorologická_družice","49211","","3305","20210719095909"
"23","Jeskyně","22148","Category","145","20190325090519"
"24","Kříže_ve_Francii","1826742","Category","73","20230111095139"
"25","Comptonova_gama_observatoř","352421","","8056","20230405140932"
"26","Seznam_velkých_sopečných_erupcí","1592406","","47674","20230429221206"
"27","Magnetický_ohon","558163","","1111","20120210214152"
"28","Geologický_čas","10990","Category","128","20141007114103"
"29","ESRO-1B","987355","","851","20171031171447"
"30","Zemské_jádro","28493","","4990","20230215140606"
"31","Formosat-5","1319188","","3848","20230405145211"
"32","Předpovídání_počasí","1486889","Category","139","20190329204245"
"33","Kambrická_exploze","380560","","16639","20221226224158"
"34","Stlačený_zemní_plyn","199624","","16800","20230324224925"
"35","Telekomunikační_družice","1191045","Category","102","20210225013415"
"36","Petrologie","19152","","1334","20230106121400"
"37","Geomorfologické_členění_povrchu_Země","200215","Category","125","20181212184246"
"38","Explorer_2","456494","","1617","20230405141050"
"39","Karsologie","37715","","2460","20221212085737"
"40","Ovlivňování_počasí","458182","Category","82","20140606191651"
"41","Kříže_v_Dánském_království","1826748","Category","101","20230111095821"
"42","Methan","11288","","17295","20230228093636"
"43","Dellingerův_efekt","775379","","2814","20220510135658"
"44","Fyzická_geografie","453089","","3722","20210723193426"
"45","Globalizace","1049993","Category","439","20220601134050"
"46","Barycentrum","764080","","3211","20210924100036"
"47","Obleva","1006305","","1447","20210809190113"
"48","Geologie","3168","","16109","20230313192810"
"49","Kolonizace_Měsíce","232165","","13913","20221016194500"
"50","Geofyzika","50799","","1335","20210719100103"
"51","Měsíční_horniny","523571","","9109","20230314025724"
"52","Modrý_úplněk","1124215","","2639","20210808133102"
"53","Lunar_Embassy","296846","","3729","20200723023217"
"54","Irizace_oblaků","1838694","","6526","20230425073636"
"55","Počasí","5605","Category","85","20140601114153"
"56","Měsíční_božstva","397563","Category","225","20181213075510"
"57","GOCE","411793","","5677","20230405141040"
"58","Počasí","12267","","7054","20230530044258"
"59","Poljus","967816","","8209","20221202213055"
"60","Genesis-1","417824","","2546","20200214235527"
"61","Hydrogeologie","155318","","2557","20210606140525"
"62","Pranostika","16711","","5485","20230501200301"
"63","Ledové_jeskyně","106632","Category","78","20210224222946"
"64","Environmentální_zdroj","418823","","1385","20190923000103"
"65","Big_Bird","987356","","2001","20200214235526"
"66","Zvětrávání","86310","","6689","20230528100944"
"67","Klimatický_model","1551856","","15233","20230101155517"
"68","Geochronologická_perioda","860244","","2521","20230523043116"
"69","Organogenní_sediment","280993","","6683","20220213185825"
"70","Geologické_periody","897053","Category","126","20210224210805"
"71","Impaktní_krátery_na_Zemi","336973","Category","181","20181214215806"
"72","Severní_polární_kruh","32180","","4597","20230103113936"
"73","EXCLAIM_(meteorologie)","1702203","","11092","20221230100044"
"74","Obratník_Raka","146809","","2304","20230629134645"
"75","Plochá_Země","1256326","","10956","20230407022759"
"76","Hinotori","989813","","1137","20230105173646"
"77","Geologické_epochy","897116","Category","105","20130405093841"
"78","Prekambrium","886390","Category","69","20140603181142"
"79","Globální_mozek","1158562","","5553","20220601132108"
"80","Jeskyně_v_Krakovsko-čenstochovské_juře","1666519","","5652","20220617114212"
"81","Den_Země","83992","","7216","20230509100213"
"82","Zpřístupněné_jeskyně","1246696","Category","79","20170215073548"
"83","Biosféra","27067","","3088","20230605071802"
"84","Pluton","66338","","1912","20210808145331"
"85","Karbonizace_uhlí","156885","","2569","20220413184254"
"86","Daiči","61609","","7190","20230405140643"
"87","Vědy_o_atmosféře","1843871","Category","114","20230324153229"
"88","Vela_(družice)","1023440","","4270","20221017174512"
"89","Zemní_plyn","263297","","40809","20230622083025"
"90","Ekonomika_založená_na_zdrojích","803391","","2918","20210806080405"
"91","Zuma_(satelit)","1404607","","5167","20230405141309"
"92","Oceánografie","108781","","5777","20220301144302"
"93","Huronské_zalednění","1439706","","5658","20220325142811"
"94","Mitad_del_Mundo","217421","","971","20221212164010"
"95","Termopauza","329299","","1303","20210808175325"
"96","Mineralogie","10643","Category","108","20181219113208"
"97","Rotace_Země","729979","","10242","20230113074931"
"98","Pliniovská_erupce","972970","","10867","20221230094203"
"99","Tsunami","9646","","29088","20230711135423"
"100","ANS_1","989814","","748","20210602083206"
"101","Gagát","389341","","2372","20220426064323"
"102","Antropocén","727084","","14294","20230521080606"
"103","Program_Kosmos","372246","Category","203","20210225002539"
"104","Země","769","","82968","20230625115644"
"105","Ekologie","4404","","17890","20230405214819"
"106","Geologická_časová_osa","16759","Template","6083","20180418205211"
"107","Kwangmjongsong-3","790835","","2002","20180603071644"
"108","Družicové_polohové_systémy","307714","Category","129","20210224203818"
"109","Kabinet_kuriozit","1381005","","4786","20230425183529"
"110","Gutenbergova_diskontinuita","60809","","1891","20230611015104"
"111","Ropné_břidlice","40860","","3296","20220322183358"
"112","RazakSAT","1290448","","3224","20230405141246"
"113","Vědy_o_Zemi","12083","Category","117","20140601115323"
"114","SAOCOM_1A","1450899","","3224","20230405141313"
"115","Zemský_plášť","60823","","5723","20211006071541"
"116","Stupeň_(geologie)","1467304","","10972","20230201082157"
"117","Světová_ekonomika","792186","Category","90","20220601131210"
"118","Podnebí","49085","","5589","20230330054307"
"119","Karelidy","1441751","","5571","20221018093148"
"120","Lunární_uzel","452854","","2055","20210808194539"
"121","Fosilní_palivo","33569","","18496","20221207081153"
"122","Propan","65286","","11182","20230329185758"
"123","Explorer_1","254409","","4127","20230405140756"
"124","Chronozóna","1468516","","7328","20221018104140"
"125","Selenocentrická_dráha","471769","","1834","20221218225708"
"126","FalconSAT-2","1290031","","4269","20230422184202"
"127","Program_Sputnik","171985","Category","170","20140601182404"
"128","Meteorologie","11907","","23009","20230522093006"
"129","Příbojová_jeskyně","1020184","","1402","20210604191055"
"130","Měsíc","232182","Category","81","20140601195952"
"131","Precese_zemské_osy","27928","","6863","20230222152542"
"132","CubeSat","835745","","8777","20230608100835"
"133","Jižní_polokoule","329302","","6078","20230222091812"
"134","Mráz","246225","","2598","20220420185413"
"135","Jason-3","1218035","","6035","20230405141236"
"136","Atmosféra_Země","390258","Category","127","20140601153657"
"137","Těžba","275331","Category","148","20230414223532"
"138","Polární_noc","379544","","3395","20230129221241"
"139","Program_Bion","987903","","9320","20211226010616"
"140","Kontinenty","4499","Category","213","20220601131102"
"141","Meteorologické_jevy","40058","Category","160","20170215093356"
"142","Vítr","325607","Category","102","20140602175437"
"143","Rovník","20354","","3741","20230407140730"
"144","COS_B","989805","","903","20210527151655"
"145","Regiony","277564","Category","57","20220601131627"
"146","Vědci_zabývající_se_vědami_o_Zemi","1844826","Category","151","20230329101744"
"147","Zemní_plyn","274394","Category","187","20180620140357"
"148","Ofek","319128","","14613","20230304151551"
"149","Magnetická_bouře","857094","","1398","20230511192251"
"150","Zeměměřictví","97726","Category","288","20140612113319"
"151","Geologie_Měsíce","518945","","46009","20221123120029"
"152","Molnija_(družice)","653393","","3162","20210717085943"
"153","Geodézie","8761","","8427","20230427062620"
"154","Měsíční_filtr","1398704","","937","20181217154916"
"155","Modrá_skleněnka","687626","","7571","20211222043644"
"156","COROT","200835","","4169","20230405140724"
"157","Sopečná_erupce","439464","","52887","20230629123835"
"158","Jeskyně_podle_zemí","185339","Category","132","20230414133744"
"159","Stratigrafie_Měsíce","457387","","3638","20210809115400"
"160","Seznam_satelitů_GPS","1475614","","50379","20230603095609"
"161","Chronostratigrafická_jednotka","1469322","","11822","20190618202802"
"162","Geologický_čas","10988","","68733","20230621084103"
"163","Kříže_ve_Švédsku","1826753","Category","71","20230111100305"
"164","Ropa","9955","","66598","20230403091430"
"165","Jeskynní_malířství","363329","","15308","20230125121646"
"166","Hydrologie","31258","","5679","20210719092133"
"167","SES_Astra","437284","","3903","20220918100343"
"168","Jeskyně_nazvané_po_osobách","1543352","Category","73","20210414045405"
"169","Librace","159080","","4159","20210719122724"
"170","Terciér","56319","","12382","20230622134200"
"171","Umělé_satelity_Země","308265","Category","72","20190607144301"
"172","ANNA_1B","991495","","904","20171031172329"
"173","Hydrosféra","28566","","12855","20230621140153"
"174","Glaciologie","31242","Category","139","20181219113207"
"175","Paz_(satelit)","1369470","","5122","20230405141259"
"176","Umělé_družice_podle_zemí","1304418","Category","140","20230414224354"
"177","Literatura_o_Měsíci","319003","Category","86","20180620124619"
"178","Jeskyňáři","1823948","Category","62","20230101143603"
"179","Program_Pegasus","460595","","5202","20230429095922"
"180","Sněhový_efekt_vodních_ploch","1213734","","2715","20230702095004"
"181","ESTCube-1","914645","","1427","20210602095137"
"182","Kosmos_(satelit)","175583","","1052","20220216210357"
"183","Kerogen","40121","","916","20210808111447"
"184","Obratník_Kozoroha","146807","","2367","20210601102209"
"185","Zkapalněný_zemní_plyn","217867","","22896","20230608161602"
"186","Diadème","989816","","863","20180825132124"
"187","Geobiologie","1285292","","9613","20220507224725"
"188","Desková_tektonika","34898","","74287","20230310181843"
"189","Uhlí","11447","","31505","20230403071109"
"190","Severní_polokoule","295772","","4090","20210922092153"
"191","Seznam_jeskyní","188182","","2486","20210606153756"
"192","Insolace","148997","","2171","20230328111312"
"193","Meteorologie","8930","Category","252","20230324135358"
"194","Selenografické_souřadnice","457899","","4416","20210809101352"
"195","Ariabhata","991496","","1689","20230405141213"
